Set,Spec,Sex,coef,se,pval,n
Visegrad,Simple DiD,Total,0.024563238834342152,0.02612318508757523,0.34707139664164466,170.0
Visegrad,Simple DiD,Male,0.018480904095576497,0.018340744504910352,0.3136263682217727,170.0
Visegrad,Simple DiD,Female,0.023902487959022264,0.03359884698666393,0.4768314536444158,170.0
Visegrad,Triple-Diff,Total,-0.004514908945785306,0.005762155739199299,0.43330707519158784,595.0
Visegrad,Triple-Diff,Male,-0.007573979283203653,0.0010870544587834089,3.22775714339319e-12,595.0
Visegrad,Triple-Diff,Female,-0.015351741011952667,0.011599383709818199,0.18567039768227245,595.0
CEE-broad,Simple DiD,Total,0.02752884201736476,0.013022704047744643,0.034522838838276323,426.0
CEE-broad,Simple DiD,Male,0.010952876534010114,0.016067807409232398,0.4954502290495004,426.0
CEE-broad,Simple DiD,Female,0.0413955359083997,0.015498180336701044,0.007562715535625978,426.0
CEE-broad,Triple-Diff,Total,-0.011056034834063342,0.007548343829632807,0.14300366629480973,1491.0
CEE-broad,Triple-Diff,Male,-0.013234455103365277,0.010158680326725738,0.19265224906231215,1491.0
CEE-broad,Triple-Diff,Female,-0.01733449341648567,0.007079236151115997,0.0143397106202217,1491.0
EU-mixed,Simple DiD,Total,0.022929549729047954,0.01147068961604826,0.04561173850321079,556.0
EU-mixed,Simple DiD,Male,0.019621973466500575,0.012788398838700308,0.12494176950002246,556.0
EU-mixed,Simple DiD,Female,0.02901755167288922,0.014798480371284246,0.04989690634107639,556.0
EU-mixed,Triple-Diff,Total,-0.006512083038351442,0.006877796156709133,0.3437269457692159,1946.0
EU-mixed,Triple-Diff,Male,-0.0023006252811460307,0.010027567936988837,0.818534692687673,1946.0
EU-mixed,Triple-Diff,Female,-0.011060567924381648,0.00796040802625851,0.16469675706902398,1946.0
