year,race,births,deaths,rate_per_1000,rate_lo,rate_hi
1999,White,4212,32,7.6,4.96,10.23
1999,Black,336,10,29.76,11.32,48.21
2000,White,4442,21,4.73,2.71,6.75
2000,Black,356,5,14.04,1.73,26.36
2001,White,4325,19,4.39,2.42,6.37
2001,Black,391,7,17.9,4.64,31.17
2002,White,4333,22,5.08,2.96,7.2
2002,Black,406,7,17.24,4.47,30.01
2003,White,4456,14,3.14,1.5,4.79
2003,Black,383,4,10.44,0.21,20.68
2004,White,4590,16,3.49,1.78,5.19
2004,Black,435,1,2.3,0,6.8
2005,White,4505,15,3.33,1.64,5.01
2005,Black,465,1,2.15,0,6.37
2006,White,4497,18,4.0,2.15,5.85
2006,Black,482,1,2.07,0,6.14
2007,White,4545,18,3.96,2.13,5.79
2007,Black,503,5,9.94,1.23,18.65
2008,White,4541,25,5.51,3.35,7.66
2008,Black,509,10,19.65,7.47,31.82
2009,White,4509,15,3.33,1.64,5.01
2009,Black,507,6,11.83,2.36,21.3
2010,White,4441,16,3.6,1.84,5.37
2010,Black,533,9,16.89,5.85,27.92
2011,White,4416,29,6.57,4.18,8.96
2011,Black,421,8,19.0,5.83,32.17
2012,White,4418,17,3.85,2.02,5.68
2012,Black,490,2,4.08,0,9.74
2013,White,4453,18,4.04,2.17,5.91
2013,Black,469,9,19.19,6.65,31.73
2014,White,4574,15,3.28,1.62,4.94
2014,Black,510,2,3.92,0,9.36
2015,White,4393,18,4.1,2.2,5.99
2015,Black,473,9,19.03,6.6,31.46
2016,White,4284,24,5.6,3.36,7.84
2016,Black,475,8,16.84,5.17,28.51
2017,White,4171,13,3.12,1.42,4.81
2017,Black,511,1,1.96,0,5.79
2018,White,4005,20,4.99,2.81,7.18
2018,Black,523,7,13.38,3.47,23.3
2019,White,4072,8,1.96,0.6,3.33
2019,Black,470,7,14.89,3.86,25.93
2020,White,3952,19,4.81,2.65,6.97
2020,Black,522,2,3.83,0,9.14
2021,White,3935,9,2.29,0.79,3.78
2021,Black,518,5,9.65,1.19,18.11
2022,White,3900,14,3.59,1.71,5.47
2022,Black,492,6,12.2,2.44,21.95
2023,White,3731,18,4.82,2.6,7.05
2023,Black,488,8,16.39,5.03,27.75
