year,race,births,deaths,rate_per_1000,rate_lo,rate_hi
1999,Black,825,9,10.91,3.78,18.04
1999,White,43630,247,5.66,4.96,6.37
2000,Black,885,10,11.3,4.3,18.3
2000,White,43961,248,5.64,4.94,6.34
2001,Black,935,29,31.02,19.73,42.3
2001,White,43063,244,5.67,4.96,6.38
2002,Black,970,18,18.56,9.98,27.13
2002,White,43082,236,5.48,4.78,6.18
2003,Black,985,15,15.23,7.52,22.94
2003,White,43729,236,5.4,4.71,6.09
2004,Black,1029,28,27.21,17.13,37.29
2004,White,43282,195,4.51,3.87,5.14
2005,Black,1017,20,19.67,11.05,28.28
2005,White,43494,247,5.68,4.97,6.39
2006,Black,1158,23,19.86,11.74,27.98
2006,White,43748,217,4.96,4.3,5.62
2007,Black,1177,20,16.99,9.55,24.44
2007,White,43864,235,5.36,4.67,6.04
2008,Black,1256,17,13.54,7.1,19.97
2008,White,42870,255,5.95,5.22,6.68
2009,Black,1290,17,13.18,6.91,19.44
2009,White,41934,209,4.98,4.31,5.66
2010,Black,1259,14,11.12,5.29,16.94
2010,White,40745,205,5.03,4.34,5.72
2011,Black,1102,15,13.61,6.72,20.5
2011,White,39933,212,5.31,4.59,6.02
2012,Black,1142,13,11.38,5.2,17.57
2012,White,39269,191,4.86,4.17,5.55
2013,Black,1126,12,10.66,4.63,16.69
2013,White,38773,176,4.54,3.87,5.21
2014,Black,1170,18,15.38,8.28,22.49
2014,White,39049,206,5.28,4.56,6.0
2015,Black,1271,23,18.1,10.7,25.49
2015,White,38926,161,4.14,3.5,4.77
2016,Black,1390,30,21.58,13.86,29.31
2016,White,38772,207,5.34,4.61,6.07
2017,Black,1487,23,15.47,9.15,21.79
2017,White,37432,172,4.59,3.91,5.28
2018,Black,1426,14,9.82,4.67,14.96
2018,White,37147,173,4.66,3.96,5.35
2019,Black,1514,21,13.87,7.94,19.8
2019,White,36176,189,5.22,4.48,5.97
2020,Black,1366,21,15.37,8.8,21.95
2020,White,34649,146,4.21,3.53,4.9
2021,Black,1391,20,14.38,8.08,20.68
2021,White,35857,157,4.38,3.69,5.06
2022,Black,1350,15,11.11,5.49,16.73
2022,White,34633,162,4.68,3.96,5.4
2023,Black,1309,17,12.99,6.81,19.16
2023,White,33997,154,4.53,3.81,5.25
