year,race,births,deaths,rate_per_1000,rate_lo,rate_hi
1999,White,54813,314,5.73,5.09,6.36
1999,Black,6444,96,14.9,11.92,17.88
2000,White,55381,312,5.63,5.01,6.26
2000,Black,6437,108,16.78,13.61,19.94
2001,White,53969,305,5.65,5.02,6.29
2001,Black,6467,121,18.71,15.38,22.04
2002,White,53798,297,5.52,4.89,6.15
2002,Black,6338,116,18.3,14.97,21.63
2003,White,54831,289,5.27,4.66,5.88
2003,Black,6409,98,15.29,12.26,18.32
2004,White,54217,245,4.52,3.95,5.08
2004,Black,6496,125,19.24,15.87,22.62
2005,White,54292,302,5.56,4.94,6.19
2005,Black,6715,101,15.04,12.11,17.97
2006,White,54525,268,4.92,4.33,5.5
2006,Black,7020,121,17.24,14.17,20.31
2007,White,54522,290,5.32,4.71,5.93
2007,Black,7230,105,14.52,11.74,17.3
2008,White,53561,315,5.88,5.23,6.53
2008,Black,7236,100,13.82,11.11,16.53
2009,White,52454,257,4.9,4.3,5.5
2009,Black,7281,104,14.28,11.54,17.03
2010,White,50893,247,4.85,4.25,5.46
2010,Black,6845,95,13.88,11.09,16.67
2011,White,49948,267,5.35,4.7,5.99
2011,Black,6197,86,13.88,10.94,16.81
2012,White,49061,232,4.73,4.12,5.34
2012,Black,6229,82,13.16,10.31,16.01
2013,White,48670,237,4.87,4.25,5.49
2013,Black,6270,99,15.79,12.68,18.9
2014,White,48794,240,4.92,4.3,5.54
2014,Black,6568,82,12.48,9.78,15.19
2015,White,48407,203,4.19,3.62,4.77
2015,Black,6563,92,14.02,11.15,16.88
2016,White,47937,255,5.32,4.67,5.97
2016,Black,6517,99,15.19,12.2,18.18
2017,White,46262,198,4.28,3.68,4.88
2017,Black,6801,107,15.73,12.75,18.71
2018,White,45623,219,4.8,4.16,5.44
2018,Black,6580,84,12.77,10.04,15.5
2019,White,44701,213,4.76,4.13,5.4
2019,Black,6801,85,12.5,9.84,15.16
2020,White,42657,186,4.36,3.73,4.99
2020,Black,6373,91,14.28,11.35,17.21
2021,White,43947,178,4.05,3.46,4.65
2021,Black,5935,76,12.81,9.93,15.68
2022,White,42486,197,4.64,3.99,5.28
2022,Black,5679,65,11.45,8.66,14.23
2023,White,41604,185,4.45,3.81,5.09
2023,Black,5586,80,14.32,11.18,17.46
