author_raw,n_papers,last_name,initials
Adams AR,5,Adams,AR
Adams MJ,5,Adams,MJ
Al-Shoaibi AAA,33,Al-Shoaibi,AAA
Al-Shoaibi AA,11,Al-Shoaibi,AA
Albaugh M,11,Albaugh,M
Albaugh MD,9,Albaugh,MD
Alexander-Bloch A,6,Alexander-Bloch,A
Alexander-Bloch AF,5,Alexander-Bloch,AF
Bagot KS,13,Bagot,KS
Bagot K,7,Bagot,K
Bookheimer S,6,Bookheimer,S
Bookheimer SY,5,Bookheimer,SY
Breslin FJ,18,Breslin,FJ
Breslin F,6,Breslin,F
Brown SA,27,Brown,SA
Brown TT,5,Brown,TT
Calhoun VD,16,Calhoun,VD
Calhoun V,12,Calhoun,V
Chang L,25,Chang,L
Chang SE,7,Chang,SE
Chen Y,24,Chen,Y
Chen J,23,Chen,J
Chen R,18,Chen,R
Chen JC,12,Chen,JC
Chen B,7,Chen,B
Chen C,7,Chen,C
Chen S,6,Chen,S
Chen P,5,Chen,P
Cheng W,25,Cheng,W
Cheng M,9,Cheng,M
Clark DB,22,Clark,DB
Clark DA,5,Clark,DA
Cloak CC,9,Cloak,CC
Cloak C,6,Cloak,C
Cotter DL,7,Cotter,DL
Cotter D,5,Cotter,D
Cullen KR,14,Cullen,KR
Cullen B,5,Cullen,B
Doyle AE,7,Doyle,AE
Doyle O,5,Doyle,O
Du J,7,Du,J
Du W,7,Du,W
Earl E,8,Earl,E
Earl EA,5,Earl,EA
Fan CC,27,Fan,CC
Fan H,6,Fan,H
Fan Y,5,Fan,Y
Gao S,7,Gao,S
Gao X,7,Gao,X
Gao JH,5,Gao,JH
Garavan H,54,Garavan,H
Garavan HP,9,Garavan,HP
Geier CF,6,Geier,CF
Geier C,5,Geier,C
Gonzalez R,34,Gonzalez,R
Gonzalez MR,33,Gonzalez,MR
Gray JC,9,Gray,JC
Gray KM,8,Gray,KM
Gur RE,8,Gur,RE
Gur RC,6,Gur,RC
Hawes SW,20,Hawes,SW
Hawes S,6,Hawes,S
He J,39,He,J
He Y,6,He,Y
He X,5,He,X
Heitzeg MM,31,Heitzeg,MM
Heitzeg M,7,Heitzeg,M
Hoffman EA,16,Hoffman,EA
Hoffman E,6,Hoffman,E
Hoffman KW,5,Hoffman,KW
Huang R,9,Huang,R
Huang Y,5,Huang,Y
Jackson DB,26,Jackson,DB
Jackson JJ,5,Jackson,JJ
Jernigan TL,34,Jernigan,TL
Jernigan T,5,Jernigan,T
Jiang F,8,Jiang,F
Jiang R,5,Jiang,R
Johnson EC,16,Johnson,EC
Johnson ME,5,Johnson,ME
Johnson S,5,Johnson,S
Kan E,10,Kan,E
Kan EC,5,Kan,EC
Kim G,5,Kim,G
Kim KE,5,Kim,KE
Lee PH,9,Lee,PH
Lee CM,7,Lee,CM
Lee S,7,Lee,S
Li Y,27,Li,Y
Li X,14,Li,X
Li F,12,Li,F
Li J,11,Li,J
Li Q,11,Li,Q
Li L,9,Li,L
Li EJ,8,Li,EJ
Li M,8,Li,M
Li G,7,Li,G
Li H,7,Li,H
Li K,6,Li,K
Li ZA,6,Li,ZA
Li CR,5,Li,CR
Li D,5,Li,D
Lisdahl KM,32,Lisdahl,KM
Lisdahl K,6,Lisdahl,K
Liu Y,19,Liu,Y
Liu J,18,Liu,J
Liu B,10,Liu,B
Liu RT,10,Liu,RT
Liu Z,10,Liu,Z
Liu S,8,Liu,S
Liu C,6,Liu,C
Liu M,5,Liu,M
Luo Q,14,Luo,Q
Luo L,6,Luo,L
Luo S,5,Luo,S
Mackey AP,6,Mackey,AP
Mackey S,6,Mackey,S
Martinot JL,12,Martinot,JL
Martinot MP,8,Martinot,MP
Mason MJ,10,Mason,MJ
Mason TB,5,Mason,TB
McCabe CJ,7,McCabe,CJ
McCabe SE,5,McCabe,SE
McGlade EC,11,McGlade,EC
McGlade E,7,McGlade,E
Miller AP,5,Miller,AP
Miller RL,5,Miller,RL
Moore TM,34,Moore,TM
Moore LA,6,Moore,LA
Mueller BA,8,Mueller,BA
Mueller MK,6,Mueller,MK
Palmer CE,22,Palmer,CE
Palmer AA,5,Palmer,AA
Potter A,32,Potter,A
Potter AS,11,Potter,AS
Qiu A,9,Qiu,A
Qiu S,5,Qiu,S
Qu Y,11,Qu,Y
Qu D,6,Qu,D
Shao IY,26,Shao,IY
Shao S,5,Shao,S
Shen X,7,Shen,X
Shen C,5,Shen,C
Sheth C,11,Sheth,C
Sheth CS,6,Sheth,CS
Shim J,8,Shim,J
Shim JE,5,Shim,JE
Smith N,7,Smith,N
Smith T,7,Smith,T
Smith C,5,Smith,C
Smith KE,5,Smith,KE
Sugrue LP,6,Sugrue,LP
Sugrue L,5,Sugrue,L
Sun Y,10,Sun,Y
Sun KY,5,Sun,KY
Tapert SF,67,Tapert,SF
Tapert S,7,Tapert,S
Thompson WK,68,Thompson,WK
Thompson PM,15,Thompson,PM
Thompson EL,8,Thompson,EL
Thompson W,7,Thompson,W
Van Rinsveld A,9,Van,Rinsveld A
Van AN,8,Van,AN
Vargas T,10,Vargas,T
Vargas TG,7,Vargas,TG
Walker EF,5,Walker,EF
Walker JC,5,Walker,JC
Wang Y,42,Wang,Y
Wang Z,15,Wang,Z
Wang H,14,Wang,H
Wang S,12,Wang,S
Wang X,12,Wang,X
Wang J,10,Wang,J
Wang M,9,Wang,M
Wang GJ,8,Wang,GJ
Wang L,8,Wang,L
Wang Q,8,Wang,Q
Wang D,7,Wang,D
Watts R,15,Watts,R
Watts AL,8,Watts,AL
Weissman MM,7,Weissman,MM
Weissman DG,6,Weissman,DG
Wu X,9,Wu,X
Wu F,6,Wu,F
Wu Y,6,Wu,Y
Wu D,5,Wu,D
Xu X,11,Xu,X
Xu B,10,Xu,B
Xu Y,9,Xu,Y
Xu H,8,Xu,H
Xu J,8,Xu,J
Xu Z,6,Xu,Z
Yang Y,12,Yang,Y
Yang B,9,Yang,B
Yang X,9,Yang,X
Yang J,8,Yang,J
Yang L,8,Yang,L
Yang A,6,Yang,A
Yang R,5,Yang,R
Yip SW,11,Yip,SW
Yip T,9,Yip,T
Yu G,7,Yu,G
Yu JT,5,Yu,JT
Yurgelun-Todd DA,9,Yurgelun-Todd,DA
Yurgelun-Todd D,8,Yurgelun-Todd,D
Zhang Y,38,Zhang,Y
Zhang J,20,Zhang,J
Zhang L,20,Zhang,L
Zhang X,20,Zhang,X
Zhang W,15,Zhang,W
Zhang Z,15,Zhang,Z
Zhang H,11,Zhang,H
Zhang F,10,Zhang,F
Zhang K,8,Zhang,K
Zhang S,8,Zhang,S
Zhang Q,6,Zhang,Q
Zhang R,6,Zhang,R
Zhao Y,20,Zhao,Y
Zhao Z,17,Zhao,Z
Zhao W,7,Zhao,W
Zhao X,7,Zhao,X
Zhao Q,5,Zhao,Q
