author_raw,author_id,notes,merged_by,merged_date
& Chen R,& Calhoun VD,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
& Fornito A,& Fiecas MB,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
& Grilo S,& Gooding HC,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
& Galea S,& Gooding HC,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
& Holmes AJ,& Hargrave DR,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
& Haukvik UK,& Hargrave DR,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
& Hicks BM,& Hargrave DR,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
& Leonard S,& Luo Q for the IMAGEN Consortium,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
& Luo L,& Luo Q for the IMAGEN Consortium,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
& Li C-S R,& Luo Q for the IMAGEN Consortium,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
& Max JE,& McLaughlin KA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
& McCoy,& McLaughlin KA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
& Murray SB,& McLaughlin KA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
& Paulus MP,& Petersen N,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
& Patel V,& Petersen N,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
& Romer AL,& Rakesh D,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
& Veliz PT,& Vaughn KA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Adams RS,Adams RA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Adkins DJ,Adkins DE,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Aguinaldo LD,Aguinaldo L,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Aklin W,Aklin WM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Aksnes E,Aksnes ER,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Al-Shoaibi AA,Al-Shoaibi AAA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Albaugh MD,Albaugh M,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Alexander-Bloch AF,Alexander-Bloch A,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Alexander J,Alexander JD,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Allgaier NA,Allgaier N,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Amir C,Amir CM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Anokhin A,Anokhin AP,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Antovich DM,Antovich D,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Astle D,Astle DE,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Aupperle R,Aupperle RL,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Bagot K,Bagot KS,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Baillie A,Baillie AJ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Baker BT,Baker BH,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Baker F,Baker FC,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Banich M,Banich MT,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Baranger DA,Baranger DAA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Barch D,Barch DM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Barton A,Barton AW,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Bates KE,Bates K,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Bauer J,Bauer JA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Bazer O,Bazer OM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Becker HC,Becker H,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Beckmann C,Beckmann CF,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Belangero S,Belangero SI,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Beltz A,Beltz AM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Bergmans R,Bergmans RS,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Betts SS,Betts S,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Beyer L,Beyer LN,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Bijsterbosch J,Bijsterbosch JD,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Bjork J,Bjork JM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Blachman-Demner D,Blachman-Demner DR,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Bloch M,Bloch MH,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Boardman JP,Boardman JD,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Bogie A,Bogie AL,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Bokde A,Bokde ALW,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Bokde AL,Bokde ALW,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Bookheimer SY,Bookheimer S,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Bottenhorn K,Bottenhorn KL,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Bravo L,Bravo LG,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Breslin F,Breslin FJ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Brieant AE,Brieant A,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Brown DM,Brown DMY,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Brown S,Brown SA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Brown ST,Brown SA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Brown T,Brown TT,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Brown TA,Brown TT,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Bruzzese JM,Bruzzese J-M,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Buchbinder N,Buchbinder NC,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Buitelaar J,Buitelaar JK,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Bullmore E,Bullmore ET,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Byington NORA,Byington N,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Byrd A,Byrd AL,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Calhoun V,Calhoun VD,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Callina KS,Callina K,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Carlson J,Carlson JA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Carter EK,Carter EB,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Carter E,Carter EB,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Carvalho CA,Carvalho C,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Castro-de-Araujo LF,Castro-de-Araujo LFS,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Castro-de-Araujo LS,Castro-de-Araujo LFS,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Cavanagh J,Cavanagh JF,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Cecil C,Cecil CAM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Chai XJ,Chai X,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Chakravarty M,Chakravarty MM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Chamberlain T,Chamberlain TA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
