pmid,title,abstract,pub_year,text,has_abstract
abcd_35383335,Genetic variants associated with longitudinal changes in brain structure across the lifespan.,NA,2022,Genetic variants associated with longitudinal changes in brain structure across the lifespan.,FALSE
abcd_35489875,Virtual Ontogeny of Cortical Growth Preceding Mental Illness.,NA,2022,Virtual Ontogeny of Cortical Growth Preceding Mental Illness.,FALSE
abcd_35388223,Brain charts for the human lifespan.,NA,2022,Brain charts for the human lifespan.,FALSE
abcd_39433889,Genomic analysis of intracranial and subcortical brain volumes yields polygenic scores accounting for variation across ancestries.,NA,2024,Genomic analysis of intracranial and subcortical brain volumes yields polygenic scores accounting for variation across ancestries.,FALSE
abcd_34099922,Baseline brain function in the preadolescents of the ABCD Study.,NA,2021,Baseline brain function in the preadolescents of the ABCD Study.,FALSE
abcd_38713673,"Researching COVID to enhance recovery (RECOVER) pediatric study protocol: Rationale, objectives and design.",NA,2024,"Researching COVID to enhance recovery (RECOVER) pediatric study protocol: Rationale, objectives and design.",FALSE
abcd_39196964,Characterizing Long COVID in Children and Adolescents.,NA,2024,Characterizing Long COVID in Children and Adolescents.,FALSE
abcd_31415884,Image processing and analysis methods for the Adolescent Brain Cognitive Development Study.,NA,2019,Image processing and analysis methods for the Adolescent Brain Cognitive Development Study.,FALSE
abcd_34392051,Substance use patterns in 9-10 year olds: Baseline findings from the adolescent brain cognitive development (ABCD) study.,NA,2021,Substance use patterns in 9-10 year olds: Baseline findings from the adolescent brain cognitive development (ABCD) study.,FALSE
abcd_33096046,A large-scale genome-wide association study meta-analysis of cannabis use disorder.,NA,2020,A large-scale genome-wide association study meta-analysis of cannabis use disorder.,FALSE
abcd_33749724,Rates of Incidental Findings in Brain Magnetic Resonance Imaging in Children.,NA,2021,Rates of Incidental Findings in Brain Magnetic Resonance Imaging in Children.,FALSE
abcd_34599145,Cortical and subcortical brain structure in generalized anxiety disorder: findings from 28 research sites in the ENIGMA-Anxiety Working Group.,NA,2021,Cortical and subcortical brain structure in generalized anxiety disorder: findings from 28 research sites in the ENIGMA-Anxiety Working Group.,FALSE
abcd_35998220,"Genome-wide analyses of individual differences in quantitatively assessed reading- and language-related skills in up to 34,000 people.",NA,2022,"Genome-wide analyses of individual differences in quantitatively assessed reading- and language-related skills in up to 34,000 people.",FALSE
abcd_33679599,Correspondence Between Perceived Pubertal Development and Hormone Levels in 9-10 Year-Olds From the Adolescent Brain Cognitive Development Study.,NA,2021,Correspondence Between Perceived Pubertal Development and Hormone Levels in 9-10 Year-Olds From the Adolescent Brain Cognitive Development Study.,FALSE
abcd_38605111,brainlife.io: a decentralized and open-source cloud platform to support neuroscience research.,NA,2024,brainlife.io: a decentralized and open-source cloud platform to support neuroscience research.,FALSE
abcd_40811581,Associations between epilepsy-related polygenic risk and brain morphology in childhood.,NA,2025,Associations between epilepsy-related polygenic risk and brain morphology in childhood.,FALSE
abcd_40830579,"Association between polygenic risk for Major Depression and brain structure in a mega-analysis of 50,975 participants across 11 studies.",NA,2025,"Association between polygenic risk for Major Depression and brain structure in a mega-analysis of 50,975 participants across 11 studies.",FALSE
abcd_36380235,Cortical profiles of numerous psychiatric disorders and normal development share a common pattern.,NA,2022,Cortical profiles of numerous psychiatric disorders and normal development share a common pattern.,FALSE
abcd_a_prognostic_human_brain_network_for_diffuse_midline_glioma,A prognostic human brain network for diffuse midline glioma,NA,2026,A prognostic human brain network for diffuse midline glioma,FALSE
abcd_37076628,A somato-cognitive action network alternates with effector regions in motor cortex.,NA,2023,A somato-cognitive action network alternates with effector regions in motor cortex.,FALSE
abcd_41946727,Spatiotemporal dynamics of the human cortical functional hierarchy across the lifespan.,NA,2026,Spatiotemporal dynamics of the human cortical functional hierarchy across the lifespan.,FALSE
abcd_37095248,A shared neural basis underlying psychiatric comorbidity.,NA,2023,A shared neural basis underlying psychiatric comorbidity.,FALSE
abcd_35296861,Reproducible brain-wide association studies require thousands of individuals.,NA,2022,Reproducible brain-wide association studies require thousands of individuals.,FALSE
abcd_40706587,Dissecting human cortical similarity networks across the lifespan.,NA,2025,Dissecting human cortical similarity networks across the lifespan.,FALSE
abcd_40181189,Human lifespan changes in the brain's functional connectome.,NA,2025,Human lifespan changes in the brain's functional connectome.,FALSE
abcd_40128186,A generalized epilepsy network derived from brain abnormalities and deep brain stimulation.,NA,2025,A generalized epilepsy network derived from brain abnormalities and deep brain stimulation.,FALSE
abcd_34155395,QSIPrep: an integrative platform for preprocessing and reconstructing diffusion MRI data.,NA,2021,QSIPrep: an integrative platform for preprocessing and reconstructing diffusion MRI data.,FALSE
abcd_41448140,"Stimulant medications affect arousal and reward, not attention networks.",NA,2025,"Stimulant medications affect arousal and reward, not attention networks.",FALSE
abcd_patterns_of_brain_wide_associations_reflect_socioeconomics,Patterns of brain-wide associations reflect socioeconomics,NA,2026,Patterns of brain-wide associations reflect socioeconomics,FALSE
abcd_41022827,Motion impact score for detecting spurious brain-behavior associations.,NA,2025,Motion impact score for detecting spurious brain-behavior associations.,FALSE
abcd_38663994,Genetics impact risk of Alzheimer's disease through mechanisms modulating structural brain morphology in late life.,NA,2024,Genetics impact risk of Alzheimer's disease through mechanisms modulating structural brain morphology in late life.,FALSE
abcd_40913110,Impulsivity and neuroticism share distinct functional connectivity signatures with alcohol-use risk in youth.,NA,2025,Impulsivity and neuroticism share distinct functional connectivity signatures with alcohol-use risk in youth.,FALSE
abcd_cortical_thinning_and_hippocampal_expansion_as_brain_signatures_of_attention_def,Cortical thinning and hippocampal expansion as brain signatures of attention deficit hyperactivity disorder symptom trajectories,NA,2026,Cortical thinning and hippocampal expansion as brain signatures of attention deficit hyperactivity disorder symptom trajectories,FALSE
abcd_41637939,What we have learned about adolescent mental health and where we are going after a decade with the Adolescent Brain Cognitive Development Study.,NA,2026,What we have learned about adolescent mental health and where we are going after a decade with the Adolescent Brain Cognitive Development Study.,FALSE
abcd_38632388,Multi-ancestry meta-analysis of tobacco use disorder identifies 461 potential risk genes and reveals associations with multiple health outcomes.,NA,2024,Multi-ancestry meta-analysis of tobacco use disorder identifies 461 potential risk genes and reveals associations with multiple health outcomes.,FALSE
abcd_39020167,Psilocybin desynchronizes the human brain.,NA,2024,Psilocybin desynchronizes the human brain.,FALSE
abcd_29567376,The Adolescent Brain Cognitive Development (ABCD) study: Imaging acquisition across 21 sites.,NA,2018,The Adolescent Brain Cognitive Development (ABCD) study: Imaging acquisition across 21 sites.,FALSE
abcd_38182882,The genetic architecture of the human hypothalamus and its involvement in neuropsychiatric behaviours and disorders.,NA,2024,The genetic architecture of the human hypothalamus and its involvement in neuropsychiatric behaviours and disorders.,FALSE
abcd_39232159,Frontostriatal salience network expansion in individuals in depression.,NA,2024,Frontostriatal salience network expansion in individuals in depression.,FALSE
abcd_37787573,Identifying canonical and replicable multi-scale intrinsic connectivity networks in 100k+ resting-state fMRI datasets.,NA,2023,Identifying canonical and replicable multi-scale intrinsic connectivity networks in 100k+ resting-state fMRI datasets.,FALSE
abcd_38532024,A precision functional atlas of personalized network topography and probabilities.,NA,2024,A precision functional atlas of personalized network topography and probabilities.,FALSE
abcd_39893243,Cognitive predictors of mental health trajectories are mediated by inferior frontal and occipital development during adolescence.,NA,2025,Cognitive predictors of mental health trajectories are mediated by inferior frontal and occipital development during adolescence.,FALSE
