paper_id,pmid,title,authors,pub_year,published,journal,doi,external_url,source_page
abcd_lower_resting_state_functional_connectivity_between_frontoparietal_and_sensory_n,,Lower resting-state functional connectivity between frontoparietal and sensory networks is associated with recent pain intensity in a community sample of youth,Bango CI; Jones SA; Morales AM; Shao S; Del Rubin DY; Lopez Flores A; Holley AL; Nagel BJ; & Wilson AC,2026,2026/09/01,NeuroImage: Reports,,https://www.sciencedirect.com/science/article/pii/S2666956026000498,1
abcd_42264553,42264553,How to Think About the Relationship Between Concussion and Pubertal Hormone Levels.,Hergenroeder AC,2026,2026/07/01,The Journal of adolescent health : official publication of the Society for Adolescent Medicine,10.1016/j.jadohealth.2026.03.011,,1
abcd_42108757,42108757,Assessing the Psychometric Properties of the Child Behaviour Checklist in the ABCD Study.,Pavlovich K; Constable T; Fornito A; Tiego J,2026,2026/07/01,Developmental science,10.1111/desc.70216,,1
abcd_42324379,42324379,Chiari malformation type 1 is associated with a smaller fourth ventricle volume - a multi-cohort replication study.,Roland JL; Meehan T; Gabliani A; Marek S; Dosenbach N; Shimony JS; Jakati N; Li Y; Sugrue L; Strahle JM; Lu C; Limbrick DD; Haller G,2026,2026/06/21,Scientific reports,10.1038/s41598-026-56778-x,,1
abcd_42319170,42319170,Adolescent Cannabis Expectancies Are Associated With Parental Drug Use History Via Negative Urgency.,Azarmehr R; Geier C; Oshri A,2026,2026/06/19,Journal of studies on alcohol and drugs,10.15288/jsad.26-00026,,1
abcd_42318648,42318648,Trajectories of distressing psychotic-like experience in youth: the interplay of recent negative life events and screen time.,Gupta T; Deam M; Headley E; Seah THS; Silk J; Griffith JM; Vargas T; Messineo S; Horton L,2026,2026/06/19,Development and psychopathology,10.1017/S0954579426101588,,1
abcd_42315684,42315684,Developmental coupling between obsessive-compulsive symptoms and psychotic-like experiences in youth: a four-wave longitudinal study.,Zhang W; Hu N; Liu Y; Zhou X; Leng X; Liang L; Fan X; Bian T; Li Z; Xu H; Yang Z; Li Y,2026,2026/06/18,Scientific reports,10.1038/s41598-026-57877-5,,1
abcd_42297780,42297780,Dynamic relationship and pleiotropic loci of attention deficit hyperactivity disorder with sleep traits.,Zu Y; Pang T; Luo L; Liufu C; Xu Z; Lv L; Li W; Chang S,2026,2026/06/15,Translational psychiatry,10.1038/s41398-026-04166-4,,1
abcd_childhood_exposure_to_violence_as_a_risk_factor_for_polydrug_use_examining_dual_,,Childhood Exposure to Violence as a Risk Factor for Polydrug Use: Examining Dual Systems Imbalance and Major Depressive Disorder as Mediating Mechanisms,Wojciechowski T,2026,2026/06/15,Criminal Justice Review,,https://journals.sagepub.com/doi/abs/10.1177/07340168261459626,1
abcd_42295243,42295243,Problematic phone use and depression among early adolescents across time: The role of family factors.,Brincks AM; Perrino T,2026,2026/06/15,Journal of family psychology : JFP : journal of the Division of Family Psychology of the American Psychological Association (Division 43),10.1037/fam0001492,,1
abcd_42286121,42286121,Associations between screen time and dietary intake among early adolescents: a prospective cohort study.,Nagata JM; Wong JH; Helmer CK; Mehta AS; Gooding HC; Ganson KT; Testa A; Baker FC; Laraia BA,2026,2026/06/12,Pediatric research,10.1038/s41390-026-05156-4,,1
abcd_42286090,42286090,ADHD medications and preadolescent brain structure: patterns of cortical attenuation from the ABCD study.,Overholtzer LN; Bottenhorn KL; Karalunas SL; Peterson BS; Herting MM,2026,2026/06/12,Scientific reports,10.1038/s41598-026-52107-4,,1
abcd_patterns_of_brain_wide_associations_reflect_socioeconomics,,Patterns of brain-wide associations reflect socioeconomics,Marek S; Donohue MR; Karcher NR; Hoyniak C; Chauvin RJ; Meyer AC; Miller J; Van AN; Wang A; Baden NJ; Suljic V; Scheidter KM; Monk J; Whiting FI; Ramirez-Perez NJ; Krimmel SR; Metoki A; Paul SE; Gorelik AJ; Hendrickson TJ; Malone SM; Schwarzlose RF; Cardenas-Iniguez C; Herting MM; Petersen SE; Luby J; Randolph AC; Shanahan MJ; Turkheimer E; Kay BP; Gordon EM; Laumann TO; Barch DM; Fair DA; Tervo-Clemmens B; Dosenbach NUF,2026,2026/06/11,Science,,https://www.science.org/doi/10.1126/science.aee6213,1
abcd_a_prognostic_human_brain_network_for_diffuse_midline_glioma,,A prognostic human brain network for diffuse midline glioma,Sidpra J; Lind V; Cohen AL; Schaper FLWVJ; Stone TJ; Grabovska Y; Biswas A; Sudhakar S; Sepulveda F; Peres BS; Veronese G; Alemán-Charlet C; Ogunbiyi O; Shamardani K; Zhao J; Castro Palacin A; Miller G; Opipari RS; De Vita E; Ridout D; Ferraciolli SF; Lucato LT; Avsenik J; Piccirilli E; Morales-La Madrid A; Muchart J; Ryan ME; Patel R; Haldipur P; Hill CS; Krüger MT; Zrinzo L; Owase Jeelani NU; Martinez-Barbera JP; Donson AM; Dorris K; Morgan PS; Mackay A; Venkatesh HS; Horn A; Mueller S; Green AL; Mirsky DM; Akram H; Jones C; Aquilina K; Mankad K; Monje M; Jacques TS; Fox MD; & Hargrave DR,2026,2026/06/10,Nature,,https://www.nature.com/articles/s41586-026-10631-3,1
abcd_42265596,42265596,Social Media Use Trajectories and Substance Use Experimentation: A Prospective Cohort Study.,Nagata JM; Wong JH; Benabou SE; Li EJ; Ganson KT; Testa A; Santos GM; Brindis CD; Baker FC,2026,2026/06/10,The American journal of psychiatry,10.1176/appi.ajp.20251292,,1
abcd_42268580,42268580,Prospective Associations Between Media Parenting Practices and Early Adolescent Screen Use: Findings From the Adolescent Brain Cognitive Development Study.,Nagata JM; Sportsman D; Kim KE; Huang OH; Helmer CK; Li EJ; Ganson KT; Testa A; Baker FC,2026,2026/06/10,"Acta paediatrica (Oslo, Norway : 1992)",10.1111/apa.70609,,1
abcd_42258187,42258187,Smartphone Acquisition and Use at Age 13 Years and Health Outcomes at Age 14 Years.,Bren Z; Tran KT; Visoki E; Waasdorp TE; Moore TM; Pimentel SD; Barzilay R,2026,2026/06/08,JAMA pediatrics,10.1001/jamapediatrics.2026.2118,,1
abcd_42260114,42260114,White matter and impulsivity are prospectively associated with non‑suicidal self‑injury in youth: evidence for sex differences.,Westlund Schreiner M; Manuele SJ; Washburn JJ; Shankman S; Cullen KR; Wang L; Jenkins LM,2026,2026/06/08,Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,10.1038/s41386-026-02458-3,,1
abcd_42257321,42257321,Somatic and gastrointestinal symptoms longitudinally predict early adolescent disordered eating.,Hamilton AL; Deyo AG; Kidwell KM,2026,2026/06/08,Journal of pediatric gastroenterology and nutrition,10.1002/jpn3.70474,,1
abcd_youth_social_functioning_and_externalizing_psychopathology_in_relation_to_attent,,Youth Social Functioning and Externalizing Psychopathology in Relation to Attention Deficit Hyperactivity Disorder: A Network Analysis,Leman TY & Nikolas MA,2026,2026/06/06,Journal of Psychopathology and Behavioral Assessment,,https://link.springer.com/article/10.1007/s10862-026-10299-z,1
abcd_42248835,42248835,"Neighborhood opportunity, white matter, and cognition in a large pediatric neuroimaging study.",Yildiz-Ozhan N; Ku BS; Zekelman LR; Zurrin R; Zhang F; O'Donnell LJ; Rathi Y; Seitz-Holland J; Cetin-Karayumak S,2026,2026/06/05,Translational psychiatry,10.1038/s41398-026-04143-x,,1
abcd_42250834,42250834,Neural Trajectories of Gaming Disorder Accounting for Psychopathology: Insights from the Longitudinal ABCD Study.,Falcione K; Malik M; Wheeler B; Weber R,2026,2026/06/05,NeuroImage,10.1016/j.neuroimage.2026.122036,,1
abcd_42269336,42269336,ABCD-ReproNim: An educational program for responsible and reproducible analyses of ABCD data.,Laird AR; Bartley JE; Peraza JA; Poline JB; Ghosh SS; Kennedy DN,2026,2026/06/05,Developmental cognitive neuroscience,10.1016/j.dcn.2026.101755,,1
abcd_42237935,42237935,Adverse Childhood Experiences and Substance Use: The Mediating Role of Executive Function Deficits.,Yousefkhani MP; Wang X; Vasilenko SA,2026,2026/06/04,Journal of adolescence,10.1002/jad.70192,,1
abcd_42243081,42243081,The sex-specific role of adrenal androgens in youth psychopathology.,Weisner FE; Serio B; Valk S; Bläschke L; Degenhardt F; Hinney A; Hirtz R; Dinkelbach L,2026,2026/06/04,Translational psychiatry,10.1038/s41398-026-04121-3,,1
abcd_42241225,42241225,Evaluation of epistasis detection methods for quantitative phenotypes.,Listopad S; Renjith G; Peng Q,2026,2026/06/04,"Bioinformatics (Oxford, England)",10.1093/bioinformatics/btag344,,1
abcd_42230964,42230964,Reduced BCL2 level in astrocytes contributes to blood-brain barrier disruption in the striatum of offspring exposed to maternal preeclampsia.,Zhang J; Zhang M; Zhao Z; Xie M; Wei M; Liu S; Wu Y; Tao S; Lv Q; Ma X; Huang Y; Li M; Zou M; Wang Q,2026,2026/06/02,Molecular psychiatry,10.1038/s41380-026-03669-2,,1
abcd_42226471,42226471,Subjective Sleep Timing and Social Jet Lag Relate to Neural Activation During Reward Feedback in Adolescence.,Parker AJ; Wiggins JL; Bhutani S,2026,2026/06/01,Journal of sleep research,10.1111/jsr.70355,,1
abcd_42233371,42233371,Cardiometabolic Risk and Structural Brain Development in a Large Community-Based US Cohort.,Beck D; Westlye LT; Tamnes CK,2026,2026/06/01,Human brain mapping,10.1002/hbm.70575,,1
abcd_42264878,42264878,The Association Between Family Conflict and Child Impulsivity: Child Sleep Problems as a Mechanism.,Yan JJ; Butler KJ; Curtis S; Peterson ZB,2026,2026/06/01,Family process,10.1111/famp.70170,,1
abcd_42322025,42322025,"Mental health trajectory groups: Family income, neighborhood disadvantage, and role of the school environment.",Lee WJ; Kwon A; Lee JO; Kraemer DJM; Berhane K; Polikoff MS; Herting MM; Sowell ER; Hackman DA,2026,2026/06/01,Journal of research on adolescence : the official journal of the Society for Research on Adolescence,10.1111/jora.70213,,1
abcd_alterations_in_resting_state_functional_connectivity_relate_to_psychopathology_t,,Alterations in resting-state functional connectivity relate to psychopathology trajectories during emerging adolescence,Jones Devine J; Hosterman GR; Sloss J; & Romer AL,2026,2026/05/30,JCPP Advances,,https://acamh.onlinelibrary.wiley.com/doi/full/10.1002/jcv2.70135,1
abcd_42229317,42229317,"Demographics change the relationships between socioeconomic status, white matter network organization, and cognition in children.",Kropf J; Zapparoli B; Tseng J; Finn AS; Wheeler AL; Dlamini N; Mabbott DJ,2026,2026/05/29,Developmental cognitive neuroscience,10.1016/j.dcn.2026.101751,,1
