author_id,n_papers,paper_share
Saykin AJ,145,0.02719429857464366
Weiner MW,142,0.02663165791447862
Wang Y,134,0.025131282820705175
Thompson PM,121,0.02269317329332333
Wang L,114,0.021380345086271568
Zhang Y,97,0.018192048012003
Jack CR,93,0.01744186046511628
Nho K,91,0.017066766691672917
Li Y,90,0.01687921980495124
Shen L,85,0.015941485371342837
Shen D,83,0.015566391597899475
Liu Y,82,0.015378844711177795
Shaw LM,82,0.015378844711177795
Zhang J,81,0.015191297824456114
Tan L,79,0.014816204051012753
Aisen PS,78,0.014628657164291074
Risacher SL,78,0.014628657164291074
Jagust WJ,77,0.014441110277569393
Kim S,76,0.014253563390847712
Zetterberg H,75,0.014066016504126031
Zhang X,75,0.014066016504126031
Wang X,74,0.01387846961740435
Toga AW,73,0.01369092273068267
Chen K,69,0.012940735183795949
Petersen RC,69,0.012940735183795949
Blennow K,66,0.012378094523630907
Landau SM,64,0.012003000750187547
Chen Y,62,0.011627906976744186
Wang Z,61,0.011440360090022505
Li J,60,0.011252813203300824
Yu JT,59,0.011065266316579146
Lee JH,57,0.010690172543135784
Trojanowski JQ,57,0.010690172543135784
Wang J,56,0.010502625656414103
Wang S,54,0.010127531882970742
Cruchaga C,53,0.009939984996249063
Li X,53,0.009939984996249063
Wang H,53,0.009939984996249063
Apostolova LG,52,0.009752438109527382
Liu X,52,0.009752438109527382
Li H,51,0.009564891222805702
Sperling RA,51,0.009564891222805702
Wolk DA,51,0.009564891222805702
Morris JC,50,0.009377344336084021
Zhang Z,50,0.009377344336084021
Lee S,49,0.00918979744936234
Wang M,49,0.00918979744936234
Liu J,47,0.008814703675918979
Yang Y,47,0.008814703675918979
Zhang D,47,0.008814703675918979
Alzheimers Dis Neuroimaging I,45,0.00843960990247562
Reiman EM,45,0.00843960990247562
Tosun D,45,0.00843960990247562
Barkhof F,44,0.008252063015753939
Frisoni GB,44,0.008252063015753939
s. D. N. Initiative A,44,0.008252063015753939
Dale AM,43,0.008064516129032258
Donohue M,43,0.008064516129032258
Hansson O,43,0.008064516129032258
Liu M,43,0.008064516129032258
Zhang Q,43,0.008064516129032258
Bennett DA,42,0.007876969242310577
Dong Q,42,0.007876969242310577
Harvey D,42,0.007876969242310577
Zhang H,42,0.007876969242310577
Yang Z,41,0.007689422355588897
Zhang M,41,0.007689422355588897
Fox NC,40,0.007501875468867217
Johnson KA,40,0.007501875468867217
Kim HJ,40,0.007501875468867217
Kim J,40,0.007501875468867217
Zhang L,40,0.007501875468867217
Zhu H,40,0.007501875468867217
Alzheimer's Disease Neuroimaging I,39,0.007314328582145537
Bondi MW,39,0.007314328582145537
Jiang J,39,0.007314328582145537
Liu Z,39,0.007314328582145537
Brewer JB,38,0.007126781695423856
Chen X,38,0.007126781695423856
Hohman TJ,38,0.007126781695423856
Insel PS,38,0.007126781695423856
Xu W,38,0.007126781695423856
Davatzikos C,37,0.006939234808702175
Luo X,37,0.006939234808702175
Thomas KR,37,0.006939234808702175
Wang Q,37,0.006939234808702175
Westman E,37,0.006939234808702175
Chen S,36,0.006751687921980495
Knopman DS,36,0.006751687921980495
Ma YH,36,0.006751687921980495
Beckett L,35,0.006564141035258815
Black SE,35,0.006564141035258815
Ewers M,35,0.006564141035258815
Li K,35,0.006564141035258815
McEvoy LK,35,0.006564141035258815
Shen XN,35,0.006564141035258815
Xu X,35,0.006564141035258815
Zhou Y,35,0.006564141035258815
Johnson SC,34,0.006376594148537134
Li W,34,0.006376594148537134
Scheltens P,34,0.006376594148537134
Wang T,34,0.006376594148537134
Wu Y,34,0.006376594148537134
Bangen KJ,33,0.0061890472618154535
Song X,33,0.0061890472618154535
Vemuri P,33,0.0061890472618154535
van der Flier WM,33,0.0061890472618154535
Crane PK,32,0.006001500375093774
Farlow MR,32,0.006001500375093774
Marshall GA,32,0.006001500375093774
Chen J,31,0.005813953488372093
Edmonds EC,31,0.005813953488372093
Koeppe RA,31,0.005813953488372093
Zhao Y,31,0.005813953488372093
Franzmeier N,30,0.005626406601650412
Huang YY,30,0.005626406601650412
Rosa-Neto P,30,0.005626406601650412
Chen C,29,0.005438859714928732
Liu H,29,0.005438859714928732
Ourselin S,29,0.005438859714928732
Visser PJ,29,0.005438859714928732
Weigand AJ,29,0.005438859714928732
Wu G,29,0.005438859714928732
Carmichael O,28,0.005251312828207052
Collins DL,28,0.005251312828207052
Gunter JL,28,0.005251312828207052
Guo Y,28,0.005251312828207052
Holland D,28,0.005251312828207052
Jahanshad N,28,0.005251312828207052
Teunissen CE,28,0.005251312828207052
Zhao L,28,0.005251312828207052
Zhu X,28,0.005251312828207052
Barnes J,27,0.005063765941485371
Bernstein MA,27,0.005063765941485371
DeCarli C,27,0.005063765941485371
Foroud TM,27,0.005063765941485371
Grothe MJ,27,0.005063765941485371
Hua X,27,0.005063765941485371
Li Q,27,0.005063765941485371
Lopez OL,27,0.005063765941485371
Mukherjee S,27,0.005063765941485371
Salloway S,27,0.005063765941485371
Schuff N,27,0.005063765941485371
Tan CC,27,0.005063765941485371
Wang C,27,0.005063765941485371
Zeng Q,27,0.005063765941485371
Albert M,26,0.004876219054763691
Arnold SE,26,0.004876219054763691
Chen H,26,0.004876219054763691
Doraiswamy PM,26,0.004876219054763691
Fleisher A,26,0.004876219054763691
Fletcher E,26,0.004876219054763691
Guo L,26,0.004876219054763691
Huang H,26,0.004876219054763691
Lu J,26,0.004876219054763691
Pascoal TA,26,0.004876219054763691
Senjem M,26,0.004876219054763691
Xu J,26,0.004876219054763691
Yang J,26,0.004876219054763691
Zhou X,26,0.004876219054763691
Duara R,25,0.0046886721680420105
Gao Y,25,0.0046886721680420105
Goate AM,25,0.0046886721680420105
Green RC,25,0.0046886721680420105
Han Y,25,0.0046886721680420105
Kantarci K,25,0.0046886721680420105
Li L,25,0.0046886721680420105
Mormino EC,25,0.0046886721680420105
Perneczky R,25,0.0046886721680420105
Schneider LS,25,0.0046886721680420105
Smith A,25,0.0046886721680420105
Teipel SJ,25,0.0046886721680420105
Wu J,25,0.0046886721680420105
Zhang S,25,0.0046886721680420105
Benedet AL,24,0.00450112528132033
Fischl B,24,0.00450112528132033
Hibar DP,24,0.00450112528132033
Kim Y,24,0.00450112528132033
Li Z,24,0.00450112528132033
Masters CL,24,0.00450112528132033
Miller BL,24,0.00450112528132033
Rosen HJ,24,0.00450112528132033
Therriault J,24,0.00450112528132033
Zhou J,24,0.00450112528132033
Ashton NJ,23,0.00431357839459865
Benzinger TLS,23,0.00431357839459865
Brendel M,23,0.00431357839459865
Dadar M,23,0.00431357839459865
Farrer LA,23,0.00431357839459865
Fu Y,23,0.00431357839459865
Gauthier S,23,0.00431357839459865
Graff-Radford NR,23,0.00431357839459865
Li M,23,0.00431357839459865
Lovestone S,23,0.00431357839459865
Ossenkoppele R,23,0.00431357839459865
Tijms BM,23,0.00431357839459865
Wang G,23,0.00431357839459865
Wu CK,23,0.00431357839459865
Xu Y,23,0.00431357839459865
Zhang W,23,0.00431357839459865
Ances B,22,0.004126031507876969
Borrie M,22,0.004126031507876969
Cairns NJ,22,0.004126031507876969
Galasko DR,22,0.004126031507876969
Guo T,22,0.004126031507876969
Huang L,22,0.004126031507876969
Liu B,22,0.004126031507876969
Liu C,22,0.004126031507876969
Liu W,22,0.004126031507876969
Nosheny RL,22,0.004126031507876969
Stern Y,22,0.004126031507876969
Tsolaki M,22,0.004126031507876969
Wang B,22,0.004126031507876969
Burns JM,21,0.003938484621155289
Chen L,21,0.003938484621155289
Delano-Wood L,21,0.003938484621155289
Duchesne S,21,0.003938484621155289
Fennema-Notestine C,21,0.003938484621155289
Gifford KA,21,0.003938484621155289
Huang P,21,0.003938484621155289
Killiany R,21,0.003938484621155289
Li S,21,0.003938484621155289
Li T,21,0.003938484621155289
Liu L,21,0.003938484621155289
Lu PH,21,0.003938484621155289
Mathis C,21,0.003938484621155289
Mattsson N,21,0.003938484621155289
Mez J,21,0.003938484621155289
Petrella JR,21,0.003938484621155289
Resnick SM,21,0.003938484621155289
Swerdlow RH,21,0.003938484621155289
Yang HS,21,0.003938484621155289
Zhang C,21,0.003938484621155289
Zhang T,21,0.003938484621155289
Zhu Y,21,0.003938484621155289
Banks SJ,20,0.0037509377344336083
Carrillo M,20,0.0037509377344336083
Choi SE,20,0.0037509377344336083
Colliot O,20,0.0037509377344336083
Feldman H,20,0.0037509377344336083
Fjell AM,20,0.0037509377344336083
Hu B,20,0.0037509377344336083
Kaddurah-Daouk R,20,0.0037509377344336083
Korecka M,20,0.0037509377344336083
Levey AI,20,0.0037509377344336083
Levin J,20,0.0037509377344336083
Liu S,20,0.0037509377344336083
M. W. Weiner IASDN,20,0.0037509377344336083
Maruff P,20,0.0037509377344336083
Mintun MA,20,0.0037509377344336083
Palmqvist S,20,0.0037509377344336083
Pan W,20,0.0037509377344336083
Potkin SG,20,0.0037509377344336083
Potter W,20,0.0037509377344336083
Ramirez J,20,0.0037509377344336083
Rentz DM,20,0.0037509377344336083
Smith EE,20,0.0037509377344336083
Stomrud E,20,0.0037509377344336083
Toledo JB,20,0.0037509377344336083
Villeneuve S,20,0.0037509377344336083
Wu X,20,0.0037509377344336083
Zuo CT,20,0.0037509377344336083
van Dyck CH,20,0.0037509377344336083
Bartha R,19,0.003563390847711928
Buckley RF,19,0.003563390847711928
Fan Y,19,0.003563390847711928
Jefferson AL,19,0.003563390847711928
Jones D,19,0.003563390847711928
Kim BC,19,0.003563390847711928
Lah JJ,19,0.003563390847711928
Lei B,19,0.003563390847711928
Lin H,19,0.003563390847711928
Maillard P,19,0.003563390847711928
Ott BR,19,0.003563390847711928
Rueckert D,19,0.003563390847711928
S. L. Risacher IASDN,19,0.003563390847711928
Schott JM,19,0.003563390847711928
Schwarz CG,19,0.003563390847711928
Su Y,19,0.003563390847711928
Suk HI,19,0.003563390847711928
Taylor JL,19,0.003563390847711928
Villemagne VL,19,0.003563390847711928
Wang D,19,0.003563390847711928
Xie L,19,0.003563390847711928
Zhou L,19,0.003563390847711928
Zhou W,19,0.003563390847711928
Bertram L,18,0.0033758439609902473
Chertkow H,18,0.0033758439609902473
Clark D,18,0.0033758439609902473
Doody RS,18,0.0033758439609902473
Edwards L,18,0.0033758439609902473
Han X,18,0.0033758439609902473
Jicha G,18,0.0033758439609902473
Karikari TK,18,0.0033758439609902473
La Joie R,18,0.0033758439609902473
Lee TY,18,0.0033758439609902473
Li G,18,0.0033758439609902473
Liu F,18,0.0033758439609902473
Lord JL,18,0.0033758439609902473
Luo Y,18,0.0033758439609902473
M. L. Werhane KRT,18,0.0033758439609902473
Porsteinsson AP,18,0.0033758439609902473
Raman R,18,0.0033758439609902473
Schellenberg GD,18,0.0033758439609902473
Schneider JA,18,0.0033758439609902473
Sun L,18,0.0033758439609902473
Sun Y,18,0.0033758439609902473
Tanveer M,18,0.0033758439609902473
Tremont G,18,0.0033758439609902473
Walhovd KB,18,0.0033758439609902473
Weigand SD,18,0.0033758439609902473
Womack K,18,0.0033758439609902473
Yu H,18,0.0033758439609902473
Yu X,18,0.0033758439609902473
Alexander DC,17,0.003188297074268567
Arfanakis K,17,0.003188297074268567
Asthana S,17,0.003188297074268567
Bateman RJ,17,0.003188297074268567
Bernick C,17,0.003188297074268567
Borowski B,17,0.003188297074268567
Bourgeat P,17,0.003188297074268567
Cai Y,17,0.003188297074268567
Caselli RJ,17,0.003188297074268567
Chen D,17,0.003188297074268567
Chen W,17,0.003188297074268567
Clark CM,17,0.003188297074268567
Crawford K,17,0.003188297074268567
Dickerson BC,17,0.003188297074268567
Du L,17,0.003188297074268567
Faber K,17,0.003188297074268567
Ferreira D,17,0.003188297074268567
Fripp J,17,0.003188297074268567
Han J,17,0.003188297074268567
Honig LS,17,0.003188297074268567
J. S. Leoutsakos MSA,17,0.003188297074268567
