period,period_start,period_end,metric,value,top_x,period_type
2008,2008,2008,n_papers,11,NA,annual
2008,2008,2008,n_authors,57,NA,annual
2008,2008,2008,hhi,0.7520661157024779,NA,annual
2008,2008,2008,top_x_share,0.45454545454545453,1,annual
2008,2008,2008,top_x_share,0.7272727272727273,3,annual
2008,2008,2008,top_x_share,0.7272727272727273,5,annual
2008,2008,2008,top_x_share,1,10,annual
2009,2009,2009,n_papers,50,NA,annual
2009,2009,2009,n_authors,236,NA,annual
2009,2009,2009,hhi,0.23280000000000214,NA,annual
2009,2009,2009,top_x_share,0.14,1,annual
2009,2009,2009,top_x_share,0.24,3,annual
2009,2009,2009,top_x_share,0.46,5,annual
2009,2009,2009,top_x_share,0.46,10,annual
2010,2010,2010,n_papers,98,NA,annual
2010,2010,2010,n_authors,339,NA,annual
2010,2010,2010,hhi,0.17628071636818002,NA,annual
2010,2010,2010,top_x_share,0.12244897959183673,1,annual
2010,2010,2010,top_x_share,0.2857142857142857,3,annual
2010,2010,2010,top_x_share,0.2857142857142857,5,annual
2010,2010,2010,top_x_share,0.336734693877551,10,annual
2011,2011,2011,n_papers,114,NA,annual
2011,2011,2011,n_authors,488,NA,annual
2011,2011,2011,hhi,0.09218220991074126,NA,annual
2011,2011,2011,top_x_share,0.07017543859649122,1,annual
2011,2011,2011,top_x_share,0.2807017543859649,3,annual
2011,2011,2011,top_x_share,0.2807017543859649,5,annual
2011,2011,2011,top_x_share,0.34210526315789475,10,annual
2012,2012,2012,n_papers,153,NA,annual
2012,2012,2012,n_authors,545,NA,annual
2012,2012,2012,hhi,0.08663334614891648,NA,annual
2012,2012,2012,top_x_share,0.058823529411764705,1,annual
2012,2012,2012,top_x_share,0.2679738562091503,3,annual
2012,2012,2012,top_x_share,0.2679738562091503,5,annual
2012,2012,2012,top_x_share,0.2679738562091503,10,annual
2013,2013,2013,n_papers,206,NA,annual
2013,2013,2013,n_authors,778,NA,annual
2013,2013,2013,hhi,0.08103968328777184,NA,annual
2013,2013,2013,top_x_share,0.0825242718446602,1,annual
2013,2013,2013,top_x_share,0.12135922330097088,3,annual
2013,2013,2013,top_x_share,0.21844660194174756,5,annual
2013,2013,2013,top_x_share,0.2912621359223301,10,annual
2014,2014,2014,n_papers,273,NA,annual
2014,2014,2014,n_authors,1140,NA,annual
2014,2014,2014,hhi,0.053361778636506665,NA,annual
2014,2014,2014,top_x_share,0.0695970695970696,1,annual
2014,2014,2014,top_x_share,0.17216117216117216,3,annual
2014,2014,2014,top_x_share,0.19047619047619047,5,annual
2014,2014,2014,top_x_share,0.31135531135531136,10,annual
2015,2015,2015,n_papers,324,NA,annual
2015,2015,2015,n_authors,1084,NA,annual
2015,2015,2015,hhi,0.032636031092821274,NA,annual
2015,2015,2015,top_x_share,0.043209876543209874,1,annual
2015,2015,2015,top_x_share,0.07407407407407407,3,annual
2015,2015,2015,top_x_share,0.11419753086419752,5,annual
2015,2015,2015,top_x_share,0.2006172839506173,10,annual
2016,2016,2016,n_papers,169,NA,annual
2016,2016,2016,n_authors,353,NA,annual
2016,2016,2016,hhi,0.06904520149854798,NA,annual
2016,2016,2016,top_x_share,0.05325443786982249,1,annual
2016,2016,2016,top_x_share,0.1834319526627219,3,annual
2016,2016,2016,top_x_share,0.1834319526627219,5,annual
2016,2016,2016,top_x_share,0.3254437869822485,10,annual
2017,2017,2017,n_papers,157,NA,annual
2017,2017,2017,n_authors,333,NA,annual
2017,2017,2017,hhi,0.09184956793378954,NA,annual
2017,2017,2017,top_x_share,0.07006369426751592,1,annual
2017,2017,2017,top_x_share,0.19745222929936307,3,annual
2017,2017,2017,top_x_share,0.2611464968152866,5,annual
2017,2017,2017,top_x_share,0.3885350318471338,10,annual
2018,2018,2018,n_papers,112,NA,annual
2018,2018,2018,n_authors,484,NA,annual
2018,2018,2018,hhi,0.05341198979591901,NA,annual
2018,2018,2018,top_x_share,0.03571428571428571,1,annual
2018,2018,2018,top_x_share,0.11607142857142858,3,annual
2018,2018,2018,top_x_share,0.5535714285714286,5,annual
2018,2018,2018,top_x_share,0.5535714285714286,10,annual
2019,2019,2019,n_papers,309,NA,annual
2019,2019,2019,n_authors,2117,NA,annual
2019,2019,2019,hhi,0.39385846398762786,NA,annual
2019,2019,2019,top_x_share,0.06472491909385113,1,annual
2019,2019,2019,top_x_share,0.10032362459546926,3,annual
2019,2019,2019,top_x_share,0.10679611650485436,5,annual
2019,2019,2019,top_x_share,0.1553398058252427,10,annual
2020,2020,2020,n_papers,524,NA,annual
2020,2020,2020,n_authors,2961,NA,annual
2020,2020,2020,hhi,0.04898825826000453,NA,annual
2020,2020,2020,top_x_share,0.04580152671755725,1,annual
2020,2020,2020,top_x_share,0.09732824427480916,3,annual
2020,2020,2020,top_x_share,0.09923664122137404,5,annual
2020,2020,2020,top_x_share,0.15839694656488548,10,annual
2021,2021,2021,n_papers,617,NA,annual
2021,2021,2021,n_authors,2828,NA,annual
2021,2021,2021,hhi,0.03579562319899288,NA,annual
2021,2021,2021,top_x_share,0.02593192868719611,1,annual
2021,2021,2021,top_x_share,0.08914100486223663,3,annual
2021,2021,2021,top_x_share,0.10696920583468396,5,annual
2021,2021,2021,top_x_share,0.1685575364667747,10,annual
2022,2022,2022,n_papers,501,NA,annual
2022,2022,2022,n_authors,2467,NA,annual
2022,2022,2022,hhi,0.040199043031695254,NA,annual
2022,2022,2022,top_x_share,0.06786427145708583,1,annual
2022,2022,2022,top_x_share,0.09181636726546906,3,annual
2022,2022,2022,top_x_share,0.18363273453093812,5,annual
2022,2022,2022,top_x_share,0.20758483033932135,10,annual
2023,2023,2023,n_papers,653,NA,annual
2023,2023,2023,n_authors,3529,NA,annual
2023,2023,2023,hhi,0.05184928085476388,NA,annual
2023,2023,2023,top_x_share,0.04747320061255743,1,annual
2023,2023,2023,top_x_share,0.1225114854517611,3,annual
2023,2023,2023,top_x_share,0.18989280245022971,5,annual
2023,2023,2023,top_x_share,0.2725880551301684,10,annual
2024,2024,2024,n_papers,732,NA,annual
2024,2024,2024,n_authors,3818,NA,annual
2024,2024,2024,hhi,0.038139389053123036,NA,annual
2024,2024,2024,top_x_share,0.03961748633879782,1,annual
2024,2024,2024,top_x_share,0.09972677595628415,3,annual
2024,2024,2024,top_x_share,0.16120218579234974,5,annual
