author_raw,n_papers,last_name,initials
Aisen PS,42,Aisen,PS
Aisen P,35,Aisen,P
Alzheimers Dis Neuroimaging I,25,Alzheimers,Dis Neuroimaging I
Alzheimers Dis N,10,Alzheimers,Dis N
Alzheimers Disease Neuroimaging I,5,Alzheimers,Disease Neuroimaging I
Ances B,15,Ances,B
Ances BM,7,Ances,BM
Apostolova LG,37,Apostolova,LG
Apostolova L,16,Apostolova,L
Arnold SE,25,Arnold,SE
Arnold M,15,Arnold,M
Arnold DL,5,Arnold,DL
Au R,12,Au,R
Au YH,6,Au,YH
Baker SL,10,Baker,SL
Baker S,5,Baker,S
Barnes J,27,Barnes,J
Barnes LL,11,Barnes,LL
Beckett L,25,Beckett,L
Beckett LA,10,Beckett,LA
Bernstein MA,14,Bernstein,MA
Bernstein M,13,Bernstein,M
Black SE,19,Black,SE
Black S,16,Black,S
Brewer J,19,Brewer,J
Brewer JB,19,Brewer,JB
Bush WS,12,Bush,WS
Bush AI,5,Bush,AI
Cai Y,17,Cai,Y
Cai H,8,Cai,H
Cai S,8,Cai,S
Cai J,6,Cai,J
Cao J,14,Cao,J
Cao P,11,Cao,P
Cao H,7,Cao,H
Cao XP,7,Cao,XP
Cao Y,6,Cao,Y
Cao Z,6,Cao,Z
Carmichael O,23,Carmichael,O
Carmichael OT,5,Carmichael,OT
Carrillo M,11,Carrillo,M
Carrillo MC,9,Carrillo,MC
Chen K,51,Chen,K
Chen Y,50,Chen,Y
Chen X,28,Chen,X
Chen H,23,Chen,H
Chen S,23,Chen,S
Chen J,21,Chen,J
Chen L,17,Chen,L
Chen D,14,Chen,D
Chen KW,14,Chen,KW
Chen C,13,Chen,C
Chen Z,13,Chen,Z
Chen W,12,Chen,W
Chen SD,11,Chen,SD
Chen G,9,Chen,G
Chen F,8,Chen,F
Chen CLP,6,Chen,CLP
Chen M,6,Chen,M
Chen P,6,Chen,P
Chen Q,6,Chen,Q
Chen R,6,Chen,R
Chen YH,5,Chen,YH
Cheng J,7,Cheng,J
Cheng B,5,Cheng,B
Chiang G,10,Chiang,G
Chiang GC,6,Chiang,GC
Choi SE,11,Choi,SE
Choi KY,10,Choi,KY
Choi H,8,Choi,H
Choi SM,5,Choi,SM
Clark D,15,Clark,D
Clark CM,14,Clark,CM
Clark AL,9,Clark,AL
Cui Y,9,Cui,Y
Cui J,8,Cui,J
Cui M,5,Cui,M
Cui W,5,Cui,W
Cui X,5,Cui,X
Cullen N,5,Cullen,N
Cullen NC,5,Cullen,NC
Dang M,8,Dang,M
Dang MM,7,Dang,MM
Das SR,15,Das,SR
Das S,7,Das,S
De Jager PL,15,De,Jager PL
De Deyn PP,6,De,Deyn PP
De Francesco S,5,De,Francesco S
De Santi S,5,De,Santi S
Ding Z,9,Ding,Z
Ding Y,7,Ding,Y
Ding J,5,Ding,J
Donohue M,23,Donohue,M
Donohue MC,20,Donohue,MC
Du L,17,Du,L
Du Y,11,Du,Y
Du M,7,Du,M
Du J,6,Du,J
Faber K,14,Faber,K
