author_raw,author_id,notes,merged_by,merged_date
A. Beiser MB,A. B. Zonderman NGM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
A. Bertrand SE,A. B. Zonderman NGM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
A. Beri EBD,A. B. Zonderman NGM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
A. B. Brill HEG,A. B. Zonderman NGM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
A. Charil PFC,A. C. Evans ASDNI,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
A. C. Nugent PN,A. C. Evans ASDNI,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
A. Chincarini FS,A. C. Evans ASDNI,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
A. C. Naj GWB,A. C. Evans ASDNI,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
A. C. Bozoki MZ,A. C. Evans ASDNI,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
A. Cerasa SN,A. C. Evans ASDNI,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
A. Chincarini GBF,A. C. Evans ASDNI,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
A. Dong JBT,A. D. Leow CRJ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
A. Den Braber NTD,A. D. Leow CRJ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
A. DeStefano AD,A. D. Leow CRJ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
A. Delker SDR,A. D. Leow CRJ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
A. David Smith SL,A. D. Leow CRJ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
A. E. Budson MBM,A. E. A. A. M. Nour MA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
A. Espinosa MA,A. E. A. A. M. Nour MA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
A. Fisher MR,A. F. Mendelson MAZ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
A. F. Marquand MM,A. F. Mendelson MAZ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
A. Fero WJJ,A. F. Mendelson MAZ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
A. Folarin SN,A. F. Mendelson MAZ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
A. Gross AJS,A. G. Uitterlinden MCVH,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
A. Hariharan AAV,A. H. Blanken SH,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
A. Hofman FH,A. H. Blanken SH,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
A. Hye SW,A. H. Blanken SH,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
A. Hutson SL,A. H. Blanken SH,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
A. Iyappan QJ,A. I. Levey JCT,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
A. J. Saykin LS,A. J. Schwarz IASDN,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
A. J S,A. J. Schwarz IASDN,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
A. J. Saykin IADN,A. J. Schwarz IASDN,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
A. J. Saykin LMS,A. J. Schwarz IASDN,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
A. J. Schork LS,A. J. Schwarz IASDN,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
A. J. Saykin RS,A. J. Schwarz IASDN,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
A. Johnson AM,A. J. Schwarz IASDN,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
A. J. Holmes JWS,A. J. Schwarz IASDN,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
A. J. Schwarz MWW,A. J. Schwarz IASDN,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
A. J. Saykin LGA,A. J. Schwarz IASDN,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
