pmid,title,abstract,pub_year,text,has_abstract
adni_1,Impaired parvalbumin interneurons in the retrosplenial cortex as the cause of sex-dependent vulnerability in Alzheimer's disease,NA,2025,Impaired parvalbumin interneurons in the retrosplenial cortex as the cause of sex-dependent vulnerability in Alzheimer's disease,FALSE
adni_2,Bridging the gap between structural and metabolic neuroimaging via MRI-to-PET synthesis: A tri-attention enhanced GAN approach,NA,2025,Bridging the gap between structural and metabolic neuroimaging via MRI-to-PET synthesis: A tri-attention enhanced GAN approach,FALSE
adni_3,Combination therapy targeting Alzheimer's disease risk factors is associated with a significant delay in Alzheimer's disease-related cognitive decline,NA,2025,Combination therapy targeting Alzheimer's disease risk factors is associated with a significant delay in Alzheimer's disease-related cognitive decline,FALSE
adni_4,Mutual-assistance learning for trustworthy biomarker discovery and disease prediction,NA,2025,Mutual-assistance learning for trustworthy biomarker discovery and disease prediction,FALSE
adni_5,Early prediction of Alzheimer's disease using artificial intelligence and cortical features on T1WI sequences,NA,2025,Early prediction of Alzheimer's disease using artificial intelligence and cortical features on T1WI sequences,FALSE
adni_6,Odense-Oxford PET Image Analysis (OPETIA): An FSL-based toolbox for multimodal neuroimaging,NA,2025,Odense-Oxford PET Image Analysis (OPETIA): An FSL-based toolbox for multimodal neuroimaging,FALSE
adni_7,Plasma p-tau217 predicting brain-wide tau accumulation in preclinical AD,NA,2025,Plasma p-tau217 predicting brain-wide tau accumulation in preclinical AD,FALSE
adni_8,Transfer Learning and Neural Network-Based Approach on Structural MRI Data for Prediction and Classification of Alzheimer's Disease,NA,2025,Transfer Learning and Neural Network-Based Approach on Structural MRI Data for Prediction and Classification of Alzheimer's Disease,FALSE
adni_9,Alzheimer's disease classification by supervised and intelligent techniques,NA,2025,Alzheimer's disease classification by supervised and intelligent techniques,FALSE
adni_10,Validating the Amyloid Cascade Through the Revised Criteria of Alzheimer's Association Workgroup 2024 for Alzheimer Disease,NA,2025,Validating the Amyloid Cascade Through the Revised Criteria of Alzheimer's Association Workgroup 2024 for Alzheimer Disease,FALSE
adni_12,A DAT1 gene and APOE ε4 interaction is associated with apathy and structural brain changes in mild cognitive impairment and Alzheimer's disease,NA,2025,A DAT1 gene and APOE ε4 interaction is associated with apathy and structural brain changes in mild cognitive impairment and Alzheimer's disease,FALSE
adni_13,Synaptic protein CSF levels relate to memory scores in indivPMCIDuals without dementia,NA,2025,Synaptic protein CSF levels relate to memory scores in indivPMCIDuals without dementia,FALSE
