pub_year,title,author_field,journal,paper_id
2025,Impaired parvalbumin interneurons in the retrosplenial cortex as the cause of sex-dependent vulnerability in Alzheimer's disease,D. J. Terstege; Y. Ren; B. Y. Ahn; H. Seo; K. Adigun; L. A. M. Galea; D. Sargin; J. R. Epp,Journal Sci Adv;,adni_1
2025,Bridging the gap between structural and metabolic neuroimaging via MRI-to-PET synthesis: A tri-attention enhanced GAN approach,J. Sheng; H. Zhu; R. Zhou; Q. Zhang; J. Wang; Z. Ying,Journal Brain Res;,adni_2
2025,Combination therapy targeting Alzheimer's disease risk factors is associated with a significant delay in Alzheimer's disease-related cognitive decline,Y. Shang; G. Torrandell-Haro; F. Vitali; R. D. Brinton,Journal Alzheimers Dement (N Y);,adni_3
2025,Mutual-assistance learning for trustworthy biomarker discovery and disease prediction,J. Zhang; Y. Yang; M. Shang; L. Guo; D. Zhang; L. Du,Journal Brief Bioinform;,adni_4
2025,Early prediction of Alzheimer's disease using artificial intelligence and cortical features on T1WI sequences,R. Zeng; B. Yang; F. Wu; H. Liu; X. Wu; L. Tang; R. Song; Q. Zheng; X. Wang; D. Guo,Journal Front Neurol;,adni_5
2025,Odense-Oxford PET Image Analysis (OPETIA): An FSL-based toolbox for multimodal neuroimaging,M. Parsayan; S. Andalib; T. L. Andersen; H. Ganjgahi; P. F. Høilund-Carlsen; A. Alavi; M. Zarei,Journal Neuroimage;,adni_6
2025,Plasma p-tau217 predicting brain-wide tau accumulation in preclinical AD,H. Moon; X. Chen; I. Alzheimers Disease Neuroimaging,Journal The journal of prevention of Alzheimer's disease;,adni_7
2025,Transfer Learning and Neural Network-Based Approach on Structural MRI Data for Prediction and Classification of Alzheimer's Disease,F. Momeni; D. Shahbazi-Gahrouei; T. Mahmoudi; A. Mehdizadeh,Journal Diagnostics (Basel);,adni_8
2025,Alzheimer's disease classification by supervised and intelligent techniques,J. Mohamed Amine; M. Mourad,Journal J Alzheimers Dis Rep;,adni_9
2025,Validating the Amyloid Cascade Through the Revised Criteria of Alzheimer's Association Workgroup 2024 for Alzheimer Disease,A. J. Mendes; F. Ribaldi; M. Pievani; C. Boccalini; V. Garibotto; G. B. Frisoni,Journal Neurology;,adni_10
2025,A DAT1 gene and APOE ε4 interaction is associated with apathy and structural brain changes in mild cognitive impairment and Alzheimer's disease,R. Malik; D. Beaton; J. Ahmed; K. Nho; A. J. Saykin; J. Wang; R. A. Hegele; E. Finger; A. s. D. N. Initiative,Journal Journal of Alzheimer’s Disease;,adni_12
2025,Synaptic protein CSF levels relate to memory scores in indivPMCIDuals without dementia,K. E. J. Wesenhagen; D. M. de Leeuw; J. Tomassen; J. Gobom; I. Bos; S. J. B. Vos; P. Martinez-Lage; M. Tainta; J. Popp; G. Peyratout; M. Tsolaki; R. Vandenberghe; Y. Freund-Levi; F. Verhey; S. Lovestone; J. Streffer; V. Dobricic; K. Blennow; P. Scheltens; A. B. Smit; L. Bertram; C. E. Teunissen; H. Zetterberg; B. M. Tijms; P. J. Visser,Journal Alzheimers Res Ther;,adni_13
2025,A 3D decoupling Alzheimer's disease prediction network based on structural MRI,S. Wei; W. Yang; E. Wang; S. Wang; Y. Li,Journal Health Inf Sci Syst;,adni_14
2025,Smooth Normative Brain Mapping of Three-Dimensional Morphometry Imaging Data Using Skew-Normal Regression,M. Palma; S. Tavakoli; J. Brettschneider; A. M. Staicu; T. E. Nichols,Journal Hum Brain Mapp;,adni_15
2025,"Influence of cognitive, neuropsychiatric, and diagnostic factors on financial capacity: A longitudinal analysis of the ADNI cohort",M. A. Nowrangi; J. M. Leoutsakos; H. Yan; A. Bakker; K. J. Manning; G. W. Rebok; P. B. Rosenberg; V. Kamath,Journal Alzheimers Dement (Amst);,adni_16
2025,Distinct patterns of cognitive traits in extreme old age and Alzheimer's disease,Y. Nishimoto; T. Sasaki; Y. Abe; N. Hara; A. Miyashita; M. Konishi; Y. Eguchi; D. Ito; N. Hirose; M. Mimura; T. Ikeuchi; H. Okano; Y. Arai,Journal Alzheimers Dement;,adni_17
2025,Plasma protein risk scores for mild cognitive impairment and Alzheimer's disease in the Framingham heart study,H. Rehman; T. F. A. Ang; Q. Tao; R. Au; L. A. Farrer; W. Q. Qiu; X. Zhang,Journal Alzheimers Dement;,adni_18
2025,Comparing Demographic Effects on Current and Novel Neuropsychological Measures in Older Adults with and without Alzheimer's Disease,A. M. Reed; K. Duff; S. Y. Schaefer,Journal Archives of Clinical Neuropsychology;,adni_19
2025,Radiomics features of FDG PET images predict ApoE4,R. Rasi; A. Guvenis; A. s. D. N. Initiative,Journal European Journal of Radiology Artificial Intelligence;,adni_20
2025,ChoroPMCID plexus free-water correlates with glymphatic function in Alzheimer's disease,X. Xu; X. Yang; J. Zhang; Y. Wang; M. Selim; Y. Zheng; R. Shen; L. Sun; Q. Huang; W. Wang; W. Xu; Y. Guan; J. Liu; Y. Deng; F. Xie; B. Li,Journal Alzheimers Dement;,adni_21
2025,Blood DNA methylation signature for incPMCIDent dementia: EvPMCIDence from longitudinal cohorts,W. Zhang; J. I. Young; L. Gomez; M. A. SchmPMCIDt; D. Lukacsovich; B. W. Kunkle; X. S. Chen; E. R. Martin; L. Wang,Journal Alzheimers Dement;,adni_24
2025,A longitudinal study of functional brain complexity in progressive Alzheimer's disease,R. Zhang; L. Aksman; D. Wijesinghe; J. M. Ringman; D. J. J. Wang; K. Jann,Journal Alzheimers Dement (Amst);,adni_25
2025,LCN2 of cerebrospinal fluPMCID: A potential biomarker for diagnosis and disease progression in Alzheimer's disease,Q. N. Zhang; L. K. Yu; X. Y. Zhang; Y. Wu; H. Zhang; J. L. Wu; Z. H. Yao; I. Alzheimers Dis Neuroimaging,Journal Journal of Alzheimers Disease;,adni_26
2025,Multicentric prototype and pseudo-labeling based source-free domain adaptation for Alzheimer's disease classification,Q. M. Zhang; H. S. Cai; Y. Long; S. Y. Yu,Journal Biomedical Signal Processing and Control;,adni_27
2025,Multimodal magnetic resonance imaging analysis of early mild cognitive impairment,S. Xu; Y. Fan; C. Mao; Z. Hu; Z. Yang; L. Qu; Y. Xu; L. Yu; X. Zhu,Journal J Alzheimers Dis;,adni_28
2025,Plasma proteomics for cognitive decline and dementia-A Southeast Asian cohort study,M. A. Sim; J. D. Doecke; O. W. Liew; L. L. Wong; E. S. J. Tan; S. P. Chan; J. R. F. Chong; Y. Cai; S. Hilal; N. Venketasubramanian; B. Y. Tan; M. K. P. Lai; H. Choi; C. L. Masters; A. M. Richards; C. L. H. Chen,Journal Alzheimers Dement;,adni_29
2025,Presynaptic loss and axonal degeneration synergistically correlate with longitudinal neurodegeneration and cognitive decline,D. Shi; C. Ye; A. Li; P. Sun; G. Lan; L. Zhang; X. Zhou; L. Zhou; Z. Liu; T. Guo,Journal Alzheimers Dement;,adni_30
2025,Is late-life vulnerability to cardiovascular disease risk associated with longitudinal tau accumulation in older adults with mild cognitive impairment?,M. A. Dratva; J. M. Diaz; M. L. Thomas; Q. Shen; A. A. Tsiknia; K. A. Rostowsky; E. E. Sundermann; S. J. Banks,Journal JAR Life;,adni_31
