dataset,metric,value,top_x,year,computed_date
ALSPAC,n_papers,2982,NA,NA,2026-06-24
ALSPAC,n_authors,9810,NA,NA,2026-06-24
ALSPAC,hhi,0.09664875009056723,NA,NA,2026-06-24
ALSPAC,top_x_share,0.09389671361502347,1,NA,2026-06-24
ALSPAC,top_x_share,0.2625754527162978,3,NA,2026-06-24
ALSPAC,top_x_share,0.35714285714285715,5,NA,2026-06-24
ALSPAC,top_x_share,0.47417840375586856,10,NA,2026-06-24
ALSPAC,top_x_share,0.574111334674715,20,NA,2026-06-24
ALSPAC,hhi,0.6300000000000001,NA,1996,2026-06-24
ALSPAC,top_x_share,0.6,1,1996,2026-06-24
ALSPAC,top_x_share,1,3,1996,2026-06-24
ALSPAC,top_x_share,1,5,1996,2026-06-24
ALSPAC,top_x_share,1,10,1996,2026-06-24
ALSPAC,top_x_share,1,20,1996,2026-06-24
ALSPAC,hhi,0.45703125,NA,1997,2026-06-24
ALSPAC,top_x_share,0.375,1,1997,2026-06-24
ALSPAC,top_x_share,0.75,3,1997,2026-06-24
ALSPAC,top_x_share,0.75,5,1997,2026-06-24
ALSPAC,top_x_share,1,10,1997,2026-06-24
ALSPAC,top_x_share,1,20,1997,2026-06-24
ALSPAC,hhi,0.6666666666666662,NA,1998,2026-06-24
ALSPAC,top_x_share,0.5,1,1998,2026-06-24
ALSPAC,top_x_share,0.9166666666666666,3,1998,2026-06-24
ALSPAC,top_x_share,0.9166666666666666,5,1998,2026-06-24
ALSPAC,top_x_share,1,10,1998,2026-06-24
ALSPAC,top_x_share,1,20,1998,2026-06-24
ALSPAC,hhi,0.6697530864197534,NA,1999,2026-06-24
ALSPAC,top_x_share,0.6111111111111112,1,1999,2026-06-24
ALSPAC,top_x_share,0.7222222222222222,3,1999,2026-06-24
ALSPAC,top_x_share,1,5,1999,2026-06-24
ALSPAC,top_x_share,1,10,1999,2026-06-24
ALSPAC,top_x_share,1,20,1999,2026-06-24
ALSPAC,hhi,0.42534722222222193,NA,2000,2026-06-24
ALSPAC,top_x_share,0.5833333333333334,1,2000,2026-06-24
ALSPAC,top_x_share,0.625,3,2000,2026-06-24
ALSPAC,top_x_share,0.7083333333333334,5,2000,2026-06-24
ALSPAC,top_x_share,0.875,10,2000,2026-06-24
ALSPAC,top_x_share,1,20,2000,2026-06-24
ALSPAC,hhi,0.29585798816568065,NA,2001,2026-06-24
ALSPAC,top_x_share,0.2692307692307692,1,2001,2026-06-24
ALSPAC,top_x_share,0.5769230769230769,3,2001,2026-06-24
ALSPAC,top_x_share,0.7307692307692307,5,2001,2026-06-24
ALSPAC,top_x_share,0.8461538461538461,10,2001,2026-06-24
ALSPAC,top_x_share,1,20,2001,2026-06-24
ALSPAC,hhi,0.4755555555555557,NA,2002,2026-06-24
ALSPAC,top_x_share,0.4,1,2002,2026-06-24
ALSPAC,top_x_share,0.6333333333333333,3,2002,2026-06-24
ALSPAC,top_x_share,0.7666666666666667,5,2002,2026-06-24
ALSPAC,top_x_share,0.9,10,2002,2026-06-24
ALSPAC,top_x_share,0.9333333333333333,20,2002,2026-06-24
ALSPAC,hhi,0.6444444444444445,NA,2003,2026-06-24
ALSPAC,top_x_share,0.5333333333333333,1,2003,2026-06-24
ALSPAC,top_x_share,0.7333333333333333,3,2003,2026-06-24
ALSPAC,top_x_share,0.7333333333333333,5,2003,2026-06-24
ALSPAC,top_x_share,0.7333333333333333,10,2003,2026-06-24
ALSPAC,top_x_share,1,20,2003,2026-06-24
ALSPAC,hhi,0.38530612244898,NA,2004,2026-06-24
ALSPAC,top_x_share,0.3142857142857143,1,2004,2026-06-24
ALSPAC,top_x_share,0.6285714285714286,3,2004,2026-06-24
ALSPAC,top_x_share,0.7714285714285715,5,2004,2026-06-24
ALSPAC,top_x_share,0.8285714285714286,10,2004,2026-06-24
ALSPAC,top_x_share,0.8285714285714286,20,2004,2026-06-24
ALSPAC,hhi,0.3606830487296963,NA,2005,2026-06-24
ALSPAC,top_x_share,0.2653061224489796,1,2005,2026-06-24
ALSPAC,top_x_share,0.5510204081632653,3,2005,2026-06-24
