period,period_start,period_end,metric,value,top_x,period_type
1996,1996,1996,n_papers,10,NA,annual
1996,1996,1996,n_authors,25,NA,annual
1996,1996,1996,hhi,0.6300000000000002,NA,annual
1996,1996,1996,top_x_share,0.6,1,annual
1996,1996,1996,top_x_share,1,3,annual
1996,1996,1996,top_x_share,1,5,annual
1996,1996,1996,top_x_share,1,10,annual
1996,1996,1996,top_x_share,1,20,annual
1997,1997,1997,n_papers,16,NA,annual
1997,1997,1997,n_authors,37,NA,annual
1997,1997,1997,hhi,0.45703125,NA,annual
1997,1997,1997,top_x_share,0.375,1,annual
1997,1997,1997,top_x_share,0.75,3,annual
1997,1997,1997,top_x_share,0.75,5,annual
1997,1997,1997,top_x_share,1,10,annual
1997,1997,1997,top_x_share,1,20,annual
1998,1998,1998,n_papers,12,NA,annual
1998,1998,1998,n_authors,40,NA,annual
1998,1998,1998,hhi,0.666666666666666,NA,annual
1998,1998,1998,top_x_share,0.5,1,annual
1998,1998,1998,top_x_share,0.9166666666666666,3,annual
1998,1998,1998,top_x_share,0.9166666666666666,5,annual
1998,1998,1998,top_x_share,1,10,annual
1998,1998,1998,top_x_share,1,20,annual
1999,1999,1999,n_papers,18,NA,annual
1999,1999,1999,n_authors,43,NA,annual
1999,1999,1999,hhi,0.6697530864197538,NA,annual
1999,1999,1999,top_x_share,0.6111111111111112,1,annual
1999,1999,1999,top_x_share,0.7222222222222222,3,annual
1999,1999,1999,top_x_share,1,5,annual
1999,1999,1999,top_x_share,1,10,annual
1999,1999,1999,top_x_share,1,20,annual
2000,2000,2000,n_papers,24,NA,annual
2000,2000,2000,n_authors,56,NA,annual
2000,2000,2000,hhi,0.4253472222222217,NA,annual
2000,2000,2000,top_x_share,0.5833333333333334,1,annual
2000,2000,2000,top_x_share,0.625,3,annual
2000,2000,2000,top_x_share,0.7083333333333334,5,annual
2000,2000,2000,top_x_share,0.875,10,annual
2000,2000,2000,top_x_share,1,20,annual
2001,2001,2001,n_papers,26,NA,annual
2001,2001,2001,n_authors,57,NA,annual
2001,2001,2001,hhi,0.2958579881656809,NA,annual
2001,2001,2001,top_x_share,0.2692307692307692,1,annual
2001,2001,2001,top_x_share,0.5769230769230769,3,annual
2001,2001,2001,top_x_share,0.7307692307692307,5,annual
2001,2001,2001,top_x_share,0.8461538461538461,10,annual
2001,2001,2001,top_x_share,1,20,annual
2002,2002,2002,n_papers,30,NA,annual
2002,2002,2002,n_authors,62,NA,annual
2002,2002,2002,hhi,0.4755555555555557,NA,annual
2002,2002,2002,top_x_share,0.4,1,annual
2002,2002,2002,top_x_share,0.6333333333333333,3,annual
2002,2002,2002,top_x_share,0.7666666666666667,5,annual
2002,2002,2002,top_x_share,0.9,10,annual
2002,2002,2002,top_x_share,0.9333333333333333,20,annual
2003,2003,2003,n_papers,15,NA,annual
2003,2003,2003,n_authors,40,NA,annual
2003,2003,2003,hhi,0.6444444444444453,NA,annual
2003,2003,2003,top_x_share,0.5333333333333333,1,annual
2003,2003,2003,top_x_share,0.7333333333333333,3,annual
2003,2003,2003,top_x_share,0.7333333333333333,5,annual
2003,2003,2003,top_x_share,0.7333333333333333,10,annual
2003,2003,2003,top_x_share,1,20,annual
2004,2004,2004,n_papers,35,NA,annual
2004,2004,2004,n_authors,90,NA,annual
2004,2004,2004,hhi,0.38530612244897994,NA,annual
2004,2004,2004,top_x_share,0.3142857142857143,1,annual
2004,2004,2004,top_x_share,0.6285714285714286,3,annual
2004,2004,2004,top_x_share,0.7714285714285715,5,annual
2004,2004,2004,top_x_share,0.8285714285714286,10,annual
2004,2004,2004,top_x_share,0.8285714285714286,20,annual
2005,2005,2005,n_papers,49,NA,annual
2005,2005,2005,n_authors,140,NA,annual
2005,2005,2005,hhi,0.36068304872969736,NA,annual
