author_raw,n_papers,last_name,initials
Anderson E,12,Anderson,E
Anderson EL,8,Anderson,EL
Arshad S,16,Arshad,S
Arshad SH,6,Arshad,SH
Barker E,33,Barker,E
Barker ED,10,Barker,ED
Barker A,5,Barker,A
Barrett J,5,Barrett,J
Barrett JC,5,Barrett,JC
Barros H,7,Barros,H
Barros F,6,Barros,F
Bierut L,6,Bierut,L
Bierut LJ,5,Bierut,LJ
Blair S,14,Blair,S
Blair P,11,Blair,P
Boomsma DI,27,Boomsma,DI
Boomsma D,24,Boomsma,D
Bradfield J,9,Bradfield,J
Bradfield JP,5,Bradfield,JP
Brown M,11,Brown,M
Brown S,6,Brown,S
Campbell H,18,Campbell,H
Campbell R,14,Campbell,R
Campbell A,9,Campbell,A
Campbell P,5,Campbell,P
Cecil C,18,Cecil,C
Cecil CAM,6,Cecil,CAM
Chasman D,5,Chasman,D
Chasman DI,5,Chasman,DI
Chen L,10,Chen,L
Chen J,8,Chen,J
Chen Y,7,Chen,Y
Chen S,6,Chen,S
Chen W,5,Chen,W
Chen Z,5,Chen,Z
Clark E,17,Clark,E
Clark R,6,Clark,R
Clark A,5,Clark,A
Collin S,5,Collin,S
Collin SM,5,Collin,SM
Cooper C,19,Cooper,C
Cooper A,9,Cooper,A
Cooper R,5,Cooper,R
Cotter D,8,Cotter,D
Cotter DR,5,Cotter,DR
Daly A,5,Daly,A
Daly MJ,5,Daly,MJ
Davies G,19,Davies,G
Davies N,11,Davies,N
Davies A,8,Davies,A
Davies L,6,Davies,L
Davis J,17,Davis,J
Davis O,13,Davis,O
Davis K,5,Davis,K
Day I,13,Day,I
Day C,5,Day,C
Day INM,5,Day,INM
Deary I,12,Deary,I
Deary IJ,11,Deary,IJ
Dick D,11,Dick,D
Dick DM,9,Dick,DM
Dunn J,26,Dunn,J
Dunn E,20,Dunn,E
Dunn EC,5,Dunn,EC
Edwards A,15,Edwards,A
Edwards AC,10,Edwards,AC
Elliott P,20,Elliott,P
Elliott K,7,Elliott,K
Elliott H,6,Elliott,H
Emond A,79,Emond,A
Emond AM,7,Emond,AM
Eriksson J,25,Eriksson,J
Eriksson JG,8,Eriksson,JG
Evans D,93,Evans,D
Evans J,53,Evans,J
Evans DM,30,Evans,DM
Evans CJ,5,Evans,CJ
Felix J,28,Felix,J
Felix JF,18,Felix,JF
Ferreira D,6,Ferreira,D
Ferreira M,6,Ferreira,M
Fisher S,8,Fisher,S
Fisher H,6,Fisher,H
Franke L,13,Franke,L
Franke A,9,Franke,A
Franke B,7,Franke,B
Fraser A,98,Fraser,A
Fraser W,17,Fraser,W
Fraser R,5,Fraser,R
Frayling T,27,Frayling,T
Frayling TM,5,Frayling,TM
Freathy R,23,Freathy,R
Freathy RM,8,Freathy,RM
Gaunt TR,33,Gaunt,TR
Gaunt T,16,Gaunt,T
Greenwood C,6,Greenwood,C
Greenwood R,5,Greenwood,R
Gregory S,47,Gregory,S
Gregory J,7,Gregory,J
Guggenheim J,17,Guggenheim,J
Guggenheim JA,6,Guggenheim,JA
Hall A,21,Hall,A
Hall J,5,Hall,J
Harris J,12,Harris,J
Harris S,7,Harris,S
Harris T,7,Harris,T
Harris JR,5,Harris,JR
Hattersley A,26,Hattersley,A
Hattersley AT,5,Hattersley,AT
Haworth S,11,Haworth,S
Haworth C,10,Haworth,C
Heath A,7,Heath,A
Heath AC,7,Heath,AC
Henderson J,72,Henderson,J
Henderson A,43,Henderson,A
Henderson AJ,21,Henderson,AJ
Hines M,9,Hines,M
Hines L,6,Hines,L
Hivert M,8,Hivert,M
Hivert MF,7,Hivert,MF
Holloway J,24,Holloway,J
Holloway JW,14,Holloway,JW
Holmes A,7,Holmes,A
Holmes MV,5,Holmes,MV
Hottenga J,20,Hottenga,J
Hottenga JJ,17,Hottenga,JJ
Howe L,92,Howe,L
Howe LD,21,Howe,LD
Hughes A,37,Hughes,A
Hughes AD,9,Hughes,AD
Hughes R,8,Hughes,R
Hughes D,7,Hughes,D
Ikram MA,8,Ikram,MA
Ikram M,7,Ikram,M
Jaddoe V,34,Jaddoe,V
Jaddoe VW,15,Jaddoe,VW
Jaddoe VWV,14,Jaddoe,VWV
Jarvelin M,25,Jarvelin,M
Jarvelin MR,8,Jarvelin,MR
Johnson L,12,Johnson,L
Johnson P,8,Johnson,P
Johnson T,5,Johnson,T
Johnson W,5,Johnson,W
Jones H,25,Jones,H
Jones P,23,Jones,P
Jones L,18,Jones,L
Jones R,15,Jones,R
Jones HJ,9,Jones,HJ
Jones A,8,Jones,A
Jones D,7,Jones,D
Jones DK,6,Jones,DK
Jones PB,5,Jones,PB
Jones S,5,Jones,S
Kemp J,43,Kemp,J
Kemp JP,13,Kemp,JP
Kendler KS,13,Kendler,KS
Kendler K,9,Kendler,K
Koppelman G,14,Koppelman,G
Koppelman GH,9,Koppelman,GH
Lawlor D,209,Lawlor,D
Lawlor DA,64,Lawlor,DA
Lee M,10,Lee,M
Lee S,7,Lee,S
Lee Y,6,Lee,Y
Lee J,5,Lee,J
Lee MK,5,Lee,MK
Lewis G,147,Lewis,G
Lewis S,31,Lewis,S
Lewis SJ,7,Lewis,SJ
Li Y,14,Li,Y
Li L,11,Li,L
Li X,10,Li,X
Li J,9,Li,J
Li S,7,Li,S
Li R,5,Li,R
Liang J,5,Liang,J
Liang L,5,Liang,L
Liewald D,5,Liewald,D
Liewald DC,5,Liewald,DC
Liu C,11,Liu,C
Liu Y,11,Liu,Y
Liu J,10,Liu,J
Liu F,6,Liu,F
London S,10,London,S
London SJ,6,London,SJ
Mackey D,5,Mackey,D
Mackey DA,5,Mackey,DA
Madden P,6,Madden,P
Madden PAF,5,Madden,PAF
Magnus M,15,Magnus,M
Magnus P,13,Magnus,P
Magnus MC,6,Magnus,MC
Magnusson PKE,8,Magnusson,PKE
Magnusson P,5,Magnusson,P
Martin N,22,Martin,N
Martin NG,22,Martin,NG
Martin J,16,Martin,J
Martin R,9,Martin,R
McCarthy M,22,McCarthy,M
McCarthy MI,10,McCarthy,MI
McCarthy S,10,McCarthy,S
McIntosh AM,8,McIntosh,AM
McIntosh A,6,McIntosh,A
Medland S,16,Medland,S
Medland SE,11,Medland,SE
Miller L,25,Miller,L
Miller M,7,Miller,M
Min JL,10,Min,JL
Min J,9,Min,J
Mitchell R,8,Mitchell,R
Mitchell B,6,Mitchell,B
Mitchell P,6,Mitchell,P
Montgomery G,22,Montgomery,G
Montgomery GW,10,Montgomery,GW
Mook-Kanamori D,6,Mook-Kanamori,D
Mook-Kanamori DO,5,Mook-Kanamori,DO
Morris T,19,Morris,T
Morris A,18,Morris,A
Morris AP,5,Morris,AP
Morris R,5,Morris,R
Munafò MR,25,Munafò,MR
Munafò M,11,Munafò,M
Murray A,14,Murray,A
Murray C,13,Murray,C
Murray J,13,Murray,J
Nelson S,23,Nelson,S
Nelson SM,8,Nelson,SM
Nivard M,6,Nivard,M
Nivard MG,6,Nivard,MG
Nohr EA,8,Nohr,EA
Nohr E,5,Nohr,E
O'Donovan M,11,O'Donovan,M
O'Donovan MC,8,O'Donovan,MC
Owen M,10,Owen,M
Owen MJ,10,Owen,MJ
Palmer L,17,Palmer,L
Palmer C,11,Palmer,C
Palmer T,9,Palmer,T
Park C,11,Park,C
Park J,5,Park,J
Patel R,7,Patel,R
Patel S,7,Patel,S
Pearson R,47,Pearson,R
Pearson RM,18,Pearson,RM
Pedersen O,10,Pedersen,O
Pedersen M,7,Pedersen,M
Pedersen NL,7,Pedersen,NL
Pedersen N,5,Pedersen,N
Peeters H,5,Peeters,H
Peeters RP,5,Peeters,RP
Pennell C,31,Pennell,C
Pennell CE,11,Pennell,CE
Penninx BWJH,11,Penninx,BWJH
Penninx B,8,Penninx,B
Perry J,17,Perry,J
Perry B,10,Perry,B
Perry JRB,10,Perry,JRB
Perry G,6,Perry,G
Peters T,13,Peters,T
Peters A,11,Peters,A
Porteous D,13,Porteous,D
Porteous DJ,5,Porteous,DJ
Postma D,12,Postma,D
Postma DS,5,Postma,DS
Raitakari O,31,Raitakari,O
Raitakari OT,12,Raitakari,OT
Relton C,78,Relton,C
Relton CL,42,Relton,CL
Richards J,9,Richards,J
Richards JB,9,Richards,JB
Richardson T,16,Richardson,T
Richardson TG,15,Richardson,TG
Richmond S,27,Richmond,S
Richmond R,16,Richmond,R
Richmond RC,16,Richmond,RC
Ring S,127,Ring,S
Ring SM,22,Ring,SM
Roberts G,12,Roberts,G
Roberts E,7,Roberts,E
Rodriguez S,14,Rodriguez,S
Rodriguez A,5,Rodriguez,A
Russell G,8,Russell,G
Russell A,7,Russell,A
Saw S,7,Saw,S
Saw SM,6,Saw,SM
Scott J,16,Scott,J
Scott RA,9,Scott,RA
Scott R,6,Scott,R
Sharp G,22,Sharp,G
Sharp GC,14,Sharp,GC
Sharp S,8,Sharp,S
Shihab HA,6,Shihab,HA
Shihab H,5,Shihab,H
Simpkin A,13,Simpkin,A
Simpkin AJ,12,Simpkin,AJ
Smith G,51,Smith,G
Smith GD,37,Smith,GD
Smith A,29,Smith,A
Smith D,16,Smith,D
Smith S,10,Smith,S
Smith DJ,8,Smith,DJ
Smith AD,7,Smith,AD
Smith B,7,Smith,B
Smith T,7,Smith,T
Smith M,6,Smith,M
Smith BH,5,Smith,BH
Smith J,5,Smith,J
Spector T,24,Spector,T
Spector TD,12,Spector,TD
Starr J,11,Starr,J
Starr JM,6,Starr,JM
Stein A,28,Stein,A
Stein J,7,Stein,J
Sterne J,23,Sterne,J
Sterne JA,6,Sterne,JA
Strachan D,28,Strachan,D
Strachan DP,9,Strachan,DP
Taylor C,32,Taylor,C
Taylor A,18,Taylor,A
Taylor H,15,Taylor,H
Taylor CM,14,Taylor,CM
Taylor K,13,Taylor,K
Taylor AE,10,Taylor,AE
Taylor M,10,Taylor,M
Taylor E,7,Taylor,E
Taylor P,6,Taylor,P
Thapar A,55,Thapar,A
Thapar AK,8,Thapar,AK
Thomas R,11,Thomas,R
Thomas K,9,Thomas,K
Thompson A,20,Thompson,A
Thompson E,11,Thompson,E
Thompson J,6,Thompson,J
Timpson N,143,Timpson,N
Timpson NJ,59,Timpson,NJ
Tobias J,79,Tobias,J
Tobias JH,7,Tobias,JH
Turner S,8,Turner,S
Turner J,5,Turner,J
Uitterlinden A,23,Uitterlinden,A
Uitterlinden AG,16,Uitterlinden,AG
Vermeulen R,5,Vermeulen,R
Vermeulen S,5,Vermeulen,S
Visscher PM,8,Visscher,PM
Visscher P,6,Visscher,P
Wade K,9,Wade,K
