author_raw,author_id,notes,merged_by,merged_date
Abecasis GR,Abecasis G,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Adair LS,Adair L,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Adams JE,Adams J,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Adams MJ,Adams M,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Adkins D,Adkins DE,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Agbaje AO,Agbaje A,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Agha SS,Agha S,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Ahluwalia T,Ahluwalia TS,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Ahluwalia TVS,Ahluwalia TS,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Alizadeh B,Alizadeh BZ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Ali Asad,Ali A,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Allely CS,Allely C,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Aloisio K,Aloisio KM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Alves AC,Alves A,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Ambrosini GL,Ambrosini G,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Amos C,Amos CI,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Andersen L,Andersen LB,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Anderson C,Anderson CA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Anderson CD,Anderson CA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Anderson EL,Anderson E,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Anderson JJ,Anderson J,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Anderssen S,Anderssen SA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Andersson E,Andersson EA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Andlauer TFM,Andlauer T,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Andreassen OA,Andreassen O,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Ang Q,Ang QW,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Ang WQ,Ang W,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Anney RJL,Anney R,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Appel EV,Appel EVR,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Appleton AA,Appleton A,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Appleton L,Appleton LH,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Aris I,Aris IM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Arking DE,Arking D,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Armitage JM,Armitage J,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Aromaa A,Aromaa AJ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Arshad HS,Arshad H,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Arshad SH,Arshad S,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Ashley S,Ashley SA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Aspden RM,Aspden R,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Asselbergs F,Asselbergs FW,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Assimes TL,Assimes T,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Atkinson E,Atkinson EJ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Aubert AM,Aubert A,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Auer P,Auer PL,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Baccarelli AA,Baccarelli A,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Baguley D,Baguley DM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Bailey-Wilson J,Bailey-Wilson JE,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Bailey M,Bailey MES,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Bailey ME,Bailey MES,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Baird DA,Baird D,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Baird P,Baird PN,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Bakermans-Kranenburg MJ,Bakermans-Kranenburg M,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Bakulski K,Bakulski KM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Barker ED,Barker E,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Barker G,Barker GJ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Barnes JC,Barnes J,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Barnett JH,Barnett J,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Barreto M,Barreto ML,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Barrett J,Barrett JC,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Barros AJD,Barros A,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
