pmid,title,abstract,pub_year,text,has_abstract
alspac_doi_10_1186_s13059_022_02837_1,"Implicating genes, pleiotropy, and sexual dimorphism at blood lipid loci through multi-ancestry meta-analysis",NA,2022,"Implicating genes, pleiotropy, and sexual dimorphism at blood lipid loci through multi-ancestry meta-analysis",FALSE
alspac_2012_novel_loci_for_adiponectin_levels_and_their_influence_on_type_2_diabetes_and_met,"Novel Loci for Adiponectin Levels and Their Influence on Type 2 Diabetes and Metabolic Traits: A Multi-Ethnic Meta-Analysis of 45,891 Individuals",NA,2012,"Novel Loci for Adiponectin Levels and Their Influence on Type 2 Diabetes and Metabolic Traits: A Multi-Ethnic Meta-Analysis of 45,891 Individuals",FALSE
alspac_2013-a-m_i_dentification_of_heart_rate_associated_loci_and_their_effects_on_cardiac_condu,I dentification of heart rate–associated loci and their effects on cardiac conduction and rhythm disorders,NA,2013,I dentification of heart rate–associated loci and their effects on cardiac conduction and rhythm disorders,FALSE
alspac_doi_10_1038_nature14962,Nature. 2015 Oct 1;526(7571):82-90,NA,2015,Nature. 2015 Oct 1;526(7571):82-90,FALSE
alspac_doi_10_1038_s41467_018_07863_x,Low-frequency variation in TP53 has large effects on head circumference and intracranial volume,NA,2019,Low-frequency variation in TP53 has large effects on head circumference and intracranial volume,FALSE
alspac_doi_10_1038_ncomms5871,Min JL. Tachmazidou I,NA,2014,Min JL. Tachmazidou I,FALSE
alspac_doi_10_1038_ncomms10979,Atlas of prostate cancer heritability in European and African-American men pinpoints tissue-specific regulation,NA,2016,Atlas of prostate cancer heritability in European and African-American men pinpoints tissue-specific regulation,FALSE
alspac_doi_10_1038_ng_3552,"Genetic variants associated with subjective well-being, depressive symptoms, and neuroticism identified through genome-wide analyses",NA,2016,"Genetic variants associated with subjective well-being, depressive symptoms, and neuroticism identified through genome-wide analyses",FALSE
alspac_2013-n-z_gwas_of_126_559_individuals_identifies_genetic_variants_associated_with_educatio,"GWAS of 126,559 Individuals Identifies Genetic Variants Associated with Educational Attainment",NA,2013,"GWAS of 126,559 Individuals Identifies Genetic Variants Associated with Educational Attainment",FALSE
alspac_2012_seventy_five_genetic_loci_influencing_the_human_red_blood_cell,Seventy-five genetic loci influencing the human red blood cell,NA,2012,Seventy-five genetic loci influencing the human red blood cell,FALSE
alspac_doi_10_1038_nature19806,Genome-wide associations for birth weight and correlations with adult disease,NA,2016,Genome-wide associations for birth weight and correlations with adult disease,FALSE
alspac_2010_thirty_new_loci_for_age_at_menarche_identified_by_a_meta_analysis_of_genome_wide,Thirty new loci for age at menarche identified by a meta-analysis of genome-wide association studies,NA,2010,Thirty new loci for age at menarche identified by a meta-analysis of genome-wide association studies,FALSE
alspac_2012_nat_genet,Nat Genet,NA,2012,Nat Genet,FALSE
alspac_doi_10_1016_s2215_0366_23_00272_9,Synergy for the Influence of the Month of Birth in ADHD (SIMBA) study group,NA,2023,Synergy for the Influence of the Month of Birth in ADHD (SIMBA) study group,FALSE
alspac_2011_genome_wide_association_and_large_scale_follow_up_identifies_16_new_loci_influen,Genome-wide association and large-scale follow up identifies 16 new loci influencing lung function,NA,2011,Genome-wide association and large-scale follow up identifies 16 new loci influencing lung function,FALSE
alspac_doi_10_1038_nature14878,Whole-genome sequencing identifies EN1 as a determinant of bone density and fracture,NA,2015,Whole-genome sequencing identifies EN1 as a determinant of bone density and fracture,FALSE
alspac_doi_10_1038_ncomms11008,Meta-analysis of gene-environment-wide association scans accounting for education level identifies additional loci for refractive error: The CREAM Consortium,NA,2016,Meta-analysis of gene-environment-wide association scans accounting for education level identifies additional loci for refractive error: The CREAM Consortium,FALSE
