author_id,n_papers,paper_share
Boerwinkle E,680,0.19941348973607037
Coresh J,641,0.18797653958944283
Folsom AR,618,0.1812316715542522
Mosley TH,429,0.12580645161290321
Selvin E,397,0.11642228739002933
Psaty BM,378,0.11085043988269795
Heiss G,363,0.1064516129032258
Ballantyne CM,342,0.10029325513196481
Rotter JI,323,0.09472140762463344
Pankow JS,320,0.093841642228739
Gottesman RF,318,0.09325513196480939
Alonso A,317,0.09296187683284457
Matsushita K,305,0.08944281524926687
Fornage M,287,0.0841642228739003
Sharrett AR,280,0.08211143695014662
Lutsey PL,279,0.08181818181818182
Uitterlinden AG,233,0.06832844574780059
Rosamond WD,230,0.06744868035190615
North KE,217,0.06363636363636363
Smith AV,202,0.05923753665689149
Couper D,199,0.05835777126099707
Morrison AC,199,0.05835777126099707
Bis JC,198,0.05806451612903226
Hoogeveen RC,195,0.05718475073313783
Wilson JG,193,0.05659824046920821
Soliman EZ,191,0.056011730205278595
Gudnason V,189,0.055425219941348976
van Duijn CM,188,0.05513196480938416
Hofman A,185,0.054252199413489736
Reiner AP,174,0.05102639296187683
Harris TB,172,0.05043988269794721
Chambless LE,170,0.04985337243401759
Chen LY,167,0.04897360703812317
Heckbert SR,165,0.04838709677419355
Rich SS,165,0.04838709677419355
Kooperberg C,164,0.04809384164222874
Launer LJ,161,0.04721407624633431
Grams ME,160,0.0469208211143695
Guo X,160,0.0469208211143695
Taylor KD,157,0.046041055718475075
Liu Y,155,0.045454545454545456
Loos RJF,154,0.04516129032258064
Yu B,153,0.044868035190615836
Smith JA,152,0.04457478005865103
Shah AM,147,0.04310850439882698
Windham BG,147,0.04310850439882698
Knopman DS,145,0.04252199413489736
Brody JA,142,0.04164222873900293
Chen YI,140,0.04105571847507331
Franceschini N,137,0.040175953079178886
Cupples LA,135,0.039589442815249266
Kucharska-Newton A,135,0.039589442815249266
Chasman DI,134,0.03929618768328446
Cushman M,134,0.03929618768328446
Arnett DK,130,0.03812316715542522
Arking DE,129,0.03782991202346041
Kardia SLR,128,0.0375366568914956
Levy D,124,0.03636363636363636
Liu CT,123,0.036070381231671556
Vasan RS,123,0.036070381231671556
Solomon SD,122,0.03577712609970674
Sotoodehnia N,119,0.034897360703812316
Hayward C,118,0.03460410557184751
Ridker PM,116,0.03401759530791789
Ikram MA,115,0.03372434017595308
Rice K,114,0.03343108504398827
Tang W,111,0.032551319648093845
Loehr LR,109,0.031964809384164225
Teumer A,108,0.03167155425219941
Nalls MA,104,0.030498533724340176
Ferrucci L,103,0.030205278592375366
Lange LA,103,0.030205278592375366
Lehtimäki T,103,0.030205278592375366
Tanaka T,102,0.029912023460410556
Nambi V,101,0.029618768328445746
Palta P,100,0.02932551319648094
Peters A,100,0.02932551319648094
Rivadeneira F,100,0.02932551319648094
Siscovick DS,99,0.02903225806451613
Wareham NJ,99,0.02903225806451613
Yanek LR,99,0.02903225806451613
Gieger C,97,0.02844574780058651
Johnson AD,96,0.0281524926686217
O'Donnell CJ,96,0.0281524926686217
Rudan I,96,0.0281524926686217
Redline S,95,0.02785923753665689
Rebholz CM,94,0.02756598240469208
Zhao W,94,0.02756598240469208
Dehghan A,93,0.02727272727272727
Kao WH,93,0.02727272727272727
Shahar E,93,0.02727272727272727
Whitsel EA,93,0.02727272727272727
Köttgen A,91,0.026686217008797655
Deary IJ,90,0.026392961876832845
Wong TY,90,0.026392961876832845
Griswold ME,89,0.026099706744868036
Norby FL,89,0.026099706744868036
Franco OH,88,0.025806451612903226
Mitchell BD,88,0.025806451612903226
Raitakari OT,88,0.025806451612903226
Salomaa V,88,0.025806451612903226
Spector TD,88,0.025806451612903226
Schneider ALC,87,0.025513196480938416
Szklo M,87,0.025513196480938416
Wagenknecht LE,87,0.025513196480938416
Jukema JW,86,0.025219941348973606
Seshadri S,86,0.025219941348973606
Trompet S,86,0.025219941348973606
Kähönen M,85,0.024926686217008796
Chang PP,83,0.02434017595307918
Correa A,83,0.02434017595307918
Grove ML,83,0.02434017595307918
de Vries PS,83,0.02434017595307918
Fox CS,82,0.02404692082111437
Klein R,82,0.02404692082111437
Li Y,82,0.02404692082111437
Esko T,80,0.02346041055718475
Samani NJ,80,0.02346041055718475
Walker KA,80,0.02346041055718475
Amin N,79,0.02316715542521994
Astor BC,79,0.02316715542521994
Polasek O,79,0.02316715542521994
Smith NL,79,0.02316715542521994
Campbell H,78,0.02287390029325513
Dupuis J,78,0.02287390029325513
Nieto FJ,78,0.02287390029325513
Abecasis GR,77,0.02258064516129032
Claggett B,77,0.02258064516129032
Deal JA,77,0.02258064516129032
Ndumele CE,77,0.02258064516129032
O'Connell JR,77,0.02258064516129032
Yang Q,77,0.02258064516129032
Borecki IB,76,0.022287390029325515
Brancati FL,76,0.022287390029325515
Feitosa MF,76,0.022287390029325515
Raffield LM,76,0.022287390029325515
Ingelsson E,75,0.021994134897360705
Völker U,75,0.021994134897360705
