dataset,metric,value,top_x,year,computed_date
ARIC,n_papers,3410,NA,NA,2026-06-24
ARIC,n_authors,12681,NA,NA,2026-06-24
ARIC,hhi,0.5057375667561392,NA,NA,2026-06-24
ARIC,top_x_share,0.19941348973607037,1,NA,2026-06-24
ARIC,top_x_share,0.4818181818181818,3,NA,2026-06-24
ARIC,top_x_share,0.5944281524926687,5,NA,2026-06-24
ARIC,top_x_share,0.7155425219941349,10,NA,2026-06-24
ARIC,top_x_share,0.8313782991202346,20,NA,2026-06-24
ARIC,hhi,1.2561983471074374,NA,1992,2026-06-24
ARIC,top_x_share,0.45454545454545453,1,1992,2026-06-24
ARIC,top_x_share,0.8181818181818182,3,1992,2026-06-24
ARIC,top_x_share,0.9090909090909091,5,1992,2026-06-24
ARIC,top_x_share,1,10,1992,2026-06-24
ARIC,top_x_share,1,20,1992,2026-06-24
ARIC,hhi,1.3456790123456799,NA,1993,2026-06-24
ARIC,top_x_share,0.5555555555555556,1,1993,2026-06-24
ARIC,top_x_share,0.9444444444444444,3,1993,2026-06-24
ARIC,top_x_share,0.9444444444444444,5,1993,2026-06-24
ARIC,top_x_share,1,10,1993,2026-06-24
ARIC,top_x_share,1,20,1993,2026-06-24
ARIC,hhi,1.0657596371882088,NA,1994,2026-06-24
ARIC,top_x_share,0.42857142857142855,1,1994,2026-06-24
ARIC,top_x_share,0.8095238095238095,3,1994,2026-06-24
ARIC,top_x_share,0.9523809523809523,5,1994,2026-06-24
ARIC,top_x_share,0.9523809523809523,10,1994,2026-06-24
ARIC,top_x_share,1,20,1994,2026-06-24
ARIC,hhi,0.9659763313609457,NA,1995,2026-06-24
ARIC,top_x_share,0.5384615384615384,1,1995,2026-06-24
ARIC,top_x_share,0.7692307692307693,3,1995,2026-06-24
ARIC,top_x_share,0.8461538461538461,5,1995,2026-06-24
ARIC,top_x_share,0.9615384615384616,10,1995,2026-06-24
ARIC,top_x_share,1,20,1995,2026-06-24
ARIC,hhi,0.8889795918367358,NA,1996,2026-06-24
ARIC,top_x_share,0.4857142857142857,1,1996,2026-06-24
ARIC,top_x_share,0.8285714285714286,3,1996,2026-06-24
ARIC,top_x_share,0.8857142857142857,5,1996,2026-06-24
ARIC,top_x_share,0.9428571428571428,10,1996,2026-06-24
ARIC,top_x_share,0.9428571428571428,20,1996,2026-06-24
ARIC,hhi,0.9410150891632356,NA,1997,2026-06-24
ARIC,top_x_share,0.4074074074074074,1,1997,2026-06-24
ARIC,top_x_share,0.7407407407407407,3,1997,2026-06-24
ARIC,top_x_share,0.9629629629629629,5,1997,2026-06-24
ARIC,top_x_share,0.9629629629629629,10,1997,2026-06-24
ARIC,top_x_share,1,20,1997,2026-06-24
ARIC,hhi,1.1655328798185942,NA,1998,2026-06-24
ARIC,top_x_share,0.7619047619047619,1,1998,2026-06-24
ARIC,top_x_share,0.9047619047619048,3,1998,2026-06-24
ARIC,top_x_share,0.9047619047619048,5,1998,2026-06-24
ARIC,top_x_share,0.9523809523809523,10,1998,2026-06-24
ARIC,top_x_share,1,20,1998,2026-06-24
ARIC,hhi,0.7753086419753092,NA,1999,2026-06-24
ARIC,top_x_share,0.4444444444444444,1,1999,2026-06-24
ARIC,top_x_share,0.6888888888888889,3,1999,2026-06-24
ARIC,top_x_share,0.8222222222222222,5,1999,2026-06-24
ARIC,top_x_share,0.9111111111111111,10,1999,2026-06-24
ARIC,top_x_share,0.9555555555555556,20,1999,2026-06-24
ARIC,hhi,0.646285338593032,NA,2000,2026-06-24
ARIC,top_x_share,0.4358974358974359,1,2000,2026-06-24
ARIC,top_x_share,0.6153846153846154,3,2000,2026-06-24
ARIC,top_x_share,0.717948717948718,5,2000,2026-06-24
ARIC,top_x_share,0.8974358974358975,10,2000,2026-06-24
ARIC,top_x_share,0.9230769230769231,20,2000,2026-06-24
ARIC,hhi,0.709833795013852,NA,2001,2026-06-24
ARIC,top_x_share,0.5263157894736842,1,2001,2026-06-24
ARIC,top_x_share,0.7105263157894737,3,2001,2026-06-24
ARIC,top_x_share,0.8421052631578947,5,2001,2026-06-24
ARIC,top_x_share,0.8947368421052632,10,2001,2026-06-24
ARIC,top_x_share,0.9210526315789473,20,2001,2026-06-24
ARIC,hhi,0.6351014595941612,NA,2002,2026-06-24
ARIC,top_x_share,0.32075471698113206,1,2002,2026-06-24
ARIC,top_x_share,0.6226415094339622,3,2002,2026-06-24
ARIC,top_x_share,0.7358490566037735,5,2002,2026-06-24
ARIC,top_x_share,0.8301886792452831,10,2002,2026-06-24
ARIC,top_x_share,0.9245283018867925,20,2002,2026-06-24
ARIC,hhi,0.7107166337935589,NA,2003,2026-06-24
ARIC,top_x_share,0.4358974358974359,1,2003,2026-06-24
ARIC,top_x_share,0.6666666666666666,3,2003,2026-06-24
ARIC,top_x_share,0.7692307692307693,5,2003,2026-06-24
ARIC,top_x_share,0.8461538461538461,10,2003,2026-06-24
ARIC,top_x_share,0.9487179487179487,20,2003,2026-06-24
ARIC,hhi,0.49062890462307457,NA,2004,2026-06-24
ARIC,top_x_share,0.2653061224489796,1,2004,2026-06-24
ARIC,top_x_share,0.6326530612244898,3,2004,2026-06-24
ARIC,top_x_share,0.6326530612244898,5,2004,2026-06-24
ARIC,top_x_share,0.8163265306122449,10,2004,2026-06-24
ARIC,top_x_share,0.9387755102040817,20,2004,2026-06-24
ARIC,hhi,0.4813533256439845,NA,2005,2026-06-24
ARIC,top_x_share,0.3137254901960784,1,2005,2026-06-24
ARIC,top_x_share,0.5686274509803921,3,2005,2026-06-24
ARIC,top_x_share,0.5882352941176471,5,2005,2026-06-24
ARIC,top_x_share,0.7254901960784313,10,2005,2026-06-24
ARIC,top_x_share,0.9215686274509803,20,2005,2026-06-24
ARIC,hhi,0.4548816568047351,NA,2006,2026-06-24
ARIC,top_x_share,0.3269230769230769,1,2006,2026-06-24
ARIC,top_x_share,0.5769230769230769,3,2006,2026-06-24
ARIC,top_x_share,0.6730769230769231,5,2006,2026-06-24
ARIC,top_x_share,0.75,10,2006,2026-06-24
ARIC,top_x_share,0.7884615384615384,20,2006,2026-06-24
ARIC,hhi,0.5716735253772279,NA,2007,2026-06-24
ARIC,top_x_share,0.4074074074074074,1,2007,2026-06-24
ARIC,top_x_share,0.6851851851851852,3,2007,2026-06-24
ARIC,top_x_share,0.7592592592592593,5,2007,2026-06-24
ARIC,top_x_share,0.8333333333333334,10,2007,2026-06-24
ARIC,top_x_share,0.8888888888888888,20,2007,2026-06-24
ARIC,hhi,0.56787109375,NA,2008,2026-06-24
ARIC,top_x_share,0.34375,1,2008,2026-06-24
ARIC,top_x_share,0.578125,3,2008,2026-06-24
ARIC,top_x_share,0.734375,5,2008,2026-06-24
ARIC,top_x_share,0.9375,10,2008,2026-06-24
ARIC,top_x_share,0.96875,20,2008,2026-06-24
ARIC,hhi,0.896240285654266,NA,2009,2026-06-24
ARIC,top_x_share,0.391304347826087,1,2009,2026-06-24
ARIC,top_x_share,0.6956521739130435,3,2009,2026-06-24
ARIC,top_x_share,0.782608695652174,5,2009,2026-06-24
ARIC,top_x_share,0.855072463768116,10,2009,2026-06-24
ARIC,top_x_share,0.855072463768116,20,2009,2026-06-24
ARIC,hhi,1.8616493383743093,NA,2010,2026-06-24
ARIC,top_x_share,0.40217391304347827,1,2010,2026-06-24
ARIC,top_x_share,0.75,3,2010,2026-06-24
ARIC,top_x_share,0.8152173913043478,5,2010,2026-06-24
ARIC,top_x_share,0.8586956521739131,10,2010,2026-06-24
ARIC,top_x_share,0.9021739130434783,20,2010,2026-06-24
ARIC,hhi,1.195986159169549,NA,2011,2026-06-24
ARIC,top_x_share,0.29411764705882354,1,2011,2026-06-24
ARIC,top_x_share,0.6470588235294118,3,2011,2026-06-24
ARIC,top_x_share,0.7294117647058823,5,2011,2026-06-24
ARIC,top_x_share,0.8117647058823529,10,2011,2026-06-24
ARIC,top_x_share,0.9176470588235294,20,2011,2026-06-24
ARIC,hhi,1.889862835808735,NA,2012,2026-06-24
ARIC,top_x_share,0.3333333333333333,1,2012,2026-06-24
ARIC,top_x_share,0.5855855855855856,3,2012,2026-06-24
ARIC,top_x_share,0.6576576576576577,5,2012,2026-06-24
