period,period_start,period_end,metric,value,top_x,period_type
1991,1991,1991,n_papers,6,NA,annual
1991,1991,1991,n_authors,18,NA,annual
1991,1991,1991,hhi,1.3888888888888877,NA,annual
1991,1991,1991,top_x_share,0.6666666666666666,1,annual
1991,1991,1991,top_x_share,1,3,annual
1991,1991,1991,top_x_share,1,5,annual
1991,1991,1991,top_x_share,1,10,annual
1991,1991,1991,top_x_share,1,20,annual
1992,1992,1992,n_papers,11,NA,annual
1992,1992,1992,n_authors,25,NA,annual
1992,1992,1992,hhi,1.256198347107437,NA,annual
1992,1992,1992,top_x_share,0.45454545454545453,1,annual
1992,1992,1992,top_x_share,0.8181818181818182,3,annual
1992,1992,1992,top_x_share,0.9090909090909091,5,annual
1992,1992,1992,top_x_share,1,10,annual
1992,1992,1992,top_x_share,1,20,annual
1993,1993,1993,n_papers,18,NA,annual
1993,1993,1993,n_authors,53,NA,annual
1993,1993,1993,hhi,1.3456790123456799,NA,annual
1993,1993,1993,top_x_share,0.5555555555555556,1,annual
1993,1993,1993,top_x_share,0.9444444444444444,3,annual
1993,1993,1993,top_x_share,0.9444444444444444,5,annual
1993,1993,1993,top_x_share,1,10,annual
1993,1993,1993,top_x_share,1,20,annual
1994,1994,1994,n_papers,21,NA,annual
1994,1994,1994,n_authors,63,NA,annual
1994,1994,1994,hhi,1.0657596371882072,NA,annual
1994,1994,1994,top_x_share,0.42857142857142855,1,annual
1994,1994,1994,top_x_share,0.8095238095238095,3,annual
1994,1994,1994,top_x_share,0.9523809523809523,5,annual
1994,1994,1994,top_x_share,0.9523809523809523,10,annual
1994,1994,1994,top_x_share,1,20,annual
1995,1995,1995,n_papers,26,NA,annual
1995,1995,1995,n_authors,72,NA,annual
1995,1995,1995,hhi,0.9659763313609453,NA,annual
1995,1995,1995,top_x_share,0.5384615384615384,1,annual
1995,1995,1995,top_x_share,0.7692307692307693,3,annual
1995,1995,1995,top_x_share,0.8461538461538461,5,annual
1995,1995,1995,top_x_share,0.9615384615384616,10,annual
1995,1995,1995,top_x_share,1,20,annual
1996,1996,1996,n_papers,35,NA,annual
1996,1996,1996,n_authors,105,NA,annual
1996,1996,1996,hhi,0.8889795918367361,NA,annual
1996,1996,1996,top_x_share,0.4857142857142857,1,annual
1996,1996,1996,top_x_share,0.8285714285714286,3,annual
1996,1996,1996,top_x_share,0.8857142857142857,5,annual
1996,1996,1996,top_x_share,0.9428571428571428,10,annual
1996,1996,1996,top_x_share,0.9428571428571428,20,annual
1997,1997,1997,n_papers,27,NA,annual
1997,1997,1997,n_authors,96,NA,annual
1997,1997,1997,hhi,0.9410150891632356,NA,annual
1997,1997,1997,top_x_share,0.4074074074074074,1,annual
1997,1997,1997,top_x_share,0.7407407407407407,3,annual
1997,1997,1997,top_x_share,0.9629629629629629,5,annual
1997,1997,1997,top_x_share,0.9629629629629629,10,annual
1997,1997,1997,top_x_share,1,20,annual
1998,1998,1998,n_papers,21,NA,annual
1998,1998,1998,n_authors,83,NA,annual
1998,1998,1998,hhi,1.16553287981859,NA,annual
1998,1998,1998,top_x_share,0.7619047619047619,1,annual
1998,1998,1998,top_x_share,0.9047619047619048,3,annual
1998,1998,1998,top_x_share,0.9047619047619048,5,annual
1998,1998,1998,top_x_share,0.9523809523809523,10,annual
1998,1998,1998,top_x_share,1,20,annual
1999,1999,1999,n_papers,45,NA,annual
1999,1999,1999,n_authors,121,NA,annual
1999,1999,1999,hhi,0.7753086419753092,NA,annual
1999,1999,1999,top_x_share,0.4444444444444444,1,annual
1999,1999,1999,top_x_share,0.6888888888888889,3,annual
1999,1999,1999,top_x_share,0.8222222222222222,5,annual
