author_raw,author_id,notes,merged_by,merged_date
Abecasis G,Abecasis GR,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Abner EL,Abner E,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Abraham A,Abraham AG,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Abraham JM,Abraham JE,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Absher DM,Absher D,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Adams HH,Adams HHH,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Adams H,Adams HHH,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Adams HHHH,Adams HHH,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Adams PC,Adams PM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Adams R,Adams RJ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Adeyemo AA,Adeyemo A,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Agarwal S,Agarwal SK,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Agha A,Agha AM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Agler C,Agler CS,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Ahluwalia TVS,Ahluwalia TS,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Ahmad M,Ahmad MI,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Ahn K,Ahn KW,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Akylbekova E,Akylbekova EL,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Alam D,Alam DS,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Albert C,Albert CM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Albert ML,Albert MS,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Albert M,Albert MS,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Alexander GE,Alexander GC,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Ali M,Ali MK,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Allen NE,Allen NB,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Allison M,Allison MA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Almeida M,Almeida MAA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Altmaier EL,Altmaier E,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Altshuler DM,Altshuler D,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
