pmid,title,abstract,pub_year,text,has_abstract
aric_pmid_22479202,"Novel loci for adiponectin levels and their influence on type 2 diabetes and metabolic traits: a multi-ethnic meta-analysis of 45,891 individuals.",NA,2012,"Novel loci for adiponectin levels and their influence on type 2 diabetes and metabolic traits: a multi-ethnic meta-analysis of 45,891 individuals.",FALSE
aric_pmid_25673413,Genetic studies of body mass index yield new insights for obesity biology.,NA,2015,Genetic studies of body mass index yield new insights for obesity biology.,FALSE
aric_pmid_30820047,"Genetic meta-analysis of diagnosed Alzheimer's disease identifies new risk loci and implicates Aβ, tau, immunity and lipid processing.",NA,2019,"Genetic meta-analysis of diagnosed Alzheimer's disease identifies new risk loci and implicates Aβ, tau, immunity and lipid processing.",FALSE
aric_pmid_28714976,"Rare coding variants in PLCG2, ABI3, and TREM2 implicate microglial-mediated innate immunity in Alzheimer's disease.",NA,2017,"Rare coding variants in PLCG2, ABI3, and TREM2 implicate microglial-mediated innate immunity in Alzheimer's disease.",FALSE
aric_pmid_25282103,Defining the role of common variation in the genomic and biological architecture of adult human height.,NA,2014,Defining the role of common variation in the genomic and biological architecture of adult human height.,FALSE
aric_pmid_26426971,The Influence of Age and Sex on Genetic Associations with Adult Body Size and Shape: A Large-Scale Genome-Wide Interaction Study.,NA,2015,The Influence of Age and Sex on Genetic Associations with Adult Body Size and Shape: A Large-Scale Genome-Wide Interaction Study.,FALSE
aric_pmid_27355579,Correction: The Influence of Age and Sex on Genetic Associations with Adult Body Size and Shape: A Large-Scale Genome-Wide Interaction Study.,NA,2016,Correction: The Influence of Age and Sex on Genetic Associations with Adult Body Size and Shape: A Large-Scale Genome-Wide Interaction Study.,FALSE
aric_pmid_31673082,Associations of autozygosity with a broad range of human phenotypes.,NA,2019,Associations of autozygosity with a broad range of human phenotypes.,FALSE
aric_pmid_25673412,New genetic loci link adipose and insulin biology to body fat distribution.,NA,2015,New genetic loci link adipose and insulin biology to body fat distribution.,FALSE
aric_pmid_34059833,The trans-ancestral genomic architecture of glycemic traits.,NA,2021,The trans-ancestral genomic architecture of glycemic traits.,FALSE
aric_pmid_35379992,New insights into the genetic etiology of Alzheimer's disease and related dementias.,NA,2022,New insights into the genetic etiology of Alzheimer's disease and related dementias.,FALSE
aric_pmid_29273807,Protein-altering variants associated with body mass index implicate pathways that control energy intake and expenditure in obesity.,NA,2018,Protein-altering variants associated with body mass index implicate pathways that control energy intake and expenditure in obesity.,FALSE
aric_pmid_31160809,Publisher Correction: Protein-altering variants associated with body mass index implicate pathways that control energy intake and expenditure in obesity.,NA,2019,Publisher Correction: Protein-altering variants associated with body mass index implicate pathways that control energy intake and expenditure in obesity.,FALSE
aric_pmid_20935630,"Association analyses of 249,796 individuals reveal 18 new loci associated with body mass index.",NA,2010,"Association analyses of 249,796 individuals reveal 18 new loci associated with body mass index.",FALSE
aric_pmid_28146470,Rare and low-frequency coding variants alter human adult height.,NA,2017,Rare and low-frequency coding variants alter human adult height.,FALSE
aric_pmid_26131930,Directional dominance on stature and cognition in diverse human populations.,NA,2015,Directional dominance on stature and cognition in diverse human populations.,FALSE
aric_pmid_32193296,The genetic architecture of the human cerebral cortex.,NA,2020,The genetic architecture of the human cerebral cortex.,FALSE
aric_pmid_35551307,Multi-ancestry genetic study of type 2 diabetes highlights the power of diverse populations for discovery and translation.,NA,2022,Multi-ancestry genetic study of type 2 diabetes highlights the power of diverse populations for discovery and translation.,FALSE
