period,period_start,period_end,metric,value,top_x,cluster,domain
"Domain 1: use, school, symptoms, alcohol",NA,NA,n_papers,1523,NA,1,"Domain 1: use, school, symptoms, alcohol"
"Domain 1: use, school, symptoms, alcohol",NA,NA,n_authors,2752,NA,1,"Domain 1: use, school, symptoms, alcohol"
"Domain 1: use, school, symptoms, alcohol",NA,NA,hhi,0.013561805004378247,NA,1,"Domain 1: use, school, symptoms, alcohol"
"Domain 1: use, school, symptoms, alcohol",NA,NA,top_x_share,0.05121470781352593,1,1,"Domain 1: use, school, symptoms, alcohol"
"Domain 1: use, school, symptoms, alcohol",NA,NA,top_x_share,0.0912672357189757,3,1,"Domain 1: use, school, symptoms, alcohol"
"Domain 1: use, school, symptoms, alcohol",NA,NA,top_x_share,0.12738017071569271,5,1,"Domain 1: use, school, symptoms, alcohol"
"Domain 1: use, school, symptoms, alcohol",NA,NA,top_x_share,0.18319107025607353,10,1,"Domain 1: use, school, symptoms, alcohol"
"Domain 2: sexual, suicide, sex, suicidal",NA,NA,n_papers,415,NA,2,"Domain 2: sexual, suicide, sex, suicidal"
"Domain 2: sexual, suicide, sex, suicidal",NA,NA,n_authors,828,NA,2,"Domain 2: sexual, suicide, sex, suicidal"
"Domain 2: sexual, suicide, sex, suicidal",NA,NA,hhi,0.028294382348672868,NA,2,"Domain 2: sexual, suicide, sex, suicidal"
"Domain 2: sexual, suicide, sex, suicidal",NA,NA,top_x_share,0.09156626506024096,1,2,"Domain 2: sexual, suicide, sex, suicidal"
"Domain 2: sexual, suicide, sex, suicidal",NA,NA,top_x_share,0.1614457831325301,3,2,"Domain 2: sexual, suicide, sex, suicidal"
"Domain 2: sexual, suicide, sex, suicidal",NA,NA,top_x_share,0.21927710843373494,5,2,"Domain 2: sexual, suicide, sex, suicidal"
"Domain 2: sexual, suicide, sex, suicidal",NA,NA,top_x_share,0.25301204819277107,10,2,"Domain 2: sexual, suicide, sex, suicidal"
"Domain 3: weight, overweight, birth, body",NA,NA,n_papers,83,NA,3,"Domain 3: weight, overweight, birth, body"
"Domain 3: weight, overweight, birth, body",NA,NA,n_authors,189,NA,3,"Domain 3: weight, overweight, birth, body"
"Domain 3: weight, overweight, birth, body",NA,NA,hhi,0.08898243576716473,NA,3,"Domain 3: weight, overweight, birth, body"
"Domain 3: weight, overweight, birth, body",NA,NA,top_x_share,0.14457831325301204,1,3,"Domain 3: weight, overweight, birth, body"
"Domain 3: weight, overweight, birth, body",NA,NA,top_x_share,0.2289156626506024,3,3,"Domain 3: weight, overweight, birth, body"
"Domain 3: weight, overweight, birth, body",NA,NA,top_x_share,0.2289156626506024,5,3,"Domain 3: weight, overweight, birth, body"
"Domain 3: weight, overweight, birth, body",NA,NA,top_x_share,0.3253012048192771,10,3,"Domain 3: weight, overweight, birth, body"
"Domain 4: food, consumption, living, young",NA,NA,n_papers,18,NA,4,"Domain 4: food, consumption, living, young"
"Domain 4: food, consumption, living, young",NA,NA,n_authors,36,NA,4,"Domain 4: food, consumption, living, young"
"Domain 4: food, consumption, living, young",NA,NA,hhi,0.6358024691358031,NA,4,"Domain 4: food, consumption, living, young"
"Domain 4: food, consumption, living, young",NA,NA,top_x_share,0.3333333333333333,1,4,"Domain 4: food, consumption, living, young"
"Domain 4: food, consumption, living, young",NA,NA,top_x_share,0.6111111111111112,3,4,"Domain 4: food, consumption, living, young"
"Domain 4: food, consumption, living, young",NA,NA,top_x_share,0.6111111111111112,5,4,"Domain 4: food, consumption, living, young"
"Domain 4: food, consumption, living, young",NA,NA,top_x_share,0.7777777777777778,10,4,"Domain 4: food, consumption, living, young"
"Domain 5: sleep, duration, short, hours",NA,NA,n_papers,46,NA,5,"Domain 5: sleep, duration, short, hours"
"Domain 5: sleep, duration, short, hours",NA,NA,n_authors,142,NA,5,"Domain 5: sleep, duration, short, hours"
"Domain 5: sleep, duration, short, hours",NA,NA,hhi,0.13941398865784552,NA,5,"Domain 5: sleep, duration, short, hours"
"Domain 5: sleep, duration, short, hours",NA,NA,top_x_share,0.08695652173913043,1,5,"Domain 5: sleep, duration, short, hours"
"Domain 5: sleep, duration, short, hours",NA,NA,top_x_share,0.2826086956521739,3,5,"Domain 5: sleep, duration, short, hours"
"Domain 5: sleep, duration, short, hours",NA,NA,top_x_share,0.2826086956521739,5,5,"Domain 5: sleep, duration, short, hours"
"Domain 5: sleep, duration, short, hours",NA,NA,top_x_share,0.2826086956521739,10,5,"Domain 5: sleep, duration, short, hours"
"Domain 6: smoking, genetic, network, friends",NA,NA,n_papers,277,NA,6,"Domain 6: smoking, genetic, network, friends"
"Domain 6: smoking, genetic, network, friends",NA,NA,n_authors,527,NA,6,"Domain 6: smoking, genetic, network, friends"
"Domain 6: smoking, genetic, network, friends",NA,NA,hhi,0.0570579572260811,NA,6,"Domain 6: smoking, genetic, network, friends"
"Domain 6: smoking, genetic, network, friends",NA,NA,top_x_share,0.08664259927797834,1,6,"Domain 6: smoking, genetic, network, friends"
