dataset,metric,value,top_x,year,computed_date
AddHealth,n_papers,2664,NA,NA,2026-07-06
AddHealth,n_authors,4012,NA,NA,2026-07-06
AddHealth,hhi,0.012502226325423183,NA,NA,2026-07-06
AddHealth,top_x_share,0.042042042042042045,1,NA,2026-07-06
AddHealth,top_x_share,0.09947447447447448,3,NA,2026-07-06
AddHealth,top_x_share,0.13438438438438438,5,NA,2026-07-06
AddHealth,top_x_share,0.16816816816816818,10,NA,2026-07-06
AddHealth,hhi,0.3148788927335639,NA,2000,2026-07-06
AddHealth,top_x_share,0.17647058823529413,1,2000,2026-07-06
AddHealth,top_x_share,0.5882352941176471,3,2000,2026-07-06
AddHealth,top_x_share,0.5882352941176471,5,2000,2026-07-06
AddHealth,top_x_share,0.5882352941176471,10,2000,2026-07-06
AddHealth,hhi,0.23456790123456822,NA,2001,2026-07-06
AddHealth,top_x_share,0.3333333333333333,1,2001,2026-07-06
AddHealth,top_x_share,0.3333333333333333,3,2001,2026-07-06
AddHealth,top_x_share,1,5,2001,2026-07-06
AddHealth,top_x_share,1,10,2001,2026-07-06
AddHealth,hhi,0.11862244897959193,NA,2002,2026-07-06
AddHealth,top_x_share,0.32142857142857145,1,2002,2026-07-06
AddHealth,top_x_share,0.32142857142857145,3,2002,2026-07-06
AddHealth,top_x_share,0.32142857142857145,5,2002,2026-07-06
AddHealth,top_x_share,1,10,2002,2026-07-06
AddHealth,hhi,0.14677640603566527,NA,2003,2026-07-06
AddHealth,top_x_share,0.5555555555555556,1,2003,2026-07-06
AddHealth,top_x_share,0.5555555555555556,3,2003,2026-07-06
AddHealth,top_x_share,0.5555555555555556,5,2003,2026-07-06
AddHealth,top_x_share,0.5555555555555556,10,2003,2026-07-06
AddHealth,hhi,0.1366213151927437,NA,2004,2026-07-06
AddHealth,top_x_share,0.14285714285714285,1,2004,2026-07-06
AddHealth,top_x_share,0.35714285714285715,3,2004,2026-07-06
AddHealth,top_x_share,0.35714285714285715,5,2004,2026-07-06
AddHealth,top_x_share,0.5714285714285714,10,2004,2026-07-06
AddHealth,hhi,0.11805555555555546,NA,2005,2026-07-06
AddHealth,top_x_share,0.10416666666666667,1,2005,2026-07-06
AddHealth,top_x_share,0.20833333333333334,3,2005,2026-07-06
AddHealth,top_x_share,0.4166666666666667,5,2005,2026-07-06
AddHealth,top_x_share,0.4166666666666667,10,2005,2026-07-06
AddHealth,hhi,0.09169550173010403,NA,2006,2026-07-06
AddHealth,top_x_share,0.07352941176470588,1,2006,2026-07-06
AddHealth,top_x_share,0.27941176470588236,3,2006,2026-07-06
AddHealth,top_x_share,0.27941176470588236,5,2006,2026-07-06
AddHealth,top_x_share,0.38235294117647056,10,2006,2026-07-06
AddHealth,hhi,0.09472318339100377,NA,2007,2026-07-06
AddHealth,top_x_share,0.08823529411764706,1,2007,2026-07-06
AddHealth,top_x_share,0.20588235294117646,3,2007,2026-07-06
