period,period_start,period_end,metric,value,top_x,period_type
1999,1999,1999,n_papers,8,NA,annual
1999,1999,1999,n_authors,18,NA,annual
1999,1999,1999,hhi,0.375,NA,annual
1999,1999,1999,top_x_share,0.25,1,annual
1999,1999,1999,top_x_share,1,3,annual
1999,1999,1999,top_x_share,1,5,annual
1999,1999,1999,top_x_share,1,10,annual
2000,2000,2000,n_papers,17,NA,annual
2000,2000,2000,n_authors,50,NA,annual
2000,2000,2000,hhi,0.3148788927335639,NA,annual
2000,2000,2000,top_x_share,0.17647058823529413,1,annual
2000,2000,2000,top_x_share,0.5882352941176471,3,annual
2000,2000,2000,top_x_share,0.5882352941176471,5,annual
2000,2000,2000,top_x_share,0.5882352941176471,10,annual
2001,2001,2001,n_papers,18,NA,annual
2001,2001,2001,n_authors,54,NA,annual
2001,2001,2001,hhi,0.2345679012345684,NA,annual
2001,2001,2001,top_x_share,0.3333333333333333,1,annual
2001,2001,2001,top_x_share,0.3333333333333333,3,annual
2001,2001,2001,top_x_share,1,5,annual
2001,2001,2001,top_x_share,1,10,annual
2002,2002,2002,n_papers,28,NA,annual
2002,2002,2002,n_authors,72,NA,annual
2002,2002,2002,hhi,0.11862244897959193,NA,annual
2002,2002,2002,top_x_share,0.32142857142857145,1,annual
2002,2002,2002,top_x_share,0.32142857142857145,3,annual
2002,2002,2002,top_x_share,0.32142857142857145,5,annual
2002,2002,2002,top_x_share,1,10,annual
2003,2003,2003,n_papers,27,NA,annual
2003,2003,2003,n_authors,71,NA,annual
2003,2003,2003,hhi,0.1467764060356654,NA,annual
2003,2003,2003,top_x_share,0.5555555555555556,1,annual
2003,2003,2003,top_x_share,0.5555555555555556,3,annual
2003,2003,2003,top_x_share,0.5555555555555556,5,annual
2003,2003,2003,top_x_share,0.5555555555555556,10,annual
2004,2004,2004,n_papers,42,NA,annual
2004,2004,2004,n_authors,111,NA,annual
2004,2004,2004,hhi,0.13662131519274365,NA,annual
2004,2004,2004,top_x_share,0.14285714285714285,1,annual
2004,2004,2004,top_x_share,0.35714285714285715,3,annual
2004,2004,2004,top_x_share,0.35714285714285715,5,annual
2004,2004,2004,top_x_share,0.5714285714285714,10,annual
2005,2005,2005,n_papers,48,NA,annual
2005,2005,2005,n_authors,108,NA,annual
2005,2005,2005,hhi,0.11805555555555536,NA,annual
2005,2005,2005,top_x_share,0.10416666666666667,1,annual
2005,2005,2005,top_x_share,0.20833333333333334,3,annual
2005,2005,2005,top_x_share,0.4166666666666667,5,annual
2005,2005,2005,top_x_share,0.4166666666666667,10,annual
2006,2006,2006,n_papers,68,NA,annual
2006,2006,2006,n_authors,157,NA,annual
2006,2006,2006,hhi,0.09169550173010424,NA,annual
2006,2006,2006,top_x_share,0.07352941176470588,1,annual
2006,2006,2006,top_x_share,0.27941176470588236,3,annual
2006,2006,2006,top_x_share,0.27941176470588236,5,annual
2006,2006,2006,top_x_share,0.38235294117647056,10,annual
2007,2007,2007,n_papers,68,NA,annual
2007,2007,2007,n_authors,179,NA,annual
2007,2007,2007,hhi,0.09472318339100397,NA,annual
2007,2007,2007,top_x_share,0.08823529411764706,1,annual
2007,2007,2007,top_x_share,0.20588235294117646,3,annual
2007,2007,2007,top_x_share,0.20588235294117646,5,annual
2007,2007,2007,top_x_share,0.38235294117647056,10,annual
2008,2008,2008,n_papers,80,NA,annual
2008,2008,2008,n_authors,223,NA,annual
2008,2008,2008,hhi,0.07890624999999947,NA,annual
2008,2008,2008,top_x_share,0.075,1,annual
2008,2008,2008,top_x_share,0.175,3,annual
2008,2008,2008,top_x_share,0.3375,5,annual
2008,2008,2008,top_x_share,0.3375,10,annual
2009,2009,2009,n_papers,93,NA,annual
2009,2009,2009,n_authors,219,NA,annual
2009,2009,2009,hhi,0.052375997225113116,NA,annual
2009,2009,2009,top_x_share,0.07526881720430108,1,annual
2009,2009,2009,top_x_share,0.1827956989247312,3,annual
2009,2009,2009,top_x_share,0.27956989247311825,5,annual
2009,2009,2009,top_x_share,0.27956989247311825,10,annual
2010,2010,2010,n_papers,104,NA,annual
2010,2010,2010,n_authors,265,NA,annual
2010,2010,2010,hhi,0.06009615384615324,NA,annual
2010,2010,2010,top_x_share,0.09615384615384616,1,annual
2010,2010,2010,top_x_share,0.20192307692307693,3,annual
2010,2010,2010,top_x_share,0.20192307692307693,5,annual
2010,2010,2010,top_x_share,0.23076923076923078,10,annual
2011,2011,2011,n_papers,104,NA,annual
2011,2011,2011,n_authors,251,NA,annual
2011,2011,2011,hhi,0.05491863905325383,NA,annual
2011,2011,2011,top_x_share,0.08653846153846154,1,annual
2011,2011,2011,top_x_share,0.1346153846153846,3,annual
2011,2011,2011,top_x_share,0.22115384615384615,5,annual
2011,2011,2011,top_x_share,0.34615384615384615,10,annual
2012,2012,2012,n_papers,129,NA,annual
2012,2012,2012,n_authors,324,NA,annual
2012,2012,2012,hhi,0.04747310858722456,NA,annual
2012,2012,2012,top_x_share,0.13953488372093023,1,annual
2012,2012,2012,top_x_share,0.17829457364341086,3,annual
2012,2012,2012,top_x_share,0.2248062015503876,5,annual
2012,2012,2012,top_x_share,0.31007751937984496,10,annual
2013,2013,2013,n_papers,137,NA,annual
2013,2013,2013,n_authors,371,NA,annual
2013,2013,2013,hhi,0.038680803452501314,NA,annual
2013,2013,2013,top_x_share,0.051094890510948905,1,annual
2013,2013,2013,top_x_share,0.145985401459854,3,annual
2013,2013,2013,top_x_share,0.19708029197080293,5,annual
2013,2013,2013,top_x_share,0.25547445255474455,10,annual
2014,2014,2014,n_papers,143,NA,annual
2014,2014,2014,n_authors,369,NA,annual
2014,2014,2014,hhi,0.04342510636216966,NA,annual
2014,2014,2014,top_x_share,0.055944055944055944,1,annual
2014,2014,2014,top_x_share,0.16783216783216784,3,annual
2014,2014,2014,top_x_share,0.16783216783216784,5,annual
2014,2014,2014,top_x_share,0.26573426573426573,10,annual
2015,2015,2015,n_papers,153,NA,annual
2015,2015,2015,n_authors,390,NA,annual
2015,2015,2015,hhi,0.034772950574564976,NA,annual
2015,2015,2015,top_x_share,0.0718954248366013,1,annual
2015,2015,2015,top_x_share,0.0718954248366013,3,annual
2015,2015,2015,top_x_share,0.1503267973856209,5,annual
2015,2015,2015,top_x_share,0.2875816993464052,10,annual
2016,2016,2016,n_papers,143,NA,annual
2016,2016,2016,n_authors,401,NA,annual
2016,2016,2016,hhi,0.04171353122402114,NA,annual
2016,2016,2016,top_x_share,0.08391608391608392,1,annual
2016,2016,2016,top_x_share,0.21678321678321677,3,annual
2016,2016,2016,top_x_share,0.21678321678321677,5,annual
2016,2016,2016,top_x_share,0.3146853146853147,10,annual
2017,2017,2017,n_papers,143,NA,annual
2017,2017,2017,n_authors,385,NA,annual
2017,2017,2017,hhi,0.03711672942442212,NA,annual
2017,2017,2017,top_x_share,0.06293706293706294,1,annual
2017,2017,2017,top_x_share,0.1258741258741259,3,annual
2017,2017,2017,top_x_share,0.17482517482517482,5,annual
2017,2017,2017,top_x_share,0.24475524475524477,10,annual
2018,2018,2018,n_papers,125,NA,annual
2018,2018,2018,n_authors,344,NA,annual
2018,2018,2018,hhi,0.04531200000000045,NA,annual
2018,2018,2018,top_x_share,0.08,1,annual
2018,2018,2018,top_x_share,0.128,3,annual
2018,2018,2018,top_x_share,0.16,5,annual
2018,2018,2018,top_x_share,0.232,10,annual
2019,2019,2019,n_papers,160,NA,annual
2019,2019,2019,n_authors,437,NA,annual
2019,2019,2019,hhi,0.04253906249999971,NA,annual
2019,2019,2019,top_x_share,0.0625,1,annual
2019,2019,2019,top_x_share,0.14375,3,annual
2019,2019,2019,top_x_share,0.15,5,annual
2019,2019,2019,top_x_share,0.2,10,annual
2020,2020,2020,n_papers,115,NA,annual
2020,2020,2020,n_authors,335,NA,annual
2020,2020,2020,hhi,0.044007561436672636,NA,annual
2020,2020,2020,top_x_share,0.043478260869565216,1,annual
2020,2020,2020,top_x_share,0.043478260869565216,3,annual
2020,2020,2020,top_x_share,0.25217391304347825,5,annual
2020,2020,2020,top_x_share,0.25217391304347825,10,annual
2021,2021,2021,n_papers,127,NA,annual
2021,2021,2021,n_authors,359,NA,annual
2021,2021,2021,hhi,0.046872093744187215,NA,annual
2021,2021,2021,top_x_share,0.12598425196850394,1,annual
2021,2021,2021,top_x_share,0.15748031496062992,3,annual
2021,2021,2021,top_x_share,0.15748031496062992,5,annual
2021,2021,2021,top_x_share,0.25984251968503935,10,annual
2022,2022,2022,n_papers,141,NA,annual
2022,2022,2022,n_authors,401,NA,annual
2022,2022,2022,hhi,0.045017856244655124,NA,annual
2022,2022,2022,top_x_share,0.06382978723404255,1,annual
2022,2022,2022,top_x_share,0.1347517730496454,3,annual
2022,2022,2022,top_x_share,0.20567375886524822,5,annual
2022,2022,2022,top_x_share,0.3120567375886525,10,annual
2023,2023,2023,n_papers,107,NA,annual
2023,2023,2023,n_authors,391,NA,annual
2023,2023,2023,hhi,0.06017992837802419,NA,annual
2023,2023,2023,top_x_share,0.056074766355140186,1,annual
2023,2023,2023,top_x_share,0.14018691588785046,3,annual
2023,2023,2023,top_x_share,0.2897196261682243,5,annual
2023,2023,2023,top_x_share,0.2897196261682243,10,annual
2024,2024,2024,n_papers,109,NA,annual
2024,2024,2024,n_authors,370,NA,annual
2024,2024,2024,hhi,0.07137446342900527,NA,annual
2024,2024,2024,top_x_share,0.09174311926605505,1,annual
2024,2024,2024,top_x_share,0.14678899082568808,3,annual
2024,2024,2024,top_x_share,0.1559633027522936,5,annual
2024,2024,2024,top_x_share,0.3211009174311927,10,annual
2025,2025,2025,n_papers,138,NA,annual
2025,2025,2025,n_authors,448,NA,annual
2025,2025,2025,hhi,0.059178743961353496,NA,annual
2025,2025,2025,top_x_share,0.09420289855072464,1,annual
2025,2025,2025,top_x_share,0.18115942028985507,3,annual
2025,2025,2025,top_x_share,0.21739130434782608,5,annual
2025,2025,2025,top_x_share,0.2753623188405797,10,annual
2026,2026,2026,n_papers,86,NA,annual
2026,2026,2026,n_authors,318,NA,annual
2026,2026,2026,hhi,0.06354786371011319,NA,annual
2026,2026,2026,top_x_share,0.08139534883720931,1,annual
2026,2026,2026,top_x_share,0.1511627906976744,3,annual
2026,2026,2026,top_x_share,0.1744186046511628,5,annual
2026,2026,2026,top_x_share,0.3488372093023256,10,annual
1995-1999,1995,1999,n_papers,11,NA,five_year
1995-1999,1995,1999,n_authors,30,NA,five_year
1995-1999,1995,1999,hhi,0.4545454545454539,NA,five_year
1995-1999,1995,1999,top_x_share,0.2727272727272727,1,five_year
1995-1999,1995,1999,top_x_share,0.6363636363636364,3,five_year
1995-1999,1995,1999,top_x_share,0.6363636363636364,5,five_year
1995-1999,1995,1999,top_x_share,1,10,five_year
2000-2004,2000,2004,n_papers,132,NA,five_year
2000-2004,2000,2004,n_authors,273,NA,five_year
2000-2004,2000,2004,hhi,0.06290174471992699,NA,five_year
2000-2004,2000,2004,top_x_share,0.06818181818181818,1,five_year
2000-2004,2000,2004,top_x_share,0.20454545454545456,3,five_year
2000-2004,2000,2004,top_x_share,0.2803030303030303,5,five_year
2000-2004,2000,2004,top_x_share,0.3939393939393939,10,five_year
2005-2009,2005,2009,n_papers,357,NA,five_year
2005-2009,2005,2009,n_authors,617,NA,five_year
2005-2009,2005,2009,hhi,0.03828982573421537,NA,five_year
2005-2009,2005,2009,top_x_share,0.05042016806722689,1,five_year
2005-2009,2005,2009,top_x_share,0.13725490196078433,3,five_year
2005-2009,2005,2009,top_x_share,0.20728291316526612,5,five_year
2005-2009,2005,2009,top_x_share,0.24369747899159663,10,five_year
2010-2014,2010,2014,n_papers,617,NA,five_year
2010-2014,2010,2014,n_authors,1086,NA,five_year
2010-2014,2010,2014,hhi,0.02436109265043044,NA,five_year
2010-2014,2010,2014,top_x_share,0.05186385737439222,1,five_year
2010-2014,2010,2014,top_x_share,0.14100486223662884,3,five_year
2010-2014,2010,2014,top_x_share,0.16045380875202594,5,five_year
2010-2014,2010,2014,top_x_share,0.2171799027552674,10,five_year
2015-2019,2015,2019,n_papers,724,NA,five_year
2015-2019,2015,2019,n_authors,1360,NA,five_year
2015-2019,2015,2019,hhi,0.019499175849331533,NA,five_year
2015-2019,2015,2019,top_x_share,0.05110497237569061,1,five_year
2015-2019,2015,2019,top_x_share,0.09530386740331492,3,five_year
2015-2019,2015,2019,top_x_share,0.11740331491712708,5,five_year
2015-2019,2015,2019,top_x_share,0.18232044198895028,10,five_year
2020-2024,2020,2024,n_papers,599,NA,five_year
2020-2024,2020,2024,n_authors,1373,NA,five_year
2020-2024,2020,2024,hhi,0.025679973021256883,NA,five_year
2020-2024,2020,2024,top_x_share,0.05676126878130217,1,five_year
