author_raw,n_papers,last_name,initials
Austin SB,10,Austin,SB
Austin AE,9,Austin,AE
Bauer DJ,6,Bauer,DJ
Bauer KW,6,Bauer,KW
Chen P,8,Chen,P
Chen H,6,Chen,H
Chen E,5,Chen,E
Chen Y,5,Chen,Y
Clark CJ,12,Clark,CJ
Clark TT,7,Clark,TT
Eitle TM,10,Eitle,TM
Eitle D,7,Eitle,D
Everett BG,15,Everett,BG
Everett B,8,Everett,B
Fletcher JM,14,Fletcher,JM
Fletcher J,8,Fletcher,J
Ford CA,22,Ford,CA
Ford JL,7,Ford,JL
Lange LA,11,Lange,LA
Lange EM,10,Lange,EM
Lee H,14,Lee,H
Lee TK,12,Lee,TK
Lee J,10,Lee,J
Lee CG,9,Lee,CG
Lee SS,6,Lee,SS
Li JJ,12,Li,JJ
Li Y,10,Li,Y
Martin SL,11,Martin,SL
Martin CL,7,Martin,CL
Martin MA,7,Martin,MA
Park S,6,Park,S
Park GR,5,Park,GR
Park H,5,Park,H
Rees DI,9,Rees,DI
Rees C,5,Rees,C
Richardson AS,13,Richardson,AS
Richardson LJ,5,Richardson,LJ
Shanahan MJ,15,Shanahan,MJ
Shanahan ME,10,Shanahan,ME
Shanahan M,6,Shanahan,M
Shanahan L,5,Shanahan,L
Suchindran C,6,Suchindran,C
Suchindran CM,6,Suchindran,CM
Timberlake DS,9,Timberlake,DS
Timberlake D,5,Timberlake,D
Warner TD,10,Warner,TD
Warner DF,5,Warner,DF
Wickrama KA,10,Wickrama,KA
Wickrama KAS,7,Wickrama,KAS
Wickrama KK,6,Wickrama,KK
Wickrama T,5,Wickrama,T
Wilkinson L,9,Wilkinson,L
Wilkinson R,9,Wilkinson,R
Wu Q,6,Wu,Q
Wu S,5,Wu,S
Zhang X,15,Zhang,X
Zhang J,6,Zhang,J
