pmid,title,abstract,pub_year,text,has_abstract
42396286,Midlife Measures of General Cognitive Performance in the National Longitudinal Study of Adolescent to Adult Health (Add Health).,"OBJECTIVE: The Add Health Cognitive Assessment, Physical, and Sensory Function Protocol (Add CAPS) was developed to assess cognitive, physical, and sensory function in early midlife in a nationally representative sample in the United States. Using Add CAPS, we developed two general cognitive performance measures. METHODS: The sample included 2,525 participants from Add Health Wave VI who completed an in- home assessment of cognitive performance. Confirmatory factor analysis (CFA) was used to derive two general cognitive performance (GCP) scores: (1) a five-domain score based on originally designed cognitive domains (Add CAPS GCP), and (2) a modified score aligned with the Harmonized Cognitive Assessment Protocol (HCAP) framework (Add CAPS GCP-H). We evaluated model fit using Root Mean Square Error of Approximation (RMSEA), Standardized Root Mean Square Residual (SRMR), and Comparative Fit Index (CFI) and tested factor scores for criterion validity. RESULTS: Both models showed good fit (Add CAPS GCP: RMSEA = 0.025, SRMR = 0.031, CFI = 0.968; Add CAPS GCP-H: RMSEA = 0.027, SRMR = 0.033, CFI = 0.962), indicating that they adequately represent the underlying GCP construct. DISCUSSION: The Add CAPS cognitive battery captures a robust, hierarchical structure of GCP across alternative domain specifications. The derived factor scores provide a valuable method for characterizing a person's cognitive baseline during midlife. Importantly, the Add CAPS GCP-H enhances comparability with the HCAP network, supporting cross-cohort analyses of cognitive aging.",2026,"Midlife Measures of General Cognitive Performance in the National Longitudinal Study of Adolescent to Adult Health (Add Health). OBJECTIVE: The Add Health Cognitive Assessment, Physical, and Sensory Function Protocol (Add CAPS) was developed to assess cognitive, physical, and sensory function in early midlife in a nationally representative sample in the United States. Using Add CAPS, we developed two general cognitive performance measures. METHODS: The sample included 2,525 participants from Add Health Wave VI who completed an in- home assessment of cognitive performance. Confirmatory factor analysis (CFA) was used to derive two general cognitive performance (GCP) scores: (1) a five-domain score based on originally designed cognitive domains (Add CAPS GCP), and (2) a modified score aligned with the Harmonized Cognitive Assessment Protocol (HCAP) framework (Add CAPS GCP-H). We evaluated model fit using Root Mean Square Error of Approximation (RMSEA), Standardized Root Mean Square Residual (SRMR), and Comparative Fit Index (CFI) and tested factor scores for criterion validity. RESULTS: Both models showed good fit (Add CAPS GCP: RMSEA = 0.025, SRMR = 0.031, CFI = 0.968; Add CAPS GCP-H: RMSEA = 0.027, SRMR = 0.033, CFI = 0.962), indicating that they adequately represent the underlying GCP construct. DISCUSSION: The Add CAPS cognitive battery captures a robust, hierarchical structure of GCP across alternative domain specifications. The derived factor scores provide a valuable method for characterizing a person's cognitive baseline during midlife. Importantly, the Add CAPS GCP-H enhances comparability with the HCAP network, supporting cross-cohort analyses of cognitive aging.",TRUE
42377692,Low Self-Esteem Predicts Persistent Suicidal Ideation Across Adolescence and Young Adulthood: A 14-year Longitudinal Study.,"Repeated or persistent suicidal ideation (SI) and suicide attempts (SA) are among the most robust risk factors for later suicide mortality, yet few studies have identified factors that consistently predict their recurrence over time. Using data from the U.S. National Longitudinal Study of Adolescent to Adult Health, which followed a nationally representative cohort of U.S. adolescents over 14 years, we examined whether adolescent self-esteem predicts SI and SA across adolescence and young adulthood. A total of 6,504 adolescents were assessed at Wave 1 (1994-1995), with follow-up interviews conducted at one, seven, and fourteen years. Self-esteem and demographic characteristics were measured at baseline, whereas SI, SA, and established risk factors for suicidality (i.e., depressive symptoms, substance use, violent victimization, childhood maltreatment, and recent exposure to suicide attempts) were assessed at each wave. Time-lagged logistic regression models showed that adolescent self-esteem predicted SI at all follow-ups, even after adjusting for demographic factors, concurrent risk factors, and prior suicidality. In contrast, SA was more consistently predicted by concurrent risk factors. We discuss the implications of these findings for suicide prevention and intervention.",2026,"Low Self-Esteem Predicts Persistent Suicidal Ideation Across Adolescence and Young Adulthood: A 14-year Longitudinal Study. Repeated or persistent suicidal ideation (SI) and suicide attempts (SA) are among the most robust risk factors for later suicide mortality, yet few studies have identified factors that consistently predict their recurrence over time. Using data from the U.S. National Longitudinal Study of Adolescent to Adult Health, which followed a nationally representative cohort of U.S. adolescents over 14 years, we examined whether adolescent self-esteem predicts SI and SA across adolescence and young adulthood. A total of 6,504 adolescents were assessed at Wave 1 (1994-1995), with follow-up interviews conducted at one, seven, and fourteen years. Self-esteem and demographic characteristics were measured at baseline, whereas SI, SA, and established risk factors for suicidality (i.e., depressive symptoms, substance use, violent victimization, childhood maltreatment, and recent exposure to suicide attempts) were assessed at each wave. Time-lagged logistic regression models showed that adolescent self-esteem predicted SI at all follow-ups, even after adjusting for demographic factors, concurrent risk factors, and prior suicidality. In contrast, SA was more consistently predicted by concurrent risk factors. We discuss the implications of these findings for suicide prevention and intervention.",TRUE
42367156,A cross-sectional and prospective examination of alcohol use and misuse among adult twin and sibling pairs discordant for neighborhood socio-economic disadvantage.,"AIM: To determine whether the association between neighborhood disadvantage and alcohol use and misuse can be explained by a potentially causal effect of neighborhoods or by between-family genetic and environmental confounding. DESIGN: Cross-sectional and prospective discordant twin and sibling study. SETTING: United States national sample. PARTICIPANTS: 1477 adult twin and sibling pairs (217 monozygotic twin, 336 dizygotic twin and 924 full biological sibling pairs) from the National Longitudinal Study of Adolescent to Adult Health (mean age = 28.49 years, 53% female). Most twin and sibling pairs were discordant for the level of disadvantage in their neighborhood (70%). MEASUREMENTS: The predictor was wave 4 neighborhood disadvantage, along with wave 4 individual-, family- and neighborhood-level covariates. The outcomes were any alcohol use, quantity x frequency of alcohol use (alcohol QF) and frequency of binge drinking assessed at wave 4 in the cross-sectional models and at wave 5 in the prospective models. Neighborhood disadvantage for the two members of a twin/sibling pair was used to create two orthogonal within- and between-pair variables to be used to decompose the neighborhood/alcohol association into a within-pair (i.e. potentially causal) effect and a between-pair association (i.e. family level confounding). FINDINGS: In fully adjusted models including all covariates, only between-pair (not within-pair) neighborhood disadvantage was cross-sectionally [odds ratio (OR) = 0.92, 95% confidence interval (CI) = 0.88-0.98] and prospectively (OR = 0.92, 95% CI = 0.85-0.98) associated with lower odds of any alcohol use in the past year. Between-pair neighborhood disadvantage was cross-sectionally, but not prospectively, associated with increased alcohol QF in the past month among women [mean ratio (MR) = 1.09, 95% CI = 1.03-1.15], but not among men (MR = 1.01, 95% CI = 0.96-1.06). Within-pair disadvantage was also cross-sectionally, but not prospectively, associated with increased alcohol QF in the past month (MR = 1.04, 95% CI = 1.01-1.07). Neighborhood disadvantage was not significantly associated with binge drinking. CONCLUSIONS: Neighborhood disadvantage appears to be negatively, positively and not significantly associated with any alcohol use, quantity-frequency of use and binge drinking, respectively. Neighborhood disadvantage associations are more consistently explained by between-family confounds, that is, genetic and family environmental factors common to neighborhood disadvantage and to drinking occurrence and amount consumed. This may be due to differential selection by families into neighborhoods.",2026,"A cross-sectional and prospective examination of alcohol use and misuse among adult twin and sibling pairs discordant for neighborhood socio-economic disadvantage. AIM: To determine whether the association between neighborhood disadvantage and alcohol use and misuse can be explained by a potentially causal effect of neighborhoods or by between-family genetic and environmental confounding. DESIGN: Cross-sectional and prospective discordant twin and sibling study. SETTING: United States national sample. PARTICIPANTS: 1477 adult twin and sibling pairs (217 monozygotic twin, 336 dizygotic twin and 924 full biological sibling pairs) from the National Longitudinal Study of Adolescent to Adult Health (mean age = 28.49 years, 53% female). Most twin and sibling pairs were discordant for the level of disadvantage in their neighborhood (70%). MEASUREMENTS: The predictor was wave 4 neighborhood disadvantage, along with wave 4 individual-, family- and neighborhood-level covariates. The outcomes were any alcohol use, quantity x frequency of alcohol use (alcohol QF) and frequency of binge drinking assessed at wave 4 in the cross-sectional models and at wave 5 in the prospective models. Neighborhood disadvantage for the two members of a twin/sibling pair was used to create two orthogonal within- and between-pair variables to be used to decompose the neighborhood/alcohol association into a within-pair (i.e. potentially causal) effect and a between-pair association (i.e. family level confounding). FINDINGS: In fully adjusted models including all covariates, only between-pair (not within-pair) neighborhood disadvantage was cross-sectionally [odds ratio (OR) = 0.92, 95% confidence interval (CI) = 0.88-0.98] and prospectively (OR = 0.92, 95% CI = 0.85-0.98) associated with lower odds of any alcohol use in the past year. Between-pair neighborhood disadvantage was cross-sectionally, but not prospectively, associated with increased alcohol QF in the past month among women [mean ratio (MR) = 1.09, 95% CI = 1.03-1.15], but not among men (MR = 1.01, 95% CI = 0.96-1.06). Within-pair disadvantage was also cross-sectionally, but not prospectively, associated with increased alcohol QF in the past month (MR = 1.04, 95% CI = 1.01-1.07). Neighborhood disadvantage was not significantly associated with binge drinking. CONCLUSIONS: Neighborhood disadvantage appears to be negatively, positively and not significantly associated with any alcohol use, quantity-frequency of use and binge drinking, respectively. Neighborhood disadvantage associations are more consistently explained by between-family confounds, that is, genetic and family environmental factors common to neighborhood disadvantage and to drinking occurrence and amount consumed. This may be due to differential selection by families into neighborhoods.",TRUE
42347930,How adolescent depressive symptoms are associated with premature mortality: Behavioral and socioeconomic pathways across the life course.,"Premature mortality in young adulthood has become a growing public health concern in the United States, yet it remains unclear whether vulnerability to early death originates as early as adolescence. Although depressive symptoms are highly prevalent during adolescence and linked to long-term health and socioeconomic disadvantages, their prospective association with premature mortality remains poorly understood. This study examined whether depressive symptoms experienced during adolescence predict premature mortality in young adulthood and whether health behaviors and socioeconomic status in early adulthood help explain this association. Data were drawn from Waves I and III of the National Longitudinal Study of Adolescent to Adult Health, along with the Mortality Outcomes Surveillance System established in Wave V (N = 14,320). Cox proportional hazards models estimated the association between adolescent depressive symptoms and premature mortality, and cause-specific Cox proportional hazards models evaluated deaths due to disease, suicide, and external causes. Mediation analyses tested health behaviors and socioeconomic factors as mechanisms. Higher adolescent depressive symptoms were associated with increased risk of all-cause premature mortality in young adulthood. Cause-specific models showed that this association was concentrated in deaths due to external causes, with no significant associations for disease-related deaths or suicide. Cigarette smoking, marijuana use, lower educational attainment, and reduced employment in early adulthood accounted for part of the association for all-cause mortality. For external-cause mortality, however, health behaviors-specifically cigarette smoking and marijuana use-emerged as the prominent mediating pathways. Findings suggest that adolescent depressive symptoms may be associated with an increased vulnerability to premature mortality, in part through behavioral and socioeconomic pathways that emerge in early adulthood. Strengthening early mental health identification and support could reduce long-term disparities in survival.",2026,"How adolescent depressive symptoms are associated with premature mortality: Behavioral and socioeconomic pathways across the life course. Premature mortality in young adulthood has become a growing public health concern in the United States, yet it remains unclear whether vulnerability to early death originates as early as adolescence. Although depressive symptoms are highly prevalent during adolescence and linked to long-term health and socioeconomic disadvantages, their prospective association with premature mortality remains poorly understood. This study examined whether depressive symptoms experienced during adolescence predict premature mortality in young adulthood and whether health behaviors and socioeconomic status in early adulthood help explain this association. Data were drawn from Waves I and III of the National Longitudinal Study of Adolescent to Adult Health, along with the Mortality Outcomes Surveillance System established in Wave V (N = 14,320). Cox proportional hazards models estimated the association between adolescent depressive symptoms and premature mortality, and cause-specific Cox proportional hazards models evaluated deaths due to disease, suicide, and external causes. Mediation analyses tested health behaviors and socioeconomic factors as mechanisms. Higher adolescent depressive symptoms were associated with increased risk of all-cause premature mortality in young adulthood. Cause-specific models showed that this association was concentrated in deaths due to external causes, with no significant associations for disease-related deaths or suicide. Cigarette smoking, marijuana use, lower educational attainment, and reduced employment in early adulthood accounted for part of the association for all-cause mortality. For external-cause mortality, however, health behaviors-specifically cigarette smoking and marijuana use-emerged as the prominent mediating pathways. Findings suggest that adolescent depressive symptoms may be associated with an increased vulnerability to premature mortality, in part through behavioral and socioeconomic pathways that emerge in early adulthood. Strengthening early mental health identification and support could reduce long-term disparities in survival.",TRUE
42334322,Association of Intimate Partner Violence With Substance Use Among Adults in Same-Sex and Opposite-Sex Partnerships.,"Intimate partner violence (IPV) is linked to harmful drug use, especially in same-sex romantic partnerships, yet few studies use longitudinal data to evaluate this association over the life course. This study used the National Longitudinal Study of Adolescent to Adult Health (Add Health) to examine how IPV reported in Wave IV (2006-2008) relates to non-medical prescription and illicit drug use (drug use) in Wave V (2016-2018), stratified by same- and opposite-sex partnerships. Risk ratios (RR) adjusted for race/ethnicity, sexual orientation, age at IPV, prior substance use, child maltreatment, socioeconomic status, and social support were calculated. Sensitivity analyses additionally adjusted for gender and IPV type (physical or sexual). Among 7,318 participants, 23.0% reported experiences of IPV, 16.5% reported IPV perpetration, 13.7% reported both IPV experiences and perpetration and 13.4% reported drug use in Wave V. Same-sex partnership participants had higher prevalences of IPV experiences and perpetration (13.5% vs. 11.3%) and drug use (21.6% vs. 13.2%) than opposite-sex partnership participants. Overall, participants who reported IPV experiences only (RR = 1.27, 95% CI [0.99, 1.63]) and both IPV experiences and perpetration (RR = 1.27 [1.04, 1.56]) had higher relative risks of drug use than those who did not report any IPV. Results were similar by partnership type, with the exception that those in same-sex partnership who perpetrated IPV had a higher relative risk of drug use than those who did not report any IPV (RR = 1.22 [0.16, 9.04]). Participants who identified as female and experienced IPV (RR = 1.40 [1.03, 1.90]) or both experienced and perpetrated IPV (RR = 1.51 [1.19, 1.91]) also had a higher relative risk of drug use compared to females who did not experience or perpetrate IPV. These findings emphasize the need for tailored IPV and drug use interventions based on gender and type of romantic partnership.",2026,"Association of Intimate Partner Violence With Substance Use Among Adults in Same-Sex and Opposite-Sex Partnerships. Intimate partner violence (IPV) is linked to harmful drug use, especially in same-sex romantic partnerships, yet few studies use longitudinal data to evaluate this association over the life course. This study used the National Longitudinal Study of Adolescent to Adult Health (Add Health) to examine how IPV reported in Wave IV (2006-2008) relates to non-medical prescription and illicit drug use (drug use) in Wave V (2016-2018), stratified by same- and opposite-sex partnerships. Risk ratios (RR) adjusted for race/ethnicity, sexual orientation, age at IPV, prior substance use, child maltreatment, socioeconomic status, and social support were calculated. Sensitivity analyses additionally adjusted for gender and IPV type (physical or sexual). Among 7,318 participants, 23.0% reported experiences of IPV, 16.5% reported IPV perpetration, 13.7% reported both IPV experiences and perpetration and 13.4% reported drug use in Wave V. Same-sex partnership participants had higher prevalences of IPV experiences and perpetration (13.5% vs. 11.3%) and drug use (21.6% vs. 13.2%) than opposite-sex partnership participants. Overall, participants who reported IPV experiences only (RR = 1.27, 95% CI [0.99, 1.63]) and both IPV experiences and perpetration (RR = 1.27 [1.04, 1.56]) had higher relative risks of drug use than those who did not report any IPV. Results were similar by partnership type, with the exception that those in same-sex partnership who perpetrated IPV had a higher relative risk of drug use than those who did not report any IPV (RR = 1.22 [0.16, 9.04]). Participants who identified as female and experienced IPV (RR = 1.40 [1.03, 1.90]) or both experienced and perpetrated IPV (RR = 1.51 [1.19, 1.91]) also had a higher relative risk of drug use compared to females who did not experience or perpetrate IPV. These findings emphasize the need for tailored IPV and drug use interventions based on gender and type of romantic partnership.",TRUE
42328699,The Long-Term Impact of Adolescent Community Weapon-Related Violence Exposure on Depression: Insomnia as a Mediating Pathway.,"Adolescents exposed to community weapon-related violence face increased mental health risks, including depression, with insomnia linked to negative mental health outcomes. Given the high rates of insomnia in this population, this study explores insomnia as a mediator between community weapon-related violence and adult depression. Using data from the National Longitudinal Study of Adolescent to Adult Health, we analyzed the association between adolescent weapon-related violence (Wave 1) and depression in adulthood (Wave 4), with insomnia (Wave 2) as a mediator (N = 3924). Community weapon-related violence was associated with higher levels of depression in adulthood, 13 years post-exposure, through insomnia (β = 0.01, p = 0.01). Insomnia accounted for 7% of the total effect of weapon-related violence on depressive symptoms, indicating a partial mediation effect. Our findings identify a pathway through which adolescent community weapon-related violence leads to depression in adulthood, underscoring the need for early interventions targeting insomnia to reduce long-term depression risk in this population.",2026,"The Long-Term Impact of Adolescent Community Weapon-Related Violence Exposure on Depression: Insomnia as a Mediating Pathway. Adolescents exposed to community weapon-related violence face increased mental health risks, including depression, with insomnia linked to negative mental health outcomes. Given the high rates of insomnia in this population, this study explores insomnia as a mediator between community weapon-related violence and adult depression. Using data from the National Longitudinal Study of Adolescent to Adult Health, we analyzed the association between adolescent weapon-related violence (Wave 1) and depression in adulthood (Wave 4), with insomnia (Wave 2) as a mediator (N = 3924). Community weapon-related violence was associated with higher levels of depression in adulthood, 13 years post-exposure, through insomnia (β = 0.01, p = 0.01). Insomnia accounted for 7% of the total effect of weapon-related violence on depressive symptoms, indicating a partial mediation effect. Our findings identify a pathway through which adolescent community weapon-related violence leads to depression in adulthood, underscoring the need for early interventions targeting insomnia to reduce long-term depression risk in this population.",TRUE
42305881,Associations between childhood maltreatment and mid-life health risks and risky health behaviors in a nationally representative sample.,"Millions of U.S. children experience maltreatment each year, which is associated with subsequent health risks, including psychopathology. We use data from up to 9692 participants in the National Longitudinal Study of Adolescent to Adult Health (Add Health) to update and extend knowledge about such health risks into the start of midlife. These data include detailed retrospective measures of supervisory neglect, physical neglect, physical abuse, and sexual abuse, and also include data on health and health-relevant behaviors that were self-reported (general health, depression measured as CES-D negative affect subscale, smoking, alcohol use, and illegal drug use) and directly measured (BMI, hypertension, renal function, and cardiovascular disease risk) at ages 32-42. We use these data to (1) provide the strongest evidence to date about the persistence of health risks among formerly maltreated individuals approaching midlife and (2) examine the prevalence of such risks among two particularly vulnerable groups: those who experienced multiple types of maltreatment, and those who experienced frequent maltreatment. Our analyses reveal depression and smoking as salient midlife health risks among individuals who experienced physical neglect and sexual abuse. We also find evidence that multi-victimization and recurring maltreatment increases such risks but find no evidence of linear dose-response relationships between maltreatment frequency and health. Findings are robust to the inclusion of covariates that control for other individual-, family-, and neighborhood-level risk factors.",2026,"Associations between childhood maltreatment and mid-life health risks and risky health behaviors in a nationally representative sample. Millions of U.S. children experience maltreatment each year, which is associated with subsequent health risks, including psychopathology. We use data from up to 9692 participants in the National Longitudinal Study of Adolescent to Adult Health (Add Health) to update and extend knowledge about such health risks into the start of midlife. These data include detailed retrospective measures of supervisory neglect, physical neglect, physical abuse, and sexual abuse, and also include data on health and health-relevant behaviors that were self-reported (general health, depression measured as CES-D negative affect subscale, smoking, alcohol use, and illegal drug use) and directly measured (BMI, hypertension, renal function, and cardiovascular disease risk) at ages 32-42. We use these data to (1) provide the strongest evidence to date about the persistence of health risks among formerly maltreated individuals approaching midlife and (2) examine the prevalence of such risks among two particularly vulnerable groups: those who experienced multiple types of maltreatment, and those who experienced frequent maltreatment. Our analyses reveal depression and smoking as salient midlife health risks among individuals who experienced physical neglect and sexual abuse. We also find evidence that multi-victimization and recurring maltreatment increases such risks but find no evidence of linear dose-response relationships between maltreatment frequency and health. Findings are robust to the inclusion of covariates that control for other individual-, family-, and neighborhood-level risk factors.",TRUE
42291048,"Association between ADHD history and ""Life's Crucial 9"" cardiovascular risk factors in young adults.","OBJECTIVE: Symptoms of attention-deficit/hyperactivity disorder (ADHD) often persist into adulthood, increasing cardiovascular disease (CVD) risk. This study extends our previous research, by examining associations between ADHD and modifiable CVD risk factors, incorporating the recently proposed Life's Crucial 9 (LC9) metric. METHODS: We conducted a prospective analysis using data from the National Longitudinal Study of Adolescent to Adult Health (Add Health). ADHD was identified at Wave IV (mean age 28.4), and at Wave V (approximately 9 years later), we assessed nine CVD risk components, including smoking, physical activity, diet, sleep, body mass index, lipids, blood glucose, blood pressure, and psychological health status A cumulative LC9 risk factor count (range 0-9) was calculated by summing adverse components, with higher counts indicating greater LC9 risk factor burden. Survey-weighted linear, logistic, and multinomial logistic regression models were used to estimate these associations, adjusting for potential confounders. RESULTS: Among 10 913 participants (mean age 28.4 years; 49.4 % male), 492 (4.7 %) reported an ADHD diagnosis. Over 9 years of follow-up, ADHD was associated with a higher LC9 risk factor count. Compared with individuals without ADHD, those with ADHD had higher odds of cigarette smoking (OR, 1.66 [95 % CI, 1.26-2.18]), sleep problems (OR, 1.41 [95 % CI, 1.09-1.82]), and anxiety and/or depression (OR, 3.31 [95 % CI, 2.50-4.42]). In joint-category analyses, participants with both ADHD and anxiety and/or depression showed the most adverse profiles, particularly for smoking, sleep problems, hyperlipidemia, and hypertension. CONCLUSIONS: ADHD in young adulthood is associated with an unfavorable cardiovascular risk profile. Psychological comorbidity substantially amplifies this burden, highlighting the importance of integrating mental health screening into LC9-based cardiovascular prevention strategies.",2026,"Association between ADHD history and ""Life's Crucial 9"" cardiovascular risk factors in young adults. OBJECTIVE: Symptoms of attention-deficit/hyperactivity disorder (ADHD) often persist into adulthood, increasing cardiovascular disease (CVD) risk. This study extends our previous research, by examining associations between ADHD and modifiable CVD risk factors, incorporating the recently proposed Life's Crucial 9 (LC9) metric. METHODS: We conducted a prospective analysis using data from the National Longitudinal Study of Adolescent to Adult Health (Add Health). ADHD was identified at Wave IV (mean age 28.4), and at Wave V (approximately 9 years later), we assessed nine CVD risk components, including smoking, physical activity, diet, sleep, body mass index, lipids, blood glucose, blood pressure, and psychological health status A cumulative LC9 risk factor count (range 0-9) was calculated by summing adverse components, with higher counts indicating greater LC9 risk factor burden. Survey-weighted linear, logistic, and multinomial logistic regression models were used to estimate these associations, adjusting for potential confounders. RESULTS: Among 10 913 participants (mean age 28.4 years; 49.4 % male), 492 (4.7 %) reported an ADHD diagnosis. Over 9 years of follow-up, ADHD was associated with a higher LC9 risk factor count. Compared with individuals without ADHD, those with ADHD had higher odds of cigarette smoking (OR, 1.66 [95 % CI, 1.26-2.18]), sleep problems (OR, 1.41 [95 % CI, 1.09-1.82]), and anxiety and/or depression (OR, 3.31 [95 % CI, 2.50-4.42]). In joint-category analyses, participants with both ADHD and anxiety and/or depression showed the most adverse profiles, particularly for smoking, sleep problems, hyperlipidemia, and hypertension. CONCLUSIONS: ADHD in young adulthood is associated with an unfavorable cardiovascular risk profile. Psychological comorbidity substantially amplifies this burden, highlighting the importance of integrating mental health screening into LC9-based cardiovascular prevention strategies.",TRUE
42274041,Is Night Shift Work Associated With Depression and Suicidal Ideation? A 17-Year Follow-Up Study.,"BACKGROUND: Despite awareness of night shift work's mental health risks, its long-term effects, especially sex differences, remain underexplored. The aim of the study was to investigate the association between night shift work and mental health outcomes using multivariable regression models and to assess sex differences in these associations. METHODS: We analyzed data from 9,057 participants (mean age = 22.08 years, 52.6% females) who participated in Waves III (2001-2002), IV (2008-2009), and V (2016-2018) of the National Longitudinal Study of Adolescent Health (Add Health) in the USA. Associations between night shift work and mental health outcomes were assessed using binomial generalized linear models to estimate relative risks (RR; 95% CIs). We tested night shift with sex interactions and performed sex-stratified analyses when significant. FINDINGS: Night shift work for 17 years (4.6% of the participants), was associated with an increased risk of suicidal ideation (RR = 2.30, 95% CI [1.35, 3.90]) and depression (RR = 1.46, 95% CI [1.02, 2.09]) in women, but not in men. Depressive symptoms including feeling unhappy (RR = 1.69, 95% CI [1.15, 2.46]) and ""shake blue/feeling blue"" (RR = 2.04, 95% CI [1.01, 4.12]) were significantly associated with night shift work in men. In women, feeling sad (RR = 1.79, 95% CI [1.05, 3.07]) and ""shake blue/feeling blue"" (RR = 1.87, 95% CI [1.02, 3.43]) were also significantly linked to night shift work. CONCLUSIONS/APPLICATION TO PRACTICE: Long-term night shift work was associated with suicidal ideation and depression among women, but not men, reflecting sex-specific susceptibility to adverse mental health outcomes. Our findings suggest the need for sex-specific interventions to address the mental health risks of night shift work, particularly in women.",2026,"Is Night Shift Work Associated With Depression and Suicidal Ideation? A 17-Year Follow-Up Study. BACKGROUND: Despite awareness of night shift work's mental health risks, its long-term effects, especially sex differences, remain underexplored. The aim of the study was to investigate the association between night shift work and mental health outcomes using multivariable regression models and to assess sex differences in these associations. METHODS: We analyzed data from 9,057 participants (mean age = 22.08 years, 52.6% females) who participated in Waves III (2001-2002), IV (2008-2009), and V (2016-2018) of the National Longitudinal Study of Adolescent Health (Add Health) in the USA. Associations between night shift work and mental health outcomes were assessed using binomial generalized linear models to estimate relative risks (RR; 95% CIs). We tested night shift with sex interactions and performed sex-stratified analyses when significant. FINDINGS: Night shift work for 17 years (4.6% of the participants), was associated with an increased risk of suicidal ideation (RR = 2.30, 95% CI [1.35, 3.90]) and depression (RR = 1.46, 95% CI [1.02, 2.09]) in women, but not in men. Depressive symptoms including feeling unhappy (RR = 1.69, 95% CI [1.15, 2.46]) and ""shake blue/feeling blue"" (RR = 2.04, 95% CI [1.01, 4.12]) were significantly associated with night shift work in men. In women, feeling sad (RR = 1.79, 95% CI [1.05, 3.07]) and ""shake blue/feeling blue"" (RR = 1.87, 95% CI [1.02, 3.43]) were also significantly linked to night shift work. CONCLUSIONS/APPLICATION TO PRACTICE: Long-term night shift work was associated with suicidal ideation and depression among women, but not men, reflecting sex-specific susceptibility to adverse mental health outcomes. Our findings suggest the need for sex-specific interventions to address the mental health risks of night shift work, particularly in women.",TRUE
42274018,The Educational Exposome: A life-course socioenvironmental framework for advancing Alzheimer's disease and ADRD research.,"INTRODUCTION: The exposome encompasses all environmental exposures across the life course, yet educational environments, a critical socioenvironmental exposure, remain underexplored despite their role in cognitive aging and Alzheimer's disease and related dementias (AD/ADRD). Traditional measures, such as years of schooling, underestimate exposure heterogeneity and mechanisms influencing cognitive reserve. METHODS: The Educational Exposome Framework integrates psychosocial, resource-based, environmental, and structural domains of education: academic self-efficacy, home and community learning resources, and institutional learning contexts drawing on life-course, exposomic, and cognitive health research. RESULTS: The framework conceptualizes education as a multidimensional, interacting system shaping cognitive development, stress biology, and neurodegeneration. Legacy and emerging datasets, including High School & Beyond, Health and Retirement Study, and Add Health, enable life-course reconstruction of educational exposures linked to midlife and later-life cognition. DISCUSSION: By capturing mechanistic pathways and leveraging linked data, the framework supports equity-focused dementia prevention and clarifies education's role in AD/ADRD risk.",2026,"The Educational Exposome: A life-course socioenvironmental framework for advancing Alzheimer's disease and ADRD research. INTRODUCTION: The exposome encompasses all environmental exposures across the life course, yet educational environments, a critical socioenvironmental exposure, remain underexplored despite their role in cognitive aging and Alzheimer's disease and related dementias (AD/ADRD). Traditional measures, such as years of schooling, underestimate exposure heterogeneity and mechanisms influencing cognitive reserve. METHODS: The Educational Exposome Framework integrates psychosocial, resource-based, environmental, and structural domains of education: academic self-efficacy, home and community learning resources, and institutional learning contexts drawing on life-course, exposomic, and cognitive health research. RESULTS: The framework conceptualizes education as a multidimensional, interacting system shaping cognitive development, stress biology, and neurodegeneration. Legacy and emerging datasets, including High School & Beyond, Health and Retirement Study, and Add Health, enable life-course reconstruction of educational exposures linked to midlife and later-life cognition. DISCUSSION: By capturing mechanistic pathways and leveraging linked data, the framework supports equity-focused dementia prevention and clarifies education's role in AD/ADRD risk.",TRUE
