pmid,title,pub_year,cluster,domain,has_abstract
42396286,Midlife Measures of General Cognitive Performance in the National Longitudinal Study of Adolescent to Adult Health (Add Health).,2026,1,"Domain 1: use, school, symptoms, alcohol",TRUE
42377692,Low Self-Esteem Predicts Persistent Suicidal Ideation Across Adolescence and Young Adulthood: A 14-year Longitudinal Study.,2026,2,"Domain 2: sexual, suicide, sex, suicidal",TRUE
42367156,A cross-sectional and prospective examination of alcohol use and misuse among adult twin and sibling pairs discordant for neighborhood socio-economic disadvantage.,2026,1,"Domain 1: use, school, symptoms, alcohol",TRUE
42347930,How adolescent depressive symptoms are associated with premature mortality: Behavioral and socioeconomic pathways across the life course.,2026,1,"Domain 1: use, school, symptoms, alcohol",TRUE
42334322,Association of Intimate Partner Violence With Substance Use Among Adults in Same-Sex and Opposite-Sex Partnerships.,2026,8,"Domain 8: victimization, violence, ipv, perpetration",TRUE
42328699,The Long-Term Impact of Adolescent Community Weapon-Related Violence Exposure on Depression: Insomnia as a Mediating Pathway.,2026,1,"Domain 1: use, school, symptoms, alcohol",TRUE
42305881,Associations between childhood maltreatment and mid-life health risks and risky health behaviors in a nationally representative sample.,2026,1,"Domain 1: use, school, symptoms, alcohol",TRUE
42291048,"Association between ADHD history and ""Life's Crucial 9"" cardiovascular risk factors in young adults.",2026,1,"Domain 1: use, school, symptoms, alcohol",TRUE
42274041,Is Night Shift Work Associated With Depression and Suicidal Ideation? A 17-Year Follow-Up Study.,2026,1,"Domain 1: use, school, symptoms, alcohol",TRUE
42274018,The Educational Exposome: A life-course socioenvironmental framework for advancing Alzheimer's disease and ADRD research.,2026,1,"Domain 1: use, school, symptoms, alcohol",TRUE
42264336,Fatal and non-fatal shootings and hypertension in 100 US cities: A cross-sectional analysis of the add health cohort.,2026,1,"Domain 1: use, school, symptoms, alcohol",TRUE
42244251,Immigrant Generation and Depressive Symptom Trajectories from Early Adolescence to Midlife: Evidence from Add Health.,2026,1,"Domain 1: use, school, symptoms, alcohol",TRUE
42216929,Retrospective Secondary Analysis of Overweight/Obesity in Veterans Compared to Civilians Using Add Health Data.,2026,7,"Domain 7: bmi, obesity, body, mass",TRUE
42215900,A staged Bayesian framework for longitudinal prediction of adolescent depression using add health data.,2026,1,"Domain 1: use, school, symptoms, alcohol",TRUE
42214388,The Gender-Equality Paradox: A Longitudinal Test of the Free Expression or Resource Hypothesis Among Adolescents.,2026,1,"Domain 1: use, school, symptoms, alcohol",TRUE
42212239,Gene-Environment Interplay Beyond Interactions: Psychosocial Environments Mediate Genetic Effects Underlying Externalizing-Behavior Trajectories.,2026,6,"Domain 6: smoking, genetic, network, friends",TRUE
42199391,Acculturative risk or selective retention? A longitudinal study of binge drinking in Asian and Latinx immigrant youth.,2026,1,"Domain 1: use, school, symptoms, alcohol",TRUE
42185721,Longitudinal Relationship of Childhood Attention-Deficit/Hyperactivity Disorder (ADHD) Symptoms with Perceived Stress and Job Satisfaction in Adulthood.,2026,1,"Domain 1: use, school, symptoms, alcohol",TRUE
42179423,"Correction to: Examining the Role of Natural Mentors in the Relationship Between Childhood Abuse, Life Satisfaction, and Depression: Findings From Add Health.",2026,1,"Domain 1: use, school, symptoms, alcohol",TRUE
42172786,Child maltreatment and premature mortality in the United States: Heterogeneity by gender and maltreatment subtypes.,2026,1,"Domain 1: use, school, symptoms, alcohol",TRUE
42165345,Profiles of Childhood Abuse and Biopsychosocial Outcomes in Adulthood: A Nationally Representative Sample Analysis.,2026,1,"Domain 1: use, school, symptoms, alcohol",TRUE
42162803,Discrimination and C-reactive protein across the life course: Findings from three national US cohorts.,2026,1,"Domain 1: use, school, symptoms, alcohol",TRUE
42146771,Discordant patterns and adulthood consequences of childhood maltreatment and foster care placement.,2025,1,"Domain 1: use, school, symptoms, alcohol",TRUE
42132551,Social Connectedness and the Recent Development of Suicidal Ideation During Adolescence.,2026,1,"Domain 1: use, school, symptoms, alcohol",TRUE
42130130,From Trauma to Transmission: The Long Shadow of Childhood Abuse on Sexually Transmitted Infections.,2026,2,"Domain 2: sexual, suicide, sex, suicidal",TRUE
42113514,Structural Disadvantage in Adolescence and Biological Aging in Early Midlife.,2026,1,"Domain 1: use, school, symptoms, alcohol",TRUE
42112408,Causal Mediation Analysis for Effect Heterogeneity.,2026,1,"Domain 1: use, school, symptoms, alcohol",TRUE
42090710,Premature Mortality and Accidental Death Among Young Adults in the United States: Association With the Social Determinants of Health.,2026,1,"Domain 1: use, school, symptoms, alcohol",TRUE
42084756,Illuminating the complex interplay of risk factors for depression symptoms within a large-scale US longitudinal cohort.,2026,1,"Domain 1: use, school, symptoms, alcohol",TRUE
42068015,Child maltreatment and young adult depressive symptoms and metabolic risk: The moderating role of social support.,2026,1,"Domain 1: use, school, symptoms, alcohol",TRUE
42063959,Substance use in adolescence is associated with future cardiovascular disease risk: findings from the national longitudinal study of adolescent to adult health.,2026,1,"Domain 1: use, school, symptoms, alcohol",TRUE
42060764,Peer influence decay and behavioral diffusion in adolescent networks: A simulation approach.,2026,6,"Domain 6: smoking, genetic, network, friends",TRUE
42036358,Does daily wine consumption add health benefits to the Mediterranean diet? Some grounds for scepticism.,2026,6,"Domain 6: smoking, genetic, network, friends",FALSE
42035125,"School bullying victimization, depression, and the role of school connectedness among junior high school students in Hong Kong: evidence from fixed-effects models.",2026,8,"Domain 8: victimization, violence, ipv, perpetration",TRUE
42027127,Whose Care Matters? The Protective Role of Perceived Care in the Long-Term Physical Health Consequences of Adolescent Loneliness.,2026,1,"Domain 1: use, school, symptoms, alcohol",TRUE
42000501,Genome-wide DNA methylation association study of recent and accumulated ozone exposure in the National Longitudinal Study of Adolescent to Adult Health (Add Health) Study.,2026,1,"Domain 1: use, school, symptoms, alcohol",TRUE
41965150,"Individual, school, and neighborhood influences on disordered eating behaviors in adolescence and eating disorders in young adulthood.",2026,1,"Domain 1: use, school, symptoms, alcohol",TRUE
41961466,The Contributions of Multiple Polygenic Scores in Predicting Liability for Major Depressive Disorder and Its Comorbidity with Alcohol Use Disorder.,2026,1,"Domain 1: use, school, symptoms, alcohol",TRUE
41957966,Mixed-Effects XGBoost with Group-Aware Permutation Importance and Cross-Validation for Multilevel Cross-Classified Continuous Outcomes.,2026,1,"Domain 1: use, school, symptoms, alcohol",TRUE
41952064,High School Soccer and Risk for Depression and Suicidality in Adulthood: Findings From a National Longitudinal Study.,2026,1,"Domain 1: use, school, symptoms, alcohol",TRUE
41938751,Gendered Denominational Differences in Obesity among African American Christian Young Adults.,2025,7,"Domain 7: bmi, obesity, body, mass",TRUE
41929696,Consistent Reports of Pregnancy/Birth Contexts and Links to Parental Experiences.,2026,1,"Domain 1: use, school, symptoms, alcohol",TRUE
41926210,Subjective social status and mortality risk in the United States: Asymmetry and subgroup variation.,2026,1,"Domain 1: use, school, symptoms, alcohol",TRUE
41904605,Individuals' Experience of Violence in Adolescence and Firearm Violence Victimization in Early Adulthood.,2026,8,"Domain 8: victimization, violence, ipv, perpetration",TRUE
41889303,Growth Trajectories of Suicide Ideation and Attempt in a Population-Based Cohort from the United States.,2026,2,"Domain 2: sexual, suicide, sex, suicidal",TRUE
41854674,Age-varying associations between adverse childhood experiences profiles and heavy episodic drinking across adolescence and adulthood.,2026,1,"Domain 1: use, school, symptoms, alcohol",TRUE
41825903,"Navigating the minority grief paradox: racial-ethnic differences on parental death, social ties and early-midlife psychological distress in the United States.",2026,1,"Domain 1: use, school, symptoms, alcohol",TRUE
41818846,Suicidality among young adults with diabetes: Evidence from the national longitudinal study of adolescent to adult health.,2026,2,"Domain 2: sexual, suicide, sex, suicidal",TRUE
41770166,"Cigarette dependence and memory performance among young adults in the United States: An exploration of behavioral, psychological, and social mechanisms.",2026,1,"Domain 1: use, school, symptoms, alcohol",TRUE
41757435,The Association Between Loneliness and Suicidal Behaviour Among Adolescents Who Experience a Relative or Friend's Suicide or Suicide Attempt: Longitudinal Study of the Add Health Cohort.,2026,2,"Domain 2: sexual, suicide, sex, suicidal",TRUE
41748155,A Deep Learning Model for Absolute Risk Prediction of Alcohol Use Disorder in Adolescents and Young Adults.,2026,1,"Domain 1: use, school, symptoms, alcohol",TRUE
41743619,"""You are the Father"": Investigating the Relationship Between Adolescent Fatherhood and Suicide Attempt.",2025,2,"Domain 2: sexual, suicide, sex, suicidal",TRUE
41740373,Financial assets and cardiometabolic risk in early adulthood: Evidence from add health.,2026,1,"Domain 1: use, school, symptoms, alcohol",TRUE
41736806,Helicobacter pylori seroprevalence and its association with prevalent and incident blood pressure and haemoglobin A1c in the US-based National Longitudinal Study of Adolescent to Adult Health.,2026,1,"Domain 1: use, school, symptoms, alcohol",TRUE
41679163,Adolescence in social context: Longitudinal associations of 15 social factors with health and well-being.,2026,1,"Domain 1: use, school, symptoms, alcohol",TRUE
41665958,Adverse Childhood Experiences and Indigenous Identity: Testing for Aggregation Fallacy in the Multiracial Category.,2026,1,"Domain 1: use, school, symptoms, alcohol",TRUE
41615051,Resource profiles and suicide attempts in youth with disabilities.,2026,2,"Domain 2: sexual, suicide, sex, suicidal",TRUE
41601213,Longitudinal pathway from low academic performance in adolescence to prescription drug misuse in adulthood: The mediating role of substance use and the moderating role of sex.,2026,1,"Domain 1: use, school, symptoms, alcohol",TRUE
41595902,The Intergenerational Impact of Parental Immigration Status: Educational and Health Outcomes Among Children of Undocumented Immigrants.,2026,1,"Domain 1: use, school, symptoms, alcohol",TRUE
41587054,Family Connection in Adolescence and Social Connection in Adulthood.,2026,1,"Domain 1: use, school, symptoms, alcohol",TRUE
41565117,Everyday discrimination as a predictor of forgone care among early midlife adults in the United States.,2026,1,"Domain 1: use, school, symptoms, alcohol",TRUE
41564948,"Longitudinal trajectories of depression across adolescence, emerging adulthood and adulthood: Findings from the national longitudinal study of adolescent to adult health (add health) (1994-2008).",2026,1,"Domain 1: use, school, symptoms, alcohol",TRUE
41537153,Adolescence into adulthood: Religiosity factors influencing trajectories of suicide ideation and attempt among sexual minorities.,2026,2,"Domain 2: sexual, suicide, sex, suicidal",TRUE
41529366,How early adversity shapes adult physical health: Structural disadvantage and gendered pathways to cardiovascular risk.,2026,1,"Domain 1: use, school, symptoms, alcohol",TRUE
41529335,Adverse childhood experiences and violence in adulthood: Exploring gendered patterns of victimization and perpetration.,2026,8,"Domain 8: victimization, violence, ipv, perpetration",TRUE
41512384,A longitudinal study of adverse childhood experiences and discrimination in adulthood.,2026,1,"Domain 1: use, school, symptoms, alcohol",TRUE
41499231,Adapting to the Disconnection: An Examination of School Alienation and Adolescent Gun Carrying.,2026,1,"Domain 1: use, school, symptoms, alcohol",TRUE
41491964,Adolescent loneliness and social isolation as predictors of 24-h movement guidelines adherence into adulthood: a prospective study.,2026,1,"Domain 1: use, school, symptoms, alcohol",TRUE
41456369,"Racialized heteropatriarchy, sexual minority status, and cardiometabolic risk among Black and White young adult women.",2026,2,"Domain 2: sexual, suicide, sex, suicidal",TRUE
41454899,Beyond Depression Severity: Symptom-Specific Associations of Suicidal Thoughts and Behaviors.,2026,2,"Domain 2: sexual, suicide, sex, suicidal",TRUE
41425778,Reducing Socioeconomic Inequalities in Adult Cardiovascular Disease Risk by Targeting Unhealthy Movement Behaviours During Adolescence: A Protocol.,2025,1,"Domain 1: use, school, symptoms, alcohol",TRUE
41408836,"Sexual Fluidity, Connectedness, and Suicidal Thoughts Among Adolescents.",2025,2,"Domain 2: sexual, suicide, sex, suicidal",TRUE
41404292,Predictive power of youth diabetes screening guidelines.,2025,1,"Domain 1: use, school, symptoms, alcohol",TRUE
41401192,Parent-set bedtime in adolescence is associated with future cardiovascular disease risk: Evidence from the Add Health study.,2025,1,"Domain 1: use, school, symptoms, alcohol",TRUE
41396657,Joint mixed-effects models for causal inference in clustered network-based observational studies.,2026,6,"Domain 6: smoking, genetic, network, friends",TRUE
41381264,Skin color stratification and sleep duration: Evidence from a nationally representative sample.,2026,5,"Domain 5: sleep, duration, short, hours",TRUE
41316715,"Pathways from adolescent pregnancy to precarious employment: Distinguishing the effects of abortion, miscarriage, and live birth.",2025,1,"Domain 1: use, school, symptoms, alcohol",TRUE
41315898,Investigating the bidirectional association between alcohol use and suicidal thoughts and behaviors in a population from the United States.,2026,1,"Domain 1: use, school, symptoms, alcohol",TRUE
41308268,Linking family ties and young adults' college attainment: Differences between immigrant and non-immigrant children.,2025,1,"Domain 1: use, school, symptoms, alcohol",TRUE
41271187,Diagnosis of depression in adolescence signals improved inflammatory health in adulthood: Results from a nationally representative longitudinal study.,2026,1,"Domain 1: use, school, symptoms, alcohol",TRUE
41242161,"Bisexuality, romantic relationships, and depression: The role of relationship quality.",2026,2,"Domain 2: sexual, suicide, sex, suicidal",TRUE
41239192,Juvenile delinquency and cognitive function in adulthood: Differentiating violent and nonviolent behaviors and exploring multiple mechanisms.,2025,1,"Domain 1: use, school, symptoms, alcohol",TRUE
41198146,Intimate Partner Violence in Mid-Adulthood in the United States: Patterns by Sexual Orientation and Sex Assigned at Birth.,2025,8,"Domain 8: victimization, violence, ipv, perpetration",TRUE
41184601,Community Firearm Violence and Dental Care Use in Middle Adulthood.,2025,1,"Domain 1: use, school, symptoms, alcohol",TRUE
41144913,Investigating Early Predictive Correlates of Suicide Among Adolescent Longitudinal Survey Participants After Nearly Three Decades: Reviewing National Death Index Records of Add Health Suicide Decedents From 2022.,2025,2,"Domain 2: sexual, suicide, sex, suicidal",TRUE
41140434,Sex Differences in U.S. Adolescent and Young Adult Mortality.,2024,1,"Domain 1: use, school, symptoms, alcohol",TRUE
41105951,Challenges and Opportunities in Characterizing the Genetics of Stuttering: From Sample Acquisition to Functional Interpretation of the Genome.,2025,6,"Domain 6: smoking, genetic, network, friends",TRUE
41092560,"Unmet healthcare needs, gender, and depressive Symptoms: Evidence from asymmetric fixed effects models.",2025,1,"Domain 1: use, school, symptoms, alcohol",TRUE
41082064,Unraveling the Impact of Early Adversity and Perpetration on Problematic Gambling in Young Adults: Insights from the Add Health Study.,2026,1,"Domain 1: use, school, symptoms, alcohol",TRUE
41044844,Between Vulnerability and Connection: Longitudinal Evidence on the Impact of Transformative Religious/Spiritual Experiences.,2025,1,"Domain 1: use, school, symptoms, alcohol",TRUE
41044565,Racial/Ethnic variation in health insurance coverage and early midlife depressive symptoms in the U.S.,2025,1,"Domain 1: use, school, symptoms, alcohol",TRUE
41027333,"Childhood adversity and intimate partner violence: A 20-year longitudinal study of cumulative, typological, and sex effects.",2025,8,"Domain 8: victimization, violence, ipv, perpetration",TRUE
41007467,Everyday Discrimination in Young Adulthood and Depressive Symptoms at Early Midlife: The Moderating Role of Parent-Child Relationships.,2025,1,"Domain 1: use, school, symptoms, alcohol",TRUE
40997551,Differences in substance use initiation patterns among biracial and monoracial adolescents: an integrative data analysis of two nationally representative samples.,2026,1,"Domain 1: use, school, symptoms, alcohol",TRUE
40977845,Predicting Juvenile Delinquency and Criminal Behavior in Adulthood Using Machine Learning.,2025,1,"Domain 1: use, school, symptoms, alcohol",TRUE
40967352,Associations between adverse childhood experiences and obesity among young US adults.,2025,7,"Domain 7: bmi, obesity, body, mass",TRUE
40967043,The development of body mass index from adolescence to adulthood: A genotype-family socioeconomic status interaction study.,2025,7,"Domain 7: bmi, obesity, body, mass",TRUE
40961878,The effect of peers' genetic predisposition to depression on own mental health.,2025,6,"Domain 6: smoking, genetic, network, friends",TRUE
40958889,Family Ties and Young Adult Career Goals: Does Family Social Capital Stretch Into Emerging Adulthood?,2025,1,"Domain 1: use, school, symptoms, alcohol",TRUE
40957377,Adolescent loneliness and later-life depressive symptoms: The intersecting roles of gender and socioeconomic status.,2025,1,"Domain 1: use, school, symptoms, alcohol",TRUE
40947076,Biological Indicators of Cardiovascular Health by Foster Care History in Adults.,2026,1,"Domain 1: use, school, symptoms, alcohol",TRUE
40946237,Bidirectional Associations Between Family Belonging and Youth Well-Being Over Time: Family Structure as a Moderating Influence.,2025,1,"Domain 1: use, school, symptoms, alcohol",TRUE
40944532,Examining the Influence of Sexual Orientation-Related Nondiscrimination Laws on 30-Year Cardiovascular Disease Risk.,2025,2,"Domain 2: sexual, suicide, sex, suicidal",TRUE
40939476,Divergent pathways of mental health symptomatology: A network analysis of adverse childhood experiences and mental health disorders from early to middle adulthood.,2025,1,"Domain 1: use, school, symptoms, alcohol",TRUE
40925313,"Adult children's education, parental cognitive health, and the role of selection.",2025,1,"Domain 1: use, school, symptoms, alcohol",TRUE
40914532,"Patterns and transitions of physical, psychological, and behavioral health across adulthood: A latent transition analysis of the roles of childhood and adulthood adversities.",2026,1,"Domain 1: use, school, symptoms, alcohol",TRUE
40911977,The buffering effect of social support on the link between biologically embedded childhood maltreatment and adult cardiovascular disease.,2025,1,"Domain 1: use, school, symptoms, alcohol",TRUE
40907292,Adverse childhood experiences and adult employment outcomes: Unpacking mechanisms across the life course.,2025,1,"Domain 1: use, school, symptoms, alcohol",TRUE
40898764,People With Haemophilia as Data Coordinators: An Analysis of the Ethics and Feasibility of Self-Management With Personal Health Records.,2025,1,"Domain 1: use, school, symptoms, alcohol",TRUE
40897673,Understanding the link between adolescent depression and precarious employment in adulthood: evidence from a sibling fixed effects analysis.,2026,1,"Domain 1: use, school, symptoms, alcohol",TRUE
40895805,Variations in Religious Development by Sexual Orientation: Results from a Nationally Representative U.S. Sample.,2025,2,"Domain 2: sexual, suicide, sex, suicidal",TRUE
40869847,The Effect of Long-Term Exposure to O3 and PM2.5 on Allergies and Asthma in Adolescents and Young Adults.,2025,1,"Domain 1: use, school, symptoms, alcohol",TRUE
40863578,Adverse Childhood Experiences and Sarcopenia in Later Life: Baseline Data from the Canadian Longitudinal Study on Aging.,2025,1,"Domain 1: use, school, symptoms, alcohol",TRUE
40858829,The protective effect of high religiosity on later sexual behaviour of young adults in the US.,2025,2,"Domain 2: sexual, suicide, sex, suicidal",TRUE
40855479,Disentangling consequences of self-perceived weight from excess adiposity in metabolically healthy overweight/obesity.,2025,3,"Domain 3: weight, overweight, birth, body",TRUE
