pmid,source
42396286,esearch
42377692,esearch
42367156,esearch
42347930,esearch
42334322,esearch
42328699,esearch
42305881,esearch
42291048,esearch
42274041,esearch
42274018,esearch
42264336,esearch
42244251,esearch
42216929,esearch
42215900,esearch
42214388,esearch
42212239,esearch
42199391,esearch
42185721,esearch
42179423,esearch
42172786,esearch
42165345,esearch
42162803,esearch
42146771,esearch
42132551,esearch
42130130,esearch
42113514,esearch
42112408,esearch
42090710,esearch
42084756,esearch
42068015,esearch
42063959,esearch
42060764,esearch
42036358,esearch
42035125,esearch
42027127,esearch
42000501,esearch
41965150,esearch
41961466,esearch
41957966,esearch
41952064,esearch
41938751,esearch
41929696,esearch
41926210,esearch
41904605,esearch
41889303,esearch
41854674,esearch
41825903,esearch
41818846,esearch
41770166,esearch
41757435,esearch
41748155,esearch
41743619,esearch
41740373,esearch
41736806,esearch
41679163,esearch
41665958,esearch
41615051,esearch
41601213,esearch
41595902,esearch
41587054,esearch
41565117,esearch
41564948,esearch
41537153,esearch
41529366,esearch
41529335,esearch
41512384,esearch
41499231,esearch
41491964,esearch
41456369,esearch
41454899,esearch
41425778,esearch
41408836,esearch
41404292,esearch
41401192,esearch
41396657,esearch
41381264,esearch
41316715,esearch
41315898,esearch
41308268,esearch
41271187,esearch
41242161,esearch
41239192,esearch
41198146,esearch
41184601,esearch
41144913,esearch
41140434,esearch
41105951,esearch
41092560,esearch
41082064,esearch
41044844,esearch
41044565,esearch
41027333,esearch
41007467,esearch
40997551,esearch
40977845,esearch
40967352,esearch
40967043,esearch
40961878,esearch
40958889,esearch
40957377,esearch
40947076,esearch
40946237,esearch
40944532,esearch
40939476,esearch
40925313,esearch
40914532,esearch
40911977,esearch
40907292,esearch
40898764,esearch
40897673,esearch
40895805,esearch
40869847,esearch
40863578,esearch
40858829,esearch
40855479,esearch
40844403,esearch
40864345,esearch
40858970,esearch
40839481,esearch
40827706,esearch
40816217,esearch
40790866,esearch
40789631,esearch
40768125,esearch
40760732,esearch
40756594,esearch
40749321,esearch
40731372,esearch
40724129,esearch
40684691,esearch
40674983,esearch
40623353,esearch
40620240,esearch
40619601,esearch
40581641,esearch
40568765,esearch
40561590,esearch
40545703,esearch
40542805,esearch
40533156,esearch
40518989,esearch
40507143,esearch
40482473,esearch
40461250,esearch
40460547,esearch
40449832,esearch
40449410,esearch
40443086,esearch
40439106,esearch
40385326,esearch
40376253,esearch
40357904,esearch
40355791,esearch
40347987,esearch
40336811,esearch
40334862,esearch
40317231,esearch
42220917,esearch
40307675,esearch
40297841,esearch
40294828,esearch
40292781,esearch
40279842,esearch
40247627,esearch
40242320,esearch
40232784,esearch
40207899,esearch
40206213,esearch
40192036,esearch
40183721,esearch
40162276,esearch
40125385,esearch
40122320,esearch
40111399,esearch
40092403,esearch
40070903,esearch
40068198,esearch
40066138,esearch
40048125,esearch
40040434,esearch
40024073,esearch
40019310,esearch
40017696,esearch
40013538,esearch
39933198,esearch
39927916,esearch
39897608,esearch
39886742,esearch
39877129,esearch
39874838,esearch
39836159,esearch
39833007,esearch
39832537,esearch
39831875,esearch
39826194,esearch
39792135,esearch
39778416,esearch
39752215,esearch
39723110,esearch
39722482,esearch
39721741,esearch
39670912,esearch
39659710,esearch
39626963,esearch
39603174,esearch
39546417,esearch
39540657,esearch
39504632,esearch
39504554,esearch
39497636,esearch
39471699,esearch
39453653,esearch
39436272,esearch
39422329,esearch
39407044,esearch
39389222,esearch
39371006,esearch
39367799,esearch
39357882,esearch
39350968,esearch
39349902,esearch
39349003,esearch
39341289,esearch
39323181,esearch
39320039,esearch
39306899,esearch
39297372,esearch
39301955,esearch
39298095,esearch
39278071,esearch
39278012,esearch
39270741,esearch
39256029,esearch
39250963,esearch
39239381,esearch
39218427,esearch
39216913,esearch
39216552,esearch
39213064,esearch
39209539,esearch
39191648,esearch
39180408,esearch
39177190,esearch
39165091,esearch
39141896,esearch
39140349,esearch
39131169,esearch
39100410,esearch
39099147,esearch
39077803,esearch
39073817,esearch
39073811,esearch
39068708,esearch
39030976,esearch
39014156,esearch
39011739,esearch
38990643,esearch
38968375,esearch
38947625,esearch
38937907,esearch
38925303,esearch
38913287,esearch
38906426,esearch
38883260,esearch
38874009,esearch
38852091,esearch
38842867,esearch
38829485,esearch
38828740,esearch
38825374,esearch
38813255,esearch
38809598,esearch
38808614,esearch
38796042,esearch
38775469,esearch
38774030,esearch
38753625,esearch
38737138,esearch
38735584,esearch
38682636,esearch
38626503,esearch
38619293,esearch
38618989,esearch
38603706,esearch
38593484,esearch
38585956,esearch
38571758,esearch
38564500,esearch
38552532,esearch
38551453,esearch
38545885,esearch
38544525,esearch
38531146,esearch
38530870,esearch
38518200,esearch
38518090,esearch
38516525,esearch
38493683,esearch
38493401,esearch
38469398,esearch
38465371,esearch
38457646,esearch
38422778,esearch
38414721,esearch
38402223,esearch
38374312,esearch
38350293,esearch
38287685,esearch
38253972,esearch
38236659,esearch
38234114,esearch
38233344,esearch
38218990,esearch
38196627,esearch
