author_id,n_papers,paper_share
Ferrucci L,391,0.4762484774665043
Resnick SM,241,0.2935444579780755
Simonsick EM,173,0.21071863580998781
An Y,129,0.15712545676004872
Metter EJ,102,0.12423873325213154
Zonderman AB,78,0.09500609013398295
Schrack JA,77,0.09378806333739342
Davatzikos C,61,0.07429963459196103
Studenski SA,60,0.0730816077953715
Tanaka T,57,0.06942752740560293
Tian Q,55,0.06699147381242387
Beason-Held LL,49,0.05968331303288672
Bilgel M,47,0.057247259439707675
Fleg JL,44,0.0535931790499391
Agrawal Y,41,0.049939098660170524
Tobin JD,41,0.049939098660170524
Muller DC,39,0.047503045066991476
Landman BA,38,0.04628501827040195
Thambisetty M,38,0.04628501827040195
Wanigatunga AA,38,0.04628501827040195
Lakatta EG,36,0.0438489646772229
Kraut MA,35,0.04263093788063337
Andres R,34,0.04141291108404385
Egan JM,34,0.04141291108404385
Moghekar A,33,0.040194884287454324
O'Brien R,32,0.0389768574908648
Wong DF,31,0.037758830694275276
Carter HB,29,0.03532277710109622
Chia CW,29,0.03532277710109622
Troncoso JC,29,0.03532277710109622
Spira AP,27,0.03288672350791717
Costa PT,26,0.031668696711327646
Fozard JL,24,0.029232643118148598
Walker KA,24,0.029232643118148598
Zipunnikov V,24,0.029232643118148598
Terracciano A,23,0.028014616321559074
Brant LJ,22,0.02679658952496955
Erus G,22,0.02679658952496955
Ko SU,21,0.025578562728380026
Najjar SS,21,0.025578562728380026
Hochberg MC,20,0.024360535931790498
Kawas C,20,0.024360535931790498
Shardell MD,20,0.024360535931790498
AlGhatrif M,19,0.023142509135200974
Kuo PL,19,0.023142509135200974
Morrell CH,19,0.023142509135200974
Plato CC,19,0.023142509135200974
Kitner-Triolo MH,18,0.02192448233861145
Landis P,18,0.02192448233861145
Pletnikova O,18,0.02192448233861145
Zhou Y,18,0.02192448233861145
Armstrong NM,17,0.020706455542021926
Moore AZ,17,0.020706455542021926
Carlson OD,16,0.0194884287454324
Lin FR,16,0.0194884287454324
Semba RD,16,0.0194884287454324
Deal JA,15,0.018270401948842874
Doshi J,15,0.018270401948842874
Fishbein KW,15,0.018270401948842874
Gross AL,15,0.018270401948842874
Lethbridge-Cejku M,15,0.018270401948842874
Pearson JD,15,0.018270401948842874
Schilling KG,15,0.018270401948842874
Shafer AT,15,0.018270401948842874
Spencer RG,15,0.018270401948842874
Tucker KL,15,0.018270401948842874
Anson ER,14,0.01705237515225335
Canepa M,14,0.01705237515225335
Moaddel R,14,0.01705237515225335
Sojkova J,13,0.015834348355663823
Strait JB,13,0.015834348355663823
Sutin AR,13,0.015834348355663823
Varma VR,13,0.015834348355663823
Blackman MR,12,0.014616321559074299
Cai Y,12,0.014616321559074299
Candia J,12,0.014616321559074299
Duggan MR,12,0.014616321559074299
Fabbri E,12,0.014616321559074299
Scott WW,12,0.014616321559074299
Urbanek JK,12,0.014616321559074299
Wang H,12,0.014616321559074299
Albert MS,11,0.013398294762484775
