period,period_start,period_end,metric,value,top_x,cluster,domain
"Domain 1: glucose, insulin, tolerance, oral",NA,NA,n_papers,29,NA,1,"Domain 1: glucose, insulin, tolerance, oral"
"Domain 1: glucose, insulin, tolerance, oral",NA,NA,n_authors,101,NA,1,"Domain 1: glucose, insulin, tolerance, oral"
"Domain 1: glucose, insulin, tolerance, oral",NA,NA,hhi,1.2378121284185508,NA,1,"Domain 1: glucose, insulin, tolerance, oral"
"Domain 1: glucose, insulin, tolerance, oral",NA,NA,top_x_share,0.6206896551724138,1,1,"Domain 1: glucose, insulin, tolerance, oral"
"Domain 1: glucose, insulin, tolerance, oral",NA,NA,top_x_share,0.6206896551724138,3,1,"Domain 1: glucose, insulin, tolerance, oral"
"Domain 1: glucose, insulin, tolerance, oral",NA,NA,top_x_share,0.9310344827586207,5,1,"Domain 1: glucose, insulin, tolerance, oral"
"Domain 1: glucose, insulin, tolerance, oral",NA,NA,top_x_share,0.9310344827586207,10,1,"Domain 1: glucose, insulin, tolerance, oral"
"Domain 2: hearing, vestibular, function, spatial",NA,NA,n_papers,45,NA,2,"Domain 2: hearing, vestibular, function, spatial"
"Domain 2: hearing, vestibular, function, spatial",NA,NA,n_authors,104,NA,2,"Domain 2: hearing, vestibular, function, spatial"
"Domain 2: hearing, vestibular, function, spatial",NA,NA,hhi,1.1644444444444402,NA,2,"Domain 2: hearing, vestibular, function, spatial"
"Domain 2: hearing, vestibular, function, spatial",NA,NA,top_x_share,0.6,1,2,"Domain 2: hearing, vestibular, function, spatial"
"Domain 2: hearing, vestibular, function, spatial",NA,NA,top_x_share,0.8444444444444444,3,2,"Domain 2: hearing, vestibular, function, spatial"
"Domain 2: hearing, vestibular, function, spatial",NA,NA,top_x_share,0.8666666666666667,5,2,"Domain 2: hearing, vestibular, function, spatial"
"Domain 2: hearing, vestibular, function, spatial",NA,NA,top_x_share,0.8666666666666667,10,2,"Domain 2: hearing, vestibular, function, spatial"
