author_raw,author_id,notes,merged_by,merged_date
Albert M,Albert MS,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Allen R,Allen RG,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Anson E,Anson ER,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Archer D,Archer DB,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Bacal CS,Bacal C,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Bair W,Bair WN,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Bakun P,Bakun PJ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Baldwin H,Baldwin HL,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Baltimore Longitudinal Study of Aging and the Alzheimer's Disease Neuroimaging Initiative,Baltimore Longitudinal Study of Aging,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Bandaru VVR,Bandaru VV,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Beason-Held L,Beason-Held LL,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Beck J,Beck JC,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Beck JD,Beck JC,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Blackshear C,Blackshear CT,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Bos A,Bos AJ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Bos AG,Bos AJ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Brennan N,Brennan NA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Carlson O,Carlson OD,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Carter H,Carter HB,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Chan D,Chan DW,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Chiles Shaffer NS,Chiles Shaffer N,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Clark V,Clark VH,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Clulow J,Clulow JF,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
