pmid,title,pub_year,cluster,domain,has_abstract
42341602,A balance-weighted gait score (BWGS) reflects biomechanical and control features of gait in older adults.,2026,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
42276069,Circulating cell type senescence signatures track distinct dimensions of health status and trajectories in human longitudinal cohorts.,2026,6,"Domain 6: intake, diet, proteins, cell",TRUE
42266433,Modeling a Shared Reality of Tractography through Varied Structural Imaging.,2026,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
42262909,The impact of upper gastrointestinal disorders on frailty: insights from the Baltimore Longitudinal Study of Aging.,2026,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
42237575,Longitudinal associations of the gut microbiome with arterial stiffness in US adults: findings from the Baltimore Longitudinal Study of Aging.,2026,5,"Domain 5: knee, osteoarthritis, stiffness, hand",TRUE
42132137,A sensorimotor function construct to assess mild cognitive impairment risk.,2026,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
42105919,Disproportionately elevated sulcal index (DESI): An automatically driven index representing disproportionate subarachnoid space enlargement in brain MRI scans.,2026,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
42082094,Tooth loss is associated with subsequent brain white matter degradation up to over a decade.,2026,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
42040514,Fully Automated Deep Learning-Based Pipeline for Evans Index Measurement from Raw 3D MRI.,2026,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
41992251,CMV titer associations with cognition and the plasma proteome implicate FLT1 and neurovascular mechanisms as potential moderators.,2026,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
41979393,Frailty and Brain Myelin Across Adulthood: Multimodal MRI Insights From the BLSA.,2026,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
41937125,Skeletal and cardiac muscle longitudinal associations in the Baltimore Longitudinal Study of Aging (BLSA).,2026,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
41919773,Eye movement features are associated with cognitive and mobility decline.,2026,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
41900362,Gut Microbiota Affects Age-Related Plasma Metabolites.,2026,6,"Domain 6: intake, diet, proteins, cell",TRUE
41807519,Plasma lipids connecting olfaction with cognition and physical function.,2026,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
41759304,"Nerve, muscle and adiposity: Associations with gait speed across adulthood in the Baltimore Longitudinal Study of Aging.",2026,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
41757064,Modeling a Shared Reality of Tractography through Varied Structural Imaging.,2026,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
41741350,Can infections drive frailty? Insights from the Baltimore Longitudinal Study of Aging.,2026,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
41728302,Circulating Cell Type Senescence Signatures Reveal High-Resolution Health Status and Trajectories in Human Longitudinal Studies.,2026,6,"Domain 6: intake, diet, proteins, cell",TRUE
41645608,Initiation of proton pump inhibitors is associated with gut microbiome diversity and composition: a new-user target trial emulation within the Baltimore Longitudinal Study of Aging.,2026,6,"Domain 6: intake, diet, proteins, cell",FALSE
41630640,An MRI-based macro- and microstructural neuroimaging-wide association study of subsequent cognitive impairment.,2026,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
41482563,Shared and specific blood biomarkers for multimorbidity.,2026,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
41467738,Oral health conditions and domain-specific cognitive decline in older adults: evidence from the Baltimore Longitudinal Study of Aging 2005-2024.,2026,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
41456015,Automated deep learning pipeline for callosal angle quantification.,2025,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
41445917,A technical assessment of latent diffusion for Alzheimer's Disease progression.,2025,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
41440727,"Pet Ownership, Pet Attachment, and Longitudinal Changes in Psychological Health-Evidence from the Baltimore Longitudinal Study of Aging.",2025,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
41409679,Fully Automated Deep Learning-Based Pipeline for Evans Index Measurement from Raw 3D MRI.,2025,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
41404281,Disproportionately Elevated Sulcal Index (DESI): An automatically driven index representing disproportionate subarachnoid space enlargement in brain MRI scans.,2025,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
41393810,Data-driven neuropsychological phenotypes in the Baltimore Longitudinal Study of Aging.,2025,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
41350755,Post-infection brain atrophy accelerates cognitive and molecular changes underlying dementia.,2025,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
41274863,"DNA Methylation Signatures of Systemic Inflammation Are Associated With Brain Volume, Cognitive Trajectories, and Long-Term Dementia Risk.",2025,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
41129302,The predictive power of brain-predicted age and leg strength on mobility decline in aging: findings from the Baltimore Longitudinal Study of Aging.,2025,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
40950442,Associations Between Vestibular Function and White Matter Microstructure in Healthy Older Adults.,2025,2,"Domain 2: hearing, vestibular, function, spatial",TRUE
40896725,Alzheimer's disease neuropathology and longitudinal change in subjective cognitive complaints.,2025,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
40894175,Automated Deep Learning Pipeline for Callosal Angle Quantification.,2025,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
40855137,Hormone replacement therapy and muscle loss: repeated measures analysis from the Baltimore Longitudinal Study of Aging using DXA.,2026,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
40760763,A Frailty-Based Plasma Proteomic Signature Capturing Overall Health and Well-Being in Older Adults.,2025,6,"Domain 6: intake, diet, proteins, cell",TRUE
40718790,Plasma longitudinal metabolic changes with acute maximal aerobic exercise and one-hour recovery.,2025,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
40631647,Reduced Vestibular Function is Associated With Cortical Surface Shape Changes in the Frontal Cortex.,2025,2,"Domain 2: hearing, vestibular, function, spatial",TRUE
40595038,Prognostic significance of the QuickSIN score for future hearing threshold deterioration.,2025,2,"Domain 2: hearing, vestibular, function, spatial",TRUE
40585072,"Brain-heart-eye axis revealed by multi-organ imaging, genetics and proteomics.",2025,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
40577079,Associations of accelerometer-estimated sleep with cardiorespiratory fitness and energetic efficiency among middle-aged and older adults.,2026,7,"Domain 7: sleep, fatigability, perceived, reported",TRUE
40526703,Prediction of future aging-related slow gait and its determinants with deep learning and logistic regression.,2025,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
40498559,Longitudinal associations between medication use and phenotypic aging: insights from the Baltimore longitudinal study of aging.,2025,6,"Domain 6: intake, diet, proteins, cell",TRUE
40461807,The secretome of senescent monocytes predicts age-related clinical outcomes in humans.,2025,6,"Domain 6: intake, diet, proteins, cell",TRUE
40386943,"Narrow Walk, Condition II, Semi-Tandem, Tandem, and Single Leg Stance Test Failure Could Predict Falls in Older Adults.",2025,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
40296368,Associations Between Female Sex Hormones and Skeletal Muscle Ageing: The Baltimore Longitudinal Study of Aging.,2025,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
40225241,"Physical activity complexity, cognition, and risk of cognitive impairment and dementia in the Baltimore Longitudinal Study of Aging.",2025,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
40225238,Directionality between cognitive function and daily physical activity patterns.,2025,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
40064424,Cross-Sectional Associations between Clinical Biochemistry and Nutritional Biomarkers and Sarcopenic Indices of Skeletal Muscle in the Baltimore Longitudinal Study of Aging.,2025,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
39994083,The Inner Ear and Aging Brain: A Cross-Sectional Study of Vestibular Function and Morphometric Variations in the Entorhinal and Trans-Entorhinal Cortex.,2025,2,"Domain 2: hearing, vestibular, function, spatial",TRUE
39988983,Longitudinal patterns of brain aging and neurodegeneration among older adults with dual decline in memory and gait.,2025,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
39889254,Association of Plasma Biomarkers of Alzheimer Disease and Neurodegeneration With Longitudinal Intra-Network Functional Brain Connectivity.,2025,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
39885512,The association of previous and current non-chronic low back pain with daily physical activity in middle- and older-aged adults.,2025,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
39789091,Associations of personality traits with actigraphic sleep in middle-aged and older adults.,2025,7,"Domain 7: sleep, fatigability, perceived, reported",TRUE
39697833,Cerebral white matter myelination is associated with longitudinal changes in processing speed across the adult lifespan.,2024,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
39683645,Plant-Based Diets and Their Associations with Physical Performance in the Baltimore Longitudinal Study of Aging.,2024,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
39609257,"Sex differences in the trajectories of plasma biomarkers, brain atrophy, and cognitive decline relative to amyloid onset.",2025,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
39606396,Reduced Vestibular Function is Associated with Cortical Surface Shape Changes in the Frontal Cortex.,2024,2,"Domain 2: hearing, vestibular, function, spatial",TRUE
39594651,An Insulin Upstream Open Reading Frame (INSU) Is Present in Skeletal Muscle Satellite Cells: Changes with Age.,2024,6,"Domain 6: intake, diet, proteins, cell",TRUE
39566360,Cross-sectional analysis of speed-up mechanism in normal gait among healthy older adults with and without falls - Results from the Baltimore Longitudinal Study of Aging.,2025,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
39473295,Variability of 7K and 11K SomaScan Plasma Proteomics Assays.,2024,6,"Domain 6: intake, diet, proteins, cell",TRUE
39416426,Body Mass Index and Diabetes Incidence Across the Adult Lifespan: The Baltimore Longitudinal Study of Aging.,2024,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
39371126,A plasma proteomic signature links secretome of senescent monocytes to aging- and obesity-related clinical outcomes in humans.,2024,6,"Domain 6: intake, diet, proteins, cell",TRUE
39220211,Tractography with T1-weighted MRI and associated anatomical constraints on clinical quality diffusion MRI.,2024,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
39185477,Characterizing patterns of diffusion tensor imaging variance in aging brains.,2024,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
39129354,Proteomic analyses reveal plasma EFEMP1 and CXCL12 as biomarkers and determinants of neurodegeneration.,2024,6,"Domain 6: intake, diet, proteins, cell",TRUE
39076610,Age and objectively measured sleep: investigating associations and interactions by sex and race in middle-aged and older adults.,2024,7,"Domain 7: sleep, fatigability, perceived, reported",TRUE
38977137,Proteome-wide analysis identifies plasma immune regulators of amyloid-beta progression.,2024,6,"Domain 6: intake, diet, proteins, cell",TRUE
38874616,Longitudinal decline in peak V̇o2 with aging in a healthy population is associated with a reduction in peripheral oxygen utilization but not in cardiac output.,2024,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
38809390,Relationship between skeletal mitochondrial function and digital markers of free-living physical activity in older adults.,2024,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
38758045,"Commentaries on ""Associations of Lower Extremity Muscle Strength, Area, and Specific Force With Lower Urinary Tract Symptoms in Older Men: The Baltimore Longitudinal Study of Aging"".",2024,4,"Domain 4: cognitive, brain, gait, muscle",FALSE
38742659,Differences in Daily Physical Activity by Alzheimer's Risk Markers Among Older Adults.,2024,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
38689358,Alzheimer's and neurodegenerative disease biomarkers in blood predict brain atrophy and cognitive decline.,2024,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
38653745,Cross-sectional associations between multisensory impairment and brain volumes in older adults: Baltimore Longitudinal Study of Aging.,2024,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
38615247,Plasma metabolomic markers underlying skeletal muscle mitochondrial function relationships with cognition and motor function.,2024,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
38571764,Deep conditional generative model for longitudinal single-slice abdominal computed tomography harmonization.,2024,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
38493767,Utricular Dysfunction and Hearing Impairment Affect Spatial Navigation in Community-Dwelling Healthy Adults: Analysis from the Baltimore Longitudinal Study of Aging.,2024,2,"Domain 2: hearing, vestibular, function, spatial",TRUE
38493525,Investigating balance-related gait patterns and their relationship with maximum torques generated by the hamstrings and quadriceps in older adults - Results from the Baltimore longitudinal study of aging.,2024,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
38447686,Associations between dietary indices and hearing status among middle-older aged adults - results from the Baltimore Longitudinal Study of Aging.,2024,2,"Domain 2: hearing, vestibular, function, spatial",TRUE
38429931,"The cellular bases of mobility from the Study of Muscle, Mobility and Aging (SOMMA).",2024,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
38428731,"Development, validation, and transportability of several machine-learned, non-exercise-based VO2max prediction models for older adults.",2024,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
38381532,Evaluating a novel 24-hour rest/activity rhythm marker of preclinical β-amyloid deposition.,2024,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
38375574,Sensory and motor deficits as contributors to early cognitive impairment.,2024,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
38347745,Sleep Duration Polygenic Risk and Phenotype: Associations with Biomarkers of Accelerated Aging in the Baltimore Longitudinal Study of Aging.,2025,7,"Domain 7: sleep, fatigability, perceived, reported",TRUE
38343809,Longitudinal progression of blood biomarkers reveals a key role of astrocyte reactivity in preclinical Alzheimer's disease.,2024,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
38332659,Longitudinal association between muscle and bone loss: Results of US and Japanese cohort studies.,2024,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
38310640,Musculoskeletal Pain Characteristics and Objectively Measured Physical Activity in Older Adults.,2024,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
38226778,Correlates of life course physical activity in participants of the Baltimore longitudinal study of aging.,2024,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
38219723,Serum Proteomic Signatures of Common Health Outcomes among Older Adults.,2024,6,"Domain 6: intake, diet, proteins, cell",TRUE
38218318,Plant-based diets and the gut microbiome: findings from the Baltimore Longitudinal Study of Aging.,2024,6,"Domain 6: intake, diet, proteins, cell",TRUE
38195151,"Associations of Lower Extremity Muscle Strength, Area, and Specific Force With Lower Urinary Tract Symptoms in Older Men: The Baltimore Longitudinal Study of Aging.",2024,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
38188934,Robust fiber orientation distribution function estimation using deep constrained spherical deconvolution for diffusion-weighted magnetic resonance imaging.,2024,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
38183599,"Neutrophil, lymphocyte count, and neutrophil to lymphocyte ratio predict multimorbidity and mortality-results from the Baltimore Longitudinal Study on Aging follow-up study.",2024,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
41179000,"Vestibular Function is Associated with Prefrontal and Sensorimotor Cortical Gray Matter Volumes in a Cross-Sectional Study of Healthy, Older Adults.",2024,2,"Domain 2: hearing, vestibular, function, spatial",TRUE
38133681,Loss of TDP-43 splicing repression occurs early in the aging population and is associated with Alzheimer's disease neuropathologic changes and cognitive decline.,2023,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
38116708,The mediation roles of intermuscular fat and inflammation in muscle mitochondrial associations with cognition and mobility.,2024,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
37847074,"Perceived Fatigability, Fatigue, and Mortality in Mid-to-Late Life in the Baltimore Longitudinal Study of Aging.",2024,7,"Domain 7: sleep, fatigability, perceived, reported",TRUE
37837441,Shared and Distinct Associations of Manual Dexterity and Gross Motor Function With Brain Atrophy.,2024,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
37836476,Plant Protein but Not Animal Protein Consumption Is Associated with Frailty through Plasma Metabolites.,2023,6,"Domain 6: intake, diet, proteins, cell",TRUE
37814955,Identification of Clinically Relevant Brain Endothelial Cell Biomarkers in Plasma.,2023,6,"Domain 6: intake, diet, proteins, cell",TRUE
37780863,Leveraging longitudinal diffusion MRI data to quantify differences in white matter microstructural decline in normal and abnormal aging.,2023,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
37679499,Pet ownership and maintenance of cognitive function in community-residing older adults: evidence from the Baltimore Longitudinal Study of Aging (BLSA).,2023,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
37662348,Characterizing patterns of diffusion tensor imaging variance in aging brains.,2024,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
37528742,Impact of balance on the energetic cost of walking and gait speed.,2023,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
37465095,Batch size: go big or go home? Counterintuitive improvement in medical autoencoders with smaller batch size.,2023,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
37414805,"Unbiased proteomics and multivariable regularized regression techniques identify SMOC1, NOG, APCS, and NTN1 in an Alzheimer's disease brain proteomic signature.",2023,6,"Domain 6: intake, diet, proteins, cell",TRUE
37391043,Levothyroxine Dosing in Older Adults: Recommendations Derived From The Baltimore Longitudinal Study of Aging.,2023,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
37369886,Higher testosterone and testosterone/estradiol ratio in men are associated with decreased Pheno-/GrimAge and DNA-methylation based PAI1.,2024,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
37354067,Application and validation of an algorithmic classification of early impairment in cognitive performance.,2023,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
37324643,Association of Shoulder Dysfunction with Mobility Limitation Among Older Adults in the Baltimore Longitudinal Study of Aging.,2023,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
37292885,Leveraging longitudinal diffusion MRI data to quantify differences in white matter microstructural decline in normal and abnormal aging.,2023,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
37283066,Hypertensive Adults Exhibit Lower Myelin Content: A Multicomponent Relaxometry and Diffusion Magnetic Resonance Imaging Study.,2023,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
37257489,Comparison of sleep parameters from wrist-worn ActiGraph and Actiwatch devices.,2024,7,"Domain 7: sleep, fatigability, perceived, reported",TRUE
37235639,Relationships of GDF8 and 11 and Their Antagonists With Decline of Grip Strength Among Older Adults in the Baltimore Longitudinal Study of Aging.,2023,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
37213219,White matter microstructural metrics are sensitively associated with clinical staging in Alzheimer's disease.,2023,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
37139098,Sensory impairment and beta-amyloid deposition in the Baltimore longitudinal study of aging.,2023,2,"Domain 2: hearing, vestibular, function, spatial",TRUE
37123017,Comparing voxel- and feature-wise harmonization of complex graph measures from multiple sites for structural brain network investigation of aging.,2023,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
37114095,Higher thyroid hormone has a negative association with lower limb lean body mass in euthyroid older adults: Analysis from the Baltimore Longitudinal study of aging.,2023,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
37089081,"Examining the Role of Physical Function on Future Fall Likelihood in Older Adults With a Fear of Falling, With and Without Activity Restriction.",2024,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
37063388,Sensory impairment and algorithmic classification of early cognitive impairment.,2023,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
37052768,Plasma metabolomic signatures of dual decline in memory and gait in older adults.,2023,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
37016727,The gut microbiome and regional fat distribution: Findings from the Baltimore Longitudinal Study of Aging.,2023,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
36958620,Associations of baseline and longitudinal change in cerebellum volume with age-related changes in verbal learning and memory.,2023,4,"Domain 4: cognitive, brain, gait, muscle",TRUE
