dataset,metric,value,top_x,year,computed_date
CARDIA,n_papers,1364,NA,NA,2026-06-24
CARDIA,n_authors,3215,NA,NA,2026-06-24
CARDIA,hhi,0.3747887660064709,NA,NA,2026-06-24
CARDIA,top_x_share,0.3181818181818182,1,NA,2026-06-24
CARDIA,top_x_share,0.5513196480938416,3,NA,2026-06-24
CARDIA,top_x_share,0.6436950146627566,5,NA,2026-06-24
CARDIA,top_x_share,0.748533724340176,10,NA,2026-06-24
CARDIA,top_x_share,0.7961876832844574,20,NA,2026-06-24
CARDIA,hhi,1.4970414201183435,NA,1995,2026-06-24
CARDIA,top_x_share,0.6153846153846154,1,1995,2026-06-24
CARDIA,top_x_share,0.8461538461538461,3,1995,2026-06-24
CARDIA,top_x_share,0.8461538461538461,5,1995,2026-06-24
CARDIA,top_x_share,1,10,1995,2026-06-24
CARDIA,top_x_share,1,20,1995,2026-06-24
CARDIA,hhi,1.0859375,NA,1996,2026-06-24
CARDIA,top_x_share,0.6875,1,1996,2026-06-24
CARDIA,top_x_share,0.875,3,1996,2026-06-24
CARDIA,top_x_share,0.9375,5,1996,2026-06-24
CARDIA,top_x_share,0.9375,10,1996,2026-06-24
CARDIA,top_x_share,1,20,1996,2026-06-24
CARDIA,hhi,1.0000000000000002,NA,1997,2026-06-24
CARDIA,top_x_share,0.4,1,1997,2026-06-24
CARDIA,top_x_share,0.8,3,1997,2026-06-24
CARDIA,top_x_share,0.8,5,1997,2026-06-24
CARDIA,top_x_share,0.9,10,1997,2026-06-24
CARDIA,top_x_share,1,20,1997,2026-06-24
CARDIA,hhi,0.5955555555555555,NA,1998,2026-06-24
CARDIA,top_x_share,0.7333333333333333,1,1998,2026-06-24
CARDIA,top_x_share,0.7333333333333333,3,1998,2026-06-24
CARDIA,top_x_share,0.7333333333333333,5,1998,2026-06-24
CARDIA,top_x_share,1,10,1998,2026-06-24
CARDIA,top_x_share,1,20,1998,2026-06-24
CARDIA,hhi,1.2100000000000004,NA,1999,2026-06-24
CARDIA,top_x_share,0.5,1,1999,2026-06-24
CARDIA,top_x_share,0.8,3,1999,2026-06-24
CARDIA,top_x_share,1,5,1999,2026-06-24
CARDIA,top_x_share,1,10,1999,2026-06-24
CARDIA,top_x_share,1,20,1999,2026-06-24
CARDIA,hhi,0.6326530612244893,NA,2002,2026-06-24
CARDIA,top_x_share,0.2857142857142857,1,2002,2026-06-24
CARDIA,top_x_share,0.5714285714285714,3,2002,2026-06-24
CARDIA,top_x_share,0.9285714285714286,5,2002,2026-06-24
CARDIA,top_x_share,0.9285714285714286,10,2002,2026-06-24
CARDIA,top_x_share,1,20,2002,2026-06-24
CARDIA,hhi,1.354166666666666,NA,2003,2026-06-24
CARDIA,top_x_share,0.6666666666666666,1,2003,2026-06-24
CARDIA,top_x_share,0.8333333333333334,3,2003,2026-06-24
CARDIA,top_x_share,0.9166666666666666,5,2003,2026-06-24
CARDIA,top_x_share,0.9166666666666666,10,2003,2026-06-24
CARDIA,top_x_share,1,20,2003,2026-06-24
CARDIA,hhi,0.7174515235457057,NA,2004,2026-06-24
CARDIA,top_x_share,0.3157894736842105,1,2004,2026-06-24
CARDIA,top_x_share,0.7368421052631579,3,2004,2026-06-24
CARDIA,top_x_share,0.7894736842105263,5,2004,2026-06-24
CARDIA,top_x_share,0.8421052631578947,10,2004,2026-06-24
CARDIA,top_x_share,0.8947368421052632,20,2004,2026-06-24
CARDIA,hhi,0.7517146776406032,NA,2005,2026-06-24
CARDIA,top_x_share,0.37037037037037035,1,2005,2026-06-24
CARDIA,top_x_share,0.6666666666666666,3,2005,2026-06-24
CARDIA,top_x_share,0.7777777777777778,5,2005,2026-06-24
CARDIA,top_x_share,0.8148148148148148,10,2005,2026-06-24
CARDIA,top_x_share,0.8888888888888888,20,2005,2026-06-24
CARDIA,hhi,0.6607700312174822,NA,2006,2026-06-24
