author_raw,n_papers,last_name,initials
Adler NE,7,Adler,NE
Adler N,5,Adler,N
Allen NB,76,Allen,NB
Allen N,19,Allen,N
Bhatt SP,8,Bhatt,SP
Bhatt AS,5,Bhatt,AS
Bryan RN,24,Bryan,RN
Bryan N,5,Bryan,N
Burke GL,13,Burke,GL
Burke G,7,Burke,G
Carnethon MR,102,Carnethon,MR
Carnethon M,27,Carnethon,M
Catov JM,16,Catov,JM
Catov J,5,Catov,J
Chen C,12,Chen,C
Chen Y,6,Chen,Y
Chen J,5,Chen,J
Colangelo LA,69,Colangelo,LA
Colangelo L,6,Colangelo,L
Daviglus ML,30,Daviglus,ML
Daviglus M,6,Daviglus,M
Duprez DA,14,Duprez,DA
Duprez D,8,Duprez,D
Dyer AR,12,Dyer,AR
Dyer A,5,Dyer,A
Flack JM,9,Flack,JM
Flack J,5,Flack,J
Gao T,15,Gao,T
Gao JW,8,Gao,JW
Gidding SS,54,Gidding,SS
Gidding S,9,Gidding,S
Goff DC,37,Goff,DC
Goff D,5,Goff,D
Gross MD,50,Gross,MD
Gross M,15,Gross,M
Gross AL,6,Gross,AL
Guo X,7,Guo,X
Guo Y,7,Guo,Y
Hoang T,6,Hoang,T
Hoang TD,5,Hoang,TD
Howard AG,9,Howard,AG
Howard BV,6,Howard,BV
Huang R,6,Huang,R
Huang Y,6,Huang,Y
Huang X,5,Huang,X
Hughes G,6,Hughes,G
Hughes GH,5,Hughes,GH
Jacobs DR,410,Jacobs,DR
Jacobs D,24,Jacobs,D
Kershaw KN,35,Kershaw,KN
Kershaw K,5,Kershaw,K
Kertesz SG,8,Kertesz,SG
Kertesz S,5,Kertesz,S
Kiefe CI,98,Kiefe,CI
Kiefe C,20,Kiefe,C
Kim C,15,Kim,C
Kim Y,12,Kim,Y
Kim K,7,Kim,K
Launer LJ,64,Launer,LJ
Launer L,5,Launer,L
Lee DH,17,Lee,DH
Lee JM,5,Lee,JM
Lewis CE,312,Lewis,CE
Lewis C,8,Lewis,C
Li Y,11,Li,Y
Li J,10,Li,J
Li S,5,Li,S
Lima JAC,68,Lima,JAC
Lima J,11,Lima,J
Lima JA,5,Lima,JA
Lin F,13,Lin,F
Lin Y,8,Lin,Y
Liu K,197,Liu,K
Liu L,16,Liu,L
Liu M,8,Liu,M
Liu PM,7,Liu,PM
Liu C,6,Liu,C
Liu S,5,Liu,S
Liu Y,5,Liu,Y
Lloyd-Jones DM,125,Lloyd-Jones,DM
Lloyd-Jones D,54,Lloyd-Jones,D
Manolio TA,10,Manolio,TA
Manolio T,6,Manolio,T
Matthews KA,33,Matthews,KA
Matthews K,12,Matthews,K
Nasrallah IM,9,Nasrallah,IM
Nasrallah I,5,Nasrallah,I
Perkins LL,8,Perkins,LL
Perkins L,5,Perkins,L
Pletcher MJ,35,Pletcher,MJ
Pletcher M,6,Pletcher,M
Reis JP,109,Reis,JP
Reis J,17,Reis,J
Roseman J,9,Roseman,J
Roseman JM,7,Roseman,JM
Schreiner PJ,182,Schreiner,PJ
Schreiner P,24,Schreiner,P
Schwartz JE,26,Schwartz,JE
Schwartz SM,6,Schwartz,SM
Seeman T,15,Seeman,T
Seeman TE,14,Seeman,TE
Shah RV,18,Shah,RV
Shah SJ,16,Shah,SJ
Shlipak MG,15,Shlipak,MG
Shlipak M,5,Shlipak,M
Siscovick DS,25,Siscovick,DS
Siscovick D,17,Siscovick,D
Smith LJ,20,Smith,LJ
Smith DE,7,Smith,DE
Smith JD,6,Smith,JD
Steffen LM,59,Steffen,LM
Steffen BT,5,Steffen,BT
Steffen L,5,Steffen,L
Steffes MW,17,Steffes,MW
Steffes M,10,Steffes,M
Tracy RP,10,Tracy,RP
Tracy R,7,Tracy,R
Van HORNL,25,Van,HORNL
Van DENEEDENSK,15,Van,DENEEDENSK
Van HORNLV,5,Van,HORNLV
Wagenknecht LE,13,Wagenknecht,LE
Wagenknecht L,5,Wagenknecht,L
Wang J,8,Wang,J
Wang JF,7,Wang,JF
Wang L,6,Wang,L
Wang Y,5,Wang,Y
Wellons MF,25,Wellons,MF
Wellons M,11,Wellons,M
Williams OD,34,Williams,OD
Williams DR,11,Williams,DR
Wong ND,15,Wong,ND
Wong M,11,Wong,M
Wu C,9,Wu,C
Wu CO,8,Wu,CO
Xu D,6,Xu,D
Xu X,5,Xu,X
Zhang Y,21,Zhang,Y
Zhang K,18,Zhang,K
Zhang H,8,Zhang,H
Zhang S,7,Zhang,S
Zhang SL,7,Zhang,SL
Zhang X,5,Zhang,X
Zhao S,8,Zhao,S
Zhao L,7,Zhao,L
Zhou X,15,Zhou,X
Zhou H,10,Zhou,H
