author_raw,author_id,notes,merged_by,merged_date
Abbott S,Abbott SM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Abecasis G,Abecasis GR,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Adler N,Adler NE,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Ajmera V,Ajmera VH,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Albers J,Albers JJ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Allen N,Allen NB,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Allen NORRINAB,Allen NB,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Allen NORRINABAI,Allen NB,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Almeida A,Almeida ALC,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Apostol G,Apostol GG,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Ardern C,Ardern CI,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Armstrong AAC,Armstrong AC,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Armstrong A,Armstrong AC,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Ash S,Ash SY,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Baccarelli AA,Baccarelli A,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Bahorik A,Bahorik AL,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Bailey K,Bailey KR,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Ballantyne C,Ballantyne CM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Balte P,Balte PP,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
