dataset,metric,value,top_x,year,computed_date
CHS,n_papers,1866,NA,NA,2026-07-06
CHS,n_authors,10052,NA,NA,2026-07-06
CHS,hhi,0.7620191065024037,NA,NA,2026-07-06
CHS,top_x_share,0.35637727759914256,1,NA,2026-07-06
CHS,top_x_share,0.5819935691318328,3,NA,2026-07-06
CHS,top_x_share,0.6270096463022508,5,NA,2026-07-06
CHS,top_x_share,0.7122186495176849,10,NA,2026-07-06
CHS,hhi,1.4023668639053255,NA,1993,2026-07-06
CHS,top_x_share,0.5384615384615384,1,1993,2026-07-06
CHS,top_x_share,0.5384615384615384,3,1993,2026-07-06
CHS,top_x_share,0.9230769230769231,5,1993,2026-07-06
CHS,top_x_share,1,10,1993,2026-07-06
CHS,hhi,1.1171875,NA,1994,2026-07-06
CHS,top_x_share,0.4375,1,1994,2026-07-06
CHS,top_x_share,0.6875,3,1994,2026-07-06
CHS,top_x_share,0.9375,5,1994,2026-07-06
CHS,top_x_share,1,10,1994,2026-07-06
CHS,hhi,1.396449704142012,NA,1995,2026-07-06
CHS,top_x_share,0.46153846153846156,1,1995,2026-07-06
CHS,top_x_share,0.8461538461538461,3,1995,2026-07-06
CHS,top_x_share,0.9230769230769231,5,1995,2026-07-06
CHS,top_x_share,1,10,1995,2026-07-06
CHS,hhi,1.0415512465373953,NA,1996,2026-07-06
CHS,top_x_share,0.3684210526315789,1,1996,2026-07-06
CHS,top_x_share,0.7368421052631579,3,1996,2026-07-06
CHS,top_x_share,0.7368421052631579,5,1996,2026-07-06
CHS,top_x_share,0.8947368421052632,10,1996,2026-07-06
CHS,hhi,0.7277882797731571,NA,1997,2026-07-06
CHS,top_x_share,0.2608695652173913,1,1997,2026-07-06
CHS,top_x_share,0.5652173913043478,3,1997,2026-07-06
CHS,top_x_share,0.6521739130434783,5,1997,2026-07-06
CHS,top_x_share,0.782608695652174,10,1997,2026-07-06
CHS,hhi,0.4732461355529129,NA,1998,2026-07-06
CHS,top_x_share,0.20689655172413793,1,1998,2026-07-06
CHS,top_x_share,0.6896551724137931,3,1998,2026-07-06
CHS,top_x_share,0.6896551724137931,5,1998,2026-07-06
CHS,top_x_share,0.8275862068965517,10,1998,2026-07-06
CHS,hhi,0.7174211248285319,NA,1999,2026-07-06
CHS,top_x_share,0.2962962962962963,1,1999,2026-07-06
CHS,top_x_share,0.6296296296296297,3,1999,2026-07-06
CHS,top_x_share,0.6296296296296297,5,1999,2026-07-06
CHS,top_x_share,0.7777777777777778,10,1999,2026-07-06
CHS,hhi,0.5708884688090745,NA,2000,2026-07-06
CHS,top_x_share,0.2608695652173913,1,2000,2026-07-06
CHS,top_x_share,0.6086956521739131,3,2000,2026-07-06
CHS,top_x_share,0.9565217391304348,5,2000,2026-07-06
CHS,top_x_share,0.9565217391304348,10,2000,2026-07-06
CHS,hhi,0.6252739225712184,NA,2001,2026-07-06
CHS,top_x_share,0.2702702702702703,1,2001,2026-07-06
CHS,top_x_share,0.6486486486486487,3,2001,2026-07-06
CHS,top_x_share,0.7297297297297297,5,2001,2026-07-06
CHS,top_x_share,0.8648648648648649,10,2001,2026-07-06
CHS,hhi,0.8109418282548486,NA,2002,2026-07-06
CHS,top_x_share,0.2894736842105263,1,2002,2026-07-06
CHS,top_x_share,0.5,3,2002,2026-07-06
CHS,top_x_share,0.8157894736842105,5,2002,2026-07-06
CHS,top_x_share,0.8947368421052632,10,2002,2026-07-06
CHS,hhi,0.6507936507936505,NA,2003,2026-07-06
CHS,top_x_share,0.2857142857142857,1,2003,2026-07-06
CHS,top_x_share,0.7142857142857143,3,2003,2026-07-06
CHS,top_x_share,0.7142857142857143,5,2003,2026-07-06
CHS,top_x_share,0.7619047619047619,10,2003,2026-07-06
CHS,hhi,0.4805843906189935,NA,2004,2026-07-06
CHS,top_x_share,0.23529411764705882,1,2004,2026-07-06
CHS,top_x_share,0.39215686274509803,3,2004,2026-07-06
CHS,top_x_share,0.6666666666666666,5,2004,2026-07-06
CHS,top_x_share,0.803921568627451,10,2004,2026-07-06
CHS,hhi,0.9338017751479298,NA,2005,2026-07-06
CHS,top_x_share,0.38461538461538464,1,2005,2026-07-06
CHS,top_x_share,0.6730769230769231,3,2005,2026-07-06
CHS,top_x_share,0.7884615384615384,5,2005,2026-07-06
CHS,top_x_share,0.8461538461538461,10,2005,2026-07-06
CHS,hhi,0.539833531510108,NA,2006,2026-07-06
CHS,top_x_share,0.29310344827586204,1,2006,2026-07-06
CHS,top_x_share,0.5689655172413793,3,2006,2026-07-06
CHS,top_x_share,0.6896551724137931,5,2006,2026-07-06
CHS,top_x_share,0.7931034482758621,10,2006,2026-07-06
CHS,hhi,0.6287158145065421,NA,2007,2026-07-06
CHS,top_x_share,0.25862068965517243,1,2007,2026-07-06
CHS,top_x_share,0.6206896551724138,3,2007,2026-07-06
CHS,top_x_share,0.7068965517241379,5,2007,2026-07-06
CHS,top_x_share,0.896551724137931,10,2007,2026-07-06
CHS,hhi,0.5636574074074077,NA,2008,2026-07-06
CHS,top_x_share,0.3472222222222222,1,2008,2026-07-06
CHS,top_x_share,0.625,3,2008,2026-07-06
CHS,top_x_share,0.7222222222222222,5,2008,2026-07-06
CHS,top_x_share,0.8888888888888888,10,2008,2026-07-06
CHS,hhi,0.7885937499999977,NA,2009,2026-07-06
CHS,top_x_share,0.2875,1,2009,2026-07-06
CHS,top_x_share,0.475,3,2009,2026-07-06
CHS,top_x_share,0.75,5,2009,2026-07-06
CHS,top_x_share,0.775,10,2009,2026-07-06
CHS,hhi,1.9412175735871957,NA,2010,2026-07-06
CHS,top_x_share,0.34579439252336447,1,2010,2026-07-06
CHS,top_x_share,0.514018691588785,3,2010,2026-07-06
CHS,top_x_share,0.5327102803738317,5,2010,2026-07-06
CHS,top_x_share,0.6635514018691588,10,2010,2026-07-06
CHS,hhi,1.1626311145965933,NA,2011,2026-07-06
CHS,top_x_share,0.297029702970297,1,2011,2026-07-06
CHS,top_x_share,0.6237623762376238,3,2011,2026-07-06
CHS,top_x_share,0.7425742574257426,5,2011,2026-07-06
CHS,top_x_share,0.7524752475247525,10,2011,2026-07-06
CHS,hhi,1.1574135168253452,NA,2012,2026-07-06
CHS,top_x_share,0.27184466019417475,1,2012,2026-07-06
CHS,top_x_share,0.6116504854368932,3,2012,2026-07-06
CHS,top_x_share,0.6796116504854369,5,2012,2026-07-06
CHS,top_x_share,0.7184466019417476,10,2012,2026-07-06
CHS,hhi,2.275205761316853,NA,2013,2026-07-06
CHS,top_x_share,0.3611111111111111,1,2013,2026-07-06
CHS,top_x_share,0.6111111111111112,3,2013,2026-07-06
CHS,top_x_share,0.6203703703703703,5,2013,2026-07-06
CHS,top_x_share,0.8333333333333334,10,2013,2026-07-06
CHS,hhi,1.4061279296875,NA,2014,2026-07-06
CHS,top_x_share,0.421875,1,2014,2026-07-06
CHS,top_x_share,0.609375,3,2014,2026-07-06
CHS,top_x_share,0.625,5,2014,2026-07-06
CHS,top_x_share,0.671875,10,2014,2026-07-06
CHS,hhi,1.4762811634349164,NA,2015,2026-07-06
CHS,top_x_share,0.3815789473684211,1,2015,2026-07-06
CHS,top_x_share,0.5921052631578947,3,2015,2026-07-06
CHS,top_x_share,0.7368421052631579,5,2015,2026-07-06
CHS,top_x_share,0.8157894736842105,10,2015,2026-07-06
CHS,hhi,2.4050179211468974,NA,2016,2026-07-06
CHS,top_x_share,0.46236559139784944,1,2016,2026-07-06
CHS,top_x_share,0.5053763440860215,3,2016,2026-07-06
CHS,top_x_share,0.5053763440860215,5,2016,2026-07-06
CHS,top_x_share,0.6774193548387096,10,2016,2026-07-06
CHS,hhi,3.3270031217482368,NA,2017,2026-07-06
CHS,top_x_share,0.6129032258064516,1,2017,2026-07-06
CHS,top_x_share,0.6612903225806451,3,2017,2026-07-06
CHS,top_x_share,0.7096774193548387,5,2017,2026-07-06
CHS,top_x_share,0.7580645161290323,10,2017,2026-07-06
CHS,hhi,3.1013333333333075,NA,2018,2026-07-06
CHS,top_x_share,0.4533333333333333,1,2018,2026-07-06
CHS,top_x_share,0.49333333333333335,3,2018,2026-07-06
CHS,top_x_share,0.5733333333333334,5,2018,2026-07-06
CHS,top_x_share,0.6266666666666667,10,2018,2026-07-06
CHS,hhi,3.3551423324150096,NA,2019,2026-07-06
CHS,top_x_share,0.5,1,2019,2026-07-06
CHS,top_x_share,0.5454545454545454,3,2019,2026-07-06
CHS,top_x_share,0.5454545454545454,5,2019,2026-07-06
CHS,top_x_share,0.5757575757575758,10,2019,2026-07-06
CHS,hhi,1.2972651605231926,NA,2020,2026-07-06
CHS,top_x_share,0.4482758620689655,1,2020,2026-07-06
CHS,top_x_share,0.7241379310344828,3,2020,2026-07-06
CHS,top_x_share,0.7241379310344828,5,2020,2026-07-06
CHS,top_x_share,0.9310344827586207,10,2020,2026-07-06
CHS,hhi,3.8849999999999714,NA,2021,2026-07-06
CHS,top_x_share,0.5,1,2021,2026-07-06
CHS,top_x_share,0.5,3,2021,2026-07-06
CHS,top_x_share,0.65,5,2021,2026-07-06
CHS,top_x_share,0.75,10,2021,2026-07-06
CHS,hhi,5.498614958448735,NA,2022,2026-07-06
CHS,top_x_share,0.7368421052631579,1,2022,2026-07-06
CHS,top_x_share,0.8421052631578947,3,2022,2026-07-06
CHS,top_x_share,0.8947368421052632,5,2022,2026-07-06
CHS,top_x_share,1,10,2022,2026-07-06
CHS,hhi,3.0611111111111295,NA,2023,2026-07-06
CHS,top_x_share,0.5333333333333333,1,2023,2026-07-06
CHS,top_x_share,0.6,3,2023,2026-07-06
CHS,top_x_share,0.7,5,2023,2026-07-06
CHS,top_x_share,0.7333333333333333,10,2023,2026-07-06
CHS,hhi,1.9861426051902098,NA,2024,2026-07-06
CHS,top_x_share,0.49206349206349204,1,2024,2026-07-06
CHS,top_x_share,0.5238095238095238,3,2024,2026-07-06
CHS,top_x_share,0.5555555555555556,5,2024,2026-07-06
CHS,top_x_share,0.6666666666666666,10,2024,2026-07-06
CHS,hhi,2.312500000000029,NA,2025,2026-07-06
CHS,top_x_share,0.5416666666666666,1,2025,2026-07-06
CHS,top_x_share,0.5694444444444444,3,2025,2026-07-06
CHS,top_x_share,0.5694444444444444,5,2025,2026-07-06
CHS,top_x_share,0.6666666666666666,10,2025,2026-07-06
CHS,hhi,3.7173913043477955,NA,2026,2026-07-06
CHS,top_x_share,0.717391304347826,1,2026,2026-07-06
CHS,top_x_share,0.782608695652174,3,2026,2026-07-06
CHS,top_x_share,0.782608695652174,5,2026,2026-07-06
CHS,top_x_share,0.8043478260869565,10,2026,2026-07-06
