author_raw,n_papers,last_name,initials
Abecasis GR,26,Abecasis,GR
Abecasis G,10,Abecasis,G
Adams HHH,9,Adams,HHH
Adams HH,8,Adams,HH
Armstrong NJ,8,Armstrong,NJ
Armstrong ND,5,Armstrong,ND
Arnold AM,101,Arnold,AM
Arnold A,21,Arnold,A
Attia J,15,Attia,J
Attia JR,12,Attia,JR
Aulchenko YS,25,Aulchenko,YS
Aulchenko Y,5,Aulchenko,Y
Bakker SJ,11,Bakker,SJ
Bakker SJL,10,Bakker,SJL
Ballantyne CM,37,Ballantyne,CM
Ballantyne C,9,Ballantyne,C
Barnes KC,9,Barnes,KC
Barnes MR,7,Barnes,MR
Barnes DE,5,Barnes,DE
Barzilay JI,51,Barzilay,JI
Barzilay J,9,Barzilay,J
Beauchamp NJ,13,Beauchamp,NJ
Beauchamp N,6,Beauchamp,N
Becker JT,47,Becker,JT
Becker DM,37,Becker,DM
Becker LC,25,Becker,LC
Beilby JP,13,Beilby,JP
Beilby J,9,Beilby,J
Beiser A,18,Beiser,A
Beiser AS,12,Beiser,AS
Bennett DA,24,Bennett,DA
Bennett AJ,6,Bennett,AJ
Bis JC,189,Bis,JC
Bis J,7,Bis,J
Borecki IB,52,Borecki,IB
Borecki I,6,Borecki,I
Brody JA,114,Brody,JA
Brody J,6,Brody,J
Brown MR,20,Brown,MR
Brown MJ,8,Brown,MJ
Brown AF,7,Brown,AF
Brown SJ,6,Brown,SJ
Burke GL,85,Burke,GL
Burke G,10,Burke,G
Butler J,6,Butler,J
Butler AM,5,Butler,AM
Cade BE,31,Cade,BE
Cade B,7,Cade,B
Campbell H,61,Campbell,H
Campbell A,22,Campbell,A
Campbell S,6,Campbell,S
Cappola AR,39,Cappola,AR
Cappola A,8,Cappola,A
Cappola TP,6,Cappola,TP
Carbone L,10,Carbone,L
Carbone LD,6,Carbone,LD
Cardiovascular Health Study,14,Cardiovascular,Health Study
Cardiovascular Health Study Research Group,10,Cardiovascular,Health Study Research Group
Carlson CS,26,Carlson,CS
Carlson MC,15,Carlson,MC
Carlson M,10,Carlson,M
Carnethon M,10,Carnethon,M
Carnethon MR,10,Carnethon,MR
Cauley JA,33,Cauley,JA
Cauley J,8,Cauley,J
Chaves PH,35,Chaves,PH
Chaves PHM,11,Chaves,PHM
Chaves P,6,Chaves,P
Chen YI,41,Chen,YI
Chen MH,40,Chen,MH
Chen YD,38,Chen,YD
Chen H,25,Chen,H
Chen LY,21,Chen,LY
Chen Z,16,Chen,Z
Chen J,13,Chen,J
Chen WM,13,Chen,WM
Chen G,10,Chen,G
Chen W,10,Chen,W
Chen C,6,Chen,C
Chen TH,5,Chen,TH
Chen X,5,Chen,X
Chen Y,5,Chen,Y
Cheng CY,23,Cheng,CY
Cheng I,12,Cheng,I
Cheng YC,8,Cheng,YC
Cho MH,20,Cho,MH
Cho K,9,Cho,K
Cho YS,7,Cho,YS
Christenson RH,8,Christenson,RH
Christenson R,5,Christenson,R
Cole SA,13,Cole,SA
Cole JW,6,Cole,JW
Collins FS,27,Collins,FS
Collins R,9,Collins,R
Cooper RS,15,Cooper,RS
Cooper C,10,Cooper,C
Cooper JA,8,Cooper,JA
Cooper MN,6,Cooper,MN
Cooper R,5,Cooper,R
Couper DJ,16,Couper,DJ
Couper D,14,Couper,D
Curhan GC,7,Curhan,GC
Curhan G,5,Curhan,G
De Jager PL,21,De,Jager PL
De Grandi A,6,De,Grandi A
DeCarli C,10,DeCarli,C
DeCarli CS,6,DeCarli,CS
Dedoussis G,20,Dedoussis,G
Dedoussis GV,11,Dedoussis,GV
Delaney JA,17,Delaney,JA
Delaney JAC,6,Delaney,JAC
Delgado GE,13,Delgado,GE
Delgado G,9,Delgado,G
Diehr P,33,Diehr,P
Diehr PH,6,Diehr,PH
Do R,12,Do,R
Do A,5,Do,A
Doney AS,7,Doney,AS
Doney A,6,Doney,A
Doney ASF,6,Doney,ASF
Duggan D,6,Duggan,D
Duggan DJ,5,Duggan,DJ
Durda P,8,Durda,P
Durda JP,7,Durda,JP
Edwards TL,18,Edwards,TL
Edwards MS,10,Edwards,MS
Ehret GB,25,Ehret,GB
Ehret G,13,Ehret,G
Elkind MSV,9,Elkind,MSV
Elkind MS,8,Elkind,MS
Enright PL,27,Enright,PL
Enright P,15,Enright,P
Eriksson JG,32,Eriksson,JG
Eriksson J,15,Eriksson,J
Eriksson P,6,Eriksson,P
Evans MK,38,Evans,MK
Evans DS,29,Evans,DS
Evans DM,11,Evans,DM
Evans DA,10,Evans,DA
Feitosa MF,52,Feitosa,MF
Feitosa M,5,Feitosa,M
Felix SB,22,Felix,SB
Felix JF,17,Felix,JF
Fitzpatrick AL,66,Fitzpatrick,AL
Fitzpatrick A,24,Fitzpatrick,A
Fox CS,45,Fox,CS
Fox ER,25,Fox,ER
Fox E,5,Fox,E
Franke A,12,Franke,A
Franke L,10,Franke,L
Fried LP,67,Fried,LP
Fried LF,52,Fried,LF
Fried L,22,Fried,L
Furberg CD,47,Furberg,CD
Furberg C,8,Furberg,C
Gabriel S,15,Gabriel,S
Gabriel SB,9,Gabriel,SB
Gao H,13,Gao,H
Gao W,7,Gao,W
Gao P,6,Gao,P
Gao C,5,Gao,C
Gao Y,5,Gao,Y
Garcia M,18,Garcia,M
Garcia ME,14,Garcia,ME
Gardin JM,54,Gardin,JM
Gardin J,5,Gardin,J
Gibbs RA,22,Gibbs,RA
Gibbs R,5,Gibbs,R
Gottdiener JS,118,Gottdiener,JS
Gottdiener J,12,Gottdiener,J
Gottesman RF,29,Gottesman,RF
Gottesman O,11,Gottesman,O
Grant PJ,6,Grant,PJ
Grant SFA,5,Grant,SFA
Green RC,6,Green,RC
Green T,5,Green,T
Groop L,17,Groop,L
Groop LC,11,Groop,LC
Gross M,9,Gross,M
Gross AL,6,Gross,AL
Gross MD,6,Gross,MD
Gu CC,12,Gu,CC
Gu X,9,Gu,X
Gu C,6,Gu,C
Haan M,8,Haan,M
Haan MN,8,Haan,MN
Haiman CA,30,Haiman,CA
Haiman C,7,Haiman,C
Hall IP,9,Hall,IP
Hall ME,9,Hall,ME
Hall AS,8,Hall,AS
Hall P,5,Hall,P
Hansen T,37,Hansen,T
Hansen KJ,10,Hansen,KJ
Hansen JB,5,Hansen,JB
Hardy J,7,Hardy,J
Hardy R,6,Hardy,R
Harris TB,152,Harris,TB
Harris SE,25,Harris,SE
Harris T,24,Harris,T
Hastie ND,8,Hastie,ND
Hastie N,6,Hastie,N
Heard-Costa NL,18,Heard-Costa,NL
Heard-Costa N,12,Heard-Costa,N
Hernandez DG,12,Hernandez,DG
Hernandez D,11,Hernandez,D
Hingorani A,14,Hingorani,A
Hingorani AD,13,Hingorani,AD
Hirsch CH,33,Hirsch,CH
Hirsch C,18,Hirsch,C
Hsu YH,11,Hsu,YH
Hsu FC,7,Hsu,FC
Hu FB,31,Hu,FB
Hu Y,9,Hu,Y
Hu D,7,Hu,D
Hu F,6,Hu,F
Huang J,19,Huang,J
Huang Z,7,Huang,Z
Huang PL,6,Huang,PL
Huffman JE,38,Huffman,JE
Huffman J,5,Huffman,J
Hung YJ,10,Hung,YJ
Hung AM,8,Hung,AM
Hung J,6,Hung,J
Ikram MA,86,Ikram,MA
Ikram MK,12,Ikram,MK
Ingelsson E,49,Ingelsson,E
Ingelsson M,6,Ingelsson,M
Ives DG,15,Ives,DG
Ives D,5,Ives,D
Ix JH,83,Ix,JH
Ix J,5,Ix,J
Jackson AU,31,Jackson,AU
Jackson RD,14,Jackson,RD
Jackson S,10,Jackson,S
Jackson SA,10,Jackson,SA
Jackson R,9,Jackson,R
Jacobs DR,19,Jacobs,DR
Jacobs KB,6,Jacobs,KB
Jain D,7,Jain,D
Jain S,5,Jain,S
Jansson JO,9,Jansson,JO
Jansson JH,8,Jansson,JH
Jenny NS,56,Jenny,NS
Jenny N,5,Jenny,N
Jensen RA,22,Jensen,RA
Jensen MK,20,Jensen,MK
Jensen PN,9,Jensen,PN
Johansson A,12,Johansson,A
Johansson Å,9,Johansson,Å
Johansson I,8,Johansson,I
Johnson AD,64,Johnson,AD
Johnson T,24,Johnson,T
Johnson KC,8,Johnson,KC
Johnson R,6,Johnson,R
Johnson WC,6,Johnson,WC
Jørgensen T,16,Jørgensen,T
Jørgensen ME,8,Jørgensen,ME
Kamatani Y,19,Kamatani,Y
Kamatani N,5,Kamatani,N
Kaplan RC,51,Kaplan,RC
Kaplan R,16,Kaplan,R
Kaplan LM,5,Kaplan,LM
Kardia SLR,44,Kardia,SLR
Kardia SL,30,Kardia,SL
Kardia S,5,Kardia,S
Kenny EE,8,Kenny,EE
Kenny E,5,Kenny,E
Kestenbaum B,53,Kestenbaum,B
Kestenbaum BR,11,Kestenbaum,BR
Kiemeney LA,10,Kiemeney,LA
Kiemeney LALM,5,Kiemeney,LALM
Kim YJ,10,Kim,YJ
Kim DH,6,Kim,DH
Kim E,6,Kim,E
Kim H,5,Kim,H
Kitzman DW,20,Kitzman,DW
Kitzman D,5,Kitzman,D
Klein R,34,Klein,R
Klein BE,17,Klein,BE
Kraja AT,19,Kraja,AT
Kraja A,7,Kraja,A
Kronmal RA,74,Kronmal,RA
Kronmal R,14,Kronmal,R
Kuller LH,188,Kuller,LH
Kuller L,41,Kuller,L
Kumar A,6,Kumar,A
Kumar R,6,Kumar,R
Kwok PY,8,Kwok,PY
Kwok JB,5,Kwok,JB
Lange LA,76,Lange,LA
Lange L,16,Lange,L
Lange EM,14,Lange,EM
Larson MG,30,Larson,MG
Larson EB,7,Larson,EB
Lathrop M,11,Lathrop,M
Lathrop GM,5,Lathrop,GM
Launer LJ,126,Launer,LJ
Launer L,18,Launer,L
Laurie CC,22,Laurie,CC
Laurie CA,5,Laurie,CA
Lee J,17,Lee,J
Lee S,15,Lee,S
Lee JY,10,Lee,JY
Lee WJ,9,Lee,WJ
Lee JS,7,Lee,JS
Lee NR,7,Lee,NR
Lee IT,6,Lee,IT
Lee JJ,5,Lee,JJ
Lee M,5,Lee,M
Lee WP,5,Lee,WP
Lee Y,5,Lee,Y
Lewis CE,9,Lewis,CE
Lewis JP,8,Lewis,JP
Li X,45,Li,X
Li M,42,Li,M
Li G,37,Li,G
Li Y,31,Li,Y
Li C,19,Li,C
Li J,18,Li,J
Li S,14,Li,S
Li L,9,Li,L
Li R,9,Li,R
Li Z,9,Li,Z
Li H,7,Li,H
Liang L,9,Liang,L
Liang J,8,Liang,J
Liang LJ,5,Liang,LJ
Liewald DC,12,Liewald,DC
Liewald DCM,7,Liewald,DCM
Lin H,29,Lin,H
Lin HJ,24,Lin,HJ
Lin X,16,Lin,X
Lin DY,9,Lin,DY
Lind L,50,Lind,L
Lind BK,9,Lind,BK
Lindgren CM,29,Lindgren,CM
Lindgren C,8,Lindgren,C
Liu Y,128,Liu,Y
Liu CT,50,Liu,CT
Liu J,38,Liu,J
Liu X,23,Liu,X
Liu C,20,Liu,C
Liu K,15,Liu,K
Liu S,15,Liu,S
Liu DJ,5,Liu,DJ
Lloyd-Jones DM,28,Lloyd-Jones,DM
Lloyd-Jones D,8,Lloyd-Jones,D
Lohman K,31,Lohman,K
Lohman KK,17,Lohman,KK
Longstreth WT,161,Longstreth,WT
Longstreth W,5,Longstreth,W
Loos RJF,56,Loos,RJF
Loos RJ,49,Loos,RJ
Lopez OL,100,Lopez,OL
Lopez LM,18,Lopez,LM
Lopez O,14,Lopez,O
Lu Y,31,Lu,Y
Lu X,8,Lu,X
Luben RN,14,Luben,RN
Luben R,7,Luben,R
Lyketsos C,6,Lyketsos,C
Lyketsos CG,5,Lyketsos,CG
Lyles MF,9,Lyles,MF
Lyles M,7,Lyles,M
Magnusson PK,12,Magnusson,PK
Magnusson PKE,9,Magnusson,PKE
Manichaikul A,41,Manichaikul,A
Manichaikul AW,13,Manichaikul,AW
Manning AK,25,Manning,AK
Manning A,5,Manning,A
Manolio TA,88,Manolio,TA
Manolio T,12,Manolio,T
Marciante KD,12,Marciante,KD
Marciante K,5,Marciante,K
Martin NG,29,Martin,NG
Martin LW,21,Martin,LW
Martin ER,7,Martin,ER
Mathias RA,28,Mathias,RA
Mathias R,5,Mathias,R
Matsuda K,10,Matsuda,K
Matsuda F,5,Matsuda,F
Mitchell BD,70,Mitchell,BD
Mitchell P,19,Mitchell,P
Mitchell GF,6,Mitchell,GF
Morris AP,41,Morris,AP
Morris AD,20,Morris,AD
Morris RW,7,Morris,RW
Morrison AC,102,Morrison,AC
Morrison A,7,Morrison,A
Mosley TH,56,Mosley,TH
Mosley T,7,Mosley,T
Mukamal KJ,148,Mukamal,KJ
Mukamal K,19,Mukamal,K
Murray SS,7,Murray,SS
Murray A,5,Murray,A
Muzny D,13,Muzny,D
Muzny DM,5,Muzny,DM
Nalls MA,63,Nalls,MA
Nalls M,9,Nalls,M
Nelson CP,18,Nelson,CP
Nelson JJ,5,Nelson,JJ
Newman AB,270,Newman,AB
Newman A,34,Newman,A
North KE,113,North,KE
North K,7,North,K
O'Connell JR,51,O'Connell,JR
O'Connell J,9,O'Connell,J
O'Connor GT,39,O'Connor,GT
O'Connor G,7,O'Connor,G
O'Leary DH,44,O'Leary,DH
O'Leary D,9,O'Leary,D
Palmer ND,31,Palmer,ND
Palmer LJ,24,Palmer,LJ
Palmer CNA,17,Palmer,CNA
Palmer CN,12,Palmer,CN
Palmer C,9,Palmer,C
Palmer CD,9,Palmer,CD
Pankow JS,52,Pankow,JS
Pankow J,6,Pankow,J
Patel SR,22,Patel,SR
Patel KV,7,Patel,KV
Pedersen O,29,Pedersen,O
Pedersen NL,18,Pedersen,NL
Penninx BW,24,Penninx,BW
Penninx BWJH,11,Penninx,BWJH
Penninx B,10,Penninx,B
Peters A,56,Peters,A
Peters U,32,Peters,U
Peters MJ,6,Peters,MJ
Pirastu M,12,Pirastu,M
Pirastu N,9,Pirastu,N
Polak JF,43,Polak,JF
Polak J,6,Polak,J
Pollak MN,8,Pollak,MN
Pollak M,5,Pollak,M
Porteous DJ,15,Porteous,DJ
Porteous D,7,Porteous,D
Post WS,17,Post,WS
Post W,7,Post,W
Poulter N,7,Poulter,N
Poulter NR,5,Poulter,NR
Powe NR,8,Powe,NR
Powe N,6,Powe,N
Preuss M,12,Preuss,M
Preuss MH,7,Preuss,MH
Price JF,15,Price,JF
Price TR,10,Price,TR
Probst-Hensch NM,7,Probst-Hensch,NM
Probst-Hensch N,6,Probst-Hensch,N
Province MA,37,Province,MA
Province M,6,Province,M
Psaty BM,639,Psaty,BM
Psaty B,27,Psaty,B
Qi L,24,Qi,L
Qi Q,9,Qi,Q
Raitakari OT,42,Raitakari,OT
Raitakari O,22,Raitakari,O
Reilly MP,15,Reilly,MP
Reilly DF,6,Reilly,DF
Reiner AP,127,Reiner,AP
