author_raw,author_id,notes,merged_by,merged_date
Abecasis G,Abecasis GR,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Abe T,Abe TA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Abner EL,Abner E,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Absher DM,Absher D,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Adams H,Adams HHH,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Adams HH,Adams HHH,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Adams L,Adams LD,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Adeyemo AA,Adeyemo A,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Aguilar M,Aguilar MI,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Ahiawodzi P,Ahiawodzi PD,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Ahluwalia TVS,Ahluwalia TS,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Aizenstein H,Aizenstein HJ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Akwo E,Akwo EA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Akylbekova E,Akylbekova EL,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Albert C,Albert CM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Aldave AJ,Aldave A,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Aldrich M,Aldrich MC,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Allen N,Allen NB,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Allen NE,Allen NB,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Allison M,Allison MA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Altmaier E,Altmaier EL,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Alvarez KN,Alvarez K,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Alzheimer's Disease Neuroimaging Initiative,Alzheimer's Disease Sequencing Project,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Alzheimer's Disease Genetic Consortium,Alzheimer's Disease Sequencing Project,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Alzheimer’s Disease Sequencing Project,Alzheimer’s Disease Genetic Consortium,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Ames DC,Ames D,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Amos C,Amos CI,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Anand S,Anand SS,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Anderson CA,Anderson CD,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Anderson JL,Anderson JS,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Anderson J,Anderson JS,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Anderson ML,Anderson M,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Anderson R,Anderson RM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Aneke-Nash C,Aneke-Nash CS,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Angus D,Angus DC,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Ang WQ,Ang W,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Aponte J,Aponte JL,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Appel EVR,Appel EV,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Aragam K,Aragam KG,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Arbeev K,Arbeev KG,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Ardlie KG,Ardlie K,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Argoty-Pantoja A,Argoty-Pantoja AD,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Arking D,Arking DE,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Armstrong ND,Armstrong NJ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Armstrong N,Armstrong NJ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Armstrong NM,Armstrong NJ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Arnett D,Arnett DK,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Arnold A,Arnold AM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Ashar F,Ashar FN,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Assimes T,Assimes TL,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Astor B,Astor BC,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Atkinson E,Atkinson EJ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Attix D,Attix DK,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Attwood A,Attwood AP,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Atwood L,Atwood LD,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Auer P,Auer PL,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Aulchenko Y,Aulchenko YS,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Aurigemma G,Aurigemma GP,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Austin T,Austin TR,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Avery C,Avery CL,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Ayers CR,Ayers C,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Bakker SJL,Bakker SJ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Baldwin CT,Baldwin CM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Baldwin C,Baldwin CM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Ballantyne C,Ballantyne CM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Ballantyne ChM,Ballantyne CM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Bang LE,Bang LB,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Barber R,Barber RC,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Barbieri CM,Barbieri C,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Barnes D,Barnes DE,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Barnes K,Barnes KC,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Barral SM,Barral S,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Barrett J,Barrett JC,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Bartz T,Bartz TM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Barzilay J,Barzilay JI,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Basart HV,Basart H,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Bauer DE,Bauer DC,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Baumeister S,Baumeister SE,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Bazzano LA,Bazzano L,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Beauchamp N,Beauchamp NJ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Becker A,Becker AB,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Becker J,Becker JT,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Becker L,Becker LC,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Beecham G,Beecham GW,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Beilby J,Beilby JP,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Beiser AS,Beiser A,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Beitelshees A,Beitelshees AL,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Bell JT,Bell JD,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Below J,Below JE,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Benjamin E,Benjamin EJ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Bennett D,Bennett DA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Bentley A,Bentley AR,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Berenson G,Berenson GS,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Bernick CB,Bernick C,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Berry J,Berry JD,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Bertoni A,Bertoni AG,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Best L,Best LG,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Bethel M,Bethel MA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Bhadelia RA,Bhadelia R,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Bick A,Bick AG,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Bielak L,Bielak LF,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Bien SA,Bien S,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Bierut L,Bierut LJ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Bild D,Bild DE,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
BioBank Japan Cooperative Hospital Group,BioBank Japan Project,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Biobank Japan,Biobank Japan Project,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Bis J,Bis JC,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Bittner VA,Bittner V,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Bjonnes A,Bjonnes AC,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Blackwell T,Blackwell TW,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Blakemore AIF,Blakemore AI,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Blazer D,Blazer DG,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Bleecker E,Bleecker ER,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Bleyer A,Bleyer AJ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Boer JMA,Boer JM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Boineau RC,Boineau R,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Boks MPM,Boks MP,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Boland L,Boland LL,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Bolton JA,Bolton JL,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Bommer WJ,Bommer W,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Bonekat W,Bonekat WH,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Bonito AJ,Bonito A,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Bookman E,Bookman EB,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Boomsma D,Boomsma DI,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Borecki I,Borecki IB,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Borhani N,Borhani NO,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Bortnick A,Bortnick AE,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Bos MJ,Bos MM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Bottinger E,Bottinger EP,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Bottinger EB,Bottinger EP,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Boudreau R,Boudreau RM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Boutin T,Boutin TS,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Bovill E,Bovill EG,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Bowden D,Bowden DW,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Boyle PJ,Boyle PA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Brach J,Brach JS,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Brancati F,Brancati FL,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Brand S,Brand SM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Breitner J,Breitner JC,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Bremner AP,Bremner A,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Breteler MMB,Breteler MM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Breteler M,Breteler MM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Breyer MA,Breyer M,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Britton A,Britton AR,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Britton AF,Britton AR,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Broad GO,Broad Genomics Platform,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
