pmid,title,pub_year,cluster,domain,has_abstract
42065751,Soluble klotho levels and hip fracture risk in the elderly.,2026,1,"Domain 1: fracture, hip, bone, mineral",TRUE
41903300,Prospective study of breakfast frequency and timing and risk of myocardial infarction and coronary artery disease in community-dwelling older adults: The Cardiovascular Health Study.,2026,3,"Domain 3: cvd, stroke, mortality, older",TRUE
42026014,Whole Genome Sequence Analysis of Weight Loss in 16 972 Participants With COPD Reveals Novel Risk Loci in DRAIC and RFX3.,2026,2,"Domain 2: loci, genetic, variants, genome",TRUE
41674444,Prospective Associations of Obesity and Obesity Severity With 9 Cardiovascular Outcomes: The Cross-Cohort Collaboration.,2026,3,"Domain 3: cvd, stroke, mortality, older",TRUE
42237039,Consensus meta-analysis of genome-wide association studies for Alzheimer's disease and related dementias.,2026,2,"Domain 2: loci, genetic, variants, genome",TRUE
42235824,Plasma Proteins Associated with Whole Grains and Fiber Intake in the Cardiovascular Health Study (CHS) and the Atherosclerosis Risk in Communities (ARIC) Study.,2026,3,"Domain 3: cvd, stroke, mortality, older",TRUE
41960332,Discovery of gene-alcohol interaction loci influencing blood pressure in 1.1 million individuals from multiple populations.,2026,2,"Domain 2: loci, genetic, variants, genome",TRUE
42269392,Associations of serum neurofilament light chain concentration with able life and healthy life in older adults: The Cardiovascular Health Study.,2026,3,"Domain 3: cvd, stroke, mortality, older",TRUE
42062286,Admixture-informed polygenic risk reporting using the ePRS framework.,2026,2,"Domain 2: loci, genetic, variants, genome",TRUE
41520077,Plasma proteomics and incident coronary heart disease.,2026,3,"Domain 3: cvd, stroke, mortality, older",TRUE
42061389,Multi-ancestry polygenic risk scores for the prediction of type 2 diabetes and complications in diverse ancestries.,2026,2,"Domain 2: loci, genetic, variants, genome",TRUE
41741349,Rethinking immune studies: population-level immune variations and the path forward.,2026,3,"Domain 3: cvd, stroke, mortality, older",TRUE
42173840,Long-term temporal stability of circulating proteins in older adults.,2026,3,"Domain 3: cvd, stroke, mortality, older",TRUE
41400245,Proteomics Analysis of Plasma for Risk of Sepsis: Findings from the Atherosclerosis Risk in Communities Study.,2026,3,"Domain 3: cvd, stroke, mortality, older",TRUE
42147184,"Rare coding variant architecture and gene discovery from 130,000 sequenced cases of atrial fibrillation.",2026,2,"Domain 2: loci, genetic, variants, genome",TRUE
41535900,"Whole genome sequence analysis of pulmonary function and COPD in 44,287 multi-ancestry participants.",2026,2,"Domain 2: loci, genetic, variants, genome",TRUE
41713944,Circulating proteomic landscape of lung function.,2026,2,"Domain 2: loci, genetic, variants, genome",TRUE
