author_id,n_papers,paper_share
Muller C,27,0.027300303336703743
Teachman JD,20,0.020222446916076844
Grodsky E,19,0.019211324570273004
Warren JR,19,0.019211324570273004
National Center for Education Statistics,18,0.01820020222446916
Lee VE,15,0.015166835187057633
Adelman C,14,0.014155712841253791
Carroll CD,13,0.01314459049544995
Grubb WN,13,0.01314459049544995
Peng SS,13,0.01314459049544995
Research Triangle Institute,12,0.012133468149646108
Coleman JS,11,0.011122345803842264
Eide ER,11,0.011122345803842264
Jones C,11,0.011122345803842264
Kaufman P,11,0.011122345803842264
Marsh HW,11,0.011122345803842264
Waite LJ,11,0.011122345803842264
Alexander KL,10,0.010111223458038422
Altonji JG,10,0.010111223458038422
Goldscheider FK,10,0.010111223458038422
Keith TZ,10,0.010111223458038422
Sebring P,10,0.010111223458038422
Berends M,9,0.00910010111223458
Ingels SJ,9,0.00910010111223458
National Opinion Research Center,9,0.00910010111223458
Spencer B,9,0.00910010111223458
Wolfle LM,9,0.00910010111223458
Ehrenberg RG,8,0.008088978766430738
Fetters WB,8,0.008088978766430738
Hoffer T,8,0.008088978766430738
Rindfuss RR,8,0.008088978766430738
Campbell B,7,0.007077856420626896
Goldscheider C,7,0.007077856420626896
Hanson SL,7,0.007077856420626896
Kilgore S,7,0.007077856420626896
Li M,7,0.007077856420626896
Powell B,7,0.007077856420626896
Smith TM,7,0.007077856420626896
St. John EP,7,0.007077856420626896
Tourangeau R,7,0.007077856420626896
Carroll JM,6,0.006066734074823054
Eagle E,6,0.006066734074823054
Grogger JT,6,0.006066734074823054
Hilton TL,6,0.006066734074823054
Lucas SR,6,0.006066734074823054
Manly JJ,6,0.006066734074823054
Murnane RJ,6,0.006066734074823054
Rock DA,6,0.006066734074823054
Rosenbaum JE,6,0.006066734074823054
Associates M,5,0.005055611729019211
Brewer DJ,5,0.005055611729019211
Brickman AM,5,0.005055611729019211
Burns SK,5,0.005055611729019211
Dawkins MP,5,0.005055611729019211
Ekstrom RB,5,0.005055611729019211
Hearn JC,5,0.005055611729019211
Heyns B,5,0.005055611729019211
Hilmer MJ,5,0.005055611729019211
Inter-university Consortium for Political and Social Research,5,0.005055611729019211
Knepper P,5,0.005055611729019211
Kolstad AJ,5,0.005055611729019211
Pallas AM,5,0.005055611729019211
Pollack J,5,0.005055611729019211
Rivkin SG,5,0.005055611729019211
Robertshaw D,5,0.005055611729019211
Rouse CE,5,0.005055611729019211
Sander W,5,0.005055611729019211
Schmitt C,5,0.005055611729019211
Service ET,5,0.005055611729019211
Smith JB,5,0.005055611729019211
Steelman LC,5,0.005055611729019211
Willett JB,5,0.005055611729019211
Arcidiacono P,4,0.004044489383215369
Astone NM,4,0.004044489383215369
Brandon PD,4,0.004044489383215369
Brien MJ,4,0.004044489383215369
Cooksey EC,4,0.004044489383215369
Crawford I,4,0.004044489383215369
Dalton B,4,0.004044489383215369
Duncombe A,4,0.004044489383215369
Eckland BK,4,0.004044489383215369
Falk WW,4,0.004044489383215369
Gamoran A,4,0.004044489383215369
Glusberg M,4,0.004044489383215369
Goertz ME,4,0.004044489383215369
Gregory JF,4,0.004044489383215369
Haggstrom GW,4,0.004044489383215369
Hanushek EA,4,0.004044489383215369
Kane TJ,4,0.004044489383215369
Kanouse DE,4,0.004044489383215369
Konstantopoulos S,4,0.004044489383215369
Krueger AB,4,0.004044489383215369
Lee JB,4,0.004044489383215369
Levesque K,4,0.004044489383215369
Levine PB,4,0.004044489383215369
Lindsay P,4,0.004044489383215369
Lovenheim MF,4,0.004044489383215369
Lyson TA,4,0.004044489383215369
McMillen MM,4,0.004044489383215369
McNeal Jr RB,4,0.004044489383215369
Paasch K,4,0.004044489383215369
Polonko KA,4,0.004044489383215369
Riordan C,4,0.004044489383215369
Showalter MH,4,0.004044489383215369
Singleton M,4,0.004044489383215369
Tobias JL,4,0.004044489383215369
Tuma J,4,0.004044489383215369
White MJ,4,0.004044489383215369
Abrahamse AF,3,0.003033367037411527
Alon S,3,0.003033367037411527
Anderson KL,3,0.003033367037411527
Arum R,3,0.003033367037411527
Bastedo MN,3,0.003033367037411527
Beaulieu LJ,3,0.003033367037411527
Bound J,3,0.003033367037411527
Bryk AS,3,0.003033367037411527
Burge SW,3,0.003033367037411527
Butz M,3,0.003033367037411527
Call VRA,3,0.003033367037411527
Cardoza D,3,0.003033367037411527
Catsambis S,3,0.003033367037411527
Clowes DA,3,0.003033367037411527
Crain RL,3,0.003033367037411527
Dee TS,3,0.003033367037411527
DiPrete TA,3,0.003033367037411527
Domina T,3,0.003033367037411527
Dougherty KJ,3,0.003033367037411527
Ethington CA,3,0.003033367037411527
Fernandez RM,3,0.003033367037411527
Frankel MF,3,0.003033367037411527
Ganderton PT,3,0.003033367037411527
Ginsburg AL,3,0.003033367037411527
Haller EJ,3,0.003033367037411527
Hallinan MT,3,0.003033367037411527
Hannaway J,3,0.003033367037411527
Hedges LV,3,0.003033367037411527
Henderson LB,3,0.003033367037411527
Henke R,3,0.003033367037411527
Hotchkiss L,3,0.003033367037411527
Hoxby CM,3,0.003033367037411527
Hudson L,3,0.003033367037411527
Hung K,3,0.003033367037411527
International R,3,0.003033367037411527
Jaquette O,3,0.003033367037411527
Kearney MS,3,0.003033367037411527
Klein SG,3,0.003033367037411527
Koretz DM,3,0.003033367037411527
Lauff E,3,0.003033367037411527
Long MC,3,0.003033367037411527
Loury LD,3,0.003033367037411527
Lybbert E,3,0.003033367037411527
Madhere S,3,0.003033367037411527
Manski CF,3,0.003033367037411527
McLanahan SS,3,0.003033367037411527
McWilliams H,3,0.003033367037411527
Melnick MJ,3,0.003033367037411527
Morrison PA,3,0.003033367037411527
Morrissey M,3,0.003033367037411527
Mueller AS,3,0.003033367037411527
Nowell A,3,0.003033367037411527
Owings J,3,0.003033367037411527
Pattison E,3,0.003033367037411527
Pickett MW,3,0.003033367037411527
Pritchard ME,3,0.003033367037411527
Putnam R,3,0.003033367037411527
Santos R,3,0.003033367037411527
Shanahan T,3,0.003033367037411527
So AY,3,0.003033367037411527
Stage FK,3,0.003033367037411527
Stephenson B,3,0.003033367037411527
Stinebrickner TR,3,0.003033367037411527
Stolzenberg RM,3,0.003033367037411527
Teitelbaum P,3,0.003033367037411527
Turner S,3,0.003033367037411527
Tyler JH,3,0.003033367037411527
Velez W,3,0.003033367037411527
Walberg HJ,3,0.003033367037411527
Weiler WC,3,0.003033367037411527
Weinberger C,3,0.003033367037411527
West J,3,0.003033367037411527
Wise DA,3,0.003033367037411527
Alexander CP,2,0.0020222446916076846
Alsalam N,2,0.0020222446916076846
Alt M,2,0.0020222446916076846
Bailey JP,2,0.0020222446916076846
Baker R,2,0.0020222446916076846
Bekhuis TCHM,2,0.0020222446916076846
Bell L,2,0.0020222446916076846
Beth V,2,0.0020222446916076846
Betts JR,2,0.0020222446916076846
Bielby R,2,0.0020222446916076846
Binder AJ,2,0.0020222446916076846
Bishop JH,2,0.0020222446916076846
Black M,2,0.0020222446916076846
Black SE,2,0.0020222446916076846
Blake J,2,0.0020222446916076846
Borchers R,2,0.0020222446916076846
Bradby D,2,0.0020222446916076846
Braddock JHI,2,0.0020222446916076846
Briggs RJ,2,0.0020222446916076846
Brown CL,2,0.0020222446916076846
Brown GH,2,0.0020222446916076846
Burkam DT,2,0.0020222446916076846
Burkheimer GJ,2,0.0020222446916076846
Burton R,2,0.0020222446916076846
Cahalan MW,2,0.0020222446916076846
Cain GG,2,0.0020222446916076846
Calkins A,2,0.0020222446916076846
Campbell PB,2,0.0020222446916076846
Catterall JS,2,0.0020222446916076846
Choi Y,2,0.0020222446916076846
Chubb JE,2,0.0020222446916076846
Chung IH,2,0.0020222446916076846
Clarkberg M,2,0.0020222446916076846
Coladarci T,2,0.0020222446916076846
Constant A,2,0.0020222446916076846
Cool VA,2,0.0020222446916076846
Crouse J,2,0.0020222446916076846
Culbertson MJ,2,0.0020222446916076846
Daniel B,2,0.0020222446916076846
Del Boca D,2,0.0020222446916076846
Delucchi M,2,0.0020222446916076846
Diodato L,2,0.0020222446916076846
Elder TE,2,0.0020222446916076846
Evans WN,2,0.0020222446916076846
F. SD,2,0.0020222446916076846
Falkowski CK,2,0.0020222446916076846
Farkas G,2,0.0020222446916076846
Fehrmann PG,2,0.0020222446916076846
Folsom REJ,2,0.0020222446916076846
Frehill LM,2,0.0020222446916076846
Gardner JA,2,0.0020222446916076846
Garman D,2,0.0020222446916076846
Geis S,2,0.0020222446916076846
Glennie E,2,0.0020222446916076846
Glick JE,2,0.0020222446916076846
Goldberger AS,2,0.0020222446916076846
Gonzalez A,2,0.0020222446916076846
Gray KC,2,0.0020222446916076846
Harnisch DL,2,0.0020222446916076846
Harnischfeger A,2,0.0020222446916076846
Hausken EG,2,0.0020222446916076846
Heckman JJ,2,0.0020222446916076846
Henning A,2,0.0020222446916076846
Holt MM,2,0.0020222446916076846
Holupka S,2,0.0020222446916076846
Huang GG,2,0.0020222446916076846
Humphries M,2,0.0020222446916076846
Jackson GA,2,0.0020222446916076846
Jencks C,2,0.0020222446916076846
Jones LV,2,0.0020222446916076846
Kalenkoski CM,2,0.0020222446916076846
Karen D,2,0.0020222446916076846
Kariya T,2,0.0020222446916076846
Kerckhoff AC,2,0.0020222446916076846
Kim S,2,0.0020222446916076846
Klitsch M,2,0.0020222446916076846
Knight S,2,0.0020222446916076846
Knox WE,2,0.0020222446916076846
Lakin JM,2,0.0020222446916076846
Leslie LL,2,0.0020222446916076846
Leukhina O,2,0.0020222446916076846
Levin BH,2,0.0020222446916076846
Lewis DR,2,0.0020222446916076846
Lillard LA,2,0.0020222446916076846
Lippman L,2,0.0020222446916076846
Lochner L,2,0.0020222446916076846
Long BT,2,0.0020222446916076846
Mahaffy KA,2,0.0020222446916076846
Mahard RE,2,0.0020222446916076846
Mane F,2,0.0020222446916076846
Marks HM,2,0.0020222446916076846
Marnell P,2,0.0020222446916076846
Martin MJ,2,0.0020222446916076846
Maw CE,2,0.0020222446916076846
McArthur E,2,0.0020222446916076846
McClelland KE,2,0.0020222446916076846
McIntire WG,2,0.0020222446916076846
Mehay S,2,0.0020222446916076846
Melguizo T,2,0.0020222446916076846
Merriam SB,2,0.0020222446916076846
Meyer RH,2,0.0020222446916076846
Moe TM,2,0.0020222446916076846
Monk DH,2,0.0020222446916076846
Mooney G,2,0.0020222446916076846
Moore RP,2,0.0020222446916076846
Morgan SL,2,0.0020222446916076846
Munro BH,2,0.0020222446916076846
NORC,2,0.0020222446916076846
"National Center for Education Statistics, Washington D. C",2,0.0020222446916076846
Navaratnam KK,2,0.0020222446916076846
Nichols B,2,0.0020222446916076846
Noell J,2,0.0020222446916076846
Oates GLSC,2,0.0020222446916076846
Page EB,2,0.0020222446916076846
Pavel DM,2,0.0020222446916076846
Pedlow S,2,0.0020222446916076846
Pema E,2,0.0020222446916076846
Perna LW,2,0.0020222446916076846
Persell CH,2,0.0020222446916076846
Peñaloza RV,2,0.0020222446916076846
Pischke JS,2,0.0020222446916076846
Pittman RB,2,0.0020222446916076846
Planty M,2,0.0020222446916076846
Posselt JR,2,0.0020222446916076846
Pottebaum SM,2,0.0020222446916076846
Preacher KJ,2,0.0020222446916076846
Rasinski KA,2,0.0020222446916076846
Raudenbush SW,2,0.0020222446916076846
