paper_id,publication_id,title,pub_year,doi,author_source,author_list,n_authors
edshare_doi_10_1001_jamanetworkopen_2025_45046,publication-DTJVMPZJ_0,Alzheimer Disease Blood Biomarker Concentrations Across Race and Ethnicity Groups in Middle-Aged Adults,2025,10.1001/jamanetworkopen.2025.45046,listing,Brickman AM|Muller C|Warren JR|Grodsky E|Kim S|Culbertson MJ|Thyagarajan B|Manly JJ,8
edshare_publication-34SMIIEL,publication-34SMIIEL,Vocational Education in the United States: The Early 1990s (NCES 95-024),1995,NA,listing,Levesque K|Premo M|Vergun R|Emanuel D|Klein SG|Henke R|Kagehiro S|Houser J,8
edshare_publication-52EW2BXL,publication-52EW2BXL,High School and Beyond Fourth Follow-Up. Contractor Report. Methodology Report (NCES 92-077(UR - http://eric.ed.gov/?q=high+school+and+beyond+fourth+follow-up&id=ED350339,1992,NA,listing,Rasinski K|Buckley P|Campbell B|Haggerty C|Morrissey M|Tourangeau R|Walker D|Wojcik M,8
edshare_publication-NNKD8KA8,publication-NNKD8KA8,High School and Beyond First Follow-Up (1982) School Questionnaire (NCES 83-224),1983,NA,listing,Jones C|Mooney G|McWilliams H|Crawford I|Stephenson B|Butz M|Fetters WB|Takai R,8
edshare_publication-WV76I3UP,publication-WV76I3UP,Education Longitudinal Study of 2002 (ELS:2002) Third Follow-up Data File Documentation. NCES 2014-364,2014,NA,listing,Ingels SJ|Pratt DJ|Alexander CP|Jewell DM|Lauff E|Mattox TL|Wilson D|International R,8
edshare_doi_10_1002_alz_70015,publication-YJ5VS3SQ_0,Education and Midlife Cognitive Functioning: Evidence from the High School and Beyond cohort,2025,10.1002/alz.70015,listing,Muller C|Grodsky E|Brickman AM|Manly JJ|Hung K|Culbertson MJ|Warren JR,7
edshare_doi_10_1126_sciadv_adz0757,publication-VC45BAN5_0,Childhood Fluoride Exposure and Cognition across the Life Course,2025,10.1126/sciadv.adz0757,listing,Warren JR|Rumore G|Kim S|Grodsky E|Muller C|Manly JJ|Brickman AM,7
edshare_doi_10_1353_jhr_2010_0004,publication-2FZ89W68,The Educational Pipeline for Health Care Professionals Understanding the Source of Racial Differences,2010,10.1353/jhr.2010.0004,listing,Hinton I|Howell J|Merwin E|Stern SN|Turner S|Williams I|Wilson M,7
edshare_publication-JR9BVPEZ,publication-JR9BVPEZ,"The National Longitudinal Study of the High School Class of 1972 (NLS-72), Fifth Follow-up (1986). Teaching Supplement. Data File User's Manual. Contractor Report (CS 87-451 M)",1987,NA,listing,Sebring P|Richardson K|Campbell B|Glusberg M|Tourangeau R|Singleton M|National Opinion Research Center,7
edshare_publication-KMB5JVCT,publication-KMB5JVCT,The National Longitudinal Study of the High School Class of 1972 (NLS-72) Fifth Follow-Up (1986) Data File User's Manual. Contractor Report,1987,NA,listing,Tourangeau R|Sebring P|Campbell B|Glusberg M|Spencer B|Singleton M|National Opinion Research Center,7
edshare_publication-PRHGITBP,publication-PRHGITBP,The National Longitudinal Study of the High School Class of 1972 (NLS-72) Fifth Follow-Up (1986) Final Technical Report (NCES 87-100),1987,NA,listing,Sebring P|Tourangeau R|Spencer B|Glusberg M|Campbell B|Singleton M|NORC,7
edshare_publication-PXYTEK7H,publication-PXYTEK7H,High School and Beyond Transcript Survey (1982). Data File User's Manual. Contractor Report.,1984,NA,listing,Jones C|Knight S|Butz M|Crawford I|Stephenson B|Takai R|Fetters WB,7
edshare_publication-TKCDCHJ3,publication-TKCDCHJ3,Dropping Out of School: 1982 and 1992,1993,NA,listing,McMillen M|Hausken EG|Kaufman P|Ingels S|Dowd K|Frankel M|Qian J,7
edshare_publication-TQH83ZMY,publication-TQH83ZMY,"Study of Excellence in High School Education: Longitudinal Study, 1980-82 Final Report",1986,NA,listing,Rock DA|Ekstrom RB|Goertz ME|Pollack J|Rosenbaum PR|Braun HI|Service ET,7
edshare_publication-TRY5UNJM,publication-TRY5UNJM,High School and Beyond First Follow-Up (1982) Technical Report,1983,NA,listing,Jones C|Clarke M|Mooney G|McWilliams H|Crawford I|Stephenson B|Tourangeau R,7
edshare_publication-XHWDJ4MJ,publication-XHWDJ4MJ,Indicators of Higher Education Equity in the United States: 2022 Historical Trend Report,2022,NA,listing,Cahalan MW|Addison M|Brunt N|Patel PR|Vaughan TI|Genao A|Perna LW,7
edshare_doi_10_1001_jamanetworkopen_2020_27958,publication-TH7J4Q4U_0,Association of Job Expectations Among High School Students With Early Death During Adulthood,2020,10.1001/jamanetworkopen.2020.27958,listing,Muller C|Duncombe A|Carroll JM|Mueller AS|Warren JR|Grodsky E,6
edshare_doi_10_1002_alz_077001,publication-89YNNV7K_0,Secondary School Quality and Midlife Cognition: Evidence from High School and Beyond,2023,10.1002/alz.077001,listing,Chung H|Brickman AM|Grodsky E|Manly JJ|Muller C|Warren JR,6
edshare_doi_10_1016_j_annepidem_2016_11_003,publication-S5K9IDED_0,Do Inferences about Mortality Rates and Disparities Vary by Source of Mortality Information?,2017,10.1016/j.annepidem.2016.11.003,listing,Warren JR|Milesi C|Grigorian K|Humphries M|Muller C|Grodsky E,6
edshare_doi_10_1016_j_respol_2021_104249,publication-873ZBFXZ_0,"The Importance of STEM: High School Knowledge, Skills and Occupations in an Era of Growing Inequality",2021,10.1016/j.respol.2021.104249,listing,Black SE|Muller C|Spitz-Oener A|He Z|Hung K|Warren JR,6
edshare_publication-5ED56CYM,publication-5ED56CYM,High School and Beyond Fourth Follow-Up Methodology Report. Technical Report. (NCES 95-426),1995,NA,listing,Zahs D|Pedlow S|Morrissey M|Marnell P|Nichols B|Carroll CD,6
edshare_publication-8ZWC42P9,publication-8ZWC42P9,High School and Beyond 1980 Sophomore Cohort Second Follow-Up (1984) Data File User's Manual: Contractor Report,1986,NA,listing,Jones C|Sebring P|Crawford I|Spencer B|Butz M|MacArthur H,6
edshare_publication-9NLA6N94,publication-9NLA6N94,The Condition of Education 1994 (NCES-149),1994,NA,listing,Smith TM|Thompson Rogers G|Alsalam N|Perie M|Pratt Mahoney R|Martin V,6
edshare_publication-ADZZHUQN,publication-ADZZHUQN,Urban Schools: The Challenge of Location and Poverty: Executive Summary (Brochure),1996,NA,listing,Lippman L|Burns S|McArthur E|Burton R|Smith TM|Kaufman P,6
edshare_publication-EZ89V3RY,publication-EZ89V3RY,Sophomore Cohort Postsecondary Education Transcript Study. High School and Beyond. Technical Report (NCES 1988-675),1988,NA,listing,Knight S|Sebring P|Glusberg M|Hunt E|Spencer B|Knepper P,6
edshare_publication-I34AJH69,publication-I34AJH69,"Trends among Young Adults over Three Decades, 1974-2006",2012,NA,listing,"Ingels SJ|Glennie E|Lauff E|Wirt JG|National Center for Education, Statistics|International RTI",6
edshare_publication-IJPJBGQY,publication-IJPJBGQY,High School and Beyond Fourth Follow-up Methodology Report,1995,NA,listing,Zahs D|Pedlow S|Morrissey M|Marnell P|Nichols B|National Opinion Research Center,6
edshare_publication-JASN2KVS,publication-JASN2KVS,High School and Beyond First Follow-Up (1982) Sample Design Report,1983,NA,listing,Tourangeau R|McWilliams H|Jones C|Frankel MF|O'Brien F|National Opinion Research Center,6
edshare_publication-LPGXCC2D,publication-LPGXCC2D,Urban Schools: The Challenge of Location and Poverty,1996,NA,listing,Lippman L|Burns S|McArthur E|Burton R|Smith TM|Kaufman P,6
edshare_publication-RN7IV9V8,publication-RN7IV9V8,National Longitudinal Study of 1972: Base Year (1972) through Fourth Follow-Up (1979) Data File User's Manual (NCES 1981-260),1981,NA,listing,Riccobono J|Henderson LB|Burkheimer GJ|Place C|Levinsohn J|Research Triangle Institute,6
edshare_publication-TNSY5S9L,publication-TNSY5S9L,Improving Research on Postsecondary Student Outcomes: A Review of the Strengths and Limitations of National Data Resources,1997,NA,listing,Dey EL|Hurtado S|Rhee BS|Inkelas KK|Wimsatt LA|Guan F,6
edshare_doi_10_1002_alz_075607,publication-G4X2ZA87_0,High School and Beyond: Cohort Data for Studying the Effects of Education on Midlife Cognition,2023,10.1002/alz.075607,listing,Brickman AM|Grodsky E|Manly JJ|Muller C|Warren JR,5
