author_id,n_papers,paper_share
Muller C,25,0.23809523809523808
Warren JR,19,0.18095238095238095
Grodsky E,17,0.1619047619047619
Carroll JM,6,0.05714285714285714
Manly JJ,6,0.05714285714285714
Brickman AM,5,0.047619047619047616
Duncombe A,4,0.0380952380952381
Hung K,3,0.02857142857142857
Kearney MS,3,0.02857142857142857
Levine PB,3,0.02857142857142857
Lybbert E,3,0.02857142857142857
Mueller AS,3,0.02857142857142857
Putnam R,3,0.02857142857142857
Binder AJ,2,0.01904761904761905
Black SE,2,0.01904761904761905
Calkins A,2,0.01904761904761905
Choi Y,2,0.01904761904761905
Chung IH,2,0.01904761904761905
Culbertson MJ,2,0.01904761904761905
Humphries M,2,0.01904761904761905
Kim S,2,0.01904761904761905
Lakin JM,2,0.01904761904761905
Leukhina O,2,0.01904761904761905
Preacher KJ,2,0.01904761904761905
Shaat D,2,0.01904761904761905
Shifrer D,2,0.01904761904761905
Timpe B,2,0.01904761904761905
Wai J,2,0.01904761904761905
Zhang Z,2,0.01904761904761905
Zyphur MJ,2,0.01904761904761905
Addison M,1,0.009523809523809525
Agree EM,1,0.009523809523809525
Ali S,1,0.009523809523809525
Altonji JG,1,0.009523809523809525
Anguera JA,1,0.009523809523809525
Archibald RB,1,0.009523809523809525
Arcidiacono P,1,0.009523809523809525
Arthur AN,1,0.009523809523809525
Ashlock JM,1,0.009523809523809525
Asker E,1,0.009523809523809525
Austin M,1,0.009523809523809525
Baker M,1,0.009523809523809525
Barone JL,1,0.009523809523809525
Barrientos AF,1,0.009523809523809525
Beaton AE,1,0.009523809523809525
Bird LJ,1,0.009523809523809525
Bleemer Z,1,0.009523809523809525
Bosky A,1,0.009523809523809525
Bradby D,1,0.009523809523809525
Broda M,1,0.009523809523809525
Browman AS,1,0.009523809523809525
Brunner E,1,0.009523809523809525
Brunt N,1,0.009523809523809525
Cahalan MW,1,0.009523809523809525
Campbell CM,1,0.009523809523809525
Chen X,1,0.009523809523809525
Chung H,1,0.009523809523809525
Conwell JA,1,0.009523809523809525
Cornelson K,1,0.009523809523809525
Dee TS,1,0.009523809523809525
Demmer R,1,0.009523809523809525
Depaepe M,1,0.009523809523809525
Destin M,1,0.009523809523809525
Donovan K,1,0.009523809523809525
Doren C,1,0.009523809523809525
Du R,1,0.009523809523809525
Eren O,1,0.009523809523809525
Feldman DH,1,0.009523809523809525
Finighan R,1,0.009523809523809525
Fletcher J,1,0.009523809523809525
Frederick CB,1,0.009523809523809525
Frisco ML,1,0.009523809523809525
Galloway F,1,0.009523809523809525
Genao A,1,0.009523809523809525
González Canché MS,1,0.009523809523809525
Goodman J,1,0.009523809523809525
Gottschalk P,1,0.009523809523809525
Grigorian K,1,0.009523809523809525
Han J,1,0.009523809523809525
Hanushek EA,1,0.009523809523809525
He Z,1,0.009523809523809525
Heise M,1,0.009523809523809525
Hendricks L,1,0.009523809523809525
Henke RR,1,0.009523809523809525
Herrington C,1,0.009523809523809525
Himmelstern J,1,0.009523809523809525
Hopcroft RL,1,0.009523809523809525
Howard M,1,0.009523809523809525
Hsu HY,1,0.009523809523809525
Huang FL,1,0.009523809523809525
Hui FKC,1,0.009523809523809525
Hummer RA,1,0.009523809523809525
Humphries JE,1,0.009523809523809525
Hung YL,1,0.009523809523809525
Hussain S,1,0.009523809523809525
Hutt E,1,0.009523809523809525
Ji F,1,0.009523809523809525
Juste T,1,0.009523809523809525
Keele L,1,0.009523809523809525
Kim M,1,0.009523809523809525
Kosse F,1,0.009523809523809525
Lai MHC,1,0.009523809523809525
Lee JH,1,0.009523809523809525
Lenard M,1,0.009523809523809525
Light J,1,0.009523809523809525
Lorenz KA,1,0.009523809523809525
Lovenheim M,1,0.009523809523809525
Marcotte DE,1,0.009523809523809525
Martin DO,1,0.009523809523809525
Mata CS,1,0.009523809523809525
Maurel A,1,0.009523809523809525
McHenry P,1,0.009523809523809525
McLanahan S,1,0.009523809523809525
McNeish D,1,0.009523809523809525
Merkle EC,1,0.009523809523809525
Milesi C,1,0.009523809523809525
Müller S,1,0.009523809523809525
National Academies of Sciences EAM,1,0.009523809523809525
Oh B,1,0.009523809523809525
Ozbeklik S,1,0.009523809523809525
Page L,1,0.009523809523809525
Patel PR,1,0.009523809523809525
Pattison E,1,0.009523809523809525
Pearson J,1,0.009523809523809525
Pena V,1,0.009523809523809525
Perna LW,1,0.009523809523809525
Peterson PE,1,0.009523809523809525
Peña PA,1,0.009523809523809525
Quincy S,1,0.009523809523809525
Ridings A,1,0.009523809523809525
Rock DA,1,0.009523809523809525
Ross S,1,0.009523809523809525
Rumore G,1,0.009523809523809525
Saltiel F,1,0.009523809523809525
Sandefur GD,1,0.009523809523809525
Saw G,1,0.009523809523809525
Schneider B,1,0.009523809523809525
Sebastian Cherng HY,1,0.009523809523809525
Selby LP,1,0.009523809523809525
Shah SA,1,0.009523809523809525
Shaulis K,1,0.009523809523809525
Shauman KA,1,0.009523809523809525
Silos P,1,0.009523809523809525
Silva JM,1,0.009523809523809525
Smeyers P,1,0.009523809523809525
Smith CM,1,0.009523809523809525
Smith E,1,0.009523809523809525
Smith J,1,0.009523809523809525
Snellman K,1,0.009523809523809525
Soliz A,1,0.009523809523809525
Sonnega A,1,0.009523809523809525
Spagnardi C,1,0.009523809523809525
Spickard JV,1,0.009523809523809525
Spitz-Oener A,1,0.009523809523809525
Talpey LM,1,0.009523809523809525
Thomas A,1,0.009523809523809525
Thyagarajan B,1,0.009523809523809525
Tilbrook N,1,0.009523809523809525
Topper AM,1,0.009523809523809525
Trachter N,1,0.009523809523809525
Turner BM,1,0.009523809523809525
Vaughan TI,1,0.009523809523809525
Wang T,1,0.009523809523809525
Warne RT,1,0.009523809523809525
Washick B,1,0.009523809523809525
Welsh AH,1,0.009523809523809525
Werwath T,1,0.009523809523809525
Wilkinson L,1,0.009523809523809525
Wilson JR,1,0.009523809523809525
Woessmann L,1,0.009523809523809525
Woessmann. L,1,0.009523809523809525
Wolf DA,1,0.009523809523809525
Zhang Y,1,0.009523809523809525
Zubair S,1,0.009523809523809525
