period,period_start,period_end,metric,value,top_x,period_type
2015,2015,2015,n_papers,11,NA,annual
2015,2015,2015,n_authors,19,NA,annual
2015,2015,2015,hhi,0.24793388429752067,NA,annual
2015,2015,2015,top_x_share,0.2727272727272727,1,annual
2015,2015,2015,top_x_share,1,3,annual
2015,2015,2015,top_x_share,1,5,annual
2015,2015,2015,top_x_share,1,10,annual
2015,2015,2015,top_x_share,1,20,annual
2016,2016,2016,n_papers,8,NA,annual
2016,2016,2016,n_authors,18,NA,annual
2016,2016,2016,hhi,0.28125,NA,annual
2016,2016,2016,top_x_share,1,1,annual
2016,2016,2016,top_x_share,1,3,annual
2016,2016,2016,top_x_share,1,5,annual
2016,2016,2016,top_x_share,1,10,annual
2016,2016,2016,top_x_share,1,20,annual
2017,2017,2017,n_papers,13,NA,annual
2017,2017,2017,n_authors,25,NA,annual
2017,2017,2017,hhi,0.20118343195266278,NA,annual
2017,2017,2017,top_x_share,0.15384615384615385,1,annual
2017,2017,2017,top_x_share,0.15384615384615385,3,annual
2017,2017,2017,top_x_share,1,5,annual
2017,2017,2017,top_x_share,1,10,annual
2017,2017,2017,top_x_share,1,20,annual
2018,2018,2018,n_papers,5,NA,annual
2018,2018,2018,n_authors,8,NA,annual
2018,2018,2018,hhi,0.32000000000000006,NA,annual
2018,2018,2018,top_x_share,1,1,annual
2018,2018,2018,top_x_share,1,3,annual
2018,2018,2018,top_x_share,1,5,annual
2018,2018,2018,top_x_share,1,10,annual
2018,2018,2018,top_x_share,1,20,annual
2019,2019,2019,n_papers,18,NA,annual
2019,2019,2019,n_authors,37,NA,annual
2019,2019,2019,hhi,0.14197530864197538,NA,annual
2019,2019,2019,top_x_share,0.16666666666666666,1,annual
2019,2019,2019,top_x_share,0.16666666666666666,3,annual
2019,2019,2019,top_x_share,1,5,annual
2019,2019,2019,top_x_share,1,10,annual
2019,2019,2019,top_x_share,1,20,annual
2020,2020,2020,n_papers,9,NA,annual
2020,2020,2020,n_authors,14,NA,annual
2020,2020,2020,hhi,0.3950617283950617,NA,annual
2020,2020,2020,top_x_share,0.5555555555555556,1,annual
2020,2020,2020,top_x_share,0.5555555555555556,3,annual
2020,2020,2020,top_x_share,0.5555555555555556,5,annual
2020,2020,2020,top_x_share,1,10,annual
2020,2020,2020,top_x_share,1,20,annual
2021,2021,2021,n_papers,7,NA,annual
2021,2021,2021,n_authors,24,NA,annual
2021,2021,2021,hhi,0.6734693877551025,NA,annual
2021,2021,2021,top_x_share,0.2857142857142857,1,annual
2021,2021,2021,top_x_share,0.2857142857142857,3,annual
2021,2021,2021,top_x_share,1,5,annual
2021,2021,2021,top_x_share,1,10,annual
2021,2021,2021,top_x_share,1,20,annual
2022,2022,2022,n_papers,10,NA,annual
2022,2022,2022,n_authors,28,NA,annual
2022,2022,2022,hhi,0.45000000000000023,NA,annual
2022,2022,2022,top_x_share,0.3,1,annual
2022,2022,2022,top_x_share,0.3,3,annual
2022,2022,2022,top_x_share,1,5,annual
2022,2022,2022,top_x_share,1,10,annual
2022,2022,2022,top_x_share,1,20,annual
2023,2023,2023,n_papers,8,NA,annual
2023,2023,2023,n_authors,16,NA,annual
2023,2023,2023,hhi,0.71875,NA,annual
2023,2023,2023,top_x_share,0.375,1,annual
2023,2023,2023,top_x_share,0.375,3,annual
2023,2023,2023,top_x_share,0.375,5,annual
2023,2023,2023,top_x_share,1,10,annual
2023,2023,2023,top_x_share,1,20,annual
2024,2024,2024,n_papers,7,NA,annual
2024,2024,2024,n_authors,19,NA,annual
2024,2024,2024,hhi,0.3877551020408164,NA,annual
2024,2024,2024,top_x_share,1,1,annual
2024,2024,2024,top_x_share,1,3,annual
2024,2024,2024,top_x_share,1,5,annual
2024,2024,2024,top_x_share,1,10,annual
2024,2024,2024,top_x_share,1,20,annual
2025,2025,2025,n_papers,9,NA,annual
2025,2025,2025,n_authors,21,NA,annual
2025,2025,2025,hhi,1.419753086419754,NA,annual
2025,2025,2025,top_x_share,0.5555555555555556,1,annual
2025,2025,2025,top_x_share,0.5555555555555556,3,annual
2025,2025,2025,top_x_share,0.5555555555555556,5,annual
2025,2025,2025,top_x_share,1,10,annual
2025,2025,2025,top_x_share,1,20,annual
2015-2019,2015,2019,n_papers,55,NA,five_year
2015-2019,2015,2019,n_authors,88,NA,five_year
2015-2019,2015,2019,hhi,0.08396694214876022,NA,five_year
2015-2019,2015,2019,top_x_share,0.16363636363636364,1,five_year
2015-2019,2015,2019,top_x_share,0.2,3,five_year
2015-2019,2015,2019,top_x_share,0.32727272727272727,5,five_year
