pmid,title,abstract,pub_year,text,has_abstract
edshare_doi_10_1001_jamanetworkopen_2025_45046,Alzheimer Disease Blood Biomarker Concentrations Across Race and Ethnicity Groups in Middle-Aged Adults,NA,2025,Alzheimer Disease Blood Biomarker Concentrations Across Race and Ethnicity Groups in Middle-Aged Adults,FALSE
edshare_doi_10_1002_alz_70015,Education and Midlife Cognitive Functioning: Evidence from the High School and Beyond cohort,NA,2025,Education and Midlife Cognitive Functioning: Evidence from the High School and Beyond cohort,FALSE
edshare_doi_10_1126_sciadv_adz0757,Childhood Fluoride Exposure and Cognition across the Life Course,NA,2025,Childhood Fluoride Exposure and Cognition across the Life Course,FALSE
edshare_publication-XHWDJ4MJ,Indicators of Higher Education Equity in the United States: 2022 Historical Trend Report,NA,2022,Indicators of Higher Education Equity in the United States: 2022 Historical Trend Report,FALSE
edshare_doi_10_1001_jamanetworkopen_2020_27958,Association of Job Expectations Among High School Students With Early Death During Adulthood,NA,2020,Association of Job Expectations Among High School Students With Early Death During Adulthood,FALSE
edshare_doi_10_1002_alz_077001,Secondary School Quality and Midlife Cognition: Evidence from High School and Beyond,NA,2023,Secondary School Quality and Midlife Cognition: Evidence from High School and Beyond,FALSE
edshare_doi_10_1016_j_annepidem_2016_11_003,Do Inferences about Mortality Rates and Disparities Vary by Source of Mortality Information?,NA,2017,Do Inferences about Mortality Rates and Disparities Vary by Source of Mortality Information?,FALSE
edshare_doi_10_1016_j_respol_2021_104249,"The Importance of STEM: High School Knowledge, Skills and Occupations in an Era of Growing Inequality",NA,2021,"The Importance of STEM: High School Knowledge, Skills and Occupations in an Era of Growing Inequality",FALSE
edshare_doi_10_1002_alz_075607,High School and Beyond: Cohort Data for Studying the Effects of Education on Midlife Cognition,NA,2023,High School and Beyond: Cohort Data for Studying the Effects of Education on Midlife Cognition,FALSE
edshare_doi_10_1016_j_socscimed_2025_117693,Do High School Experiences Shape Midlife Body Weight?,NA,2025,Do High School Experiences Shape Midlife Body Weight?,FALSE
edshare_doi_10_1111_jcpe_14113,"Associations Between Socioeconomic, Spatial and Educational Factors and Midlife Periodontal Disease Risk: Evidence From ‘High School and Beyond’",NA,2025,"Associations Between Socioeconomic, Spatial and Educational Factors and Midlife Periodontal Disease Risk: Evidence From ‘High School and Beyond’",FALSE
edshare_doi_10_1177_00380407211041776,Continuing Education and Stratification at Midlife,NA,2021,Continuing Education and Stratification at Midlife,FALSE
edshare_doi_10_1177_2378023120918082,Which Aspects of Education Matter for Early Adult Mortality? Evidence from the High School and Beyond Cohort,NA,2020,Which Aspects of Education Matter for Early Adult Mortality? Evidence from the High School and Beyond Cohort,FALSE
edshare_publication-QHY63CKR,Notes on Trends in the US Income-Achievement Gap,NA,2022,Notes on Trends in the US Income-Achievement Gap,FALSE
edshare_doi_10_1002_alz_078505,The Contribution of School Quality to Stroke and Cardiovascular Disease Risk in the U.S. Stroke Belt,NA,2023,The Contribution of School Quality to Stroke and Cardiovascular Disease Risk in the U.S. Stroke Belt,FALSE
edshare_doi_10_1038_s41562_018_0523_0,How Economic Inequality Shapes Mobility Expectations and Behaviour in Disadvantaged Youth,NA,2019,How Economic Inequality Shapes Mobility Expectations and Behaviour in Disadvantaged Youth,FALSE
edshare_doi_10_1093_geroni_igae098_0092,Effects of a Cancer Diagnosis on Economic Prosperity in the Long Run: Evidence from Linked Survey and Credit Data.,NA,2024,Effects of a Cancer Diagnosis on Economic Prosperity in the Long Run: Evidence from Linked Survey and Credit Data.,FALSE
edshare_doi_10_1093_ije_dyac044,Cohort Profile: High School and Beyond,NA,2022,Cohort Profile: High School and Beyond,FALSE
