paper_id,publication_id,title,pub_year,doi,author_source,author_list,n_authors
edshare_doi_10_1001_jamanetworkopen_2025_45046,publication-DTJVMPZJ_0,Alzheimer Disease Blood Biomarker Concentrations Across Race and Ethnicity Groups in Middle-Aged Adults,2025,10.1001/jamanetworkopen.2025.45046,listing,Brickman AM|Muller C|Warren JR|Grodsky E|Kim S|Culbertson MJ|Thyagarajan B|Manly JJ,8
edshare_doi_10_1002_alz_70015,publication-YJ5VS3SQ_0,Education and Midlife Cognitive Functioning: Evidence from the High School and Beyond cohort,2025,10.1002/alz.70015,listing,Muller C|Grodsky E|Brickman AM|Manly JJ|Hung K|Culbertson MJ|Warren JR,7
edshare_doi_10_1126_sciadv_adz0757,publication-VC45BAN5_0,Childhood Fluoride Exposure and Cognition across the Life Course,2025,10.1126/sciadv.adz0757,listing,Warren JR|Rumore G|Kim S|Grodsky E|Muller C|Manly JJ|Brickman AM,7
edshare_publication-XHWDJ4MJ,publication-XHWDJ4MJ,Indicators of Higher Education Equity in the United States: 2022 Historical Trend Report,2022,NA,listing,Cahalan MW|Addison M|Brunt N|Patel PR|Vaughan TI|Genao A|Perna LW,7
edshare_doi_10_1001_jamanetworkopen_2020_27958,publication-TH7J4Q4U_0,Association of Job Expectations Among High School Students With Early Death During Adulthood,2020,10.1001/jamanetworkopen.2020.27958,listing,Muller C|Duncombe A|Carroll JM|Mueller AS|Warren JR|Grodsky E,6
edshare_doi_10_1002_alz_077001,publication-89YNNV7K_0,Secondary School Quality and Midlife Cognition: Evidence from High School and Beyond,2023,10.1002/alz.077001,listing,Chung H|Brickman AM|Grodsky E|Manly JJ|Muller C|Warren JR,6
edshare_doi_10_1016_j_annepidem_2016_11_003,publication-S5K9IDED_0,Do Inferences about Mortality Rates and Disparities Vary by Source of Mortality Information?,2017,10.1016/j.annepidem.2016.11.003,listing,Warren JR|Milesi C|Grigorian K|Humphries M|Muller C|Grodsky E,6
edshare_doi_10_1016_j_respol_2021_104249,publication-873ZBFXZ_0,"The Importance of STEM: High School Knowledge, Skills and Occupations in an Era of Growing Inequality",2021,10.1016/j.respol.2021.104249,listing,Black SE|Muller C|Spitz-Oener A|He Z|Hung K|Warren JR,6
edshare_doi_10_1002_alz_075607,publication-G4X2ZA87_0,High School and Beyond: Cohort Data for Studying the Effects of Education on Midlife Cognition,2023,10.1002/alz.075607,listing,Brickman AM|Grodsky E|Manly JJ|Muller C|Warren JR,5
edshare_doi_10_1016_j_socscimed_2025_117693,publication-R6ZGRFW9_0,Do High School Experiences Shape Midlife Body Weight?,2025,10.1016/j.socscimed.2025.117693,listing,Frisco ML|Lybbert EA|Muller C|Grodsky E|Warren JR,5
edshare_doi_10_1111_jcpe_14113,publication-LVY8XNQT_0,"Associations Between Socioeconomic, Spatial and Educational Factors and Midlife Periodontal Disease Risk: Evidence From ‘High School and Beyond’",2025,10.1111/jcpe.14113,listing,Warren JR|Himmelstern J|Muller C|Grodsky E|Demmer R,5
edshare_doi_10_1177_00380407211041776,publication-PFW5NMTV_0,Continuing Education and Stratification at Midlife,2021,10.1177/00380407211041776,listing,Grodsky E|Doren C|Hung K|Muller C|Warren JR,5
edshare_doi_10_1177_2378023120918082,publication-X3CD5PLQ_0,Which Aspects of Education Matter for Early Adult Mortality? Evidence from the High School and Beyond Cohort,2020,10.1177/2378023120918082,listing,Warren JR|Muller C|Hummer RA|Grodsky E|Humphries M,5
edshare_publication-QHY63CKR,publication-QHY63CKR,Notes on Trends in the US Income-Achievement Gap,2022,NA,listing,Hanushek EA|Light J|Peterson PE|Talpey LM|Woessmann. L,5
edshare_doi_10_1002_alz_078505,publication-QHFKT2TN_0,The Contribution of School Quality to Stroke and Cardiovascular Disease Risk in the U.S. Stroke Belt,2023,10.1002/alz.078505,listing,Lybbert E|Muller C|Grodsky E|Warren JR,4
