dataset,metric,value,top_x,year,computed_date
EdShare_post2017,n_papers,54,NA,NA,2026-07-06
EdShare_post2017,n_authors,94,NA,NA,2026-07-06
EdShare_post2017,hhi,0.35322359396433406,NA,NA,2026-07-06
EdShare_post2017,top_x_share,0.3333333333333333,1,NA,2026-07-06
EdShare_post2017,top_x_share,0.3333333333333333,3,NA,2026-07-06
EdShare_post2017,top_x_share,0.3333333333333333,5,NA,2026-07-06
EdShare_post2017,top_x_share,0.4074074074074074,10,NA,2026-07-06
EdShare_post2017,top_x_share,1,20,NA,2026-07-06
EdShare_post2017,hhi,0.390625,NA,2017,2026-07-06
EdShare_post2017,top_x_share,0.25,1,2017,2026-07-06
EdShare_post2017,top_x_share,0.25,3,2017,2026-07-06
EdShare_post2017,top_x_share,1,5,2017,2026-07-06
EdShare_post2017,top_x_share,1,10,2017,2026-07-06
EdShare_post2017,top_x_share,1,20,2017,2026-07-06
EdShare_post2017,hhi,0.17355371900826447,NA,2019,2026-07-06
EdShare_post2017,top_x_share,1,1,2019,2026-07-06
EdShare_post2017,top_x_share,1,3,2019,2026-07-06
EdShare_post2017,top_x_share,1,5,2019,2026-07-06
EdShare_post2017,top_x_share,1,10,2019,2026-07-06
EdShare_post2017,top_x_share,1,20,2019,2026-07-06
EdShare_post2017,hhi,0.75,NA,2020,2026-07-06
EdShare_post2017,top_x_share,0.6666666666666666,1,2020,2026-07-06
EdShare_post2017,top_x_share,0.6666666666666666,3,2020,2026-07-06
EdShare_post2017,top_x_share,0.6666666666666666,5,2020,2026-07-06
EdShare_post2017,top_x_share,1,10,2020,2026-07-06
EdShare_post2017,top_x_share,1,20,2020,2026-07-06
EdShare_post2017,hhi,0.8055555555555556,NA,2021,2026-07-06
EdShare_post2017,top_x_share,0.3333333333333333,1,2021,2026-07-06
EdShare_post2017,top_x_share,0.3333333333333333,3,2021,2026-07-06
EdShare_post2017,top_x_share,1,5,2021,2026-07-06
EdShare_post2017,top_x_share,1,10,2021,2026-07-06
EdShare_post2017,top_x_share,1,20,2021,2026-07-06
EdShare_post2017,hhi,1.2222222222222223,NA,2022,2026-07-06
EdShare_post2017,top_x_share,0.6666666666666666,1,2022,2026-07-06
EdShare_post2017,top_x_share,1,3,2022,2026-07-06
EdShare_post2017,top_x_share,1,5,2022,2026-07-06
EdShare_post2017,top_x_share,1,10,2022,2026-07-06
EdShare_post2017,top_x_share,1,20,2022,2026-07-06
EdShare_post2017,hhi,1.6800000000000002,NA,2023,2026-07-06
EdShare_post2017,top_x_share,0.6,1,2023,2026-07-06
EdShare_post2017,top_x_share,0.6,3,2023,2026-07-06
EdShare_post2017,top_x_share,0.6,5,2023,2026-07-06
EdShare_post2017,top_x_share,1,10,2023,2026-07-06
EdShare_post2017,top_x_share,1,20,2023,2026-07-06
EdShare_post2017,hhi,0.4444444444444446,NA,2024,2026-07-06
EdShare_post2017,top_x_share,1,1,2024,2026-07-06
EdShare_post2017,top_x_share,1,3,2024,2026-07-06
EdShare_post2017,top_x_share,1,5,2024,2026-07-06
EdShare_post2017,top_x_share,1,10,2024,2026-07-06
EdShare_post2017,top_x_share,1,20,2024,2026-07-06
EdShare_post2017,hhi,1.765625,NA,2025,2026-07-06
EdShare_post2017,top_x_share,0.625,1,2025,2026-07-06
EdShare_post2017,top_x_share,0.625,3,2025,2026-07-06
EdShare_post2017,top_x_share,0.625,5,2025,2026-07-06
EdShare_post2017,top_x_share,1,10,2025,2026-07-06
EdShare_post2017,top_x_share,1,20,2025,2026-07-06
