period,period_start,period_end,metric,value,top_x,period_type
1977,1977,1977,n_papers,10,NA,annual
1977,1977,1977,n_authors,14,NA,annual
1977,1977,1977,hhi,0.4700000000000002,NA,annual
1977,1977,1977,top_x_share,0.5,1,annual
1977,1977,1977,top_x_share,0.8,3,annual
1977,1977,1977,top_x_share,1,5,annual
1977,1977,1977,top_x_share,1,10,annual
1977,1977,1977,top_x_share,1,20,annual
1978,1978,1978,n_papers,8,NA,annual
1978,1978,1978,n_authors,14,NA,annual
1978,1978,1978,hhi,0.40625,NA,annual
1978,1978,1978,top_x_share,0.625,1,annual
1978,1978,1978,top_x_share,0.625,3,annual
1978,1978,1978,top_x_share,1,5,annual
1978,1978,1978,top_x_share,1,10,annual
1978,1978,1978,top_x_share,1,20,annual
1979,1979,1979,n_papers,9,NA,annual
1979,1979,1979,n_authors,13,NA,annual
1979,1979,1979,hhi,0.19753086419753085,NA,annual
1979,1979,1979,top_x_share,0.2222222222222222,1,annual
1979,1979,1979,top_x_share,1,3,annual
1979,1979,1979,top_x_share,1,5,annual
1979,1979,1979,top_x_share,1,10,annual
1979,1979,1979,top_x_share,1,20,annual
1980,1980,1980,n_papers,13,NA,annual
1980,1980,1980,n_authors,16,NA,annual
1980,1980,1980,hhi,0.14792899408284027,NA,annual
1980,1980,1980,top_x_share,0.3076923076923077,1,annual
1980,1980,1980,top_x_share,0.3076923076923077,3,annual
1980,1980,1980,top_x_share,1,5,annual
1980,1980,1980,top_x_share,1,10,annual
1980,1980,1980,top_x_share,1,20,annual
1981,1981,1981,n_papers,25,NA,annual
1981,1981,1981,n_authors,42,NA,annual
1981,1981,1981,hhi,0.13760000000000006,NA,annual
1981,1981,1981,top_x_share,0.2,1,annual
1981,1981,1981,top_x_share,0.44,3,annual
1981,1981,1981,top_x_share,0.44,5,annual
1981,1981,1981,top_x_share,1,10,annual
1981,1981,1981,top_x_share,1,20,annual
1982,1982,1982,n_papers,21,NA,annual
1982,1982,1982,n_authors,27,NA,annual
1982,1982,1982,hhi,0.17687074829931998,NA,annual
1982,1982,1982,top_x_share,0.23809523809523808,1,annual
1982,1982,1982,top_x_share,0.38095238095238093,3,annual
1982,1982,1982,top_x_share,0.47619047619047616,5,annual
1982,1982,1982,top_x_share,1,10,annual
1982,1982,1982,top_x_share,1,20,annual
1983,1983,1983,n_papers,19,NA,annual
1983,1983,1983,n_authors,34,NA,annual
1983,1983,1983,hhi,0.20498614958448758,NA,annual
1983,1983,1983,top_x_share,0.15789473684210525,1,annual
1983,1983,1983,top_x_share,0.47368421052631576,3,annual
1983,1983,1983,top_x_share,0.47368421052631576,5,annual
1983,1983,1983,top_x_share,0.47368421052631576,10,annual
1983,1983,1983,top_x_share,1,20,annual
1984,1984,1984,n_papers,22,NA,annual
1984,1984,1984,n_authors,37,NA,annual
1984,1984,1984,hhi,0.1280991735537188,NA,annual
1984,1984,1984,top_x_share,0.2727272727272727,1,annual
1984,1984,1984,top_x_share,0.5,3,annual
1984,1984,1984,top_x_share,0.5,5,annual
1984,1984,1984,top_x_share,1,10,annual
1984,1984,1984,top_x_share,1,20,annual
1985,1985,1985,n_papers,32,NA,annual
1985,1985,1985,n_authors,52,NA,annual
1985,1985,1985,hhi,0.1083984375,NA,annual
1985,1985,1985,top_x_share,0.09375,1,annual
1985,1985,1985,top_x_share,0.46875,3,annual
