author_raw,author_id,notes,merged_by,merged_date
Abrahamse A,Abrahamse AF,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-25
Alexander CS,Alexander CP,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-25
Bekhuis T,Bekhuis TCHM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-25
Bishop J,Bishop JH,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-25
Braddock JH,Braddock JHI,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-25
Brandon PR,Brandon PD,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-25
Brown C,Brown CL,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-25
Burns S,Burns SK,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-25
Coleman J,Coleman JS,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-25
Dougherty K,Dougherty KJ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-25
Eide E,Eide ER,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-25
Falkowski C,Falkowski CK,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-25
Fernandez RR,Fernandez RM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-25
Folsom RE,Folsom REJ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-25
Frankel M,Frankel MF,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-25
Frankel MR,Frankel MF,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-25
Ganderton P,Ganderton PT,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-25
Gray K,Gray KC,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-25
Grogger J,Grogger JT,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-25
Haggstrom G,Haggstrom GW,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-25
Hoffer TB,Hoffer T,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-25
Ingels S,Ingels SJ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-25
International RTI,International R,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-25
Jones CC,Jones C,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-25
Kalenkoski C,Kalenkoski CM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-25
Kilgore SB,Kilgore S,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-25
Klein S,Klein SG,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-25
Knepper PR,Knepper P,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-25
Kolstad A,Kolstad AJ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-25
Koretz D,Koretz DM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-25
Lee JC,Lee JB,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-25
Lee J,Lee JB,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-25
Lovenheim M,Lovenheim MF,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-25
Marsh H,Marsh HW,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-25
McClelland K,McClelland KE,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-25
McMillen M,McMillen MM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-25
Morgan SP,Morgan SL,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-25
National Center for Research in Vocational Education,National Center for Education Statistics,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-25
National Center for Educational Statistics,National Center for Education Statistics,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-25
National Center for Postsecondary Improvement,National Center for Education Statistics,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-25
National Center for Education statistics,National Center for Education Statistics,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-25
Owings JA,Owings J,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-25
Paasch KM,Paasch K,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-25
Peñaloza R,Peñaloza RV,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-25
Pollack JM,Pollack J,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-25
Polonko K,Polonko KA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-25
Rasinski K,Rasinski KA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-25
Riccobono J,Riccobono JA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-25
Riordan CH,Riordan C,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-25
Rosenbaum JEDSSRRK,Rosenbaum JE,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-25
Schmitt CM,Schmitt C,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-25
Schwab RS,Schwab RM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-25
Showalter ME,Showalter MH,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-25
Smith T,Smith TM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-25
Spencer BD,Spencer B,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-25
Tabler K,Tabler KA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-25
Tobias J,Tobias JL,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-25
Weinberger CJ,Weinberger C,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-25
Weng S,Weng SS,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-25
Wirt J,Wirt JG,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-25
