pmid,title,abstract,pub_year,text,has_abstract
edshare_publication-34SMIIEL,Vocational Education in the United States: The Early 1990s (NCES 95-024),NA,1995,Vocational Education in the United States: The Early 1990s (NCES 95-024),FALSE
edshare_publication-52EW2BXL,High School and Beyond Fourth Follow-Up. Contractor Report. Methodology Report (NCES 92-077(UR - http://eric.ed.gov/?q=high+school+and+beyond+fourth+follow-up&id=ED350339,NA,1992,High School and Beyond Fourth Follow-Up. Contractor Report. Methodology Report (NCES 92-077(UR - http://eric.ed.gov/?q=high+school+and+beyond+fourth+follow-up&id=ED350339,FALSE
edshare_publication-NNKD8KA8,High School and Beyond First Follow-Up (1982) School Questionnaire (NCES 83-224),NA,1983,High School and Beyond First Follow-Up (1982) School Questionnaire (NCES 83-224),FALSE
edshare_publication-WV76I3UP,Education Longitudinal Study of 2002 (ELS:2002) Third Follow-up Data File Documentation. NCES 2014-364,NA,2014,Education Longitudinal Study of 2002 (ELS:2002) Third Follow-up Data File Documentation. NCES 2014-364,FALSE
edshare_doi_10_1353_jhr_2010_0004,The Educational Pipeline for Health Care Professionals Understanding the Source of Racial Differences,NA,2010,The Educational Pipeline for Health Care Professionals Understanding the Source of Racial Differences,FALSE
edshare_publication-JR9BVPEZ,"The National Longitudinal Study of the High School Class of 1972 (NLS-72), Fifth Follow-up (1986). Teaching Supplement. Data File User's Manual. Contractor Report (CS 87-451 M)",NA,1987,"The National Longitudinal Study of the High School Class of 1972 (NLS-72), Fifth Follow-up (1986). Teaching Supplement. Data File User's Manual. Contractor Report (CS 87-451 M)",FALSE
edshare_publication-KMB5JVCT,The National Longitudinal Study of the High School Class of 1972 (NLS-72) Fifth Follow-Up (1986) Data File User's Manual. Contractor Report,NA,1987,The National Longitudinal Study of the High School Class of 1972 (NLS-72) Fifth Follow-Up (1986) Data File User's Manual. Contractor Report,FALSE
edshare_publication-PRHGITBP,The National Longitudinal Study of the High School Class of 1972 (NLS-72) Fifth Follow-Up (1986) Final Technical Report (NCES 87-100),NA,1987,The National Longitudinal Study of the High School Class of 1972 (NLS-72) Fifth Follow-Up (1986) Final Technical Report (NCES 87-100),FALSE
edshare_publication-PXYTEK7H,High School and Beyond Transcript Survey (1982). Data File User's Manual. Contractor Report.,NA,1984,High School and Beyond Transcript Survey (1982). Data File User's Manual. Contractor Report.,FALSE
edshare_publication-TKCDCHJ3,Dropping Out of School: 1982 and 1992,NA,1993,Dropping Out of School: 1982 and 1992,FALSE
edshare_publication-TQH83ZMY,"Study of Excellence in High School Education: Longitudinal Study, 1980-82 Final Report",NA,1986,"Study of Excellence in High School Education: Longitudinal Study, 1980-82 Final Report",FALSE
edshare_publication-TRY5UNJM,High School and Beyond First Follow-Up (1982) Technical Report,NA,1983,High School and Beyond First Follow-Up (1982) Technical Report,FALSE
edshare_publication-5ED56CYM,High School and Beyond Fourth Follow-Up Methodology Report. Technical Report. (NCES 95-426),NA,1995,High School and Beyond Fourth Follow-Up Methodology Report. Technical Report. (NCES 95-426),FALSE
edshare_publication-8ZWC42P9,High School and Beyond 1980 Sophomore Cohort Second Follow-Up (1984) Data File User's Manual: Contractor Report,NA,1986,High School and Beyond 1980 Sophomore Cohort Second Follow-Up (1984) Data File User's Manual: Contractor Report,FALSE
edshare_publication-9NLA6N94,The Condition of Education 1994 (NCES-149),NA,1994,The Condition of Education 1994 (NCES-149),FALSE
edshare_publication-ADZZHUQN,Urban Schools: The Challenge of Location and Poverty: Executive Summary (Brochure),NA,1996,Urban Schools: The Challenge of Location and Poverty: Executive Summary (Brochure),FALSE
edshare_publication-EZ89V3RY,Sophomore Cohort Postsecondary Education Transcript Study. High School and Beyond. Technical Report (NCES 1988-675),NA,1988,Sophomore Cohort Postsecondary Education Transcript Study. High School and Beyond. Technical Report (NCES 1988-675),FALSE
edshare_publication-I34AJH69,"Trends among Young Adults over Three Decades, 1974-2006",NA,2012,"Trends among Young Adults over Three Decades, 1974-2006",FALSE
edshare_publication-IJPJBGQY,High School and Beyond Fourth Follow-up Methodology Report,NA,1995,High School and Beyond Fourth Follow-up Methodology Report,FALSE
edshare_publication-JASN2KVS,High School and Beyond First Follow-Up (1982) Sample Design Report,NA,1983,High School and Beyond First Follow-Up (1982) Sample Design Report,FALSE
edshare_publication-LPGXCC2D,Urban Schools: The Challenge of Location and Poverty,NA,1996,Urban Schools: The Challenge of Location and Poverty,FALSE
edshare_publication-RN7IV9V8,National Longitudinal Study of 1972: Base Year (1972) through Fourth Follow-Up (1979) Data File User's Manual (NCES 1981-260),NA,1981,National Longitudinal Study of 1972: Base Year (1972) through Fourth Follow-Up (1979) Data File User's Manual (NCES 1981-260),FALSE
edshare_publication-TNSY5S9L,Improving Research on Postsecondary Student Outcomes: A Review of the Strengths and Limitations of National Data Resources,NA,1997,Improving Research on Postsecondary Student Outcomes: A Review of the Strengths and Limitations of National Data Resources,FALSE
edshare_doi_10_1002_j_1550_8528_1998_tb00375_x,Relative Body Weight and Self-esteem among African Americans in Four Nationally Representative Samples,NA,1998,Relative Body Weight and Self-esteem among African Americans in Four Nationally Representative Samples,FALSE
edshare_doi_10_1023_a_1022932305898,Teen Childbearing and Educational Attainment: A Comparison of Methods,NA,1999,Teen Childbearing and Educational Attainment: A Comparison of Methods,FALSE
edshare_doi_10_1037_0022_0663_78_5_373,"Parental Involvement, Homework, and TV Time: Direct and Indirect Effects on High School Achievement",NA,1986,"Parental Involvement, Homework, and TV Time: Direct and Indirect Effects on High School Achievement",FALSE
edshare_doi_10_1111_j_1745_3984_1986_tb00245_x,Mathematics and Science Test Scores as Related to Courses Taken in High School and Other Factors,NA,1986,Mathematics and Science Test Scores as Related to Courses Taken in High School and Other Factors,FALSE
edshare_doi_10_1177_019027250707000407,Mastery and the Fulfillment of Occupational Expectations by Midlife,NA,2007,Mastery and the Fulfillment of Occupational Expectations by Midlife,FALSE
edshare_publication-3HW7S3HG,National Longitudinal Study of the High School Class of 1972. Postsecondary Education Transcript Study Data File User's Manual. Contractor Report (NCES 1986-221),NA,1986,National Longitudinal Study of the High School Class of 1972. Postsecondary Education Transcript Study Data File User's Manual. Contractor Report (NCES 1986-221),FALSE
edshare_publication-AVAQPXGQ,Dropout Rates in the United States: 1998 (NCES 2000-022),NA,1999,Dropout Rates in the United States: 1998 (NCES 2000-022),FALSE
edshare_publication-BDIRGL85,Analysis of Apprenticeship Training from the National Longitudinal Study of the High School Class of 1972,NA,1989,Analysis of Apprenticeship Training from the National Longitudinal Study of the High School Class of 1972,FALSE
edshare_publication-BRTE88JJ,The All-Volunteer Force in the 1970s,NA,1998,The All-Volunteer Force in the 1970s,FALSE
edshare_publication-DJBJASIM,"Advanced Mathematics and Science Coursetaking in the Spring High School Senior Classes of 1982, 1992, and 2004 (NCES 2007-312)",NA,2007,"Advanced Mathematics and Science Coursetaking in the Spring High School Senior Classes of 1982, 1992, and 2004 (NCES 2007-312)",FALSE
edshare_publication-E9R2PXI9,"United States High School Sophomores: A Twenty-Two Year Comparison, 1980-2002 (NCES 2006-327)",NA,2006,"United States High School Sophomores: A Twenty-Two Year Comparison, 1980-2002 (NCES 2006-327)",FALSE
edshare_publication-J2ETTXRG,Vocational Education in the United States: Toward the Year 2000 (NCES 2000-029),NA,2000,Vocational Education in the United States: Toward the Year 2000 (NCES 2000-029),FALSE
edshare_publication-JE495W62,"Factors Associated with Decline of Test Scores of High School Seniors, 1972 to 1980. A Study of Excellence in High School Education: Educational Policies, School Quality, and Student Outcomes. Contractor Report (CS-85-217)",NA,1985,"Factors Associated with Decline of Test Scores of High School Seniors, 1972 to 1980. A Study of Excellence in High School Education: Educational Policies, School Quality, and Student Outcomes. Contractor Report (CS-85-217)",FALSE
edshare_publication-NLKTRVY4,High School Guidance Counseling,NA,2003,High School Guidance Counseling,FALSE
edshare_publication-QMWT3PRI,"Psychometric Analysis of the NLS and High School and Beyond Test Batteries. A Study of Excellence in High School Education: Educational Policies, School Quality, and Student Outcomes",NA,1985,"Psychometric Analysis of the NLS and High School and Beyond Test Batteries. A Study of Excellence in High School Education: Educational Policies, School Quality, and Student Outcomes",FALSE
edshare_publication-RLUUCX7T,Educational Achievement and Black-White Inequality (NCES 2001-061),NA,2001,Educational Achievement and Black-White Inequality (NCES 2001-061),FALSE
edshare_publication-RNVG2PDL,"America's High School Sophomores: A Ten Year Comparison, 1980-1990",NA,1993,"America's High School Sophomores: A Ten Year Comparison, 1980-1990",FALSE
edshare_publication-UKMYE4GB,"Base Year, First, Second, and Third Follow-Up. Data File Users Manual. Volume I. National Longitudinal Study (NCES 78-239)",NA,1978,"Base Year, First, Second, and Third Follow-Up. Data File Users Manual. Volume I. National Longitudinal Study (NCES 78-239)",FALSE
edshare_publication-US666JDB,From Track to Field: Trends in Career and Technical Education across Three Decades,NA,2013,From Track to Field: Trends in Career and Technical Education across Three Decades,FALSE
edshare_publication-ZRGE55B5,National Longitudinal Study of the High School Class of 1972. Fifth Follow-Up Survey and High School and Beyond Third Follow-Up Survey. Field Test Report,NA,1985,National Longitudinal Study of the High School Class of 1972. Fifth Follow-Up Survey and High School and Beyond Third Follow-Up Survey. Field Test Report,FALSE
edshare_doi_10_1002_1520_6688_200023_19_4,How Important are the Cognitive Skills of Teenagers in Predicting Subsequent Earnings?,NA,2000,How Important are the Cognitive Skills of Teenagers in Predicting Subsequent Earnings?,FALSE
