paper_id,publication_id,doi,fetch_date,fetch_status,source
edshare_publication-34SMIIEL,publication-34SMIIEL,NA,2026-06-25T12:41:37Z,success,edshare_bibliography
edshare_publication-52EW2BXL,publication-52EW2BXL,NA,2026-06-25T12:41:37Z,success,edshare_bibliography
edshare_publication-NNKD8KA8,publication-NNKD8KA8,NA,2026-06-25T12:41:37Z,success,edshare_bibliography
edshare_publication-WV76I3UP,publication-WV76I3UP,NA,2026-06-25T12:41:37Z,success,edshare_bibliography
edshare_doi_10_1353_jhr_2010_0004,publication-2FZ89W68,10.1353/jhr.2010.0004,2026-06-25T12:41:37Z,success,edshare_bibliography
edshare_publication-JR9BVPEZ,publication-JR9BVPEZ,NA,2026-06-25T12:41:37Z,success,edshare_bibliography
edshare_publication-KMB5JVCT,publication-KMB5JVCT,NA,2026-06-25T12:41:37Z,success,edshare_bibliography
edshare_publication-PRHGITBP,publication-PRHGITBP,NA,2026-06-25T12:41:37Z,success,edshare_bibliography
edshare_publication-PXYTEK7H,publication-PXYTEK7H,NA,2026-06-25T12:41:37Z,success,edshare_bibliography
edshare_publication-TKCDCHJ3,publication-TKCDCHJ3,NA,2026-06-25T12:41:37Z,success,edshare_bibliography
edshare_publication-TQH83ZMY,publication-TQH83ZMY,NA,2026-06-25T12:41:37Z,success,edshare_bibliography
edshare_publication-TRY5UNJM,publication-TRY5UNJM,NA,2026-06-25T12:41:37Z,success,edshare_bibliography
edshare_publication-5ED56CYM,publication-5ED56CYM,NA,2026-06-25T12:41:37Z,success,edshare_bibliography
edshare_publication-8ZWC42P9,publication-8ZWC42P9,NA,2026-06-25T12:41:37Z,success,edshare_bibliography
edshare_publication-9NLA6N94,publication-9NLA6N94,NA,2026-06-25T12:41:37Z,success,edshare_bibliography
edshare_publication-ADZZHUQN,publication-ADZZHUQN,NA,2026-06-25T12:41:37Z,success,edshare_bibliography
edshare_publication-EZ89V3RY,publication-EZ89V3RY,NA,2026-06-25T12:41:37Z,success,edshare_bibliography
edshare_publication-I34AJH69,publication-I34AJH69,NA,2026-06-25T12:41:37Z,success,edshare_bibliography
edshare_publication-IJPJBGQY,publication-IJPJBGQY,NA,2026-06-25T12:41:37Z,success,edshare_bibliography
edshare_publication-JASN2KVS,publication-JASN2KVS,NA,2026-06-25T12:41:37Z,success,edshare_bibliography
edshare_publication-LPGXCC2D,publication-LPGXCC2D,NA,2026-06-25T12:41:37Z,success,edshare_bibliography
edshare_publication-RN7IV9V8,publication-RN7IV9V8,NA,2026-06-25T12:41:37Z,success,edshare_bibliography
edshare_publication-TNSY5S9L,publication-TNSY5S9L,NA,2026-06-25T12:41:37Z,success,edshare_bibliography
edshare_doi_10_1002_j_1550_8528_1998_tb00375_x,publication-752V98E3,10.1002/j.1550-8528.1998.tb00375.x,2026-06-25T12:41:37Z,success,edshare_bibliography
edshare_doi_10_1023_a_1022932305898,publication-5DK4E2MR,10.1023/a:1022932305898,2026-06-25T12:41:37Z,success,edshare_bibliography
edshare_doi_10_1037_0022_0663_78_5_373,publication-29NSZEPS,10.1037/0022-0663.78.5.373,2026-06-25T12:41:37Z,success,edshare_bibliography
edshare_doi_10_1111_j_1745_3984_1986_tb00245_x,publication-8JSQPTJK,10.1111/j.1745-3984.1986.tb00245.x,2026-06-25T12:41:37Z,success,edshare_bibliography
edshare_doi_10_1177_019027250707000407,publication-26IEATYT,10.1177/019027250707000407,2026-06-25T12:41:37Z,success,edshare_bibliography
edshare_publication-3HW7S3HG,publication-3HW7S3HG,NA,2026-06-25T12:41:37Z,success,edshare_bibliography
edshare_publication-AVAQPXGQ,publication-AVAQPXGQ,NA,2026-06-25T12:41:37Z,success,edshare_bibliography
edshare_publication-BDIRGL85,publication-BDIRGL85,NA,2026-06-25T12:41:37Z,success,edshare_bibliography
edshare_publication-BRTE88JJ,publication-BRTE88JJ,NA,2026-06-25T12:41:37Z,success,edshare_bibliography
edshare_publication-DJBJASIM,publication-DJBJASIM,NA,2026-06-25T12:41:37Z,success,edshare_bibliography
edshare_publication-E9R2PXI9,publication-E9R2PXI9,NA,2026-06-25T12:41:37Z,success,edshare_bibliography
edshare_publication-J2ETTXRG,publication-J2ETTXRG,NA,2026-06-25T12:41:37Z,success,edshare_bibliography
edshare_publication-JE495W62,publication-JE495W62,NA,2026-06-25T12:41:37Z,success,edshare_bibliography
edshare_publication-NLKTRVY4,publication-NLKTRVY4,NA,2026-06-25T12:41:37Z,success,edshare_bibliography
edshare_publication-QMWT3PRI,publication-QMWT3PRI,NA,2026-06-25T12:41:37Z,success,edshare_bibliography
edshare_publication-RLUUCX7T,publication-RLUUCX7T,NA,2026-06-25T12:41:37Z,success,edshare_bibliography
edshare_publication-RNVG2PDL,publication-RNVG2PDL,NA,2026-06-25T12:41:37Z,success,edshare_bibliography
edshare_publication-UKMYE4GB,publication-UKMYE4GB,NA,2026-06-25T12:41:37Z,success,edshare_bibliography
edshare_publication-US666JDB,publication-US666JDB,NA,2026-06-25T12:41:37Z,success,edshare_bibliography
edshare_publication-ZRGE55B5,publication-ZRGE55B5,NA,2026-06-25T12:41:37Z,success,edshare_bibliography
edshare_doi_10_1002_1520_6688_200023_19_4,publication-RTR56MRP,10.1002/1520-6688(200023)19:4,2026-06-25T12:41:37Z,success,edshare_bibliography
edshare_doi_10_1007_s11162_014_9334_y,publication-U8RES89A,10.1007/s11162-014-9334-y,2026-06-25T12:41:37Z,success,edshare_bibliography
edshare_doi_10_1016_0191_8869_90_90268_v,publication-8TPN9DPF,10.1016/0191-8869(90)90268-v,2026-06-25T12:41:37Z,success,edshare_bibliography
edshare_doi_10_1023_a_1013022201296,publication-BKDTNU4M,10.1023/a:1013022201296,2026-06-25T12:41:37Z,success,edshare_bibliography
edshare_doi_10_1080_00220671_1992_9941117,publication-BC3WDED5,10.1080/00220671.1992.9941117,2026-06-25T12:41:37Z,success,edshare_bibliography
edshare_doi_10_1086_443651,publication-F3KMGJN9,10.1086/443651,2026-06-25T12:41:37Z,success,edshare_bibliography
edshare_doi_10_1146_annurev_so_16_080190_001403,publication-QAKVVF6T,10.1146/annurev.so.16.080190.001403,2026-06-25T12:41:37Z,success,edshare_bibliography
edshare_doi_10_1177_0161468186087003,publication-BQ4UNEK6,10.1177/0161468186087003,2026-06-25T12:41:37Z,success,edshare_bibliography
edshare_doi_10_1177_0730888407303182,publication-T7RXASUH,10.1177/0730888407303182,2026-06-25T12:41:37Z,success,edshare_bibliography
edshare_doi_10_1353_dem_2003_0019,publication-IF25LHX6,10.1353/dem.2003.0019,2026-06-25T12:41:37Z,success,edshare_bibliography
edshare_doi_10_1353_jhe_2014_0037,publication-VBDSYIVK,10.1353/jhe.2014.0037,2026-06-25T12:41:37Z,success,edshare_bibliography
edshare_doi_10_1525_sp_2006_53_2_186,publication-EKS5W5TH,10.1525/sp.2006.53.2.186,2026-06-25T12:41:37Z,success,edshare_bibliography
edshare_doi_10_3102_0002831211435229,publication-KK3ZGUT3,10.3102/0002831211435229,2026-06-25T12:41:37Z,success,edshare_bibliography
edshare_doi_10_3102_0002831212439456,publication-Z9STRKG8,10.3102/0002831212439456,2026-06-25T12:41:37Z,success,edshare_bibliography
