author_id,n_papers,paper_share
McLanahan S,123,0.07192982456140351
Brooks-Gunn J,83,0.048538011695906436
Reichman N,67,0.0391812865497076
CRCFW,61,0.03567251461988304
Garfinkel I,53,0.030994152046783626
Turney K,48,0.028070175438596492
Mitchell C,40,0.023391812865497075
Lee S,37,0.021637426900584796
Waldfogel J,36,0.021052631578947368
Nepomnyaschy L,35,0.02046783625730994
Noonan K,35,0.02046783625730994
Corman H,34,0.019883040935672516
Carlson M,31,0.018128654970760234
Hale L,30,0.017543859649122806
Mincy R,30,0.017543859649122806
Berger L,27,0.015789473684210527
Maguire-Jack K,26,0.0152046783625731
Waller M,26,0.0152046783625731
Fagan J,24,0.014035087719298246
Teitler J,24,0.014035087719298246
Buxton O,23,0.013450292397660818
Pilkauskas N,23,0.013450292397660818
Geller A,22,0.012865497076023392
Wildeman C,22,0.012865497076023392
Chang AM,21,0.012280701754385965
Assari S,20,0.011695906432748537
Edin K,19,0.011111111111111112
Huang CC,19,0.011111111111111112
Hyde L,19,0.011111111111111112
Notterman D,19,0.011111111111111112
Osborne C,19,0.011111111111111112
Monk C,18,0.010526315789473684
Razza R,18,0.010526315789473684
Choi JK,17,0.009941520467836258
Jackson D,17,0.009941520467836258
Padilla Y,17,0.009941520467836258
Master L,16,0.00935672514619883
Pachman SG,15,0.008771929824561403
Hernandez D,14,0.008187134502923977
Lee Y,14,0.008187134502923977
Liu Q,14,0.008187134502923977
Petts R,14,0.008187134502923977
Bruns A,13,0.00760233918128655
Harknett K,13,0.00760233918128655
Lopez-Duran N,13,0.00760233918128655
Schneper L,13,0.00760233918128655
Cabrera N,12,0.007017543859649123
Curtis M,12,0.007017543859649123
Donnelly L,12,0.007017543859649123
Haskins A,12,0.007017543859649123
Jones M,12,0.007017543859649123
King C,12,0.007017543859649123
Ma J,12,0.007017543859649123
Mathew GM,12,0.007017543859649123
Taylor C,12,0.007017543859649123
Yoon S,12,0.007017543859649123
Emory AD,11,0.006432748538011696
Suglia SF,11,0.006432748538011696
Wang X,11,0.006432748538011696
Zhang Y,11,0.006432748538011696
Grogan-Kaylor A,10,0.005847953216374269
Kimbro RT,10,0.005847953216374269
Radey M,10,0.005847953216374269
Ryan R,10,0.005847953216374269
Testa A,10,0.005847953216374269
Vaughn M,10,0.005847953216374269
Gajos J,9,0.005263157894736842
Goetschius LG,9,0.005263157894736842
Hein TC,9,0.005263157894736842
James S,9,0.005263157894736842
Jiménez M,9,0.005263157894736842
Jung HM,9,0.005263157894736842
Knab J,9,0.005263157894736842
Knoester C,9,0.005263157894736842
Lee J,9,0.005263157894736842
Martin A,9,0.005263157894736842
Miller DP,9,0.005263157894736842
Reichenberger D,9,0.005263157894736842
Wagner B,9,0.005263157894736842
Ward KP,9,0.005263157894736842
Whitaker R,9,0.005263157894736842
Barnhart S,8,0.004678362573099415
Boutwell B,8,0.004678362573099415
Bronte-Tinkew J,8,0.004678362573099415
Caldwell C,8,0.004678362573099415
Craigie TA,8,0.004678362573099415
Dush CK,8,0.004678362573099415
Fertig A,8,0.004678362573099415
Guterman N,8,0.004678362573099415
Kim Y,8,0.004678362573099415
Koss K,8,0.004678362573099415
Limb G,8,0.004678362573099415
Lundberg I,8,0.004678362573099415
Marcal K,8,0.004678362573099415
Meadows S,8,0.004678362573099415
Pace G,8,0.004678362573099415
Pei F,8,0.004678362573099415
Pierce H,8,0.004678362573099415
Schneider W,8,0.004678362573099415
Thomas MMC,8,0.004678362573099415
Whitehead E,8,0.004678362573099415
Zhang X,8,0.004678362573099415
Altschul I,7,0.004093567251461989
Bzostek S,7,0.004093567251461989
Dunifon R,7,0.004093567251461989
Jackson A,7,0.004093567251461989
MacKenzie M,7,0.004093567251461989
Nahmod N,7,0.004093567251461989
Percheski C,7,0.004093567251461989
Salganik M,7,0.004093567251461989
Schuler B,7,0.004093567251461989
Schwartz-Soicher O,7,0.004093567251461989
Tach L,7,0.004093567251461989
Tienda M,7,0.004093567251461989
Beaver K,6,0.0035087719298245615
Berryhill MB,6,0.0035087719298245615
Chen Y,6,0.0035087719298245615
Cooper C,6,0.0035087719298245615
Crandall M,6,0.0035087719298245615
Duarte C,6,0.0035087719298245615
Garfield C,6,0.0035087719298245615
Gearhart MC,6,0.0035087719298245615
Gibson-Davis C,6,0.0035087719298245615
Gottlieb A,6,0.0035087719298245615
Hamilton E,6,0.0035087719298245615
Hofferth S,6,0.0035087719298245615
Isacco A,6,0.0035087719298245615
Jacobsen W,6,0.0035087719298245615
Kalil A,6,0.0035087719298245615
Kenney C,6,0.0035087719298245615
Komro KA,6,0.0035087719298245615
Livingston MD,6,0.0035087719298245615
McLoyd VC,6,0.0035087719298245615
Paat YF,6,0.0035087719298245615
Schwartz G,6,0.0035087719298245615
