period,period_start,period_end,metric,value,top_x,period_type
2000,2000,2000,n_papers,5,NA,annual
2000,2000,2000,n_authors,3,NA,annual
2000,2000,2000,hhi,0.7200000000000002,NA,annual
2000,2000,2000,top_x_share,0.8,1,annual
2000,2000,2000,top_x_share,1,3,annual
2000,2000,2000,top_x_share,1,5,annual
2000,2000,2000,top_x_share,1,10,annual
2000,2000,2000,top_x_share,1,20,annual
2001,2001,2001,n_papers,26,NA,annual
2001,2001,2001,n_authors,31,NA,annual
2001,2001,2001,hhi,0.27662721893491143,NA,annual
2001,2001,2001,top_x_share,0.3076923076923077,1,annual
2001,2001,2001,top_x_share,0.5384615384615384,3,annual
2001,2001,2001,top_x_share,0.6153846153846154,5,annual
2001,2001,2001,top_x_share,0.9230769230769231,10,annual
2001,2001,2001,top_x_share,1,20,annual
2002,2002,2002,n_papers,21,NA,annual
2002,2002,2002,n_authors,23,NA,annual
2002,2002,2002,hhi,0.253968253968254,NA,annual
2002,2002,2002,top_x_share,0.3333333333333333,1,annual
2002,2002,2002,top_x_share,0.6666666666666666,3,annual
2002,2002,2002,top_x_share,0.7619047619047619,5,annual
2002,2002,2002,top_x_share,1,10,annual
2002,2002,2002,top_x_share,1,20,annual
2003,2003,2003,n_papers,20,NA,annual
2003,2003,2003,n_authors,22,NA,annual
2003,2003,2003,hhi,0.22000000000000003,NA,annual
2003,2003,2003,top_x_share,0.35,1,annual
2003,2003,2003,top_x_share,0.55,3,annual
2003,2003,2003,top_x_share,1,5,annual
2003,2003,2003,top_x_share,1,10,annual
2003,2003,2003,top_x_share,1,20,annual
2004,2004,2004,n_papers,29,NA,annual
2004,2004,2004,n_authors,38,NA,annual
2004,2004,2004,hhi,0.3067776456599282,NA,annual
2004,2004,2004,top_x_share,0.3103448275862069,1,annual
2004,2004,2004,top_x_share,0.5862068965517241,3,annual
2004,2004,2004,top_x_share,0.8275862068965517,5,annual
2004,2004,2004,top_x_share,0.8275862068965517,10,annual
2004,2004,2004,top_x_share,1,20,annual
2005,2005,2005,n_papers,29,NA,annual
2005,2005,2005,n_authors,36,NA,annual
2005,2005,2005,hhi,0.19738406658739627,NA,annual
2005,2005,2005,top_x_share,0.20689655172413793,1,annual
2005,2005,2005,top_x_share,0.4827586206896552,3,annual
2005,2005,2005,top_x_share,0.5862068965517241,5,annual
2005,2005,2005,top_x_share,0.6206896551724138,10,annual
2005,2005,2005,top_x_share,1,20,annual
2006,2006,2006,n_papers,44,NA,annual
2006,2006,2006,n_authors,74,NA,annual
2006,2006,2006,hhi,0.11570247933884278,NA,annual
2006,2006,2006,top_x_share,0.2727272727272727,1,annual
2006,2006,2006,top_x_share,0.2727272727272727,3,annual
2006,2006,2006,top_x_share,0.4090909090909091,5,annual
2006,2006,2006,top_x_share,0.4090909090909091,10,annual
2006,2006,2006,top_x_share,0.5909090909090909,20,annual
2007,2007,2007,n_papers,52,NA,annual
2007,2007,2007,n_authors,83,NA,annual
2007,2007,2007,hhi,0.09097633136094688,NA,annual
2007,2007,2007,top_x_share,0.1346153846153846,1,annual
2007,2007,2007,top_x_share,0.4423076923076923,3,annual
2007,2007,2007,top_x_share,0.4423076923076923,5,annual
2007,2007,2007,top_x_share,0.5961538461538461,10,annual
2007,2007,2007,top_x_share,1,20,annual
2008,2008,2008,n_papers,50,NA,annual
2008,2008,2008,n_authors,75,NA,annual
2008,2008,2008,hhi,0.07279999999999984,NA,annual
2008,2008,2008,top_x_share,0.1,1,annual
2008,2008,2008,top_x_share,0.24,3,annual
2008,2008,2008,top_x_share,0.42,5,annual
2008,2008,2008,top_x_share,0.54,10,annual
2008,2008,2008,top_x_share,1,20,annual
2009,2009,2009,n_papers,61,NA,annual
2009,2009,2009,n_authors,100,NA,annual
2009,2009,2009,hhi,0.09513571620532094,NA,annual
2009,2009,2009,top_x_share,0.22950819672131148,1,annual
2009,2009,2009,top_x_share,0.22950819672131148,3,annual
2009,2009,2009,top_x_share,0.39344262295081966,5,annual
2009,2009,2009,top_x_share,0.4918032786885246,10,annual
2009,2009,2009,top_x_share,0.6557377049180327,20,annual
2010,2010,2010,n_papers,52,NA,annual
2010,2010,2010,n_authors,92,NA,annual
2010,2010,2010,hhi,0.07914201183431965,NA,annual
2010,2010,2010,top_x_share,0.11538461538461539,1,annual
2010,2010,2010,top_x_share,0.23076923076923078,3,annual
2010,2010,2010,top_x_share,0.23076923076923078,5,annual
2010,2010,2010,top_x_share,0.5769230769230769,10,annual
2010,2010,2010,top_x_share,0.5769230769230769,20,annual
2011,2011,2011,n_papers,85,NA,annual
2011,2011,2011,n_authors,148,NA,annual
2011,2011,2011,hhi,0.059100346020760836,NA,annual
2011,2011,2011,top_x_share,0.12941176470588237,1,annual
2011,2011,2011,top_x_share,0.29411764705882354,3,annual
2011,2011,2011,top_x_share,0.29411764705882354,5,annual
2011,2011,2011,top_x_share,0.4235294117647059,10,annual
2011,2011,2011,top_x_share,0.5647058823529412,20,annual
2012,2012,2012,n_papers,69,NA,annual
2012,2012,2012,n_authors,114,NA,annual
2012,2012,2012,hhi,0.06826296996429308,NA,annual
2012,2012,2012,top_x_share,0.10144927536231885,1,annual
2012,2012,2012,top_x_share,0.3333333333333333,3,annual
2012,2012,2012,top_x_share,0.3333333333333333,5,annual
2012,2012,2012,top_x_share,0.6231884057971014,10,annual
2012,2012,2012,top_x_share,0.6231884057971014,20,annual
2013,2013,2013,n_papers,62,NA,annual
2013,2013,2013,n_authors,112,NA,annual
2013,2013,2013,hhi,0.0790842872008322,NA,annual
2013,2013,2013,top_x_share,0.11290322580645161,1,annual
2013,2013,2013,top_x_share,0.1774193548387097,3,annual
2013,2013,2013,top_x_share,0.3709677419354839,5,annual
2013,2013,2013,top_x_share,0.5483870967741935,10,annual
2013,2013,2013,top_x_share,0.5483870967741935,20,annual
2014,2014,2014,n_papers,66,NA,annual
2014,2014,2014,n_authors,131,NA,annual
2014,2014,2014,hhi,0.06083562901744694,NA,annual
2014,2014,2014,top_x_share,0.07575757575757576,1,annual
2014,2014,2014,top_x_share,0.3484848484848485,3,annual
2014,2014,2014,top_x_share,0.3484848484848485,5,annual
2014,2014,2014,top_x_share,0.3484848484848485,10,annual
2014,2014,2014,top_x_share,0.5454545454545454,20,annual
2015,2015,2015,n_papers,80,NA,annual
2015,2015,2015,n_authors,138,NA,annual
2015,2015,2015,hhi,0.05046874999999961,NA,annual
2015,2015,2015,top_x_share,0.0875,1,annual
2015,2015,2015,top_x_share,0.1875,3,annual
2015,2015,2015,top_x_share,0.3125,5,annual
2015,2015,2015,top_x_share,0.3875,10,annual
2015,2015,2015,top_x_share,1,20,annual
2016,2016,2016,n_papers,56,NA,annual
2016,2016,2016,n_authors,111,NA,annual
2016,2016,2016,hhi,0.05357142857142837,NA,annual
2016,2016,2016,top_x_share,0.14285714285714285,1,annual
2016,2016,2016,top_x_share,0.14285714285714285,3,annual
2016,2016,2016,top_x_share,0.39285714285714285,5,annual
2016,2016,2016,top_x_share,0.39285714285714285,10,annual
2016,2016,2016,top_x_share,1,20,annual
2017,2017,2017,n_papers,101,NA,annual
2017,2017,2017,n_authors,173,NA,annual
2017,2017,2017,hhi,0.051367512988922975,NA,annual
2017,2017,2017,top_x_share,0.0891089108910891,1,annual
2017,2017,2017,top_x_share,0.16831683168316833,3,annual
2017,2017,2017,top_x_share,0.22772277227722773,5,annual
2017,2017,2017,top_x_share,0.297029702970297,10,annual
2017,2017,2017,top_x_share,0.6138613861386139,20,annual
2018,2018,2018,n_papers,93,NA,annual
2018,2018,2018,n_authors,164,NA,annual
2018,2018,2018,hhi,0.04925424904613278,NA,annual
2018,2018,2018,top_x_share,0.06451612903225806,1,annual
2018,2018,2018,top_x_share,0.13978494623655913,3,annual
2018,2018,2018,top_x_share,0.3978494623655914,5,annual
2018,2018,2018,top_x_share,0.3978494623655914,10,annual
2018,2018,2018,top_x_share,0.6989247311827957,20,annual
2019,2019,2019,n_papers,117,NA,annual
2019,2019,2019,n_authors,249,NA,annual
2019,2019,2019,hhi,0.043611658996274734,NA,annual
2019,2019,2019,top_x_share,0.06837606837606838,1,annual
2019,2019,2019,top_x_share,0.08547008547008547,3,annual
2019,2019,2019,top_x_share,0.18803418803418803,5,annual
2019,2019,2019,top_x_share,0.27350427350427353,10,annual
2019,2019,2019,top_x_share,0.46153846153846156,20,annual
