author_raw,author_id,notes,merged_by,merged_date
Berryhill M,Berryhill MB,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Blair L,Blair LM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Chen YF,Chen Y,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Choi M,Choi MS,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Cho S,Cho SB,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Dou J,Dou JF,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Dow-Fleisner S,Dow-Fleisner SJ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Fisher JC,Fisher J,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Ford JL,Ford JA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Gearhart M,Gearhart MC,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Guzzo K,Guzzo KB,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Hardie J,Hardie JH,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Huang R,Huang RC,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Johnson S,Johnson SB,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Jung H,Jung HM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Kimbro R,Kimbro RT,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Kim SB,Kim S,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Kim YK,Kim Y,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Lee C,Lee CY,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Lee DB,Lee D,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Lee Jk,Lee J,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Lee SK,Lee S,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Lemon E,Lemon ED,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Liu CW,Liu C,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
McCarthy K,McCarthy KS,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
McClain LR,McClain L,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Mendelsohn A,Mendelsohn AL,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Miller A,Miller AB,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Niño M,Niño MD,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Pachman S,Pachman SG,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Park J,Park JM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Radey MD,Radey M,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Schmitt S,Schmitt SA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Semenza D,Semenza DC,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Shelleby E,Shelleby EC,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Su J,Su JH,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Toledo EDLC,Toledo EDlC,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Ward K,Ward KP,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Ware E,Ware EB,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
