pmid,title,abstract,pub_year,text,has_abstract
ffcws_1222,Impact of Paternal Education on Epigenetic Aging in Adolescence and Mid-Adulthood: A Multi-Cohort Study in the US and Mexico,NA,2021,Impact of Paternal Education on Epigenetic Aging in Adolescence and Mid-Adulthood: A Multi-Cohort Study in the US and Mexico,TRUE
ffcws_1971,Association between the timing of childhood adversity and epigenetic patterns across childhood and adolescence: findings from the Avon Longitudinal Study of Parents and Children (ALSPAC) prospective cohort,NA,2023,Association between the timing of childhood adversity and epigenetic patterns across childhood and adolescence: findings from the Avon Longitudinal Study of Parents and Children (ALSPAC) prospective cohort,TRUE
ffcws_145,The DADS Initiative: Measuring Father Involvement in Large Scale Surveys,NA,2004,The DADS Initiative: Measuring Father Involvement in Large Scale Surveys,TRUE
ffcws_3731,"Community threat, positive parenting, and accelerated epigenetic aging: Longitudinal links from childhood to adolescence",NA,2026,"Community threat, positive parenting, and accelerated epigenetic aging: Longitudinal links from childhood to adolescence",TRUE
ffcws_1181,Differential associations of parental harshness and parental disengagement with overall cortisol output at 15 years: Implications for adolescent mental health,NA,2022,Differential associations of parental harshness and parental disengagement with overall cortisol output at 15 years: Implications for adolescent mental health,TRUE
ffcws_1456,Measuring the long arm of childhood in real-time: Epigenetic predictors of BMI and social determinants of health across childhood and adolescence,NA,2023,Measuring the long arm of childhood in real-time: Epigenetic predictors of BMI and social determinants of health across childhood and adolescence,TRUE
ffcws_925,Improving Metadata Infrastructure for Complex Surveys: Insights from the Fragile Families Challenge,NA,2019,Improving Metadata Infrastructure for Complex Surveys: Insights from the Fragile Families Challenge,TRUE
ffcws_1247,Differential Developmental Associations of Material Hardship Exposure and Adolescent Amygdala–Prefrontal Cortex White Matter Connectivity,NA,2021,Differential Developmental Associations of Material Hardship Exposure and Adolescent Amygdala–Prefrontal Cortex White Matter Connectivity,TRUE
ffcws_1836,"Early childhood household instability, adolescent structural neural network architecture, and young adulthood depression: A 21-year longitudinal study",NA,2023,"Early childhood household instability, adolescent structural neural network architecture, and young adulthood depression: A 21-year longitudinal study",TRUE
ffcws_2251,SLC6A4 gene variants moderate associations between childhood food insecurity and adolescent mental health,NA,2024,SLC6A4 gene variants moderate associations between childhood food insecurity and adolescent mental health,TRUE
ffcws_1131,Psychometric Properties of a Semistructured Interview to Assess Limited Prosocial Emotions,NA,2021,Psychometric Properties of a Semistructured Interview to Assess Limited Prosocial Emotions,TRUE
