period,period_start,period_end,metric,value,top_x,cluster,domain
"Domain 3: hypertension, elderly, cardiovascular, prevention",NA,NA,n_papers,28,NA,3,"Domain 3: hypertension, elderly, cardiovascular, prevention"
"Domain 3: hypertension, elderly, cardiovascular, prevention",NA,NA,n_authors,48,NA,3,"Domain 3: hypertension, elderly, cardiovascular, prevention"
"Domain 3: hypertension, elderly, cardiovascular, prevention",NA,NA,hhi,0.41836734693877503,NA,3,"Domain 3: hypertension, elderly, cardiovascular, prevention"
"Domain 3: hypertension, elderly, cardiovascular, prevention",NA,NA,top_x_share,0.5357142857142857,1,3,"Domain 3: hypertension, elderly, cardiovascular, prevention"
"Domain 3: hypertension, elderly, cardiovascular, prevention",NA,NA,top_x_share,0.75,3,3,"Domain 3: hypertension, elderly, cardiovascular, prevention"
"Domain 3: hypertension, elderly, cardiovascular, prevention",NA,NA,top_x_share,0.9642857142857143,5,3,"Domain 3: hypertension, elderly, cardiovascular, prevention"
"Domain 3: hypertension, elderly, cardiovascular, prevention",NA,NA,top_x_share,1,10,3,"Domain 3: hypertension, elderly, cardiovascular, prevention"
"Domain 4: variants, genetic, loci, genome",NA,NA,n_papers,1190,NA,4,"Domain 4: variants, genetic, loci, genome"
"Domain 4: variants, genetic, loci, genome",NA,NA,n_authors,11019,NA,4,"Domain 4: variants, genetic, loci, genome"
"Domain 4: variants, genetic, loci, genome",NA,NA,hhi,1.948819292422558,NA,4,"Domain 4: variants, genetic, loci, genome"
"Domain 4: variants, genetic, loci, genome",NA,NA,top_x_share,0.2781512605042017,1,4,"Domain 4: variants, genetic, loci, genome"
"Domain 4: variants, genetic, loci, genome",NA,NA,top_x_share,0.3873949579831933,3,4,"Domain 4: variants, genetic, loci, genome"
"Domain 4: variants, genetic, loci, genome",NA,NA,top_x_share,0.5369747899159664,5,4,"Domain 4: variants, genetic, loci, genome"
"Domain 4: variants, genetic, loci, genome",NA,NA,top_x_share,0.6260504201680672,10,4,"Domain 4: variants, genetic, loci, genome"
"Domain 5: coronary, cvd, cardiovascular, men",NA,NA,n_papers,3174,NA,5,"Domain 5: coronary, cvd, cardiovascular, men"
"Domain 5: coronary, cvd, cardiovascular, men",NA,NA,n_authors,7655,NA,5,"Domain 5: coronary, cvd, cardiovascular, men"
"Domain 5: coronary, cvd, cardiovascular, men",NA,NA,hhi,0.2527193021117606,NA,5,"Domain 5: coronary, cvd, cardiovascular, men"
"Domain 5: coronary, cvd, cardiovascular, men",NA,NA,top_x_share,0.21991178323881538,1,5,"Domain 5: coronary, cvd, cardiovascular, men"
"Domain 5: coronary, cvd, cardiovascular, men",NA,NA,top_x_share,0.36074354127284186,3,5,"Domain 5: coronary, cvd, cardiovascular, men"
"Domain 5: coronary, cvd, cardiovascular, men",NA,NA,top_x_share,0.47857592942659105,5,5,"Domain 5: coronary, cvd, cardiovascular, men"
"Domain 5: coronary, cvd, cardiovascular, men",NA,NA,top_x_share,0.6833648393194707,10,5,"Domain 5: coronary, cvd, cardiovascular, men"
"Domain 6: atherosclerosis, significance, carotid, report",NA,NA,n_papers,5,NA,6,"Domain 6: atherosclerosis, significance, carotid, report"
"Domain 6: atherosclerosis, significance, carotid, report",NA,NA,n_authors,9,NA,6,"Domain 6: atherosclerosis, significance, carotid, report"
"Domain 6: atherosclerosis, significance, carotid, report",NA,NA,hhi,0.9600000000000004,NA,6,"Domain 6: atherosclerosis, significance, carotid, report"
"Domain 6: atherosclerosis, significance, carotid, report",NA,NA,top_x_share,0.8,1,6,"Domain 6: atherosclerosis, significance, carotid, report"
"Domain 6: atherosclerosis, significance, carotid, report",NA,NA,top_x_share,1,3,6,"Domain 6: atherosclerosis, significance, carotid, report"
"Domain 6: atherosclerosis, significance, carotid, report",NA,NA,top_x_share,1,5,6,"Domain 6: atherosclerosis, significance, carotid, report"
"Domain 6: atherosclerosis, significance, carotid, report",NA,NA,top_x_share,1,10,6,"Domain 6: atherosclerosis, significance, carotid, report"
"Domain 7: stroke, ischemic, prevention, american",NA,NA,n_papers,103,NA,7,"Domain 7: stroke, ischemic, prevention, american"
"Domain 7: stroke, ischemic, prevention, american",NA,NA,n_authors,804,NA,7,"Domain 7: stroke, ischemic, prevention, american"
"Domain 7: stroke, ischemic, prevention, american",NA,NA,hhi,1.0157413516825446,NA,7,"Domain 7: stroke, ischemic, prevention, american"
"Domain 7: stroke, ischemic, prevention, american",NA,NA,top_x_share,0.5825242718446602,1,7,"Domain 7: stroke, ischemic, prevention, american"
"Domain 7: stroke, ischemic, prevention, american",NA,NA,top_x_share,0.7766990291262136,3,7,"Domain 7: stroke, ischemic, prevention, american"
"Domain 7: stroke, ischemic, prevention, american",NA,NA,top_x_share,0.8349514563106796,5,7,"Domain 7: stroke, ischemic, prevention, american"
