dataset,metric,value,top_x,year,computed_date
Framingham,n_papers,4523,NA,NA,2026-07-06
Framingham,n_authors,16127,NA,NA,2026-07-06
Framingham,hhi,0.36544149589117536,NA,NA,2026-07-06
Framingham,top_x_share,0.19411894760114967,1,NA,2026-07-06
Framingham,top_x_share,0.3544107892991377,3,NA,2026-07-06
Framingham,top_x_share,0.45147026309971255,5,NA,2026-07-06
Framingham,top_x_share,0.6736679195224409,10,NA,2026-07-06
Framingham,hhi,1.0600000000000003,NA,1972,2026-07-06
Framingham,top_x_share,0.8,1,1972,2026-07-06
Framingham,top_x_share,0.8,3,1972,2026-07-06
Framingham,top_x_share,0.8,5,1972,2026-07-06
Framingham,top_x_share,1,10,1972,2026-07-06
Framingham,hhi,1.1173469387755097,NA,1974,2026-07-06
Framingham,top_x_share,0.8571428571428571,1,1974,2026-07-06
Framingham,top_x_share,0.9285714285714286,3,1974,2026-07-06
Framingham,top_x_share,0.9285714285714286,5,1974,2026-07-06
Framingham,top_x_share,1,10,1974,2026-07-06
Framingham,hhi,1.020833333333333,NA,1975,2026-07-06
Framingham,top_x_share,0.75,1,1975,2026-07-06
Framingham,top_x_share,0.8333333333333334,3,1975,2026-07-06
Framingham,top_x_share,0.8333333333333334,5,1975,2026-07-06
Framingham,top_x_share,1,10,1975,2026-07-06
Framingham,hhi,0.8919753086419755,NA,1976,2026-07-06
Framingham,top_x_share,0.6666666666666666,1,1976,2026-07-06
Framingham,top_x_share,0.8888888888888888,3,1976,2026-07-06
Framingham,top_x_share,0.8888888888888888,5,1976,2026-07-06
Framingham,top_x_share,0.8888888888888888,10,1976,2026-07-06
Framingham,hhi,1.7346938775510201,NA,1977,2026-07-06
Framingham,top_x_share,0.6428571428571429,1,1977,2026-07-06
Framingham,top_x_share,1,3,1977,2026-07-06
Framingham,top_x_share,1,5,1977,2026-07-06
Framingham,top_x_share,1,10,1977,2026-07-06
Framingham,hhi,1.1903114186851211,NA,1978,2026-07-06
Framingham,top_x_share,0.9411764705882353,1,1978,2026-07-06
Framingham,top_x_share,1,3,1978,2026-07-06
Framingham,top_x_share,1,5,1978,2026-07-06
Framingham,top_x_share,1,10,1978,2026-07-06
Framingham,hhi,1.1632653061224483,NA,1979,2026-07-06
Framingham,top_x_share,0.8095238095238095,1,1979,2026-07-06
Framingham,top_x_share,0.8095238095238095,3,1979,2026-07-06
Framingham,top_x_share,0.8571428571428571,5,1979,2026-07-06
Framingham,top_x_share,0.9523809523809523,10,1979,2026-07-06
Framingham,hhi,0.6816608996539797,NA,1980,2026-07-06
Framingham,top_x_share,0.4117647058823529,1,1980,2026-07-06
Framingham,top_x_share,0.8235294117647058,3,1980,2026-07-06
Framingham,top_x_share,0.8235294117647058,5,1980,2026-07-06
Framingham,top_x_share,0.8823529411764706,10,1980,2026-07-06
Framingham,hhi,0.9453125,NA,1981,2026-07-06
Framingham,top_x_share,0.625,1,1981,2026-07-06
Framingham,top_x_share,0.6875,3,1981,2026-07-06
Framingham,top_x_share,0.6875,5,1981,2026-07-06
Framingham,top_x_share,1,10,1981,2026-07-06
Framingham,hhi,0.48750000000000016,NA,1982,2026-07-06
Framingham,top_x_share,0.45,1,1982,2026-07-06
Framingham,top_x_share,0.7,3,1982,2026-07-06
Framingham,top_x_share,0.9,5,1982,2026-07-06
Framingham,top_x_share,0.9,10,1982,2026-07-06
Framingham,hhi,1.294444444444444,NA,1983,2026-07-06
Framingham,top_x_share,0.5666666666666667,1,1983,2026-07-06
Framingham,top_x_share,0.9333333333333333,3,1983,2026-07-06
Framingham,top_x_share,0.9333333333333333,5,1983,2026-07-06
Framingham,top_x_share,0.9333333333333333,10,1983,2026-07-06
Framingham,hhi,0.5100000000000001,NA,1984,2026-07-06
Framingham,top_x_share,0.5,1,1984,2026-07-06
Framingham,top_x_share,0.65,3,1984,2026-07-06
Framingham,top_x_share,0.8,5,1984,2026-07-06
Framingham,top_x_share,0.8,10,1984,2026-07-06
Framingham,hhi,0.6527777777777783,NA,1985,2026-07-06
Framingham,top_x_share,0.625,1,1985,2026-07-06
Framingham,top_x_share,0.875,3,1985,2026-07-06
Framingham,top_x_share,0.875,5,1985,2026-07-06
Framingham,top_x_share,0.9583333333333334,10,1985,2026-07-06
Framingham,hhi,0.4739229024943308,NA,1986,2026-07-06
Framingham,top_x_share,0.5714285714285714,1,1986,2026-07-06
Framingham,top_x_share,0.7619047619047619,3,1986,2026-07-06
Framingham,top_x_share,0.8095238095238095,5,1986,2026-07-06
Framingham,top_x_share,1,10,1986,2026-07-06
Framingham,hhi,0.6393734425062282,NA,1987,2026-07-06
Framingham,top_x_share,0.5849056603773585,1,1987,2026-07-06
Framingham,top_x_share,0.8301886792452831,3,1987,2026-07-06
Framingham,top_x_share,0.9622641509433962,5,1987,2026-07-06
Framingham,top_x_share,1,10,1987,2026-07-06
Framingham,hhi,0.6347699050401748,NA,1988,2026-07-06
Framingham,top_x_share,0.6216216216216216,1,1988,2026-07-06
Framingham,top_x_share,0.8918918918918919,3,1988,2026-07-06
Framingham,top_x_share,0.8918918918918919,5,1988,2026-07-06
Framingham,top_x_share,1,10,1988,2026-07-06
Framingham,hhi,0.6049999999999993,NA,1989,2026-07-06
Framingham,top_x_share,0.55,1,1989,2026-07-06
Framingham,top_x_share,0.85,3,1989,2026-07-06
Framingham,top_x_share,0.9,5,1989,2026-07-06
Framingham,top_x_share,1,10,1989,2026-07-06
Framingham,hhi,0.5808057944771394,NA,1990,2026-07-06
Framingham,top_x_share,0.574468085106383,1,1990,2026-07-06
Framingham,top_x_share,0.7659574468085106,3,1990,2026-07-06
Framingham,top_x_share,0.8723404255319149,5,1990,2026-07-06
Framingham,top_x_share,0.9148936170212766,10,1990,2026-07-06
Framingham,hhi,0.4862087614926991,NA,1991,2026-07-06
Framingham,top_x_share,0.3953488372093023,1,1991,2026-07-06
Framingham,top_x_share,0.6744186046511628,3,1991,2026-07-06
Framingham,top_x_share,0.7906976744186046,5,1991,2026-07-06
Framingham,top_x_share,0.8372093023255814,10,1991,2026-07-06
Framingham,hhi,0.502218934911243,NA,1992,2026-07-06
Framingham,top_x_share,0.2692307692307692,1,1992,2026-07-06
Framingham,top_x_share,0.7115384615384616,3,1992,2026-07-06
