period,period_start,period_end,metric,value,top_x,period_type
1970,1970,1970,n_papers,6,NA,annual
1970,1970,1970,n_authors,12,NA,annual
1970,1970,1970,hhi,1.6111111111111103,NA,annual
1970,1970,1970,top_x_share,1,1,annual
1970,1970,1970,top_x_share,1,3,annual
1970,1970,1970,top_x_share,1,5,annual
1970,1970,1970,top_x_share,1,10,annual
1971,1971,1971,n_papers,9,NA,annual
1971,1971,1971,n_authors,11,NA,annual
1971,1971,1971,hhi,1.1481481481481486,NA,annual
1971,1971,1971,top_x_share,0.8888888888888888,1,annual
1971,1971,1971,top_x_share,0.8888888888888888,3,annual
1971,1971,1971,top_x_share,1,5,annual
1971,1971,1971,top_x_share,1,10,annual
1972,1972,1972,n_papers,10,NA,annual
1972,1972,1972,n_authors,15,NA,annual
1972,1972,1972,hhi,1.0600000000000003,NA,annual
1972,1972,1972,top_x_share,0.8,1,annual
1972,1972,1972,top_x_share,0.8,3,annual
1972,1972,1972,top_x_share,0.8,5,annual
1972,1972,1972,top_x_share,1,10,annual
1973,1973,1973,n_papers,5,NA,annual
1973,1973,1973,n_authors,9,NA,annual
1973,1973,1973,hhi,1.5200000000000005,NA,annual
1973,1973,1973,top_x_share,0.8,1,annual
1973,1973,1973,top_x_share,1,3,annual
1973,1973,1973,top_x_share,1,5,annual
1973,1973,1973,top_x_share,1,10,annual
1974,1974,1974,n_papers,14,NA,annual
1974,1974,1974,n_authors,27,NA,annual
1974,1974,1974,hhi,1.117346938775509,NA,annual
1974,1974,1974,top_x_share,0.8571428571428571,1,annual
1974,1974,1974,top_x_share,0.9285714285714286,3,annual
1974,1974,1974,top_x_share,0.9285714285714286,5,annual
1974,1974,1974,top_x_share,1,10,annual
1975,1975,1975,n_papers,12,NA,annual
1975,1975,1975,n_authors,27,NA,annual
1975,1975,1975,hhi,1.020833333333333,NA,annual
1975,1975,1975,top_x_share,0.75,1,annual
1975,1975,1975,top_x_share,0.8333333333333334,3,annual
1975,1975,1975,top_x_share,0.8333333333333334,5,annual
1975,1975,1975,top_x_share,1,10,annual
1976,1976,1976,n_papers,18,NA,annual
1976,1976,1976,n_authors,24,NA,annual
1976,1976,1976,hhi,0.8919753086419755,NA,annual
1976,1976,1976,top_x_share,0.6666666666666666,1,annual
1976,1976,1976,top_x_share,0.8888888888888888,3,annual
1976,1976,1976,top_x_share,0.8888888888888888,5,annual
1976,1976,1976,top_x_share,0.8888888888888888,10,annual
1977,1977,1977,n_papers,14,NA,annual
1977,1977,1977,n_authors,31,NA,annual
1977,1977,1977,hhi,1.7346938775510201,NA,annual
1977,1977,1977,top_x_share,0.6428571428571429,1,annual
1977,1977,1977,top_x_share,1,3,annual
1977,1977,1977,top_x_share,1,5,annual
1977,1977,1977,top_x_share,1,10,annual
1978,1978,1978,n_papers,17,NA,annual
1978,1978,1978,n_authors,20,NA,annual
1978,1978,1978,hhi,1.1903114186851216,NA,annual
1978,1978,1978,top_x_share,0.9411764705882353,1,annual
1978,1978,1978,top_x_share,1,3,annual
1978,1978,1978,top_x_share,1,5,annual
1978,1978,1978,top_x_share,1,10,annual
1979,1979,1979,n_papers,21,NA,annual
1979,1979,1979,n_authors,24,NA,annual
1979,1979,1979,hhi,1.1632653061224478,NA,annual
1979,1979,1979,top_x_share,0.8095238095238095,1,annual
1979,1979,1979,top_x_share,0.8095238095238095,3,annual
1979,1979,1979,top_x_share,0.8571428571428571,5,annual
1979,1979,1979,top_x_share,0.9523809523809523,10,annual
1980,1980,1980,n_papers,17,NA,annual
1980,1980,1980,n_authors,35,NA,annual
1980,1980,1980,hhi,0.6816608996539805,NA,annual
