author_raw,n_papers,last_name,initials
Abecasis GR,48,Abecasis,GR
Abecasis G,25,Abecasis,G
Absher D,19,Absher,D
Absher DM,13,Absher,DM
Adams HHH,24,Adams,HHH
Adams HH,11,Adams,HH
Adams R,5,Adams,R
Adeyemo A,10,Adeyemo,A
Adeyemo AA,6,Adeyemo,AA
Albert CM,20,Albert,CM
Albert M,5,Albert,M
Allaire BT,10,Allaire,BT
Allaire B,6,Allaire,B
Allison M,15,Allison,M
Allison MA,15,Allison,MA
Alonso A,53,Alonso,A
Alonso N,5,Alonso,N
Alvarez VE,18,Alvarez,VE
Alvarez V,5,Alvarez,V
Alzheimer's Disease Neuroimaging Initiative,10,Alzheimer's,Disease Neuroimaging Initiative
Alzheimer's Disease Sequencing Project,6,Alzheimer's,Disease Sequencing Project
Alzheimer's Disease Genetics Consortium,5,Alzheimer's,Disease Genetics Consortium
Anderson KM,42,Anderson,KM
Anderson JJ,18,Anderson,JJ
Anderson CD,15,Anderson,CD
Anderson DE,15,Anderson,DE
Anderson K,9,Anderson,K
Anderson SJ,8,Anderson,SJ
Ang TFA,36,Ang,TFA
Ang W,5,Ang,W
Aparicio HJ,41,Aparicio,HJ
Aparicio H,10,Aparicio,H
Ardlie K,6,Ardlie,K
Ardlie KG,5,Ardlie,KG
Arnett DK,87,Arnett,DK
Arnett D,7,Arnett,D
Arnold AM,17,Arnold,AM
Arnold A,5,Arnold,A
Attia J,15,Attia,J
Attia JR,10,Attia,JR
Auer PL,41,Auer,PL
Auer P,5,Auer,P
Auerbach S,19,Auerbach,S
Auerbach SH,11,Auerbach,SH
Aulchenko YS,27,Aulchenko,YS
Aulchenko Y,9,Aulchenko,Y
Baccarelli AA,14,Baccarelli,AA
Baccarelli A,11,Baccarelli,A
Bakker SJL,15,Bakker,SJL
Bakker SJ,11,Bakker,SJ
Ballantyne CM,37,Ballantyne,CM
Ballantyne C,9,Ballantyne,C
Barnes KC,20,Barnes,KC
Barnes MR,11,Barnes,MR
Barnes K,5,Barnes,K
Becker DM,46,Becker,DM
Becker LC,43,Becker,LC
Becker JT,14,Becker,JT
Beckmann JS,18,Beckmann,JS
Beckmann BM,6,Beckmann,BM
Beckmann MW,5,Beckmann,MW
Beilby J,17,Beilby,J
Beilby JP,11,Beilby,JP
Beiser AS,191,Beiser,AS
Beiser A,173,Beiser,A
Belanger AJ,35,Belanger,AJ
Belanger A,5,Belanger,A
Bennett DA,48,Bennett,DA
Bennett AJ,11,Bennett,AJ
Bennett D,6,Bennett,D
Bis JC,218,Bis,JC
Bis J,5,Bis,J
Blackwell TW,17,Blackwell,TW
Blackwell T,5,Blackwell,T
Boer JM,6,Boer,JM
Boer CG,5,Boer,CG
Borecki IB,68,Borecki,IB
Borecki I,9,Borecki,I
Bottinger EP,42,Bottinger,EP
Bottinger E,5,Bottinger,E
Boyd SK,7,Boyd,SK
Boyd HA,6,Boyd,HA
Breteler MM,16,Breteler,MM
Breteler MMB,7,Breteler,MMB
Brody JA,135,Brody,JA
Brody J,11,Brody,J
Brown MR,27,Brown,MR
Brown M,10,Brown,M
Brown MJ,9,Brown,MJ
Brown MA,6,Brown,MA
Browning SR,8,Browning,SR
Browning BL,5,Browning,BL
Buckley BM,22,Buckley,BM
Buckley RF,6,Buckley,RF
Budoff MJ,14,Budoff,MJ
Budoff M,5,Budoff,M
Buxbaum JD,8,Buxbaum,JD
Buxbaum SG,7,Buxbaum,SG
Böger CA,26,Böger,CA
Böger RH,11,Böger,RH
Cade BE,46,Cade,BE
Cade B,6,Cade,B
Cai Q,11,Cai,Q
Cai J,7,Cai,J
Campbell H,80,Campbell,H
Campbell A,34,Campbell,A
Campbell S,5,Campbell,S
Carr JJ,19,Carr,JJ
Carr SA,6,Carr,SA
Castelli WP,131,Castelli,WP
Castelli W,6,Castelli,W
Caulfield MJ,44,Caulfield,MJ
Caulfield M,6,Caulfield,M
Chaffin MD,9,Chaffin,MD
Chaffin M,7,Chaffin,M
Chang YC,10,Chang,YC
Chang YP,5,Chang,YP
Chasman DI,141,Chasman,DI
Chasman D,5,Chasman,D
