author_raw,author_id,notes,merged_by,merged_date
Abecasis G,Abecasis GR,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Abner EL,Abner E,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Abraham JE,Abraham J,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Absher DM,Absher D,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Ackert-Bicknell C,Ackert-Bicknell CL,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Adams HH,Adams HHH,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Adams H,Adams HHH,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Adams HHHH,Adams HHH,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Adams L,Adams LD,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Adams LA,Adams LD,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Adams RJ,Adams R,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Adams S,Adams SL,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Adeyemo AA,Adeyemo A,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Ahmad F,Ahmad FS,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Akhter-Khan S,Akhter-Khan SC,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Akylbekova E,Akylbekova EL,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Al-Mallah M,Al-Mallah MH,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Alam D,Alam DS,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Albagha OM,Albagha OME,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Albert C,Albert CM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Albert MS,Albert M,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Aldrich M,Aldrich MC,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Ali M,Ali MK,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Allaire B,Allaire BT,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Allen N,Allen NB,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Allen RH,Allen RJ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Allison M,Allison MA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Alosco M,Alosco ML,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Altmaier EL,Altmaier E,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Altshuler DM,Altshuler D,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Alvarez V,Alvarez VE,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Alzheimer's Disease Sequencing Project,Alzheimer's Disease Neuroimaging Initiative,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Alzheimer's Disease Genetics Consortium,Alzheimer's Disease Neuroimaging Initiative,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Alzheimer's Disease Genetic Consortium,Alzheimer's Disease Neuroimaging Initiative,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Alzheimer’s Disease Genetics Consortium,Alzheimer’s Disease Neuroimaging Initiative,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Alzheimer’s Disease Sequencing Project,Alzheimer’s Disease Neuroimaging Initiative,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Alzheimer’s Disease Genetic Consortium,Alzheimer’s Disease Neuroimaging Initiative,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
American Heart Association/American Stroke Association Stroke Council,American Heart Association/American Stroke Association Council on Stroke,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
