pmid,title,abstract,pub_year,text,has_abstract
10553388,Evidence for decline in disability and improved health among persons aged 55 to 70 years: the Framingham Heart Study.,"OBJECTIVES: This study detected secular change in disability and health among persons aged 55 to 70 years, the life period when increases in disability and morbidity begin and retirement occurs. METHODS: Cross-sectional comparisons were completed with data from similarly aged members of the original (n = 1760) and offspring (n = 1688) cohorts of the Framingham Heart Study, which represent 2 generations. Analyses were conducted by gender and on chronic disease subgroups by logistic regression. RESULTS: There was substantially less disability in the offspring cohort than in the original cohort. Thirty-six percent of offspring men were disabled vs 52% of original cohort men (P = .001); among women, these proportions were 54% vs 72% (P = .001). Fewer offspring perceived their health as fair or poor and fewer had chronic diseases. Offspring were more physically active and less likely to smoke or consume high amounts of alcohol, but their average weight was greater. The secular decline in disability was strongly evident among individuals with chronic diseases. CONCLUSIONS: Our findings depict a secular change toward a less disabled and globally healthier population in the period of life when retirement occurs.",1999,"Evidence for decline in disability and improved health among persons aged 55 to 70 years: the Framingham Heart Study. OBJECTIVES: This study detected secular change in disability and health among persons aged 55 to 70 years, the life period when increases in disability and morbidity begin and retirement occurs. METHODS: Cross-sectional comparisons were completed with data from similarly aged members of the original (n = 1760) and offspring (n = 1688) cohorts of the Framingham Heart Study, which represent 2 generations. Analyses were conducted by gender and on chronic disease subgroups by logistic regression. RESULTS: There was substantially less disability in the offspring cohort than in the original cohort. Thirty-six percent of offspring men were disabled vs 52% of original cohort men (P = .001); among women, these proportions were 54% vs 72% (P = .001). Fewer offspring perceived their health as fair or poor and fewer had chronic diseases. Offspring were more physically active and less likely to smoke or consume high amounts of alcohol, but their average weight was greater. The secular decline in disability was strongly evident among individuals with chronic diseases. CONCLUSIONS: Our findings depict a secular change toward a less disabled and globally healthier population in the period of life when retirement occurs.",TRUE
10100690,Why is left ventricular hypertrophy so predictive of morbidity and mortality?,"The prevalence, prognosis, and predictors of left ventricular hypertrophy (LVH) are reviewed, and theories of the pathogenesis of the relation between LVH and poor prognosis are summarized to highlight controversies in the field. In the Framingham Heart Study, which consists largely of white people, echocardiographic LVH has a prevalence of 14% in men and 18% in women. The prevalence of LVH is reported to be elevated in African Americans compared with whites, although the higher prevalence has been attributed to the increased prevalence of hypertension and obesity. Echocardiographic LVH is independently associated with a variety of cardiovascular endpoints, including coronary heart disease and stroke. Furthermore, after adjusting for other cardiovascular disease risk factors, LVH is associated with a doubling in mortality in both white and African American cohorts. Despite the intensive investigation of LVH, there remain many unanswered questions: To what extent do genetic or other factors account for the large portion of the variance in LVH that remains unexplained? What is the prognosis of LVH and left ventricular geometry in a population-based African American cohort? How does the development and progression of LVH relate to other risk factors and their treatment? What is the relation of LVH to poor prognosis? The proposed Jackson Heart Study will help address many important unanswered questions regarding LVH.",1999,"Why is left ventricular hypertrophy so predictive of morbidity and mortality? The prevalence, prognosis, and predictors of left ventricular hypertrophy (LVH) are reviewed, and theories of the pathogenesis of the relation between LVH and poor prognosis are summarized to highlight controversies in the field. In the Framingham Heart Study, which consists largely of white people, echocardiographic LVH has a prevalence of 14% in men and 18% in women. The prevalence of LVH is reported to be elevated in African Americans compared with whites, although the higher prevalence has been attributed to the increased prevalence of hypertension and obesity. Echocardiographic LVH is independently associated with a variety of cardiovascular endpoints, including coronary heart disease and stroke. Furthermore, after adjusting for other cardiovascular disease risk factors, LVH is associated with a doubling in mortality in both white and African American cohorts. Despite the intensive investigation of LVH, there remain many unanswered questions: To what extent do genetic or other factors account for the large portion of the variance in LVH that remains unexplained? What is the prognosis of LVH and left ventricular geometry in a population-based African American cohort? How does the development and progression of LVH relate to other risk factors and their treatment? What is the relation of LVH to poor prognosis? The proposed Jackson Heart Study will help address many important unanswered questions regarding LVH.",TRUE
10030399,Family history of coronary heart disease and pre-clinical carotid artery atherosclerosis in African-Americans and whites: the ARIC study: Atherosclerosis Risk in Communities.,"The association between family history of coronary heart disease (CHD) and morbidity and mortality due to atherosclerotic sequelae, although well documented in population-based samples of whites, has been little studied in African Americans. Less is known about the relationship between a family history of CHD and pre-clinical atherosclerosis. We report the relation between family history of CHD, summarized in a family risk score (FRS), and asymptomatic atherosclerosis at the extracranial carotid arteries, measured by B-mode ultrasound. The FRS was assessed in relatives of 3,034 African Americans and 9,048 white probands aged 45 to 64 years, in the four community-based cohorts of the ARIC Study. The analyses were restricted to individuals free of clinically manifest CHD. The distribution of CHD FRS by ethnic-gender groups was right skewed, with slightly higher mean values for white than African-American males, and for African-American than white females. In a series of multivariate linear regression models with mean carotid artery intima-media wall thickness (IMT) as the dependent variable, FRS was associated positively with IMT in white and African-American women and white men. In a multiple regression model, approximately one-half of the quantitative statistical relationship of the CHD FRS with IMT in whites was statistically explained by the major risk factors considered as intervening, explanatory variables in this analysis. This association in African-American women was fully explained by the major risk factors. The FRS was not, however, associated with atherosclerosis or major risk factors in African-American males, in the ARIC Study.",1999,"Family history of coronary heart disease and pre-clinical carotid artery atherosclerosis in African-Americans and whites: the ARIC study: Atherosclerosis Risk in Communities. The association between family history of coronary heart disease (CHD) and morbidity and mortality due to atherosclerotic sequelae, although well documented in population-based samples of whites, has been little studied in African Americans. Less is known about the relationship between a family history of CHD and pre-clinical atherosclerosis. We report the relation between family history of CHD, summarized in a family risk score (FRS), and asymptomatic atherosclerosis at the extracranial carotid arteries, measured by B-mode ultrasound. The FRS was assessed in relatives of 3,034 African Americans and 9,048 white probands aged 45 to 64 years, in the four community-based cohorts of the ARIC Study. The analyses were restricted to individuals free of clinically manifest CHD. The distribution of CHD FRS by ethnic-gender groups was right skewed, with slightly higher mean values for white than African-American males, and for African-American than white females. In a series of multivariate linear regression models with mean carotid artery intima-media wall thickness (IMT) as the dependent variable, FRS was associated positively with IMT in white and African-American women and white men. In a multiple regression model, approximately one-half of the quantitative statistical relationship of the CHD FRS with IMT in whites was statistically explained by the major risk factors considered as intervening, explanatory variables in this analysis. This association in African-American women was fully explained by the major risk factors. The FRS was not, however, associated with atherosclerosis or major risk factors in African-American males, in the ARIC Study.",TRUE
10414557,Accuracy of proband reported family history: the NHLBI Family Heart Study (FHS).,"Proband-reported family histories are widely used in research and counseling, yet little is known about the validity of family history reporting. The Family Heart Study (FHS), a population-based study of familial cardiovascular disease, gathered family history information from 3,020 middle-aged probands in four U.S. communities. Probands reported on the history of coronary heart disease (CHD), diabetes, hypertension, and asthma among a total of 10,316 living relatives (9,186 siblings, 1,130 parents) and 2,685 spouses. Questionnaires were returned by 6,672 siblings, 901 parents, and 2,347 spouses, yielding response rates of 73, 79, and 87%, respectively. Utilizing the relatives' self-report as the standard, sensitivity of the proband report on their spouse, parent, and sibling was 87, 85, and 81% for CHD, 83, 87, and 72% for diabetes, 77, 76, and 56% for hypertension, and 66, 53, and 39% for asthma, respectively. Most specificity values were above 90%. Analyses using generalized estimating equations (GEE) were performed to evaluate differences in proband accuracy based on the proband's age, gender, disease state, center, and ethnicity. In multivariate models, age, gender, and disease status were significantly associated with the accuracy of proband's report of sibling disease history, but had little effect on the accuracy of their report on spouses or parents. In general, older probands were significantly less accurate reporters of disease than younger probands. These results demonstrate that CHD family history can be captured effectively based on proband reports, but suggest that additional family contacts may be helpful when working with older probands or with chronic diseases that have few recognized medical events or procedures.",1999,"Accuracy of proband reported family history: the NHLBI Family Heart Study (FHS). Proband-reported family histories are widely used in research and counseling, yet little is known about the validity of family history reporting. The Family Heart Study (FHS), a population-based study of familial cardiovascular disease, gathered family history information from 3,020 middle-aged probands in four U.S. communities. Probands reported on the history of coronary heart disease (CHD), diabetes, hypertension, and asthma among a total of 10,316 living relatives (9,186 siblings, 1,130 parents) and 2,685 spouses. Questionnaires were returned by 6,672 siblings, 901 parents, and 2,347 spouses, yielding response rates of 73, 79, and 87%, respectively. Utilizing the relatives' self-report as the standard, sensitivity of the proband report on their spouse, parent, and sibling was 87, 85, and 81% for CHD, 83, 87, and 72% for diabetes, 77, 76, and 56% for hypertension, and 66, 53, and 39% for asthma, respectively. Most specificity values were above 90%. Analyses using generalized estimating equations (GEE) were performed to evaluate differences in proband accuracy based on the proband's age, gender, disease state, center, and ethnicity. In multivariate models, age, gender, and disease status were significantly associated with the accuracy of proband's report of sibling disease history, but had little effect on the accuracy of their report on spouses or parents. In general, older probands were significantly less accurate reporters of disease than younger probands. These results demonstrate that CHD family history can be captured effectively based on proband reports, but suggest that additional family contacts may be helpful when working with older probands or with chronic diseases that have few recognized medical events or procedures.",TRUE
10203375,Hyperhomocysteinemia in chronic renal disease.,NA,1999,Hyperhomocysteinemia in chronic renal disease. ,FALSE
10475888,Nonfasting plasma total homocysteine levels and stroke incidence in elderly persons: the Framingham Study.,"BACKGROUND: Total homocysteine levels are associated with arteriosclerotic outcomes. OBJECTIVE: To determine whether total homocysteine levels predict incident stroke in elderly persons. DESIGN: Prospective population-based cohort study with 9.9 years of follow-up. SETTING: Framingham, Massachusetts. PATIENTS: 1947 Framingham Study participants (1158 women and 789 men; mean age +/- SD, 70 +/- 7 years). MEASUREMENTS: Baseline total homocysteine levels and 9.9-year stroke incidence. RESULTS: The quartiles of nonfasting total homocysteine levels were as follows: quartile 1, 4.13 to 9.25 micromol/L; quartile 2, 9.26 to 11.43 micromol/L; quartile 3, 11.44 to 14.23 micromol/L; quartile 4, 14.24 to 219.84 micromol/L. During follow-up, 165 incident strokes occurred. In proportional hazards models adjusted for age, sex, systolic blood pressure, diabetes, smoking, and history of atrial fibrillation and coronary heart disease, relative risk (RR) estimates comparing quartile 1 with the other three quartiles were as follows: quartile 2 compared with quartile 1--RR, 1.32 (95% CI, 0.81 to 2.14); quartile 3 compared with quartile 1--RR, 1.44 (CI, 0.89 to 2.34); quartile 4 compared with quartile 1--RR, 1.82 (CI, 1.14 to 2.91). The linear trend across the quartiles was significant (P < 0.001). CONCLUSION: Nonfasting total homocysteine levels are an independent risk factor for incident stroke in elderly persons.",1999,"Nonfasting plasma total homocysteine levels and stroke incidence in elderly persons: the Framingham Study. BACKGROUND: Total homocysteine levels are associated with arteriosclerotic outcomes. OBJECTIVE: To determine whether total homocysteine levels predict incident stroke in elderly persons. DESIGN: Prospective population-based cohort study with 9.9 years of follow-up. SETTING: Framingham, Massachusetts. PATIENTS: 1947 Framingham Study participants (1158 women and 789 men; mean age +/- SD, 70 +/- 7 years). MEASUREMENTS: Baseline total homocysteine levels and 9.9-year stroke incidence. RESULTS: The quartiles of nonfasting total homocysteine levels were as follows: quartile 1, 4.13 to 9.25 micromol/L; quartile 2, 9.26 to 11.43 micromol/L; quartile 3, 11.44 to 14.23 micromol/L; quartile 4, 14.24 to 219.84 micromol/L. During follow-up, 165 incident strokes occurred. In proportional hazards models adjusted for age, sex, systolic blood pressure, diabetes, smoking, and history of atrial fibrillation and coronary heart disease, relative risk (RR) estimates comparing quartile 1 with the other three quartiles were as follows: quartile 2 compared with quartile 1--RR, 1.32 (95% CI, 0.81 to 2.14); quartile 3 compared with quartile 1--RR, 1.44 (CI, 0.89 to 2.34); quartile 4 compared with quartile 1--RR, 1.82 (CI, 1.14 to 2.91). The linear trend across the quartiles was significant (P < 0.001). CONCLUSION: Nonfasting total homocysteine levels are an independent risk factor for incident stroke in elderly persons.",TRUE
10335684,Nonfasting plasma total homocysteine levels and all-cause and cardiovascular disease mortality in elderly Framingham men and women.,"BACKGROUND: Elevated fasting total homocysteine (tHcy) levels were recently shown to confer an independent risk for all-cause and cardiovascular disease (CVD) mortality among selected Norwegian patients with confirmed coronary heart disease. We examined whether elevated fasting plasma tHcy levels were predictive of all-cause and CVD mortality in a large, population-based sample of elderly US women and men. METHODS: Nonfasting plasma tHcy levels were determined in 1933 elderly participants (mean age, 70 +/- 7 years; 58.9% women) from the original Framingham Study cohort, examined between 1979 and 1982, with follow-up through 1992. Unadjusted and adjusted (ie, for age, sex, diabetes, smoking, systolic blood pressure, total and high-density lipoprotein cholesterol, and creatinine) relative risk estimates (with 95% confidence intervals [CIs]) for total and CVD mortality were generated by proportional hazards modeling, with tHcy levels (quartiles) as the independent variable. RESULTS: There were 653 total deaths and 244 CVD deaths during a median follow-up of 10.0 years. Proportional hazards modeling revealed that tHcy levels of 14.26 micromol/L or greater (the upper quartile), vs less than 14.26 micromol/L (the lower three quartiles), were associated with relative risk estimates of 2.18 (95% CI, 1.86-2.56) and 2.17 (95% CI, 1.68-2.82) for all-cause and CVD mortality, respectively. The relative risk estimates after adjustment for age, sex, systolic blood pressure, diabetes, smoking, and total and high-density lipoprotein cholesterol levels attenuated these associations, but they remained significant: 1.54 (95% CI, 1.31-1.82) for all-cause mortality; 1.52 (95% CI, 1.16-1.98) for CVD mortality. CONCLUSION: Elevated nonfasting plasma tHcy levels are independently associated with increased rates of all-cause and CVD mortality in the elderly.",1999,"Nonfasting plasma total homocysteine levels and all-cause and cardiovascular disease mortality in elderly Framingham men and women. BACKGROUND: Elevated fasting total homocysteine (tHcy) levels were recently shown to confer an independent risk for all-cause and cardiovascular disease (CVD) mortality among selected Norwegian patients with confirmed coronary heart disease. We examined whether elevated fasting plasma tHcy levels were predictive of all-cause and CVD mortality in a large, population-based sample of elderly US women and men. METHODS: Nonfasting plasma tHcy levels were determined in 1933 elderly participants (mean age, 70 +/- 7 years; 58.9% women) from the original Framingham Study cohort, examined between 1979 and 1982, with follow-up through 1992. Unadjusted and adjusted (ie, for age, sex, diabetes, smoking, systolic blood pressure, total and high-density lipoprotein cholesterol, and creatinine) relative risk estimates (with 95% confidence intervals [CIs]) for total and CVD mortality were generated by proportional hazards modeling, with tHcy levels (quartiles) as the independent variable. RESULTS: There were 653 total deaths and 244 CVD deaths during a median follow-up of 10.0 years. Proportional hazards modeling revealed that tHcy levels of 14.26 micromol/L or greater (the upper quartile), vs less than 14.26 micromol/L (the lower three quartiles), were associated with relative risk estimates of 2.18 (95% CI, 1.86-2.56) and 2.17 (95% CI, 1.68-2.82) for all-cause and CVD mortality, respectively. The relative risk estimates after adjustment for age, sex, systolic blood pressure, diabetes, smoking, and total and high-density lipoprotein cholesterol levels attenuated these associations, but they remained significant: 1.54 (95% CI, 1.31-1.82) for all-cause mortality; 1.52 (95% CI, 1.16-1.98) for CVD mortality. CONCLUSION: Elevated nonfasting plasma tHcy levels are independently associated with increased rates of all-cause and CVD mortality in the elderly.",TRUE
10368520,"Cardiovascular disease: pathogenesis, epidemiology, and risk among users of oral contraceptives who smoke.","Smoking increases the risk of lung cancer and cardiovascular disease among persons of both sexes. The risk of cardiovascular disease is further increased among users of oral contraceptives who smoke, particularly those who are >/=35 years old or carry the coagulation factor V Leiden mutation. Other important cardiovascular disease risk factors in women include waist/hip girth ratio >0.8, high concentration of low-density lipoprotein cholesterol (>115 mg/dL), high triglyceride level (>/=150 mg/dL) with low concentration of high-density lipoprotein cholesterol (</=45 mg/dL), high ratio of total cholesterol/high-density lipoprotein (4.0), high ratio of low-density lipoprotein/high-density lipoprotein (3.0), glucose values >/=100 mg/dL, hypertension, lack of physical activity, and high-fat diet. Most excess cardiovascular disease among users of oral contraceptives is due to thrombosis (not atherosclerosis); studies indicate that the lower the oral contraceptive estrogen dose is, the lower is this risk. Oral contraceptives containing the third-generation progestins desogestrel and gestodene have been associated with greater risks of venous thromboembolism than are associated with older progestins, although there is some controversy surrounding these findings.",1999,"Cardiovascular disease: pathogenesis, epidemiology, and risk among users of oral contraceptives who smoke. Smoking increases the risk of lung cancer and cardiovascular disease among persons of both sexes. The risk of cardiovascular disease is further increased among users of oral contraceptives who smoke, particularly those who are >/=35 years old or carry the coagulation factor V Leiden mutation. Other important cardiovascular disease risk factors in women include waist/hip girth ratio >0.8, high concentration of low-density lipoprotein cholesterol (>115 mg/dL), high triglyceride level (>/=150 mg/dL) with low concentration of high-density lipoprotein cholesterol (</=45 mg/dL), high ratio of total cholesterol/high-density lipoprotein (4.0), high ratio of low-density lipoprotein/high-density lipoprotein (3.0), glucose values >/=100 mg/dL, hypertension, lack of physical activity, and high-fat diet. Most excess cardiovascular disease among users of oral contraceptives is due to thrombosis (not atherosclerosis); studies indicate that the lower the oral contraceptive estrogen dose is, the lower is this risk. Oral contraceptives containing the third-generation progestins desogestrel and gestodene have been associated with greater risks of venous thromboembolism than are associated with older progestins, although there is some controversy surrounding these findings.",TRUE
9920011,Grip strength and the risk of developing radiographic hand osteoarthritis: results from the Framingham Study.,"OBJECTIVE: In knees, quadriceps strength may protect against osteoarthritis (OA). Muscle activity is a major determinant of forces at the hand joints, and grip is a common task during which high muscle forces are sustained, especially at the proximal hand joints (metacarpophalangeal [MCP] joints and thumb base). This longitudinal study of radiographic hand OA examined the association between incident OA at different hand joints and maximal grip strength. METHODS: Four hand joint groups were studied: distal interphalangeal (DIP), proximal interphalangeal (PIP), MCP, and the base of the thumb (carpometacarpal and scaphotrapezial combined). Subjects were members of the Framingham OA Study who had a baseline radiograph in 1967-1969 and a followup radiograph in 1992-1993 (mean followup 24 years) and had no prevalent radiographic OA in any hand joint at baseline. Incident disease was defined as development of OA defined as a modified Kellgren/Lawrence grade of > or =2. Grip strength was measured in kilograms by dynamometer in 1958-1961 and again in 1960-1963, and the 2 measures were averaged and divided into sex-specific tertiles. Joint-based analysis was performed by adjusting for age, physical activity, and occupational category using the lowest grip strength tertile as the referent. RESULTS: Baseline and followup radiographs were obtained from 746 subjects. Of these, 453 subjects with no prevalent OA at baseline were eligible for analysis. In men, higher maximal grip strength was associated with an increased risk of OA in the PIP (highest tertile odds ratio [OR] 2.8 compared with lowest tertile, 95% confidence interval [95% CI] 1.2-6.7), MCP (highest tertile OR 2.9, 95% CI 1.1-7.4), and thumb base joints (highest tertile OR 2.8, 95% CI 1.1-7.4). In women, there was increased risk of OA in the MCP joints (highest tertile OR 2.7, 95% CI 1.1-6.4). CONCLUSION: Men with high maximal grip strength are at increased risk for the development of OA in the PIP, MCP, and thumb base joints, and women, in the MCP joints. No association was found between maximal grip strength and incident OA in the DIP joints of men or women.",1999,"Grip strength and the risk of developing radiographic hand osteoarthritis: results from the Framingham Study. OBJECTIVE: In knees, quadriceps strength may protect against osteoarthritis (OA). Muscle activity is a major determinant of forces at the hand joints, and grip is a common task during which high muscle forces are sustained, especially at the proximal hand joints (metacarpophalangeal [MCP] joints and thumb base). This longitudinal study of radiographic hand OA examined the association between incident OA at different hand joints and maximal grip strength. METHODS: Four hand joint groups were studied: distal interphalangeal (DIP), proximal interphalangeal (PIP), MCP, and the base of the thumb (carpometacarpal and scaphotrapezial combined). Subjects were members of the Framingham OA Study who had a baseline radiograph in 1967-1969 and a followup radiograph in 1992-1993 (mean followup 24 years) and had no prevalent radiographic OA in any hand joint at baseline. Incident disease was defined as development of OA defined as a modified Kellgren/Lawrence grade of > or =2. Grip strength was measured in kilograms by dynamometer in 1958-1961 and again in 1960-1963, and the 2 measures were averaged and divided into sex-specific tertiles. Joint-based analysis was performed by adjusting for age, physical activity, and occupational category using the lowest grip strength tertile as the referent. RESULTS: Baseline and followup radiographs were obtained from 746 subjects. Of these, 453 subjects with no prevalent OA at baseline were eligible for analysis. In men, higher maximal grip strength was associated with an increased risk of OA in the PIP (highest tertile odds ratio [OR] 2.8 compared with lowest tertile, 95% confidence interval [95% CI] 1.2-6.7), MCP (highest tertile OR 2.9, 95% CI 1.1-7.4), and thumb base joints (highest tertile OR 2.8, 95% CI 1.1-7.4). In women, there was increased risk of OA in the MCP joints (highest tertile OR 2.7, 95% CI 1.1-6.4). CONCLUSION: Men with high maximal grip strength are at increased risk for the development of OA in the PIP, MCP, and thumb base joints, and women, in the MCP joints. No association was found between maximal grip strength and incident OA in the DIP joints of men or women.",TRUE
10508208,Association of the A-204C polymorphism in the cholesterol 7alpha-hydroxylase gene with variations in plasma low density lipoprotein cholesterol levels in the Framingham Offspring Study.,"The first reaction of the catabolic pathway of cholesterol is catalyzed by CYP7 and serves as the rate-limiting step and major site of regulation of bile acid synthesis in the liver. A common A to C substitution at position -204 of the promoter of CYP7 gene has been associated with variations in plasma LDL-cholesterol concentrations but the effect of this polymorphism is unknown in the general population. The aim of the present study was therefore to investigate the association of this polymorphism to lipoprotein levels in a population-based sample of 1139 male and 1191 female Framingham Offspring participants. In men, the C variant was associated with higher plasma concentrations of LDL-cholesterol and this association remained significant after adjustment for familial relationship, age, BMI, smoking, alcohol intake, the use of beta-blockers, and apoE genotype. The C variant was also associated with an increased TC/HDL ratio in men. Variance components analysis indicated that allelic variability at nucleotide -204 of the CYP7 gene and polymorphism of the apoE gene accounted for 1 and 5% of the variation of plasma LDL-cholesterol concentrations, respectively. In women, however, there was no relationship between LDL-cholesterol and the A-204C polymorphism but subjects homozygous for the CC genotype had significantly lower triglyceride levels than heterozygotes. Moreover, no significant relationship was found between the A-204C variants and lipoprotein particle diameter or the prevalence of coronary heart disease in both genders. Thus, our results show that the A-204C polymorphism in the CYP7 gene is associated with statistically significant variations in LDL-C and triglyceride concentrations in men and women, respectively, but the cumulative effects of these variations on atherosclerotic risk remain uncertain.",1999,"Association of the A-204C polymorphism in the cholesterol 7alpha-hydroxylase gene with variations in plasma low density lipoprotein cholesterol levels in the Framingham Offspring Study. The first reaction of the catabolic pathway of cholesterol is catalyzed by CYP7 and serves as the rate-limiting step and major site of regulation of bile acid synthesis in the liver. A common A to C substitution at position -204 of the promoter of CYP7 gene has been associated with variations in plasma LDL-cholesterol concentrations but the effect of this polymorphism is unknown in the general population. The aim of the present study was therefore to investigate the association of this polymorphism to lipoprotein levels in a population-based sample of 1139 male and 1191 female Framingham Offspring participants. In men, the C variant was associated with higher plasma concentrations of LDL-cholesterol and this association remained significant after adjustment for familial relationship, age, BMI, smoking, alcohol intake, the use of beta-blockers, and apoE genotype. The C variant was also associated with an increased TC/HDL ratio in men. Variance components analysis indicated that allelic variability at nucleotide -204 of the CYP7 gene and polymorphism of the apoE gene accounted for 1 and 5% of the variation of plasma LDL-cholesterol concentrations, respectively. In women, however, there was no relationship between LDL-cholesterol and the A-204C polymorphism but subjects homozygous for the CC genotype had significantly lower triglyceride levels than heterozygotes. Moreover, no significant relationship was found between the A-204C variants and lipoprotein particle diameter or the prevalence of coronary heart disease in both genders. Thus, our results show that the A-204C polymorphism in the CYP7 gene is associated with statistically significant variations in LDL-C and triglyceride concentrations in men and women, respectively, but the cumulative effects of these variations on atherosclerotic risk remain uncertain.",TRUE
