period,period_start,period_end,metric,value,top_x,cluster,domain
"Domain 1: cognitive, neurocognitive, function, cognition",NA,NA,n_papers,59,NA,1,"Domain 1: cognitive, neurocognitive, function, cognition"
"Domain 1: cognitive, neurocognitive, function, cognition",NA,NA,n_authors,223,NA,1,"Domain 1: cognitive, neurocognitive, function, cognition"
"Domain 1: cognitive, neurocognitive, function, cognition",NA,NA,hhi,4.266015512783722,NA,1,"Domain 1: cognitive, neurocognitive, function, cognition"
"Domain 1: cognitive, neurocognitive, function, cognition",NA,NA,top_x_share,0.9830508474576272,1,1,"Domain 1: cognitive, neurocognitive, function, cognition"
"Domain 1: cognitive, neurocognitive, function, cognition",NA,NA,top_x_share,0.9830508474576272,3,1,"Domain 1: cognitive, neurocognitive, function, cognition"
"Domain 1: cognitive, neurocognitive, function, cognition",NA,NA,top_x_share,1,5,1,"Domain 1: cognitive, neurocognitive, function, cognition"
"Domain 1: cognitive, neurocognitive, function, cognition",NA,NA,top_x_share,1,10,1,"Domain 1: cognitive, neurocognitive, function, cognition"
"Domain 2: metabolites, metabolite, dietary, gut",NA,NA,n_papers,20,NA,2,"Domain 2: metabolites, metabolite, dietary, gut"
"Domain 2: metabolites, metabolite, dietary, gut",NA,NA,n_authors,172,NA,2,"Domain 2: metabolites, metabolite, dietary, gut"
"Domain 2: metabolites, metabolite, dietary, gut",NA,NA,hhi,5.790000000000034,NA,2,"Domain 2: metabolites, metabolite, dietary, gut"
"Domain 2: metabolites, metabolite, dietary, gut",NA,NA,top_x_share,1,1,2,"Domain 2: metabolites, metabolite, dietary, gut"
"Domain 2: metabolites, metabolite, dietary, gut",NA,NA,top_x_share,1,3,2,"Domain 2: metabolites, metabolite, dietary, gut"
"Domain 2: metabolites, metabolite, dietary, gut",NA,NA,top_x_share,1,5,2,"Domain 2: metabolites, metabolite, dietary, gut"
"Domain 2: metabolites, metabolite, dietary, gut",NA,NA,top_x_share,1,10,2,"Domain 2: metabolites, metabolite, dietary, gut"
"Domain 3: asthma, stressors, ricans, symptoms",NA,NA,n_papers,10,NA,3,"Domain 3: asthma, stressors, ricans, symptoms"
"Domain 3: asthma, stressors, ricans, symptoms",NA,NA,n_authors,86,NA,3,"Domain 3: asthma, stressors, ricans, symptoms"
"Domain 3: asthma, stressors, ricans, symptoms",NA,NA,hhi,3.3799999999999875,NA,3,"Domain 3: asthma, stressors, ricans, symptoms"
"Domain 3: asthma, stressors, ricans, symptoms",NA,NA,top_x_share,0.9,1,3,"Domain 3: asthma, stressors, ricans, symptoms"
"Domain 3: asthma, stressors, ricans, symptoms",NA,NA,top_x_share,1,3,3,"Domain 3: asthma, stressors, ricans, symptoms"
"Domain 3: asthma, stressors, ricans, symptoms",NA,NA,top_x_share,1,5,3,"Domain 3: asthma, stressors, ricans, symptoms"
"Domain 3: asthma, stressors, ricans, symptoms",NA,NA,top_x_share,1,10,3,"Domain 3: asthma, stressors, ricans, symptoms"
"Domain 4: youth, children, family, food",NA,NA,n_papers,38,NA,4,"Domain 4: youth, children, family, food"
"Domain 4: youth, children, family, food",NA,NA,n_authors,118,NA,4,"Domain 4: youth, children, family, food"
"Domain 4: youth, children, family, food",NA,NA,hhi,4.022160664819959,NA,4,"Domain 4: youth, children, family, food"
"Domain 4: youth, children, family, food",NA,NA,top_x_share,1,1,4,"Domain 4: youth, children, family, food"
"Domain 4: youth, children, family, food",NA,NA,top_x_share,1,3,4,"Domain 4: youth, children, family, food"
"Domain 4: youth, children, family, food",NA,NA,top_x_share,1,5,4,"Domain 4: youth, children, family, food"
"Domain 4: youth, children, family, food",NA,NA,top_x_share,1,10,4,"Domain 4: youth, children, family, food"
"Domain 5: diabetes, prevalence, cvd, women",NA,NA,n_papers,391,NA,5,"Domain 5: diabetes, prevalence, cvd, women"
"Domain 5: diabetes, prevalence, cvd, women",NA,NA,n_authors,1250,NA,5,"Domain 5: diabetes, prevalence, cvd, women"
"Domain 5: diabetes, prevalence, cvd, women",NA,NA,hhi,1.429039579803849,NA,5,"Domain 5: diabetes, prevalence, cvd, women"
"Domain 5: diabetes, prevalence, cvd, women",NA,NA,top_x_share,0.5754475703324808,1,5,"Domain 5: diabetes, prevalence, cvd, women"
"Domain 5: diabetes, prevalence, cvd, women",NA,NA,top_x_share,0.7851662404092071,3,5,"Domain 5: diabetes, prevalence, cvd, women"
"Domain 5: diabetes, prevalence, cvd, women",NA,NA,top_x_share,0.8951406649616368,5,5,"Domain 5: diabetes, prevalence, cvd, women"
"Domain 5: diabetes, prevalence, cvd, women",NA,NA,top_x_share,0.9437340153452686,10,5,"Domain 5: diabetes, prevalence, cvd, women"
"Domain 6: microbiome, gut, usa, dietary",NA,NA,n_papers,12,NA,6,"Domain 6: microbiome, gut, usa, dietary"
"Domain 6: microbiome, gut, usa, dietary",NA,NA,n_authors,77,NA,6,"Domain 6: microbiome, gut, usa, dietary"
"Domain 6: microbiome, gut, usa, dietary",NA,NA,hhi,7.312500000000005,NA,6,"Domain 6: microbiome, gut, usa, dietary"
"Domain 6: microbiome, gut, usa, dietary",NA,NA,top_x_share,1,1,6,"Domain 6: microbiome, gut, usa, dietary"
"Domain 6: microbiome, gut, usa, dietary",NA,NA,top_x_share,1,3,6,"Domain 6: microbiome, gut, usa, dietary"
"Domain 6: microbiome, gut, usa, dietary",NA,NA,top_x_share,1,5,6,"Domain 6: microbiome, gut, usa, dietary"
